task,image,prompt,groundtruth,metadata
Image Description,angle_estimation_0001.png,"Is the marked angle acute (less than 90°), right (exactly 90°), or obtuse (greater than 90°)? Answer with one word.",obtuse,"{""angle_degrees"":298.127495,""arc_sweep_degrees"":298.127495,""dataset_version"":""angle-estimation-3.0.0"",""difficulty_score"":0.56,""marked_sweep"":""reflex"",""scene_type"":""single"",""seed"":1}"
Basic Relational Reasoning,angle_estimation_0001.png,"Estimate the measure of the marked angle, rounded to the nearest 15 degrees. Answer with a number in curly brackets, e.g. {45}.",300,"{""angle_degrees"":298.127495,""arc_sweep_degrees"":298.127495,""dataset_version"":""angle-estimation-3.0.0"",""difficulty_score"":0.56,""marked_sweep"":""reflex"",""scene_type"":""single"",""seed"":1}"
Comparative Reasoning,angle_estimation_0001.png,"Is the marked angle greater than, less than, or approximately equal to a right angle (90 degrees)?",greater than,"{""angle_degrees"":298.127495,""arc_sweep_degrees"":298.127495,""dataset_version"":""angle-estimation-3.0.0"",""difficulty_score"":0.56,""marked_sweep"":""reflex"",""scene_type"":""single"",""seed"":1}"
Compound Reasoning,angle_estimation_0001.png,"How many degrees is the shown angle away from a straight angle, rounded to the nearest degree?",118,"{""angle_degrees"":298.127495,""arc_sweep_degrees"":298.127495,""dataset_version"":""angle-estimation-3.0.0"",""difficulty_score"":0.56,""marked_sweep"":""reflex"",""scene_type"":""single"",""seed"":1}"
Extrapolative/Counterfactual Reasoning,angle_estimation_0001.png,"If this angle were doubled, would the result still be less than a straight angle (180 degrees), or would it exceed a straight angle?",exceeds 180,"{""angle_degrees"":298.127495,""arc_sweep_degrees"":298.127495,""dataset_version"":""angle-estimation-3.0.0"",""difficulty_score"":0.56,""marked_sweep"":""reflex"",""scene_type"":""single"",""seed"":1}"
Image Description,angle_estimation_0002.png,"Is the marked angle acute (less than 90°), right (exactly 90°), or obtuse (greater than 90°)? Answer with one word.",acute,"{""angle_degrees"":38.856472,""arc_sweep_degrees"":38.856472,""dataset_version"":""angle-estimation-3.0.0"",""difficulty_score"":0.44,""marked_sweep"":""minor"",""scene_type"":""single"",""seed"":2}"
Basic Relational Reasoning,angle_estimation_0002.png,"Estimate the measure of the marked angle, rounded to the nearest 15 degrees. Answer with a number in curly brackets, e.g. {45}.",45,"{""angle_degrees"":38.856472,""arc_sweep_degrees"":38.856472,""dataset_version"":""angle-estimation-3.0.0"",""difficulty_score"":0.44,""marked_sweep"":""minor"",""scene_type"":""single"",""seed"":2}"
Comparative Reasoning,angle_estimation_0002.png,"Is the marked angle greater than, less than, or approximately equal to a right angle (90 degrees)?",less than,"{""angle_degrees"":38.856472,""arc_sweep_degrees"":38.856472,""dataset_version"":""angle-estimation-3.0.0"",""difficulty_score"":0.44,""marked_sweep"":""minor"",""scene_type"":""single"",""seed"":2}"
Compound Reasoning,angle_estimation_0002.png,"How many degrees is the shown angle away from a straight angle, rounded to the nearest degree?",141,"{""angle_degrees"":38.856472,""arc_sweep_degrees"":38.856472,""dataset_version"":""angle-estimation-3.0.0"",""difficulty_score"":0.44,""marked_sweep"":""minor"",""scene_type"":""single"",""seed"":2}"
Extrapolative/Counterfactual Reasoning,angle_estimation_0002.png,"If this angle were doubled, would the result still be less than a straight angle (180 degrees), or would it exceed a straight angle?",less than 180,"{""angle_degrees"":38.856472,""arc_sweep_degrees"":38.856472,""dataset_version"":""angle-estimation-3.0.0"",""difficulty_score"":0.44,""marked_sweep"":""minor"",""scene_type"":""single"",""seed"":2}"
Image Description,angle_estimation_0003.png,"Is the marked angle acute (less than 90°), right (exactly 90°), or obtuse (greater than 90°)? Answer with one word.",obtuse,"{""angle_degrees"":195.037954,""arc_sweep_degrees"":195.037954,""dataset_version"":""angle-estimation-3.0.0"",""difficulty_score"":0.56,""marked_sweep"":""reflex"",""scene_type"":""single"",""seed"":3}"
Basic Relational Reasoning,angle_estimation_0003.png,"Estimate the measure of the marked angle, rounded to the nearest 15 degrees. Answer with a number in curly brackets, e.g. {45}.",195,"{""angle_degrees"":195.037954,""arc_sweep_degrees"":195.037954,""dataset_version"":""angle-estimation-3.0.0"",""difficulty_score"":0.56,""marked_sweep"":""reflex"",""scene_type"":""single"",""seed"":3}"
Comparative Reasoning,angle_estimation_0003.png,"Is the marked angle greater than, less than, or approximately equal to a right angle (90 degrees)?",greater than,"{""angle_degrees"":195.037954,""arc_sweep_degrees"":195.037954,""dataset_version"":""angle-estimation-3.0.0"",""difficulty_score"":0.56,""marked_sweep"":""reflex"",""scene_type"":""single"",""seed"":3}"
Compound Reasoning,angle_estimation_0003.png,"How many degrees is the shown angle away from a straight angle, rounded to the nearest degree?",15,"{""angle_degrees"":195.037954,""arc_sweep_degrees"":195.037954,""dataset_version"":""angle-estimation-3.0.0"",""difficulty_score"":0.56,""marked_sweep"":""reflex"",""scene_type"":""single"",""seed"":3}"
Extrapolative/Counterfactual Reasoning,angle_estimation_0003.png,"If this angle were doubled, would the result still be less than a straight angle (180 degrees), or would it exceed a straight angle?",exceeds 180,"{""angle_degrees"":195.037954,""arc_sweep_degrees"":195.037954,""dataset_version"":""angle-estimation-3.0.0"",""difficulty_score"":0.56,""marked_sweep"":""reflex"",""scene_type"":""single"",""seed"":3}"
Image Description,angle_estimation_0004.png,"Is the marked angle acute (less than 90°), right (exactly 90°), or obtuse (greater than 90°)? Answer with one word.",acute,"{""angle_degrees"":45.076465,""arc_sweep_degrees"":45.076465,""dataset_version"":""angle-estimation-3.0.0"",""difficulty_score"":0.44,""marked_sweep"":""minor"",""scene_type"":""single"",""seed"":4}"
Basic Relational Reasoning,angle_estimation_0004.png,"Estimate the measure of the marked angle, rounded to the nearest 15 degrees. Answer with a number in curly brackets, e.g. {45}.",45,"{""angle_degrees"":45.076465,""arc_sweep_degrees"":45.076465,""dataset_version"":""angle-estimation-3.0.0"",""difficulty_score"":0.44,""marked_sweep"":""minor"",""scene_type"":""single"",""seed"":4}"
Comparative Reasoning,angle_estimation_0004.png,"Is the marked angle greater than, less than, or approximately equal to a right angle (90 degrees)?",less than,"{""angle_degrees"":45.076465,""arc_sweep_degrees"":45.076465,""dataset_version"":""angle-estimation-3.0.0"",""difficulty_score"":0.44,""marked_sweep"":""minor"",""scene_type"":""single"",""seed"":4}"
Compound Reasoning,angle_estimation_0004.png,"How many degrees is the shown angle away from a straight angle, rounded to the nearest degree?",135,"{""angle_degrees"":45.076465,""arc_sweep_degrees"":45.076465,""dataset_version"":""angle-estimation-3.0.0"",""difficulty_score"":0.44,""marked_sweep"":""minor"",""scene_type"":""single"",""seed"":4}"
Extrapolative/Counterfactual Reasoning,angle_estimation_0004.png,"If this angle were doubled, would the result still be less than a straight angle (180 degrees), or would it exceed a straight angle?",less than 180,"{""angle_degrees"":45.076465,""arc_sweep_degrees"":45.076465,""dataset_version"":""angle-estimation-3.0.0"",""difficulty_score"":0.44,""marked_sweep"":""minor"",""scene_type"":""single"",""seed"":4}"
