question_id,image,acceptance_set,targets,supporting_block,upper_block,blocks_above,combined_com_relation,joint_stable,whole_stack_stable
physical_stability_0001_open_q1,physical_stability_0001.png,"[""supporting_block=B; upper_block=C; blocks_above=['C']; combined_com_relation=inside; joint_stable=True; whole_stack_stable=True""]","[""C""]",B,C,"[""C""]",inside,True,True
physical_stability_0002_open_q1,physical_stability_0002.png,"[""supporting_block=A; upper_block=B; blocks_above=['B']; combined_com_relation=right; joint_stable=False; whole_stack_stable=False""]","[""B""]",A,B,"[""B""]",right,False,False
physical_stability_0003_open_q1,physical_stability_0003.png,"[""supporting_block=A; upper_block=B; blocks_above=['B', 'C']; combined_com_relation=right; joint_stable=False; whole_stack_stable=False""]","[""B""]",A,B,"[""B"",""C""]",right,False,False
physical_stability_0004_open_q1,physical_stability_0004.png,"[""supporting_block=B; upper_block=C; blocks_above=['C']; combined_com_relation=inside; joint_stable=True; whole_stack_stable=True""]","[""C""]",B,C,"[""C""]",inside,True,True
physical_stability_0005_open_q1,physical_stability_0005.png,"[""supporting_block=D; upper_block=E; blocks_above=['E']; combined_com_relation=inside; joint_stable=True; whole_stack_stable=True""]","[""E""]",D,E,"[""E""]",inside,True,True
physical_stability_0006_open_q1,physical_stability_0006.png,"[""supporting_block=A; upper_block=B; blocks_above=['B']; combined_com_relation=right; joint_stable=False; whole_stack_stable=False""]","[""B""]",A,B,"[""B""]",right,False,False
physical_stability_0007_open_q1,physical_stability_0007.png,"[""supporting_block=B; upper_block=C; blocks_above=['C', 'D']; combined_com_relation=right; joint_stable=False; whole_stack_stable=False""]","[""C""]",B,C,"[""C"",""D""]",right,False,False
physical_stability_0008_open_q1,physical_stability_0008.png,"[""supporting_block=A; upper_block=B; blocks_above=['B', 'C']; combined_com_relation=inside; joint_stable=True; whole_stack_stable=True""]","[""B""]",A,B,"[""B"",""C""]",inside,True,True
physical_stability_0009_open_q1,physical_stability_0009.png,"[""supporting_block=C; upper_block=D; blocks_above=['D']; combined_com_relation=inside; joint_stable=True; whole_stack_stable=True""]","[""D""]",C,D,"[""D""]",inside,True,True
physical_stability_0010_open_q1,physical_stability_0010.png,"[""supporting_block=A; upper_block=B; blocks_above=['B']; combined_com_relation=right; joint_stable=False; whole_stack_stable=False""]","[""B""]",A,B,"[""B""]",right,False,False
physical_stability_0011_open_q1,physical_stability_0011.png,"[""supporting_block=B; upper_block=C; blocks_above=['C', 'D']; combined_com_relation=right; joint_stable=False; whole_stack_stable=False""]","[""C""]",B,C,"[""C"",""D""]",right,False,False
physical_stability_0012_open_q1,physical_stability_0012.png,"[""supporting_block=C; upper_block=D; blocks_above=['D', 'E']; combined_com_relation=inside; joint_stable=True; whole_stack_stable=True""]","[""D""]",C,D,"[""D"",""E""]",inside,True,True
physical_stability_0013_open_q1,physical_stability_0013.png,"[""supporting_block=C; upper_block=D; blocks_above=['D']; combined_com_relation=inside; joint_stable=True; whole_stack_stable=True""]","[""D""]",C,D,"[""D""]",inside,True,True
physical_stability_0014_open_q1,physical_stability_0014.png,"[""supporting_block=A; upper_block=B; blocks_above=['B']; combined_com_relation=right; joint_stable=False; whole_stack_stable=False""]","[""B""]",A,B,"[""B""]",right,False,False
physical_stability_0015_open_q1,physical_stability_0015.png,"[""supporting_block=A; upper_block=B; blocks_above=['B', 'C']; combined_com_relation=right; joint_stable=False; whole_stack_stable=False""]","[""B""]",A,B,"[""B"",""C""]",right,False,False
physical_stability_0016_open_q1,physical_stability_0016.png,"[""supporting_block=C; upper_block=D; blocks_above=['D']; combined_com_relation=inside; joint_stable=True; whole_stack_stable=True""]","[""D""]",C,D,"[""D""]",inside,True,True
physical_stability_0017_open_q1,physical_stability_0017.png,"[""supporting_block=D; upper_block=E; blocks_above=['E']; combined_com_relation=inside; joint_stable=True; whole_stack_stable=True""]","[""E""]",D,E,"[""E""]",inside,True,True
physical_stability_0018_open_q1,physical_stability_0018.png,"[""supporting_block=B; upper_block=C; blocks_above=['C']; combined_com_relation=right; joint_stable=False; whole_stack_stable=False""]","[""C""]",B,C,"[""C""]",right,False,False
physical_stability_0019_open_q1,physical_stability_0019.png,"[""supporting_block=C; upper_block=D; blocks_above=['D', 'E']; combined_com_relation=right; joint_stable=False; whole_stack_stable=False""]","[""D""]",C,D,"[""D"",""E""]",right,False,False
physical_stability_0020_open_q1,physical_stability_0020.png,"[""supporting_block=A; upper_block=B; blocks_above=['B', 'C']; combined_com_relation=inside; joint_stable=True; whole_stack_stable=True""]","[""B""]",A,B,"[""B"",""C""]",inside,True,True
physical_stability_0021_open_q1,physical_stability_0021.png,"[""supporting_block=B; upper_block=C; blocks_above=['C']; combined_com_relation=inside; joint_stable=True; whole_stack_stable=True""]","[""C""]",B,C,"[""C""]",inside,True,True
physical_stability_0022_open_q1,physical_stability_0022.png,"[""supporting_block=B; upper_block=C; blocks_above=['C']; combined_com_relation=right; joint_stable=False; whole_stack_stable=False""]","[""C""]",B,C,"[""C""]",right,False,False
physical_stability_0023_open_q1,physical_stability_0023.png,"[""supporting_block=B; upper_block=C; blocks_above=['C', 'D']; combined_com_relation=right; joint_stable=False; whole_stack_stable=False""]","[""C""]",B,C,"[""C"",""D""]",right,False,False
physical_stability_0024_open_q1,physical_stability_0024.png,"[""supporting_block=D; upper_block=E; blocks_above=['E']; combined_com_relation=inside; joint_stable=True; whole_stack_stable=True""]","[""E""]",D,E,"[""E""]",inside,True,True
physical_stability_0025_open_q1,physical_stability_0025.png,"[""supporting_block=C; upper_block=D; blocks_above=['D']; combined_com_relation=inside; joint_stable=True; whole_stack_stable=True""]","[""D""]",C,D,"[""D""]",inside,True,True
physical_stability_0026_open_q1,physical_stability_0026.png,"[""supporting_block=B; upper_block=C; blocks_above=['C']; combined_com_relation=right; joint_stable=False; whole_stack_stable=False""]","[""C""]",B,C,"[""C""]",right,False,False
physical_stability_0027_open_q1,physical_stability_0027.png,"[""supporting_block=C; upper_block=D; blocks_above=['D', 'E']; combined_com_relation=right; joint_stable=False; whole_stack_stable=False""]","[""D""]",C,D,"[""D"",""E""]",right,False,False
