question_id,task,image,prompt,groundtruth
line_intersect_0001_q1,Image Description,line_intersect_0001.png,How many line segments make up the blue line?,3
line_intersect_0001_q2,Basic Relational Reasoning,line_intersect_0001.png,"How many times do the blue and red lines touch each other? Answer with a number in curly brackets, e.g. {5}.",2
line_intersect_0001_q3,Comparative Reasoning,line_intersect_0001.png,"At the leftmost point of the image, which line is higher: red or blue?",blue
line_intersect_0001_q4,Compound Reasoning,line_intersect_0001.png,"How many intersection points occur in the left half versus the right half? Answer as left,right.","1,1"
line_intersect_0001_q5,Extrapolative/Counterfactual Reasoning,line_intersect_0001.png,"If you removed the segment of the red line closest to the left edge, how many intersection points would remain? Answer with a number in curly brackets.",1
line_intersect_0002_q1,Image Description,line_intersect_0002.png,How many line segments make up the blue line?,2
line_intersect_0002_q2,Basic Relational Reasoning,line_intersect_0002.png,"Count the intersection points where the blue and red lines meet. Put your answer in curly brackets, e.g. {2}.",1
line_intersect_0002_q3,Comparative Reasoning,line_intersect_0002.png,Is the leftmost intersection point closer to the left edge or the right edge of the image? Answer 'left' or 'right'.,left
line_intersect_0002_q4,Compound Reasoning,line_intersect_0002.png,"How many intersection points occur in the left half of the image versus the right half? Answer as two numbers separated by a comma, e.g. {2,1}.","1,0"
line_intersect_0002_q5,Extrapolative/Counterfactual Reasoning,line_intersect_0002.png,"If the entire red polyline were translated exactly 20 pixels downward without changing its shape, how many red-blue intersections would remain?",1
line_intersect_0003_q1,Image Description,line_intersect_0003.png,How many line segments make up the blue line?,4
line_intersect_0003_q2,Basic Relational Reasoning,line_intersect_0003.png,"Count the intersection points where the blue and red lines meet. Put your answer in curly brackets, e.g. {2}.",4
line_intersect_0003_q3,Comparative Reasoning,line_intersect_0003.png,Is the leftmost intersection point closer to the left edge or the right edge of the image? Answer 'left' or 'right'.,left
line_intersect_0003_q4,Compound Reasoning,line_intersect_0003.png,"If the two lines intersect an odd number of times, the line that starts higher must end lower (and vice versa). Based on this rule, do these two lines intersect an odd or even number of times? Answer 'odd' or 'even'.",even
line_intersect_0003_q5,Extrapolative/Counterfactual Reasoning,line_intersect_0003.png,"If the entire red polyline were translated exactly 20 pixels downward without changing its shape, how many red-blue intersections would remain?",4
line_intersect_0004_q1,Image Description,line_intersect_0004.png,How many line segments make up the blue line?,2
line_intersect_0004_q2,Basic Relational Reasoning,line_intersect_0004.png,"How many times do the blue and red lines touch each other? Answer with a number in curly brackets, e.g. {5}.",1
line_intersect_0004_q3,Comparative Reasoning,line_intersect_0004.png,"At the leftmost point of the image, which line is higher: red or blue?",red
line_intersect_0004_q4,Compound Reasoning,line_intersect_0004.png,"If the two lines intersect an odd number of times, the line that starts higher must end lower (and vice versa). Based on this rule, do these two lines intersect an odd or even number of times? Answer 'odd' or 'even'.",odd
line_intersect_0004_q5,Extrapolative/Counterfactual Reasoning,line_intersect_0004.png,"If the entire red polyline were translated exactly 20 pixels downward without changing its shape, how many red-blue intersections would remain?",1
line_intersect_0005_q1,Image Description,line_intersect_0005.png,How many line segments make up the red line?,5
line_intersect_0005_q2,Basic Relational Reasoning,line_intersect_0005.png,"Count the intersection points where the blue and red lines meet. Put your answer in curly brackets, e.g. {2}.",5
line_intersect_0005_q3,Comparative Reasoning,line_intersect_0005.png,"At the leftmost point of the image, which line is higher: red or blue?",red
line_intersect_0005_q4,Compound Reasoning,line_intersect_0005.png,"If the two lines intersect an odd number of times, the line that starts higher must end lower (and vice versa). Based on this rule, do these two lines intersect an odd or even number of times? Answer 'odd' or 'even'.",odd
line_intersect_0005_q5,Extrapolative/Counterfactual Reasoning,line_intersect_0005.png,"If the entire red polyline were translated exactly 20 pixels downward without changing its shape, how many red-blue intersections would remain?",5
line_intersect_0006_q1,Image Description,line_intersect_0006.png,How many line segments make up the blue line?,4
line_intersect_0006_q2,Basic Relational Reasoning,line_intersect_0006.png,"How many times do the blue and red lines touch each other? Answer with a number in curly brackets, e.g. {5}.",2
line_intersect_0006_q3,Comparative Reasoning,line_intersect_0006.png,Is the leftmost intersection point closer to the left edge or the right edge of the image? Answer 'left' or 'right'.,left
line_intersect_0006_q4,Compound Reasoning,line_intersect_0006.png,"How many intersection points occur in the left half versus the right half? Answer as left,right.","1,1"
line_intersect_0006_q5,Extrapolative/Counterfactual Reasoning,line_intersect_0006.png,"If you removed the segment of the red line closest to the left edge, how many intersection points would remain? Answer with a number in curly brackets.",1
line_intersect_0007_q1,Image Description,line_intersect_0007.png,How many line segments make up the red line?,2
line_intersect_0007_q2,Basic Relational Reasoning,line_intersect_0007.png,"How many times do the blue and red lines touch each other? Answer with a number in curly brackets, e.g. {5}.",0
line_intersect_0007_q3,Comparative Reasoning,line_intersect_0007.png,Does the red line end above or below the blue line at the rightmost point?,above
line_intersect_0007_q4,Compound Reasoning,line_intersect_0007.png,"If the two lines intersect an odd number of times, the line that starts higher must end lower (and vice versa). Based on this rule, do these two lines intersect an odd or even number of times? Answer 'odd' or 'even'.",even
line_intersect_0007_q5,Extrapolative/Counterfactual Reasoning,line_intersect_0007.png,"If the entire red polyline were translated exactly 20 pixels downward without changing its shape, how many red-blue intersections would remain?",0
line_intersect_0008_q1,Image Description,line_intersect_0008.png,How many line segments make up the red line?,3
line_intersect_0008_q2,Basic Relational Reasoning,line_intersect_0008.png,"Count the intersection points where the blue and red lines meet. Put your answer in curly brackets, e.g. {2}.",1
line_intersect_0008_q3,Comparative Reasoning,line_intersect_0008.png,"At the leftmost point of the image, which line is higher: red or blue?",red
line_intersect_0008_q4,Compound Reasoning,line_intersect_0008.png,"How many intersection points occur in the left half of the image versus the right half? Answer as two numbers separated by a comma, e.g. {2,1}.","0,1"
line_intersect_0008_q5,Extrapolative/Counterfactual Reasoning,line_intersect_0008.png,"If the entire red polyline were translated exactly 20 pixels downward without changing its shape, how many red-blue intersections would remain?",1
line_intersect_0009_q1,Image Description,line_intersect_0009.png,How many line segments make up the blue line?,2
line_intersect_0009_q2,Basic Relational Reasoning,line_intersect_0009.png,"How many times do the blue and red lines touch each other? Answer with a number in curly brackets, e.g. {5}.",0
line_intersect_0009_q3,Comparative Reasoning,line_intersect_0009.png,Does the red line end above or below the blue line at the rightmost point?,above
line_intersect_0009_q4,Compound Reasoning,line_intersect_0009.png,"If the two lines intersect an odd number of times, the line that starts higher must end lower (and vice versa). Based on this rule, do these two lines intersect an odd or even number of times? Answer 'odd' or 'even'.",even
line_intersect_0009_q5,Extrapolative/Counterfactual Reasoning,line_intersect_0009.png,"If the entire red polyline were translated exactly 20 pixels downward without changing its shape, how many red-blue intersections would remain?",0
line_intersect_0010_q1,Image Description,line_intersect_0010.png,How many line segments make up the red line?,5
line_intersect_0010_q2,Basic Relational Reasoning,line_intersect_0010.png,"How many times do the blue and red lines touch each other? Answer with a number in curly brackets, e.g. {5}.",0
line_intersect_0010_q3,Comparative Reasoning,line_intersect_0010.png,Does the red line end above or below the blue line at the rightmost point?,above
line_intersect_0010_q4,Compound Reasoning,line_intersect_0010.png,"How many intersection points occur in the left half of the image versus the right half? Answer as two numbers separated by a comma, e.g. {2,1}.","0,0"
line_intersect_0010_q5,Extrapolative/Counterfactual Reasoning,line_intersect_0010.png,"If the entire red polyline were translated exactly 20 pixels downward without changing its shape, how many red-blue intersections would remain?",0
line_intersect_0011_q1,Image Description,line_intersect_0011.png,How many line segments make up the red line?,4
line_intersect_0011_q2,Basic Relational Reasoning,line_intersect_0011.png,"How many times do the blue and red lines touch each other? Answer with a number in curly brackets, e.g. {5}.",3
line_intersect_0011_q3,Comparative Reasoning,line_intersect_0011.png,Is the leftmost intersection point closer to the left edge or the right edge of the image? Answer 'left' or 'right'.,left
line_intersect_0011_q4,Compound Reasoning,line_intersect_0011.png,"If the two lines intersect an odd number of times, the line that starts higher must end lower (and vice versa). Based on this rule, do these two lines intersect an odd or even number of times? Answer 'odd' or 'even'.",odd
line_intersect_0011_q5,Extrapolative/Counterfactual Reasoning,line_intersect_0011.png,"If the entire red polyline were translated exactly 20 pixels downward without changing its shape, how many red-blue intersections would remain?",3
line_intersect_0012_q1,Image Description,line_intersect_0012.png,How many line segments make up the blue line?,5
line_intersect_0012_q2,Basic Relational Reasoning,line_intersect_0012.png,"How many times do the blue and red lines touch each other? Answer with a number in curly brackets, e.g. {5}.",2
line_intersect_0012_q3,Comparative Reasoning,line_intersect_0012.png,Is the leftmost intersection point closer to the left edge or the right edge of the image? Answer 'left' or 'right'.,left
line_intersect_0012_q4,Compound Reasoning,line_intersect_0012.png,"How many intersection points occur in the left half versus the right half? Answer as left,right.","1,1"
line_intersect_0012_q5,Extrapolative/Counterfactual Reasoning,line_intersect_0012.png,"If you removed the segment of the red line closest to the left edge, how many intersection points would remain? Answer with a number in curly brackets.",2
line_intersect_0013_q1,Image Description,line_intersect_0013.png,How many line segments make up the red line?,5
line_intersect_0013_q2,Basic Relational Reasoning,line_intersect_0013.png,"Count the intersection points where the blue and red lines meet. Put your answer in curly brackets, e.g. {2}.",1
line_intersect_0013_q3,Comparative Reasoning,line_intersect_0013.png,Does the red line end above or below the blue line at the rightmost point?,below
line_intersect_0013_q4,Compound Reasoning,line_intersect_0013.png,"How many intersection points occur in the left half of the image versus the right half? Answer as two numbers separated by a comma, e.g. {2,1}.","1,0"
line_intersect_0013_q5,Extrapolative/Counterfactual Reasoning,line_intersect_0013.png,"If the entire red polyline were translated exactly 20 pixels downward without changing its shape, how many red-blue intersections would remain?",1
line_intersect_0014_q1,Image Description,line_intersect_0014.png,How many line segments make up the blue line?,5
