question_id,task,image,prompt,groundtruth
cube_structure_0001_q1,Image Description,cube_structure_0001.png,"How many cubes make up this structure in total? Answer with a number in curly brackets, e.g. {12}.",16
cube_structure_0001_q2,Basic Relational Reasoning,cube_structure_0001.png,"How many cubes are touching the ground (bottom layer)? Answer with a number in curly brackets, e.g. {5}.",4
cube_structure_0001_q3,Comparative Reasoning,cube_structure_0001.png,"How many total layers (levels of height) does this structure have? Answer with a number in curly brackets, e.g. {3}.",5
cube_structure_0001_q4,Compound Reasoning,cube_structure_0001.png,How many cubes are completely hidden from the current view? Answer with a number.,0
cube_structure_0001_q5,Extrapolative/Counterfactual Reasoning,cube_structure_0001.png,"If this structure were rotated 180 degrees around the vertical axis, how many currently-hidden cubes would become visible? Answer with a number in curly brackets, e.g. {3}.",0
cube_structure_0002_q1,Image Description,cube_structure_0002.png,"How many cubes make up this structure in total? Answer with a number in curly brackets, e.g. {12}.",13
cube_structure_0002_q2,Basic Relational Reasoning,cube_structure_0002.png,"How many cubes are touching the ground (bottom layer)? Answer with a number in curly brackets, e.g. {5}.",10
cube_structure_0002_q3,Comparative Reasoning,cube_structure_0002.png,"Which layer (counting from the ground as layer 1) has the most cubes? Answer with a number in curly brackets, e.g. {2}.",1
cube_structure_0002_q4,Compound Reasoning,cube_structure_0002.png,How many cubes are completely hidden from the current view? Answer with a number.,1
cube_structure_0002_q5,Extrapolative/Counterfactual Reasoning,cube_structure_0002.png,"If this structure were rotated 180 degrees around the vertical axis, how many currently-hidden cubes would become visible? Answer with a number in curly brackets, e.g. {3}.",1
cube_structure_0003_q1,Image Description,cube_structure_0003.png,"How many cubes make up this structure in total? Answer with a number in curly brackets, e.g. {12}.",10
cube_structure_0003_q2,Basic Relational Reasoning,cube_structure_0003.png,"How many cubes are touching the ground (bottom layer)? Answer with a number in curly brackets, e.g. {5}.",7
cube_structure_0003_q3,Comparative Reasoning,cube_structure_0003.png,"Which layer (counting from the ground as layer 1) has the most cubes? Answer with a number in curly brackets, e.g. {2}.",1
cube_structure_0003_q4,Compound Reasoning,cube_structure_0003.png,How many cubes are completely hidden from the current view? Answer with a number.,2
cube_structure_0003_q5,Extrapolative/Counterfactual Reasoning,cube_structure_0003.png,"If this structure were rotated 180 degrees around the vertical axis, how many currently-hidden cubes would become visible? Answer with a number in curly brackets, e.g. {3}.",2
cube_structure_0004_q1,Image Description,cube_structure_0004.png,"How many cubes make up this structure in total? Answer with a number in curly brackets, e.g. {12}.",10
cube_structure_0004_q2,Basic Relational Reasoning,cube_structure_0004.png,"How many cubes are touching the ground (bottom layer)? Answer with a number in curly brackets, e.g. {5}.",4
cube_structure_0004_q3,Comparative Reasoning,cube_structure_0004.png,How many cubes are in the A color cluster?,5
cube_structure_0004_q4,Compound Reasoning,cube_structure_0004.png,How many cubes are completely hidden from the current view? Answer with a number.,0
cube_structure_0004_q5,Extrapolative/Counterfactual Reasoning,cube_structure_0004.png,"If this structure were rotated 180 degrees around the vertical axis, how many currently-hidden cubes would become visible? Answer with a number in curly brackets, e.g. {3}.",0
cube_structure_0005_q1,Image Description,cube_structure_0005.png,"How many cubes make up this structure in total? Answer with a number in curly brackets, e.g. {12}.",11
cube_structure_0005_q2,Basic Relational Reasoning,cube_structure_0005.png,"How many cubes are touching the ground (bottom layer)? Answer with a number in curly brackets, e.g. {5}.",5
cube_structure_0005_q3,Comparative Reasoning,cube_structure_0005.png,"Which layer (counting from the ground as layer 1) has the most cubes? Answer with a number in curly brackets, e.g. {2}.",1
cube_structure_0005_q4,Compound Reasoning,cube_structure_0005.png,How many cubes are completely hidden from the current view? Answer with a number.,1
cube_structure_0005_q5,Extrapolative/Counterfactual Reasoning,cube_structure_0005.png,"If this structure were rotated 180 degrees around the vertical axis, how many currently-hidden cubes would become visible? Answer with a number in curly brackets, e.g. {3}.",1
cube_structure_0006_q1,Image Description,cube_structure_0006.png,"How many cubes make up this structure in total? Answer with a number in curly brackets, e.g. {12}.",11
cube_structure_0006_q2,Basic Relational Reasoning,cube_structure_0006.png,"How many cubes are touching the ground (bottom layer)? Answer with a number in curly brackets, e.g. {5}.",9
cube_structure_0006_q3,Comparative Reasoning,cube_structure_0006.png,How many cubes are in the A color cluster?,3
cube_structure_0006_q4,Compound Reasoning,cube_structure_0006.png,How many cubes are completely hidden from the current view? Answer with a number.,2
cube_structure_0006_q5,Extrapolative/Counterfactual Reasoning,cube_structure_0006.png,"If this structure were rotated 180 degrees around the vertical axis, how many currently-hidden cubes would become visible? Answer with a number in curly brackets, e.g. {3}.",2
cube_structure_0007_q1,Image Description,cube_structure_0007.png,"How many cubes make up this structure in total? Answer with a number in curly brackets, e.g. {12}.",10
cube_structure_0007_q2,Basic Relational Reasoning,cube_structure_0007.png,"How many cubes are touching the ground (bottom layer)? Answer with a number in curly brackets, e.g. {5}.",10
cube_structure_0007_q3,Comparative Reasoning,cube_structure_0007.png,"How many total layers (levels of height) does this structure have? Answer with a number in curly brackets, e.g. {3}.",1
cube_structure_0007_q4,Compound Reasoning,cube_structure_0007.png,How many cubes are completely hidden from the current view? Answer with a number.,0
cube_structure_0007_q5,Extrapolative/Counterfactual Reasoning,cube_structure_0007.png,"If this structure were rotated 180 degrees around the vertical axis, how many currently-hidden cubes would become visible? Answer with a number in curly brackets, e.g. {3}.",0
cube_structure_0008_q1,Image Description,cube_structure_0008.png,"How many cubes make up this structure in total? Answer with a number in curly brackets, e.g. {12}.",9
cube_structure_0008_q2,Basic Relational Reasoning,cube_structure_0008.png,"How many cubes are touching the ground (bottom layer)? Answer with a number in curly brackets, e.g. {5}.",8
cube_structure_0008_q3,Comparative Reasoning,cube_structure_0008.png,"Which layer (counting from the ground as layer 1) has the most cubes? Answer with a number in curly brackets, e.g. {2}.",1
cube_structure_0008_q4,Compound Reasoning,cube_structure_0008.png,How many cubes are completely hidden from the current view? Answer with a number.,1
cube_structure_0008_q5,Extrapolative/Counterfactual Reasoning,cube_structure_0008.png,"If this structure were rotated 180 degrees around the vertical axis, how many currently-hidden cubes would become visible? Answer with a number in curly brackets, e.g. {3}.",1
cube_structure_0009_q1,Image Description,cube_structure_0009.png,"How many cubes make up this structure in total? Answer with a number in curly brackets, e.g. {12}.",16
cube_structure_0009_q2,Basic Relational Reasoning,cube_structure_0009.png,"How many cubes are touching the ground (bottom layer)? Answer with a number in curly brackets, e.g. {5}.",8
cube_structure_0009_q3,Comparative Reasoning,cube_structure_0009.png,"Which layer (counting from the ground as layer 1) has the most cubes? Answer with a number in curly brackets, e.g. {2}.",1
cube_structure_0009_q4,Compound Reasoning,cube_structure_0009.png,How many cubes are completely hidden from the current view? Answer with a number.,2
cube_structure_0009_q5,Extrapolative/Counterfactual Reasoning,cube_structure_0009.png,"If this structure were rotated 180 degrees around the vertical axis, how many currently-hidden cubes would become visible? Answer with a number in curly brackets, e.g. {3}.",2
cube_structure_0010_q1,Image Description,cube_structure_0010.png,"How many cubes make up this structure in total? Answer with a number in curly brackets, e.g. {12}.",12
cube_structure_0010_q2,Basic Relational Reasoning,cube_structure_0010.png,"How many cubes are touching the ground (bottom layer)? Answer with a number in curly brackets, e.g. {5}.",5
cube_structure_0010_q3,Comparative Reasoning,cube_structure_0010.png,"How many total layers (levels of height) does this structure have? Answer with a number in curly brackets, e.g. {3}.",3
cube_structure_0010_q4,Compound Reasoning,cube_structure_0010.png,How many cubes are completely hidden from the current view? Answer with a number.,0
cube_structure_0010_q5,Extrapolative/Counterfactual Reasoning,cube_structure_0010.png,"If this structure were rotated 180 degrees around the vertical axis, how many currently-hidden cubes would become visible? Answer with a number in curly brackets, e.g. {3}.",0
cube_structure_0011_q1,Image Description,cube_structure_0011.png,"How many cubes make up this structure in total? Answer with a number in curly brackets, e.g. {12}.",11
cube_structure_0011_q2,Basic Relational Reasoning,cube_structure_0011.png,"How many cubes are touching the ground (bottom layer)? Answer with a number in curly brackets, e.g. {5}.",10
cube_structure_0011_q3,Comparative Reasoning,cube_structure_0011.png,"How many total layers (levels of height) does this structure have? Answer with a number in curly brackets, e.g. {3}.",2
cube_structure_0011_q4,Compound Reasoning,cube_structure_0011.png,How many cubes are completely hidden from the current view? Answer with a number.,1
cube_structure_0011_q5,Extrapolative/Counterfactual Reasoning,cube_structure_0011.png,"If this structure were rotated 180 degrees around the vertical axis, how many currently-hidden cubes would become visible? Answer with a number in curly brackets, e.g. {3}.",1
cube_structure_0012_q1,Image Description,cube_structure_0012.png,"How many cubes make up this structure in total? Answer with a number in curly brackets, e.g. {12}.",14
cube_structure_0012_q2,Basic Relational Reasoning,cube_structure_0012.png,"How many cubes are touching the ground (bottom layer)? Answer with a number in curly brackets, e.g. {5}.",7
cube_structure_0012_q3,Comparative Reasoning,cube_structure_0012.png,How many cubes are in the A color cluster?,2
cube_structure_0012_q4,Compound Reasoning,cube_structure_0012.png,How many cubes are completely hidden from the current view? Answer with a number.,2
cube_structure_0012_q5,Extrapolative/Counterfactual Reasoning,cube_structure_0012.png,"If this structure were rotated 180 degrees around the vertical axis, how many currently-hidden cubes would become visible? Answer with a number in curly brackets, e.g. {3}.",2
cube_structure_0013_q1,Image Description,cube_structure_0013.png,"How many cubes make up this structure in total? Answer with a number in curly brackets, e.g. {12}.",11
cube_structure_0013_q2,Basic Relational Reasoning,cube_structure_0013.png,"How many cubes are touching the ground (bottom layer)? Answer with a number in curly brackets, e.g. {5}.",8
cube_structure_0013_q3,Comparative Reasoning,cube_structure_0013.png,"Which layer (counting from the ground as layer 1) has the most cubes? Answer with a number in curly brackets, e.g. {2}.",1
cube_structure_0013_q4,Compound Reasoning,cube_structure_0013.png,How many cubes are completely hidden from the current view? Answer with a number.,0
cube_structure_0013_q5,Extrapolative/Counterfactual Reasoning,cube_structure_0013.png,"If this structure were rotated 180 degrees around the vertical axis, how many currently-hidden cubes would become visible? Answer with a number in curly brackets, e.g. {3}.",0
cube_structure_0014_q1,Image Description,cube_structure_0014.png,"How many cubes make up this structure in total? Answer with a number in curly brackets, e.g. {12}.",9
cube_structure_0014_q2,Basic Relational Reasoning,cube_structure_0014.png,"How many cubes are touching the ground (bottom layer)? Answer with a number in curly brackets, e.g. {5}.",7
cube_structure_0014_q3,Comparative Reasoning,cube_structure_0014.png,"How many total layers (levels of height) does this structure have? Answer with a number in curly brackets, e.g. {3}.",2
cube_structure_0014_q4,Compound Reasoning,cube_structure_0014.png,How many cubes are completely hidden from the current view? Answer with a number.,1
cube_structure_0014_q5,Extrapolative/Counterfactual Reasoning,cube_structure_0014.png,"If this structure were rotated 180 degrees around the vertical axis, how many currently-hidden cubes would become visible? Answer with a number in curly brackets, e.g. {3}.",1
cube_structure_0015_q1,Image Description,cube_structure_0015.png,"How many cubes make up this structure in total? Answer with a number in curly brackets, e.g. {12}.",15
cube_structure_0015_q2,Basic Relational Reasoning,cube_structure_0015.png,"How many cubes are touching the ground (bottom layer)? Answer with a number in curly brackets, e.g. {5}.",7
cube_structure_0015_q3,Comparative Reasoning,cube_structure_0015.png,"Which layer (counting from the ground as layer 1) has the most cubes? Answer with a number in curly brackets, e.g. {2}.",1
cube_structure_0015_q4,Compound Reasoning,cube_structure_0015.png,How many cubes are completely hidden from the current view? Answer with a number.,2
cube_structure_0015_q5,Extrapolative/Counterfactual Reasoning,cube_structure_0015.png,"If this structure were rotated 180 degrees around the vertical axis, how many currently-hidden cubes would become visible? Answer with a number in curly brackets, e.g. {3}.",2
cube_structure_0016_q1,Image Description,cube_structure_0016.png,"How many cubes make up this structure in total? Answer with a number in curly brackets, e.g. {12}.",9
