task,image,prompt,groundtruth,metadata
Image Description,symmetry_pattern_0001.png,How many shapes are in this pattern?,6,"{""break_type"":""fill"",""broken_location"":""bottom-left"",""broken_shape_index"":0,""dataset_version"":""symmetry-pattern-2.0.0"",""difficulty_score"":0.55,""is_broken"":true,""num_shapes"":6,""seed"":1,""symmetric_partner_count"":6,""symmetry_type"":""rotational_2""}"
Basic Relational Reasoning,symmetry_pattern_0001.png,"Is this pattern symmetric, or is there an element that breaks the symmetry? Answer 'symmetric' or 'broken'.",broken,"{""break_type"":""fill"",""broken_location"":""bottom-left"",""broken_shape_index"":0,""dataset_version"":""symmetry-pattern-2.0.0"",""difficulty_score"":0.55,""is_broken"":true,""num_shapes"":6,""seed"":1,""symmetric_partner_count"":6,""symmetry_type"":""rotational_2""}"
Comparative Reasoning,symmetry_pattern_0001.png,"Which shape breaks the symmetry? Answer with its approximate location, such as top-left, top-right, bottom-left, bottom-right, or center.",bottom-left,"{""break_type"":""fill"",""broken_location"":""bottom-left"",""broken_shape_index"":0,""dataset_version"":""symmetry-pattern-2.0.0"",""difficulty_score"":0.55,""is_broken"":true,""num_shapes"":6,""seed"":1,""symmetric_partner_count"":6,""symmetry_type"":""rotational_2""}"
Compound Reasoning,symmetry_pattern_0001.png,"In what way does the odd shape differ — filled instead of outlined, rotated at a different angle, shifted out of position, or a different size?",filled,"{""break_type"":""fill"",""broken_location"":""bottom-left"",""broken_shape_index"":0,""dataset_version"":""symmetry-pattern-2.0.0"",""difficulty_score"":0.55,""is_broken"":true,""num_shapes"":6,""seed"":1,""symmetric_partner_count"":6,""symmetry_type"":""rotational_2""}"
Extrapolative/Counterfactual Reasoning,symmetry_pattern_0001.png,"If the symmetric partner of the odd shape received the identical change, would the global symmetry be restored?",yes,"{""break_type"":""fill"",""broken_location"":""bottom-left"",""broken_shape_index"":0,""dataset_version"":""symmetry-pattern-2.0.0"",""difficulty_score"":0.55,""is_broken"":true,""num_shapes"":6,""seed"":1,""symmetric_partner_count"":6,""symmetry_type"":""rotational_2""}"
Image Description,symmetry_pattern_0002.png,How many shapes are in this pattern?,6,"{""break_type"":null,""broken_location"":null,""broken_shape_index"":null,""broken_shape_position"":null,""dataset_version"":""symmetry-pattern-2.0.0"",""difficulty_score"":0.3,""is_broken"":false,""num_shapes"":6,""seed"":2,""symmetric_partner_count"":6,""symmetry_type"":""rotational_3""}"
Basic Relational Reasoning,symmetry_pattern_0002.png,"Is this pattern symmetric, or is there an element that breaks the symmetry? Answer 'symmetric' or 'broken'.",symmetric,"{""break_type"":null,""broken_location"":null,""broken_shape_index"":null,""broken_shape_position"":null,""dataset_version"":""symmetry-pattern-2.0.0"",""difficulty_score"":0.3,""is_broken"":false,""num_shapes"":6,""seed"":2,""symmetric_partner_count"":6,""symmetry_type"":""rotational_3""}"
Comparative Reasoning,symmetry_pattern_0002.png,What type of symmetry does this pattern have — rotational or mirror/reflective? Answer 'rotational' or 'mirror'.,rotational,"{""break_type"":null,""broken_location"":null,""broken_shape_index"":null,""broken_shape_position"":null,""dataset_version"":""symmetry-pattern-2.0.0"",""difficulty_score"":0.3,""is_broken"":false,""num_shapes"":6,""seed"":2,""symmetric_partner_count"":6,""symmetry_type"":""rotational_3""}"
Compound Reasoning,symmetry_pattern_0002.png,How many shapes are positioned at the exact symmetric location of another shape? Answer with a number.,6,"{""break_type"":null,""broken_location"":null,""broken_shape_index"":null,""broken_shape_position"":null,""dataset_version"":""symmetry-pattern-2.0.0"",""difficulty_score"":0.3,""is_broken"":false,""num_shapes"":6,""seed"":2,""symmetric_partner_count"":6,""symmetry_type"":""rotational_3""}"
Extrapolative/Counterfactual Reasoning,symmetry_pattern_0002.png,"If exactly one shape shifted while its symmetric partner stayed fixed, would the global symmetry become broken?",yes,"{""break_type"":null,""broken_location"":null,""broken_shape_index"":null,""broken_shape_position"":null,""dataset_version"":""symmetry-pattern-2.0.0"",""difficulty_score"":0.3,""is_broken"":false,""num_shapes"":6,""seed"":2,""symmetric_partner_count"":6,""symmetry_type"":""rotational_3""}"
Image Description,symmetry_pattern_0003.png,How many shapes are in this pattern?,8,"{""break_type"":""rotation"",""broken_location"":""top-right"",""broken_shape_index"":3,""dataset_version"":""symmetry-pattern-2.0.0"",""difficulty_score"":0.83,""is_broken"":true,""num_shapes"":8,""seed"":3,""symmetric_partner_count"":8,""symmetry_type"":""rotational_4""}"
Basic Relational Reasoning,symmetry_pattern_0003.png,"Is this pattern symmetric, or is there an element that breaks the symmetry? Answer 'symmetric' or 'broken'.",broken,"{""break_type"":""rotation"",""broken_location"":""top-right"",""broken_shape_index"":3,""dataset_version"":""symmetry-pattern-2.0.0"",""difficulty_score"":0.83,""is_broken"":true,""num_shapes"":8,""seed"":3,""symmetric_partner_count"":8,""symmetry_type"":""rotational_4""}"
Comparative Reasoning,symmetry_pattern_0003.png,"Which shape breaks the symmetry? Answer with its approximate location, such as top-left, top-right, bottom-left, bottom-right, or center.",top-right,"{""break_type"":""rotation"",""broken_location"":""top-right"",""broken_shape_index"":3,""dataset_version"":""symmetry-pattern-2.0.0"",""difficulty_score"":0.83,""is_broken"":true,""num_shapes"":8,""seed"":3,""symmetric_partner_count"":8,""symmetry_type"":""rotational_4""}"
Compound Reasoning,symmetry_pattern_0003.png,"In what way does the odd shape differ — filled instead of outlined, rotated at a different angle, shifted out of position, or a different size?",rotated,"{""break_type"":""rotation"",""broken_location"":""top-right"",""broken_shape_index"":3,""dataset_version"":""symmetry-pattern-2.0.0"",""difficulty_score"":0.83,""is_broken"":true,""num_shapes"":8,""seed"":3,""symmetric_partner_count"":8,""symmetry_type"":""rotational_4""}"
