task,image,prompt,groundtruth,metadata
Image Description,depth_height_0001.png,How many objects are shown in this scene?,2,"{""base_size_px"":86.7814,""closest_object_color"":""teal"",""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.48,""farthest_object_color"":""orange"",""scene_type"":""depth_ordering"",""seed"":1}"
Basic Relational Reasoning,depth_height_0001.png,Which object is closer to the camera: the teal circle or the orange square?,teal,"{""base_size_px"":86.7814,""closest_object_color"":""teal"",""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.48,""farthest_object_color"":""orange"",""scene_type"":""depth_ordering"",""seed"":1}"
Comparative Reasoning,depth_height_0001.png,"Rank all objects in this scene from closest to farthest, by color.","['teal', 'orange']","{""base_size_px"":86.7814,""closest_object_color"":""teal"",""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.48,""farthest_object_color"":""orange"",""scene_type"":""depth_ordering"",""seed"":1}"
Compound Reasoning,depth_height_0001.png,"What is the difference between the farthest and closest stored depth values, rounded to two decimals?",0.12,"{""base_size_px"":86.7814,""closest_object_color"":""teal"",""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.48,""farthest_object_color"":""orange"",""scene_type"":""depth_ordering"",""seed"":1}"
Extrapolative/Counterfactual Reasoning,depth_height_0001.png,"If the orange object moved twice as far from the camera as its current distance, would it appear larger, smaller, or about the same size as the teal object?",smaller,"{""base_size_px"":86.7814,""closest_object_color"":""teal"",""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.48,""farthest_object_color"":""orange"",""scene_type"":""depth_ordering"",""seed"":1}"
Image Description,depth_height_0002.png,How many separate stacks of blocks are shown in this image?,2,"{""block_height_px"":21,""block_pitch_px"":24,""block_width_px"":54,""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.77,""scene_type"":""stack_height"",""seed"":2,""shortest_stack_color"":""magenta"",""tallest_stack_color"":""orange""}"
Basic Relational Reasoning,depth_height_0002.png,Which stack is taller: the magenta stack or the orange stack?,orange,"{""block_height_px"":21,""block_pitch_px"":24,""block_width_px"":54,""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.77,""scene_type"":""stack_height"",""seed"":2,""shortest_stack_color"":""magenta"",""tallest_stack_color"":""orange""}"
Comparative Reasoning,depth_height_0002.png,"Rank all stacks from tallest to shortest, by color.","['orange', 'magenta']","{""block_height_px"":21,""block_pitch_px"":24,""block_width_px"":54,""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.77,""scene_type"":""stack_height"",""seed"":2,""shortest_stack_color"":""magenta"",""tallest_stack_color"":""orange""}"
Compound Reasoning,depth_height_0002.png,How many total blocks are there across all stacks combined?,11,"{""block_height_px"":21,""block_pitch_px"":24,""block_width_px"":54,""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.77,""scene_type"":""stack_height"",""seed"":2,""shortest_stack_color"":""magenta"",""tallest_stack_color"":""orange""}"
Extrapolative/Counterfactual Reasoning,depth_height_0002.png,"If one block moved from a tallest stack to a shortest stack, what would the new difference between tallest and shortest stack heights be?",1,"{""block_height_px"":21,""block_pitch_px"":24,""block_width_px"":54,""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.77,""scene_type"":""stack_height"",""seed"":2,""shortest_stack_color"":""magenta"",""tallest_stack_color"":""orange""}"
Image Description,depth_height_0003.png,How many objects are shown in this scene?,4,"{""base_size_px"":91.3425,""closest_object_color"":""magenta"",""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.76,""farthest_object_color"":""orange"",""scene_type"":""depth_ordering"",""seed"":3}"
Basic Relational Reasoning,depth_height_0003.png,Which object is closer to the camera: the purple square or the orange square?,purple,"{""base_size_px"":91.3425,""closest_object_color"":""magenta"",""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.76,""farthest_object_color"":""orange"",""scene_type"":""depth_ordering"",""seed"":3}"
Comparative Reasoning,depth_height_0003.png,"Rank all objects in this scene from closest to farthest, by color.","['magenta', 'purple', 'blue', 'orange']","{""base_size_px"":91.3425,""closest_object_color"":""magenta"",""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.76,""farthest_object_color"":""orange"",""scene_type"":""depth_ordering"",""seed"":3}"
Compound Reasoning,depth_height_0003.png,"What is the difference between the farthest and closest stored depth values, rounded to two decimals?",0.62,"{""base_size_px"":91.3425,""closest_object_color"":""magenta"",""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.76,""farthest_object_color"":""orange"",""scene_type"":""depth_ordering"",""seed"":3}"
Extrapolative/Counterfactual Reasoning,depth_height_0003.png,"If the purple object moved twice as far from the camera as its current distance, would it appear larger, smaller, or about the same size as the magenta object?",smaller,"{""base_size_px"":91.3425,""closest_object_color"":""magenta"",""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.76,""farthest_object_color"":""orange"",""scene_type"":""depth_ordering"",""seed"":3}"
Image Description,depth_height_0004.png,How many separate stacks of blocks are shown in this image?,2,"{""block_height_px"":21,""block_pitch_px"":24,""block_width_px"":54,""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.49,""scene_type"":""stack_height"",""seed"":4,""shortest_stack_color"":""purple"",""tallest_stack_color"":""blue""}"
Basic Relational Reasoning,depth_height_0004.png,Which stack is taller: the blue stack or the purple stack?,blue,"{""block_height_px"":21,""block_pitch_px"":24,""block_width_px"":54,""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.49,""scene_type"":""stack_height"",""seed"":4,""shortest_stack_color"":""purple"",""tallest_stack_color"":""blue""}"
Comparative Reasoning,depth_height_0004.png,"Rank all stacks from tallest to shortest, by color.","['blue', 'purple']","{""block_height_px"":21,""block_pitch_px"":24,""block_width_px"":54,""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.49,""scene_type"":""stack_height"",""seed"":4,""shortest_stack_color"":""purple"",""tallest_stack_color"":""blue""}"
Compound Reasoning,depth_height_0004.png,How many blocks are present across all stacks combined?,5,"{""block_height_px"":21,""block_pitch_px"":24,""block_width_px"":54,""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.49,""scene_type"":""stack_height"",""seed"":4,""shortest_stack_color"":""purple"",""tallest_stack_color"":""blue""}"
Extrapolative/Counterfactual Reasoning,depth_height_0004.png,"If you moved 2 blocks from the tallest stack to the shortest stack, would the shortest stack become the unique new tallest? Answer yes or no.",yes,"{""block_height_px"":21,""block_pitch_px"":24,""block_width_px"":54,""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.49,""scene_type"":""stack_height"",""seed"":4,""shortest_stack_color"":""purple"",""tallest_stack_color"":""blue""}"
Image Description,depth_height_0005.png,How many objects are shown in this scene?,4,"{""base_size_px"":88.3309,""closest_object_color"":""teal"",""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.76,""farthest_object_color"":""magenta"",""scene_type"":""depth_ordering"",""seed"":5}"
Basic Relational Reasoning,depth_height_0005.png,Which object is closer to the camera: the teal square or the orange square?,teal,"{""base_size_px"":88.3309,""closest_object_color"":""teal"",""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.76,""farthest_object_color"":""magenta"",""scene_type"":""depth_ordering"",""seed"":5}"
Comparative Reasoning,depth_height_0005.png,"Rank all objects in this scene from closest to farthest, by color.","['teal', 'blue', 'orange', 'magenta']","{""base_size_px"":88.3309,""closest_object_color"":""teal"",""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.76,""farthest_object_color"":""magenta"",""scene_type"":""depth_ordering"",""seed"":5}"
Compound Reasoning,depth_height_0005.png,"What is the difference between the farthest and closest stored depth values, rounded to two decimals?",0.71,"{""base_size_px"":88.3309,""closest_object_color"":""teal"",""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.76,""farthest_object_color"":""magenta"",""scene_type"":""depth_ordering"",""seed"":5}"
Extrapolative/Counterfactual Reasoning,depth_height_0005.png,"If the orange object moved twice as far from the camera as its current distance, would it appear larger, smaller, or about the same size as the blue object?",smaller,"{""base_size_px"":88.3309,""closest_object_color"":""teal"",""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.76,""farthest_object_color"":""magenta"",""scene_type"":""depth_ordering"",""seed"":5}"
Image Description,depth_height_0006.png,How many separate stacks of blocks are shown in this image?,3,"{""block_height_px"":21,""block_pitch_px"":24,""block_width_px"":54,""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.84,""scene_type"":""stack_height"",""seed"":6,""shortest_stack_color"":""orange"",""tallest_stack_color"":""teal""}"
Basic Relational Reasoning,depth_height_0006.png,Which stack is taller: the blue stack or the teal stack?,teal,"{""block_height_px"":21,""block_pitch_px"":24,""block_width_px"":54,""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.84,""scene_type"":""stack_height"",""seed"":6,""shortest_stack_color"":""orange"",""tallest_stack_color"":""teal""}"
Comparative Reasoning,depth_height_0006.png,"Rank all stacks from tallest to shortest, by color.","['teal', 'blue', 'orange']","{""block_height_px"":21,""block_pitch_px"":24,""block_width_px"":54,""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.84,""scene_type"":""stack_height"",""seed"":6,""shortest_stack_color"":""orange"",""tallest_stack_color"":""teal""}"
Compound Reasoning,depth_height_0006.png,How many total blocks are there across all stacks combined?,14,"{""block_height_px"":21,""block_pitch_px"":24,""block_width_px"":54,""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.84,""scene_type"":""stack_height"",""seed"":6,""shortest_stack_color"":""orange"",""tallest_stack_color"":""teal""}"
Extrapolative/Counterfactual Reasoning,depth_height_0006.png,"If one block moved from a tallest stack to a shortest stack, what would the new difference between tallest and shortest stack heights be?",1,"{""block_height_px"":21,""block_pitch_px"":24,""block_width_px"":54,""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.84,""scene_type"":""stack_height"",""seed"":6,""shortest_stack_color"":""orange"",""tallest_stack_color"":""teal""}"
Image Description,depth_height_0007.png,How many objects are shown in this scene?,3,"{""base_size_px"":79.5471,""closest_object_color"":""orange"",""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.44,""farthest_object_color"":""purple"",""scene_type"":""depth_ordering"",""seed"":7}"
Basic Relational Reasoning,depth_height_0007.png,Which object is closer to the camera: the teal circle or the orange triangle?,orange,"{""base_size_px"":79.5471,""closest_object_color"":""orange"",""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.44,""farthest_object_color"":""purple"",""scene_type"":""depth_ordering"",""seed"":7}"
Comparative Reasoning,depth_height_0007.png,"Rank all objects in this scene from closest to farthest, by color.","['orange', 'teal', 'purple']","{""base_size_px"":79.5471,""closest_object_color"":""orange"",""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.44,""farthest_object_color"":""purple"",""scene_type"":""depth_ordering"",""seed"":7}"
Compound Reasoning,depth_height_0007.png,"What is the difference between the farthest and closest stored depth values, rounded to two decimals?",0.73,"{""base_size_px"":79.5471,""closest_object_color"":""orange"",""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.44,""farthest_object_color"":""purple"",""scene_type"":""depth_ordering"",""seed"":7}"
Extrapolative/Counterfactual Reasoning,depth_height_0007.png,"If the orange object moved twice as far from the camera as its current distance, would it appear larger, smaller, or about the same size as the purple object?",larger,"{""base_size_px"":79.5471,""closest_object_color"":""orange"",""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.44,""farthest_object_color"":""purple"",""scene_type"":""depth_ordering"",""seed"":7}"
Image Description,depth_height_0008.png,How many separate stacks of blocks are shown in this image?,3,"{""block_height_px"":21,""block_pitch_px"":24,""block_width_px"":54,""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.91,""scene_type"":""stack_height"",""seed"":8,""shortest_stack_color"":""magenta"",""tallest_stack_color"":""purple""}"
Basic Relational Reasoning,depth_height_0008.png,Which stack is taller: the magenta stack or the orange stack?,orange,"{""block_height_px"":21,""block_pitch_px"":24,""block_width_px"":54,""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.91,""scene_type"":""stack_height"",""seed"":8,""shortest_stack_color"":""magenta"",""tallest_stack_color"":""purple""}"
Comparative Reasoning,depth_height_0008.png,"Rank all stacks from tallest to shortest, by color.","['purple', 'orange', 'magenta']","{""block_height_px"":21,""block_pitch_px"":24,""block_width_px"":54,""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.91,""scene_type"":""stack_height"",""seed"":8,""shortest_stack_color"":""magenta"",""tallest_stack_color"":""purple""}"
Compound Reasoning,depth_height_0008.png,How many blocks are present across all stacks combined?,12,"{""block_height_px"":21,""block_pitch_px"":24,""block_width_px"":54,""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.91,""scene_type"":""stack_height"",""seed"":8,""shortest_stack_color"":""magenta"",""tallest_stack_color"":""purple""}"
Extrapolative/Counterfactual Reasoning,depth_height_0008.png,"If you moved 2 blocks from the tallest stack to the shortest stack, would the shortest stack become the unique new tallest? Answer yes or no.",no,"{""block_height_px"":21,""block_pitch_px"":24,""block_width_px"":54,""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.91,""scene_type"":""stack_height"",""seed"":8,""shortest_stack_color"":""magenta"",""tallest_stack_color"":""purple""}"
Image Description,depth_height_0009.png,How many objects are shown in this scene?,3,"{""base_size_px"":84.0124,""closest_object_color"":""magenta"",""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.44,""farthest_object_color"":""teal"",""scene_type"":""depth_ordering"",""seed"":9}"
Basic Relational Reasoning,depth_height_0009.png,Which object is closer to the camera: the orange triangle or the teal triangle?,orange,"{""base_size_px"":84.0124,""closest_object_color"":""magenta"",""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.44,""farthest_object_color"":""teal"",""scene_type"":""depth_ordering"",""seed"":9}"
Comparative Reasoning,depth_height_0009.png,"Rank all objects in this scene from closest to farthest, by color.","['magenta', 'orange', 'teal']","{""base_size_px"":84.0124,""closest_object_color"":""magenta"",""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.44,""farthest_object_color"":""teal"",""scene_type"":""depth_ordering"",""seed"":9}"
Compound Reasoning,depth_height_0009.png,"What is the difference between the farthest and closest stored depth values, rounded to two decimals?",0.77,"{""base_size_px"":84.0124,""closest_object_color"":""magenta"",""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.44,""farthest_object_color"":""teal"",""scene_type"":""depth_ordering"",""seed"":9}"
Extrapolative/Counterfactual Reasoning,depth_height_0009.png,"If the orange object moved twice as far from the camera as its current distance, would it appear larger, smaller, or about the same size as the teal object?",smaller,"{""base_size_px"":84.0124,""closest_object_color"":""magenta"",""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.44,""farthest_object_color"":""teal"",""scene_type"":""depth_ordering"",""seed"":9}"
Image Description,depth_height_0010.png,How many separate stacks of blocks are shown in this image?,3,"{""block_height_px"":21,""block_pitch_px"":24,""block_width_px"":54,""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.91,""scene_type"":""stack_height"",""seed"":10,""shortest_stack_color"":""purple"",""tallest_stack_color"":""teal""}"
Basic Relational Reasoning,depth_height_0010.png,Which stack is taller: the purple stack or the blue stack?,blue,"{""block_height_px"":21,""block_pitch_px"":24,""block_width_px"":54,""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.91,""scene_type"":""stack_height"",""seed"":10,""shortest_stack_color"":""purple"",""tallest_stack_color"":""teal""}"
Comparative Reasoning,depth_height_0010.png,"Rank all stacks from tallest to shortest, by color.","['teal', 'blue', 'purple']","{""block_height_px"":21,""block_pitch_px"":24,""block_width_px"":54,""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.91,""scene_type"":""stack_height"",""seed"":10,""shortest_stack_color"":""purple"",""tallest_stack_color"":""teal""}"
Compound Reasoning,depth_height_0010.png,How many blocks are present across all stacks combined?,16,"{""block_height_px"":21,""block_pitch_px"":24,""block_width_px"":54,""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.91,""scene_type"":""stack_height"",""seed"":10,""shortest_stack_color"":""purple"",""tallest_stack_color"":""teal""}"
Extrapolative/Counterfactual Reasoning,depth_height_0010.png,"If you moved 2 blocks from the tallest stack to the shortest stack, would the shortest stack become the unique new tallest? Answer yes or no.",yes,"{""block_height_px"":21,""block_pitch_px"":24,""block_width_px"":54,""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.91,""scene_type"":""stack_height"",""seed"":10,""shortest_stack_color"":""purple"",""tallest_stack_color"":""teal""}"
Image Description,depth_height_0011.png,How many objects are shown in this scene?,3,"{""base_size_px"":86.0387,""closest_object_color"":""teal"",""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.62,""farthest_object_color"":""magenta"",""scene_type"":""depth_ordering"",""seed"":11}"
Basic Relational Reasoning,depth_height_0011.png,Which object is closer to the camera: the magenta triangle or the blue triangle?,blue,"{""base_size_px"":86.0387,""closest_object_color"":""teal"",""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.62,""farthest_object_color"":""magenta"",""scene_type"":""depth_ordering"",""seed"":11}"
Comparative Reasoning,depth_height_0011.png,"Rank all objects in this scene from closest to farthest, by color.","['teal', 'blue', 'magenta']","{""base_size_px"":86.0387,""closest_object_color"":""teal"",""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.62,""farthest_object_color"":""magenta"",""scene_type"":""depth_ordering"",""seed"":11}"
Compound Reasoning,depth_height_0011.png,"What is the difference between the farthest and closest stored depth values, rounded to two decimals?",0.30,"{""base_size_px"":86.0387,""closest_object_color"":""teal"",""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.62,""farthest_object_color"":""magenta"",""scene_type"":""depth_ordering"",""seed"":11}"
Extrapolative/Counterfactual Reasoning,depth_height_0011.png,"If the teal object moved twice as far from the camera as its current distance, would it appear larger, smaller, or about the same size as the blue object?",smaller,"{""base_size_px"":86.0387,""closest_object_color"":""teal"",""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.62,""farthest_object_color"":""magenta"",""scene_type"":""depth_ordering"",""seed"":11}"
Image Description,depth_height_0012.png,How many separate stacks of blocks are shown in this image?,4,"{""block_height_px"":21,""block_pitch_px"":24,""block_width_px"":54,""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.91,""scene_type"":""stack_height"",""seed"":12,""shortest_stack_color"":""purple"",""tallest_stack_color"":""teal""}"
Basic Relational Reasoning,depth_height_0012.png,Which stack is taller: the magenta stack or the teal stack?,teal,"{""block_height_px"":21,""block_pitch_px"":24,""block_width_px"":54,""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.91,""scene_type"":""stack_height"",""seed"":12,""shortest_stack_color"":""purple"",""tallest_stack_color"":""teal""}"
Comparative Reasoning,depth_height_0012.png,"Rank all stacks from tallest to shortest, by color.","['teal', 'orange', 'magenta', 'purple']","{""block_height_px"":21,""block_pitch_px"":24,""block_width_px"":54,""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.91,""scene_type"":""stack_height"",""seed"":12,""shortest_stack_color"":""purple"",""tallest_stack_color"":""teal""}"
