question_id,image,acceptance_set,targets,illusion_type,element_A_true_value,element_B_true_value,true_relation,absolute_difference,percent_difference
optical_illusion_0001_open_q1,optical_illusion_0001.png,"[""illusion_type=muller_lyer; element_A_true_value=132; element_B_true_value=132; true_relation=equal; absolute_difference=0; percent_difference=0""]","[""A"",""B""]",muller_lyer,132,132,equal,0,0
optical_illusion_0002_open_q1,optical_illusion_0002.png,"[""illusion_type=ponzo; element_A_true_value=121; element_B_true_value=121; true_relation=equal; absolute_difference=0; percent_difference=0""]","[""A"",""B""]",ponzo,121,121,equal,0,0
optical_illusion_0003_open_q1,optical_illusion_0003.png,"[""illusion_type=ebbinghaus; element_A_true_value=49; element_B_true_value=49; true_relation=equal; absolute_difference=0; percent_difference=0""]","[""A"",""B""]",ebbinghaus,49,49,equal,0,0
optical_illusion_0004_open_q1,optical_illusion_0004.png,"[""illusion_type=muller_lyer; element_A_true_value=122; element_B_true_value=141; true_relation=B larger; absolute_difference=19; percent_difference=15.57""]","[""A"",""B""]",muller_lyer,122,141,B larger,19,15.57
optical_illusion_0005_open_q1,optical_illusion_0005.png,"[""illusion_type=ponzo; element_A_true_value=138; element_B_true_value=165; true_relation=B larger; absolute_difference=27; percent_difference=19.57""]","[""A"",""B""]",ponzo,138,165,B larger,27,19.57
optical_illusion_0006_open_q1,optical_illusion_0006.png,"[""illusion_type=ebbinghaus; element_A_true_value=58; element_B_true_value=51; true_relation=A larger; absolute_difference=7; percent_difference=13.73""]","[""A"",""B""]",ebbinghaus,58,51,A larger,7,13.73
optical_illusion_0007_open_q1,optical_illusion_0007.png,"[""illusion_type=muller_lyer; element_A_true_value=141; element_B_true_value=141; true_relation=equal; absolute_difference=0; percent_difference=0""]","[""A"",""B""]",muller_lyer,141,141,equal,0,0
optical_illusion_0008_open_q1,optical_illusion_0008.png,"[""illusion_type=ponzo; element_A_true_value=140; element_B_true_value=140; true_relation=equal; absolute_difference=0; percent_difference=0""]","[""A"",""B""]",ponzo,140,140,equal,0,0
optical_illusion_0009_open_q1,optical_illusion_0009.png,"[""illusion_type=ebbinghaus; element_A_true_value=48; element_B_true_value=48; true_relation=equal; absolute_difference=0; percent_difference=0""]","[""A"",""B""]",ebbinghaus,48,48,equal,0,0
optical_illusion_0010_open_q1,optical_illusion_0010.png,"[""illusion_type=muller_lyer; element_A_true_value=143; element_B_true_value=166; true_relation=B larger; absolute_difference=23; percent_difference=16.08""]","[""A"",""B""]",muller_lyer,143,166,B larger,23,16.08
optical_illusion_0011_open_q1,optical_illusion_0011.png,"[""illusion_type=ponzo; element_A_true_value=168; element_B_true_value=144; true_relation=A larger; absolute_difference=24; percent_difference=16.67""]","[""A"",""B""]",ponzo,168,144,A larger,24,16.67
