question_id,task,image,prompt,groundtruth
orthographic_0001_q1,Image Description,orthographic_0001.png,How many unit cells are filled in the top view?,4
orthographic_0001_q2,Basic Relational Reasoning,orthographic_0001.png,"Based on the three views shown, what is the minimum possible number of cubes in a gravity-supported 3D structure? Answer with a number in curly brackets.",6
orthographic_0001_q3,Comparative Reasoning,orthographic_0001.png,"Which view (top, front, or side) shows the largest filled area (most filled cells)?",side
orthographic_0001_q4,Compound Reasoning,orthographic_0001.png,Do the three orthographic views uniquely determine the shown voxel structure within the stated scope? Answer 'unique' or 'not unique'.,not unique
orthographic_0001_q5,Extrapolative/Counterfactual Reasoning,orthographic_0001.png,"If one cube were added directly on top of a tallest column in the structure, which view or views would change? Answer using top, front, and/or side.",front and side
orthographic_0002_q1,Image Description,orthographic_0002.png,How many unit cells are filled in the top view?,4
orthographic_0002_q2,Basic Relational Reasoning,orthographic_0002.png,"Based on the three views shown, what is the minimum possible number of cubes in a gravity-supported 3D structure? Answer with a number in curly brackets.",9
orthographic_0002_q3,Comparative Reasoning,orthographic_0002.png,"Which candidate structure (A, B, C, or D) is consistent with all three views shown? Answer with the letter.",C
orthographic_0002_q4,Compound Reasoning,orthographic_0002.png,"Candidate A matches two of the three views but not the third. Which view does it fail to match: top, front, or side?",front
orthographic_0002_q5,Extrapolative/Counterfactual Reasoning,orthographic_0002.png,"If one cube were added directly on top of a tallest column, which orthographic view or views would change?",front and side
orthographic_0003_q1,Image Description,orthographic_0003.png,How many unit cells are filled in the top view?,8
orthographic_0003_q2,Basic Relational Reasoning,orthographic_0003.png,"Based on the three views shown, what is the minimum possible number of cubes in a gravity-supported 3D structure? Answer with a number in curly brackets.",11
orthographic_0003_q3,Comparative Reasoning,orthographic_0003.png,"Which view (top, front, or side) shows the largest filled area (most filled cells)?",top
orthographic_0003_q4,Compound Reasoning,orthographic_0003.png,Do the three orthographic views uniquely determine the shown voxel structure within the stated scope? Answer 'unique' or 'not unique'.,not unique
orthographic_0003_q5,Extrapolative/Counterfactual Reasoning,orthographic_0003.png,"If one cube were added directly on top of a tallest column in the structure, which view or views would change? Answer using top, front, and/or side.",front and side
orthographic_0004_q1,Image Description,orthographic_0004.png,How many unit cells are filled in the top view?,6
orthographic_0004_q2,Basic Relational Reasoning,orthographic_0004.png,"Based on the three views shown, what is the minimum possible number of cubes in a gravity-supported 3D structure? Answer with a number in curly brackets.",7
orthographic_0004_q3,Comparative Reasoning,orthographic_0004.png,"Which candidate structure (A, B, C, or D) is consistent with all three views shown? Answer with the letter.",A
orthographic_0004_q4,Compound Reasoning,orthographic_0004.png,"Do these three views uniquely determine the gravity-supported 3D structure, or could a different arrangement of cubes produce the exact same three views? Answer 'unique' or 'not unique'.",unique
orthographic_0004_q5,Extrapolative/Counterfactual Reasoning,orthographic_0004.png,"If one cube were added directly on top of a tallest column, which orthographic view or views would change?",front and side
orthographic_0005_q1,Image Description,orthographic_0005.png,How many unit cells are filled in the top view?,6
orthographic_0005_q2,Basic Relational Reasoning,orthographic_0005.png,"Based on the three views shown, what is the minimum possible number of cubes in a gravity-supported 3D structure? Answer with a number in curly brackets.",9
orthographic_0005_q3,Comparative Reasoning,orthographic_0005.png,"Which view (top, front, or side) shows the largest filled area (most filled cells)?",front
orthographic_0005_q4,Compound Reasoning,orthographic_0005.png,"Do these three views uniquely determine the gravity-supported 3D structure, or could a different arrangement of cubes produce the exact same three views? Answer 'unique' or 'not unique'.",not unique
orthographic_0005_q5,Extrapolative/Counterfactual Reasoning,orthographic_0005.png,"If one cube were added directly on top of a tallest column, which orthographic view or views would change?",front and side
orthographic_0006_q1,Image Description,orthographic_0006.png,How many unit cells are filled in the top view?,8
orthographic_0006_q2,Basic Relational Reasoning,orthographic_0006.png,"Based on the three views shown, what is the minimum possible number of cubes in a gravity-supported 3D structure? Answer with a number in curly brackets.",12
orthographic_0006_q3,Comparative Reasoning,orthographic_0006.png,"Which candidate structure (A, B, C, or D) is consistent with all three views shown? Answer with the letter.",C
orthographic_0006_q4,Compound Reasoning,orthographic_0006.png,Do the three orthographic views uniquely determine the shown voxel structure within the stated scope? Answer 'unique' or 'not unique'.,not unique
orthographic_0006_q5,Extrapolative/Counterfactual Reasoning,orthographic_0006.png,"If one cube were added directly on top of a tallest column in the structure, which view or views would change? Answer using top, front, and/or side.",front and side
orthographic_0007_q1,Image Description,orthographic_0007.png,How many unit cells are filled in the top view?,5
orthographic_0007_q2,Basic Relational Reasoning,orthographic_0007.png,"Based on the three views shown, what is the minimum possible number of cubes in a gravity-supported 3D structure? Answer with a number in curly brackets.",8
orthographic_0007_q3,Comparative Reasoning,orthographic_0007.png,"Which view (top, front, or side) shows the largest filled area (most filled cells)?",front
orthographic_0007_q4,Compound Reasoning,orthographic_0007.png,"Do these three views uniquely determine the gravity-supported 3D structure, or could a different arrangement of cubes produce the exact same three views? Answer 'unique' or 'not unique'.",unique
orthographic_0007_q5,Extrapolative/Counterfactual Reasoning,orthographic_0007.png,"If one cube were added directly on top of a tallest column, which orthographic view or views would change?",front and side
orthographic_0008_q1,Image Description,orthographic_0008.png,How many unit cells are filled in the top view?,6
orthographic_0008_q2,Basic Relational Reasoning,orthographic_0008.png,"Based on the three views shown, what is the minimum possible number of cubes in a gravity-supported 3D structure? Answer with a number in curly brackets.",7
orthographic_0008_q3,Comparative Reasoning,orthographic_0008.png,"Which candidate structure (A, B, C, or D) is consistent with all three views shown? Answer with the letter.",A
orthographic_0008_q4,Compound Reasoning,orthographic_0008.png,"Candidate B matches two of the three views but not the third. Which view does it fail to match: top, front, or side?",top
