model,domain,level,row_id,ground_truth,response,prompt
claude_opus_5,angle_estimation,4,angle_estimation:angle_estimation_0291_q4,straight,straight angle,"If Angle 1 and Angle 2 were added together, answer 'right angle' if the sum is within 15 degrees of 90°, 'straight angle' if it is within 15 degrees of 180°, otherwise answer 'neither'."
claude_opus_5,angle_estimation,4,angle_estimation:angle_estimation_0294_q4,straight,straight angle,"If Angle 1 and Angle 2 were added together, answer 'right angle' if the sum is within 15 degrees of 90°, 'straight angle' if it is within 15 degrees of 180°, otherwise answer 'neither'."
claude_opus_5,angle_estimation,4,angle_estimation:angle_estimation_0669_q4,right,right angle,"If Angle 1 and Angle 2 were added together, answer 'right angle' if the sum is within 15 degrees of 90°, 'straight angle' if it is within 15 degrees of 180°, otherwise answer 'neither'."
claude_opus_5,angle_estimation,5,angle_estimation:angle_estimation_0813_q5,larger,larger than,"If the smaller shown angle were doubled, would it be larger than, equal to, or smaller than the other angle?"
claude_opus_5,angle_estimation,5,angle_estimation:angle_estimation_0895_q5,larger,larger than,"If the smaller shown angle were doubled, would it be larger than, equal to, or smaller than the other angle?"
claude_opus_5,angle_estimation,4,angle_estimation:angle_estimation_0910_q4,straight,straight angle,"If Angle 1 and Angle 2 were added together, answer 'right angle' if the sum is within 15 degrees of 90°, 'straight angle' if it is within 15 degrees of 180°, otherwise answer 'neither'."
claude_opus_5,angle_estimation,4,angle_estimation:angle_estimation_1670_q4,right,right angle,"If Angle 1 and Angle 2 were added together, answer 'right angle' if the sum is within 15 degrees of 90°, 'straight angle' if it is within 15 degrees of 180°, otherwise answer 'neither'."
claude_opus_5,angle_estimation,4,angle_estimation:angle_estimation_1674_q4,straight,straight angle,"If Angle 1 and Angle 2 were added together, answer 'right angle' if the sum is within 15 degrees of 90°, 'straight angle' if it is within 15 degrees of 180°, otherwise answer 'neither'."
claude_opus_5,angle_estimation,4,angle_estimation:angle_estimation_1910_q4,right,right angle,"If Angle 1 and Angle 2 were added together, answer 'right angle' if the sum is within 15 degrees of 90°, 'straight angle' if it is within 15 degrees of 180°, otherwise answer 'neither'."
claude_opus_5,angle_estimation,5,angle_estimation:angle_estimation_1910_q5,larger,larger than,"If the smaller shown angle were doubled, would it be larger than, equal to, or smaller than the other angle?"
claude_opus_5,angle_estimation,5,angle_estimation:angle_estimation_1970_q5,larger,larger than,"If the smaller shown angle were doubled, would it be larger than, equal to, or smaller than the other angle?"
claude_opus_5,angle_estimation,4,angle_estimation:angle_estimation_2413_q4,straight,straight angle,"If Angle 1 and Angle 2 were added together, answer 'right angle' if the sum is within 15 degrees of 90°, 'straight angle' if it is within 15 degrees of 180°, otherwise answer 'neither'."
claude_opus_5,angle_estimation,5,angle_estimation:angle_estimation_2413_q5,larger,larger than,"If the smaller shown angle were doubled, would it be larger than, equal to, or smaller than the other angle?"
claude_opus_5,angle_estimation,4,angle_estimation:angle_estimation_2532_q4,right,right angle,"If Angle 1 and Angle 2 were added together, answer 'right angle' if the sum is within 15 degrees of 90°, 'straight angle' if it is within 15 degrees of 180°, otherwise answer 'neither'."
claude_opus_5,angle_estimation,5,angle_estimation:angle_estimation_2931_q5,larger,larger than,"If the smaller shown angle were doubled, would it be larger than, equal to, or smaller than the other angle?"
claude_opus_5,embedded_figures,5,embedded_figures:embedded_figure_2024_q5,closed,closed polygon,"If you removed all distractor lines and kept only the target shape's edges, would the remaining figure be a closed polygon or an open/broken shape?"
claude_opus_5,gear_train,2,gear_train:gear_train_0015_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,gear_train,2,gear_train:gear_train_0031_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,gear_train,2,gear_train:gear_train_0081_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,gear_train,2,gear_train:gear_train_0096_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,gear_train,2,gear_train:gear_train_0370_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,gear_train,2,gear_train:gear_train_0486_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,gear_train,2,gear_train:gear_train_0543_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,gear_train,2,gear_train:gear_train_0601_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,gear_train,2,gear_train:gear_train_0603_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,gear_train,2,gear_train:gear_train_0705_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,gear_train,2,gear_train:gear_train_0778_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,gear_train,2,gear_train:gear_train_0913_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,gear_train,2,gear_train:gear_train_0945_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,gear_train,2,gear_train:gear_train_1085_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,gear_train,2,gear_train:gear_train_1139_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,gear_train,2,gear_train:gear_train_1255_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,gear_train,2,gear_train:gear_train_1370_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,gear_train,2,gear_train:gear_train_1428_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,gear_train,2,gear_train:gear_train_1479_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,gear_train,2,gear_train:gear_train_1489_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,gear_train,2,gear_train:gear_train_1500_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,gear_train,2,gear_train:gear_train_1627_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
