question_id,task,image,prompt,groundtruth
fbd_0001_q1,Image Description,fbd_0001.png,How many force arrows are shown in this diagram?,4
fbd_0001_q2,Basic Relational Reasoning,fbd_0001.png,Which labeled arrow represents the normal force on the analyzed body? Answer with the arrow label.,N
fbd_0001_q3,Comparative Reasoning,fbd_0001.png,"Using only the arrows as drawn in this diagram, rank their shown magnitudes from largest to smallest, grouping ties, and state whether their shown vertical components are balanced. Then, as a separate judgment using the physically correct version of the scenario, state whether the body is in equilibrium overall. Give all three answers and keep the drawn-diagram and physically-correct frames separate.","{'magnitude_ranking': [['W'], ['N'], ['F'], ['A']], 'physical_equilibrium': 'yes', 'shown_vertical_forces_balanced': 'yes'}"
fbd_0001_q4,Compound Reasoning,fbd_0001.png,"Using the physically correct force model (not any intentionally incorrect arrow as drawn), what is the physical net force magnitude in newtons, and what is the required friction coefficient for this scenario? Give both values.","{'net_force_N': 0.0, 'required_friction_coefficient': 0.66}"
fbd_0001_q5,Extrapolative/Counterfactual Reasoning,fbd_0001.png,"If the incline angle were increased to 40 degrees while mass, applied force, and friction coefficient stayed unchanged, would the block slip? Answer yes or no.",no
fbd_0002_q1,Image Description,fbd_0002.png,How many force arrows are shown in this diagram?,2
fbd_0002_q2,Basic Relational Reasoning,fbd_0002.png,Which labeled arrow represents the weight force on the analyzed body? Answer with the arrow label.,W
fbd_0002_q3,Comparative Reasoning,fbd_0002.png,"Using only the arrows as drawn in this diagram, rank their shown magnitudes from largest to smallest, grouping ties, and state whether their shown vertical components are balanced. Then, as a separate judgment using the physically correct version of the scenario, state whether the body is in equilibrium overall. Give all three answers and keep the drawn-diagram and physically-correct frames separate.","{'magnitude_ranking': [['T', 'W']], 'physical_equilibrium': 'yes', 'shown_vertical_forces_balanced': 'yes'}"
fbd_0002_q4,Compound Reasoning,fbd_0002.png,"Using the physically correct force model (not any intentionally incorrect arrow as drawn), what is the physical net force magnitude in newtons, and what is the tension magnitude for this scenario? Give both values.","{'net_force_N': 0.0, 'tension_magnitude': 208.95}"
fbd_0002_q5,Extrapolative/Counterfactual Reasoning,fbd_0002.png,"If force T were removed while all other physical forces stayed unchanged, what direction would the resulting acceleration point? Use 0 degrees for right and 90 degrees for up.","downward (270 degrees; 0=right, 90=up)"
fbd_0003_q1,Image Description,fbd_0003.png,How many force arrows are shown in this diagram?,4
