task,image,prompt,groundtruth,metadata
Image Description,route_puzzle_0001.png,How many distinct colored routes are visible in this image?,8,"{""crossing_count"":83,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.4971,""line_width_px"":2.95,""num_endpoints"":4,""num_routes"":8,""seed"":1}"
Basic Relational Reasoning,route_puzzle_0001.png,Count the one-colored routes that go from A to D. Answer with a number in curly brackets e.g. {1},1,"{""crossing_count"":83,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.4971,""line_width_px"":2.95,""num_endpoints"":4,""num_routes"":8,""seed"":1}"
Comparative Reasoning,route_puzzle_0001.png,How many routes does letter A have in total (i.e. touching A)?,5,"{""crossing_count"":83,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.4971,""line_width_px"":2.95,""num_endpoints"":4,""num_routes"":8,""seed"":1}"
Compound Reasoning,route_puzzle_0001.png,"Is there any letter-pair with zero directly connecting routes? If yes, name one such pair; if no, answer 'none'.",CD,"{""crossing_count"":83,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.4971,""line_width_px"":2.95,""num_endpoints"":4,""num_routes"":8,""seed"":1}"
Extrapolative/Counterfactual Reasoning,route_puzzle_0001.png,"If one new route were added directly between C and D, what would the maximum endpoint degree become?",5,"{""crossing_count"":83,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.4971,""line_width_px"":2.95,""num_endpoints"":4,""num_routes"":8,""seed"":1}"
Image Description,route_puzzle_0002.png,How many labeled endpoints (letters) are shown in this image?,4,"{""crossing_count"":60,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.4783,""line_width_px"":3.0,""num_endpoints"":4,""num_routes"":8,""seed"":2}"
Basic Relational Reasoning,route_puzzle_0002.png,Count the one-colored routes that go from A to C. Answer with a number in curly brackets e.g. {1},1,"{""crossing_count"":60,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.4783,""line_width_px"":3.0,""num_endpoints"":4,""num_routes"":8,""seed"":2}"
Comparative Reasoning,route_puzzle_0002.png,Which letter has the most routes connected to it?,B,"{""crossing_count"":60,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.4783,""line_width_px"":3.0,""num_endpoints"":4,""num_routes"":8,""seed"":2}"
Compound Reasoning,route_puzzle_0002.png,List all letter-pairs that have exactly one connecting route between them.,"['AC', 'BC']","{""crossing_count"":60,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.4783,""line_width_px"":3.0,""num_endpoints"":4,""num_routes"":8,""seed"":2}"
Extrapolative/Counterfactual Reasoning,route_puzzle_0002.png,"If one new route were added directly between A and C, what would the maximum endpoint degree become?",5,"{""crossing_count"":60,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.4783,""line_width_px"":3.0,""num_endpoints"":4,""num_routes"":8,""seed"":2}"
