task,image,prompt,groundtruth,metadata
Image Description,optical_illusion_0001.png,How many target line segments are being compared in this image?,2,"{""are_actually_equal"":true,""dataset_version"":""optical-illusion-3.0.0"",""difficulty_score"":0.35,""element_a_true_value"":132,""element_b_true_value"":132,""illusion_appears_larger_element"":""A"",""illusion_direction"":""A_appears_longer"",""illusion_type"":""muller_lyer"",""matches_illusion_direction"":null,""percent_difference"":0.0,""percent_difference_definition"":""abs(A-B)/min(A,B)*100"",""percent_difference_fraction"":""0/1"",""seed"":1}"
Basic Relational Reasoning,optical_illusion_0001.png,"Because of the surrounding fins, which element would a typical human viewer perceive as longer—element A or element B? Answer with the letter.",A,"{""are_actually_equal"":true,""dataset_version"":""optical-illusion-3.0.0"",""difficulty_score"":0.35,""element_a_true_value"":132,""element_b_true_value"":132,""illusion_appears_larger_element"":""A"",""illusion_direction"":""A_appears_longer"",""illusion_type"":""muller_lyer"",""matches_illusion_direction"":null,""percent_difference"":0.0,""percent_difference_definition"":""abs(A-B)/min(A,B)*100"",""percent_difference_fraction"":""0/1"",""seed"":1}"
Comparative Reasoning,optical_illusion_0001.png,"Ignoring the surrounding context, measure the actual length of element A and element B. Are they equal, or is one actually longer? Answer 'equal', 'A', or 'B'.",equal,"{""are_actually_equal"":true,""dataset_version"":""optical-illusion-3.0.0"",""difficulty_score"":0.35,""element_a_true_value"":132,""element_b_true_value"":132,""illusion_appears_larger_element"":""A"",""illusion_direction"":""A_appears_longer"",""illusion_type"":""muller_lyer"",""matches_illusion_direction"":null,""percent_difference"":0.0,""percent_difference_definition"":""abs(A-B)/min(A,B)*100"",""percent_difference_fraction"":""0/1"",""seed"":1}"
Compound Reasoning,optical_illusion_0001.png,"By approximately what percentage do the two elements' TRUE sizes differ (0% if equal)? Answer with a number in curly brackets, e.g. {12}.",0,"{""are_actually_equal"":true,""dataset_version"":""optical-illusion-3.0.0"",""difficulty_score"":0.35,""element_a_true_value"":132,""element_b_true_value"":132,""illusion_appears_larger_element"":""A"",""illusion_direction"":""A_appears_longer"",""illusion_type"":""muller_lyer"",""matches_illusion_direction"":null,""percent_difference"":0.0,""percent_difference_definition"":""abs(A-B)/min(A,B)*100"",""percent_difference_fraction"":""0/1"",""seed"":1}"
Extrapolative/Counterfactual Reasoning,optical_illusion_0001.png,"If the visual context (fins) were removed entirely and only the two bare elements remained, would your answer to 'which one is bigger' change from what the illusion suggests? Answer yes or no, and state which is actually bigger without the context.",yes; actually equal,"{""are_actually_equal"":true,""dataset_version"":""optical-illusion-3.0.0"",""difficulty_score"":0.35,""element_a_true_value"":132,""element_b_true_value"":132,""illusion_appears_larger_element"":""A"",""illusion_direction"":""A_appears_longer"",""illusion_type"":""muller_lyer"",""matches_illusion_direction"":null,""percent_difference"":0.0,""percent_difference_definition"":""abs(A-B)/min(A,B)*100"",""percent_difference_fraction"":""0/1"",""seed"":1}"
Image Description,optical_illusion_0002.png,How many target line segments are being compared in this image?,2,"{""are_actually_equal"":true,""dataset_version"":""optical-illusion-3.0.0"",""difficulty_score"":0.35,""element_a_true_value"":121,""element_b_true_value"":121,""illusion_appears_larger_element"":""A"",""illusion_direction"":""A_appears_longer"",""illusion_type"":""ponzo"",""matches_illusion_direction"":null,""percent_difference"":0.0,""percent_difference_definition"":""abs(A-B)/min(A,B)*100"",""percent_difference_fraction"":""0/1"",""seed"":2}"
Basic Relational Reasoning,optical_illusion_0002.png,"Because of the converging lines, which element would a typical human viewer perceive as longer—element A or element B? Answer with the letter.",A,"{""are_actually_equal"":true,""dataset_version"":""optical-illusion-3.0.0"",""difficulty_score"":0.35,""element_a_true_value"":121,""element_b_true_value"":121,""illusion_appears_larger_element"":""A"",""illusion_direction"":""A_appears_longer"",""illusion_type"":""ponzo"",""matches_illusion_direction"":null,""percent_difference"":0.0,""percent_difference_definition"":""abs(A-B)/min(A,B)*100"",""percent_difference_fraction"":""0/1"",""seed"":2}"
Comparative Reasoning,optical_illusion_0002.png,"Ignoring the surrounding context, measure the actual length of element A and element B. Are they equal, or is one actually longer? Answer 'equal', 'A', or 'B'.",equal,"{""are_actually_equal"":true,""dataset_version"":""optical-illusion-3.0.0"",""difficulty_score"":0.35,""element_a_true_value"":121,""element_b_true_value"":121,""illusion_appears_larger_element"":""A"",""illusion_direction"":""A_appears_longer"",""illusion_type"":""ponzo"",""matches_illusion_direction"":null,""percent_difference"":0.0,""percent_difference_definition"":""abs(A-B)/min(A,B)*100"",""percent_difference_fraction"":""0/1"",""seed"":2}"
Compound Reasoning,optical_illusion_0002.png,"By approximately what percentage do the two elements' TRUE sizes differ (0% if equal)? Answer with a number in curly brackets, e.g. {12}.",0,"{""are_actually_equal"":true,""dataset_version"":""optical-illusion-3.0.0"",""difficulty_score"":0.35,""element_a_true_value"":121,""element_b_true_value"":121,""illusion_appears_larger_element"":""A"",""illusion_direction"":""A_appears_longer"",""illusion_type"":""ponzo"",""matches_illusion_direction"":null,""percent_difference"":0.0,""percent_difference_definition"":""abs(A-B)/min(A,B)*100"",""percent_difference_fraction"":""0/1"",""seed"":2}"
Extrapolative/Counterfactual Reasoning,optical_illusion_0002.png,"If the visual context (converging lines) were removed entirely and only the two bare elements remained, would your answer to 'which one is bigger' change from what the illusion suggests? Answer yes or no, and state which is actually bigger without the context.",yes; actually equal,"{""are_actually_equal"":true,""dataset_version"":""optical-illusion-3.0.0"",""difficulty_score"":0.35,""element_a_true_value"":121,""element_b_true_value"":121,""illusion_appears_larger_element"":""A"",""illusion_direction"":""A_appears_longer"",""illusion_type"":""ponzo"",""matches_illusion_direction"":null,""percent_difference"":0.0,""percent_difference_definition"":""abs(A-B)/min(A,B)*100"",""percent_difference_fraction"":""0/1"",""seed"":2}"
