question_id,image,prompt
rotation_match_0001_open_q1,rotation_match_0001.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0002_open_q1,rotation_match_0002.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0003_open_q1,rotation_match_0003.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0004_open_q1,rotation_match_0004.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0005_open_q1,rotation_match_0005.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0006_open_q1,rotation_match_0006.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0007_open_q1,rotation_match_0007.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0008_open_q1,rotation_match_0008.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0009_open_q1,rotation_match_0009.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0010_open_q1,rotation_match_0010.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0011_open_q1,rotation_match_0011.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0012_open_q1,rotation_match_0012.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0013_open_q1,rotation_match_0013.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0014_open_q1,rotation_match_0014.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0015_open_q1,rotation_match_0015.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0016_open_q1,rotation_match_0016.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0017_open_q1,rotation_match_0017.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0018_open_q1,rotation_match_0018.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0019_open_q1,rotation_match_0019.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0020_open_q1,rotation_match_0020.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0021_open_q1,rotation_match_0021.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0022_open_q1,rotation_match_0022.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0023_open_q1,rotation_match_0023.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0024_open_q1,rotation_match_0024.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0025_open_q1,rotation_match_0025.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0026_open_q1,rotation_match_0026.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0027_open_q1,rotation_match_0027.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0028_open_q1,rotation_match_0028.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0029_open_q1,rotation_match_0029.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0030_open_q1,rotation_match_0030.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0031_open_q1,rotation_match_0031.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0032_open_q1,rotation_match_0032.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0033_open_q1,rotation_match_0033.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0034_open_q1,rotation_match_0034.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0035_open_q1,rotation_match_0035.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0036_open_q1,rotation_match_0036.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0037_open_q1,rotation_match_0037.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0038_open_q1,rotation_match_0038.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0039_open_q1,rotation_match_0039.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0040_open_q1,rotation_match_0040.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0041_open_q1,rotation_match_0041.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0042_open_q1,rotation_match_0042.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0043_open_q1,rotation_match_0043.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0044_open_q1,rotation_match_0044.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0045_open_q1,rotation_match_0045.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0046_open_q1,rotation_match_0046.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0047_open_q1,rotation_match_0047.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0048_open_q1,rotation_match_0048.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0049_open_q1,rotation_match_0049.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0050_open_q1,rotation_match_0050.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0051_open_q1,rotation_match_0051.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0052_open_q1,rotation_match_0052.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0053_open_q1,rotation_match_0053.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0054_open_q1,rotation_match_0054.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0055_open_q1,rotation_match_0055.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0056_open_q1,rotation_match_0056.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0057_open_q1,rotation_match_0057.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0058_open_q1,rotation_match_0058.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0059_open_q1,rotation_match_0059.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0060_open_q1,rotation_match_0060.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0061_open_q1,rotation_match_0061.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0062_open_q1,rotation_match_0062.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0063_open_q1,rotation_match_0063.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0064_open_q1,rotation_match_0064.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0065_open_q1,rotation_match_0065.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0066_open_q1,rotation_match_0066.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0067_open_q1,rotation_match_0067.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0068_open_q1,rotation_match_0068.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
rotation_match_0069_open_q1,rotation_match_0069.png,"Name the candidate that is a true rotation of the reference and the candidate that is its reflection. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
