question_id,task,image,prompt
fbd_0001_q1,Image Description,fbd_0001.png,How many force arrows are shown in this diagram?
fbd_0001_q2,Basic Relational Reasoning,fbd_0001.png,Which labeled arrow represents the normal force on the analyzed body? Answer with the arrow label.
fbd_0001_q3,Comparative Reasoning,fbd_0001.png,"Using only the arrows as drawn in this diagram, rank their shown magnitudes from largest to smallest, grouping ties, and state whether their shown vertical components are balanced. Then, as a separate judgment using the physically correct version of the scenario, state whether the body is in equilibrium overall. Give all three answers and keep the drawn-diagram and physically-correct frames separate."
fbd_0001_q4,Compound Reasoning,fbd_0001.png,"Using the physically correct force model (not any intentionally incorrect arrow as drawn), what is the physical net force magnitude in newtons, and what is the required friction coefficient for this scenario? Give both values."
fbd_0001_q5,Extrapolative/Counterfactual Reasoning,fbd_0001.png,"If the incline angle were increased to 40 degrees while mass, applied force, and friction coefficient stayed unchanged, would the block slip? Answer yes or no."
fbd_0002_q1,Image Description,fbd_0002.png,How many force arrows are shown in this diagram?
fbd_0002_q2,Basic Relational Reasoning,fbd_0002.png,Which labeled arrow represents the weight force on the analyzed body? Answer with the arrow label.
fbd_0002_q3,Comparative Reasoning,fbd_0002.png,"Using only the arrows as drawn in this diagram, rank their shown magnitudes from largest to smallest, grouping ties, and state whether their shown vertical components are balanced. Then, as a separate judgment using the physically correct version of the scenario, state whether the body is in equilibrium overall. Give all three answers and keep the drawn-diagram and physically-correct frames separate."
fbd_0002_q4,Compound Reasoning,fbd_0002.png,"Using the physically correct force model (not any intentionally incorrect arrow as drawn), what is the physical net force magnitude in newtons, and what is the tension magnitude for this scenario? Give both values."
fbd_0002_q5,Extrapolative/Counterfactual Reasoning,fbd_0002.png,"If force T were removed while all other physical forces stayed unchanged, what direction would the resulting acceleration point? Use 0 degrees for right and 90 degrees for up."
fbd_0003_q1,Image Description,fbd_0003.png,How many force arrows are shown in this diagram?
fbd_0003_q2,Basic Relational Reasoning,fbd_0003.png,Which labeled arrow represents the tension force on the analyzed body? Answer with the arrow label.
fbd_0003_q3,Comparative Reasoning,fbd_0003.png,"Using only the arrows as drawn in this diagram, rank their shown magnitudes from largest to smallest, grouping ties, and state whether their shown vertical components are balanced. Then, as a separate judgment using the physically correct version of the scenario, state whether the body is in equilibrium overall. Give all three answers and keep the drawn-diagram and physically-correct frames separate."
fbd_0003_q4,Compound Reasoning,fbd_0003.png,"Using the physically correct force model (not any intentionally incorrect arrow as drawn), what is the physical net force magnitude in newtons, and what is the tension magnitude for this scenario? Give both values."
fbd_0003_q5,Extrapolative/Counterfactual Reasoning,fbd_0003.png,"If force T1 were removed while all other physical forces stayed unchanged, what direction would the resulting acceleration point? Use 0 degrees for right and 90 degrees for up."
fbd_0004_q1,Image Description,fbd_0004.png,How many force arrows are shown in this diagram?
fbd_0004_q2,Basic Relational Reasoning,fbd_0004.png,Which labeled arrow represents the weight force on the analyzed body? Answer with the arrow label.
fbd_0004_q3,Comparative Reasoning,fbd_0004.png,"Using only the arrows as drawn in this diagram, rank their shown magnitudes from largest to smallest, grouping ties, and state whether their shown vertical components are balanced. Then, as a separate judgment using the physically correct version of the scenario, state whether the body is in equilibrium overall. Give all three answers and keep the drawn-diagram and physically-correct frames separate."
fbd_0004_q4,Compound Reasoning,fbd_0004.png,"Using the physically correct force model (not any intentionally incorrect arrow as drawn), what is the physical net force magnitude in newtons, and what is the minimum friction coefficient for this scenario? Give both values."
fbd_0004_q5,Extrapolative/Counterfactual Reasoning,fbd_0004.png,"If force N were removed while all other physical forces stayed unchanged, what direction would the resulting acceleration point? Use 0 degrees for right and 90 degrees for up."
fbd_0005_q1,Image Description,fbd_0005.png,How many force arrows are shown in this diagram?
fbd_0005_q2,Basic Relational Reasoning,fbd_0005.png,Which labeled arrow represents the normal force on the analyzed body? Answer with the arrow label.
fbd_0005_q3,Comparative Reasoning,fbd_0005.png,"Using only the arrows as drawn in this diagram, rank their shown magnitudes from largest to smallest, grouping ties, and state whether their shown vertical components are balanced. Then, as a separate judgment using the physically correct version of the scenario, state whether the body is in equilibrium overall. Give all three answers and keep the drawn-diagram and physically-correct frames separate."
fbd_0005_q4,Compound Reasoning,fbd_0005.png,"Using the physically correct force model (not any intentionally incorrect arrow as drawn), what is the physical net force magnitude in newtons, and what is the support force magnitude for this scenario? Give both values."
fbd_0005_q5,Extrapolative/Counterfactual Reasoning,fbd_0005.png,"If force N were removed while all other physical forces stayed unchanged, what direction would the resulting acceleration point? Use 0 degrees for right and 90 degrees for up."
fbd_0006_q1,Image Description,fbd_0006.png,How many force arrows are shown in this diagram?
fbd_0006_q2,Basic Relational Reasoning,fbd_0006.png,Which labeled arrow represents the weight force on the analyzed body? Answer with the arrow label.
fbd_0006_q3,Comparative Reasoning,fbd_0006.png,"Using only the arrows as drawn in this diagram, rank their shown magnitudes from largest to smallest, grouping ties, and state whether their shown vertical components are balanced. Then, as a separate judgment using the physically correct version of the scenario, state whether the body is in equilibrium overall. Give all three answers and keep the drawn-diagram and physically-correct frames separate."
fbd_0006_q4,Compound Reasoning,fbd_0006.png,"Using the physically correct force model (not any intentionally incorrect arrow as drawn), what is the physical net force magnitude in newtons, and what is the required friction coefficient for this scenario? Give both values."
