question_id,image,prompt
projectile_motion_0001_open_q1,projectile_motion_0001.png,"Read the plotted trajectory and estimate its maximum height and horizontal range to the nearest whole metre. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
projectile_motion_0002_open_q1,projectile_motion_0002.png,"Read the plotted trajectory and estimate its maximum height and horizontal range to the nearest whole metre. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
projectile_motion_0003_open_q1,projectile_motion_0003.png,"Read the plotted trajectory and estimate its maximum height and horizontal range to the nearest whole metre. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
projectile_motion_0004_open_q1,projectile_motion_0004.png,"Read the plotted trajectory and estimate its maximum height and horizontal range to the nearest whole metre. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
projectile_motion_0005_open_q1,projectile_motion_0005.png,"Read the plotted trajectory and estimate its maximum height and horizontal range to the nearest whole metre. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
projectile_motion_0006_open_q1,projectile_motion_0006.png,"Read the plotted trajectory and estimate its maximum height and horizontal range to the nearest whole metre. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
projectile_motion_0007_open_q1,projectile_motion_0007.png,"Read the plotted trajectory and estimate its maximum height and horizontal range to the nearest whole metre. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
projectile_motion_0008_open_q1,projectile_motion_0008.png,"Read the plotted trajectory and estimate its maximum height and horizontal range to the nearest whole metre. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
projectile_motion_0009_open_q1,projectile_motion_0009.png,"Read the plotted trajectory and estimate its maximum height and horizontal range to the nearest whole metre. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
projectile_motion_0010_open_q1,projectile_motion_0010.png,"Read the plotted trajectory and estimate its maximum height and horizontal range to the nearest whole metre. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
projectile_motion_0011_open_q1,projectile_motion_0011.png,"Read the plotted trajectory and estimate its maximum height and horizontal range to the nearest whole metre. Explain briefly what you used in the image, then end with a confidence score from 0 to 1."
