question_id,task,image,prompt,groundtruth
route_puzzle_0001_q1,Image Description,route_puzzle_0001.png,How many distinct colored routes are visible in this image?,8
route_puzzle_0001_q2,Basic Relational Reasoning,route_puzzle_0001.png,Count the one-colored routes that go from A to D. Answer with a number in curly brackets e.g. {1},1
route_puzzle_0001_q3,Comparative Reasoning,route_puzzle_0001.png,How many routes does letter A have in total (i.e. touching A)?,5
route_puzzle_0001_q4,Compound Reasoning,route_puzzle_0001.png,"Is there any letter-pair with zero directly connecting routes? If yes, name one such pair; if no, answer 'none'.",CD
route_puzzle_0001_q5,Extrapolative/Counterfactual Reasoning,route_puzzle_0001.png,"If one new route were added directly between C and D, what would the maximum endpoint degree become?",5
route_puzzle_0002_q1,Image Description,route_puzzle_0002.png,How many labeled endpoints (letters) are shown in this image?,4
route_puzzle_0002_q2,Basic Relational Reasoning,route_puzzle_0002.png,Count the one-colored routes that go from A to C. Answer with a number in curly brackets e.g. {1},1
route_puzzle_0002_q3,Comparative Reasoning,route_puzzle_0002.png,Which letter has the most routes connected to it?,B
route_puzzle_0002_q4,Compound Reasoning,route_puzzle_0002.png,List all letter-pairs that have exactly one connecting route between them.,"['AC', 'BC']"
route_puzzle_0002_q5,Extrapolative/Counterfactual Reasoning,route_puzzle_0002.png,"If one new route were added directly between A and C, what would the maximum endpoint degree become?",5
route_puzzle_0003_q1,Image Description,route_puzzle_0003.png,How many distinct colored routes are visible in this image?,7
route_puzzle_0003_q2,Basic Relational Reasoning,route_puzzle_0003.png,Count the one-colored routes that go from B to F. Answer with a number in curly brackets e.g. {1},1
route_puzzle_0003_q3,Comparative Reasoning,route_puzzle_0003.png,Which two letters have the most routes directly connecting them?,DE
route_puzzle_0003_q4,Compound Reasoning,route_puzzle_0003.png,"Among all letters, list them in order from most connected routes to least connected routes.","['D (degree 4)', 'E (degree 3—tie)', 'F (degree 3—tie)', 'A (degree 2—tie)', 'B (degree 2—tie)', 'C (degree 0)']"
route_puzzle_0003_q5,Extrapolative/Counterfactual Reasoning,route_puzzle_0003.png,"If one new route were added directly between C and A, what would the maximum endpoint degree become?",4
route_puzzle_0004_q1,Image Description,route_puzzle_0004.png,How many labeled endpoints (letters) are shown in this image?,4
route_puzzle_0004_q2,Basic Relational Reasoning,route_puzzle_0004.png,Count the one-colored routes that go from B to D. Answer with a number in curly brackets e.g. {1},1
route_puzzle_0004_q3,Comparative Reasoning,route_puzzle_0004.png,Which letter has the most routes connected to it?,B
route_puzzle_0004_q4,Compound Reasoning,route_puzzle_0004.png,List all letter-pairs that have exactly one connecting route between them.,['BD']
route_puzzle_0004_q5,Extrapolative/Counterfactual Reasoning,route_puzzle_0004.png,"If one new route were added directly between D and A, what would the maximum endpoint degree become?",7
route_puzzle_0005_q1,Image Description,route_puzzle_0005.png,How many labeled endpoints (letters) are shown in this image?,6
route_puzzle_0005_q2,Basic Relational Reasoning,route_puzzle_0005.png,Count the one-colored routes that go from D to F. Answer with a number in curly brackets e.g. {1},0
route_puzzle_0005_q3,Comparative Reasoning,route_puzzle_0005.png,How many routes does letter E have in total (i.e. touching E)?,2
route_puzzle_0005_q4,Compound Reasoning,route_puzzle_0005.png,List all letter-pairs that have exactly one connecting route between them.,"['AF', 'BD', 'BE', 'CD', 'CF', 'DE']"
route_puzzle_0005_q5,Extrapolative/Counterfactual Reasoning,route_puzzle_0005.png,"If one new route were added directly between C and E, what would the maximum endpoint degree become?",8
route_puzzle_0006_q1,Image Description,route_puzzle_0006.png,How many labeled endpoints (letters) are shown in this image?,5
route_puzzle_0006_q2,Basic Relational Reasoning,route_puzzle_0006.png,Count the one-colored routes that go from B to D. Answer with a number in curly brackets e.g. {1},0
route_puzzle_0006_q3,Comparative Reasoning,route_puzzle_0006.png,How many routes does letter D have in total (i.e. touching D)?,4
route_puzzle_0006_q4,Compound Reasoning,route_puzzle_0006.png,"Among all letters, list them in order from most connected routes to least connected routes.","['A (degree 6—tie)', 'C (degree 6—tie)', 'B (degree 4—tie)', 'D (degree 4—tie)', 'E (degree 4—tie)']"
route_puzzle_0006_q5,Extrapolative/Counterfactual Reasoning,route_puzzle_0006.png,"If one new route were added directly between B and D, what would the maximum endpoint degree become?",6
route_puzzle_0007_q1,Image Description,route_puzzle_0007.png,How many labeled endpoints (letters) are shown in this image?,5
route_puzzle_0007_q2,Basic Relational Reasoning,route_puzzle_0007.png,Count the one-colored routes that go from C to D. Answer with a number in curly brackets e.g. {1},1
route_puzzle_0007_q3,Comparative Reasoning,route_puzzle_0007.png,Which two letters have the most routes directly connecting them?,AB
route_puzzle_0007_q4,Compound Reasoning,route_puzzle_0007.png,List all letter-pairs that have exactly one connecting route between them.,"['AD', 'AE', 'BE', 'CD', 'CE', 'DE']"
route_puzzle_0007_q5,Extrapolative/Counterfactual Reasoning,route_puzzle_0007.png,"If one new route were added directly between C and D, what would the maximum endpoint degree become?",7
route_puzzle_0008_q1,Image Description,route_puzzle_0008.png,How many labeled endpoints (letters) are shown in this image?,5
route_puzzle_0008_q2,Basic Relational Reasoning,route_puzzle_0008.png,Count the one-colored routes that go from D to E. Answer with a number in curly brackets e.g. {1},3
route_puzzle_0008_q3,Comparative Reasoning,route_puzzle_0008.png,Which letter has the most routes connected to it?,D
