question_id,image,acceptance_set,targets,target_color,target_type,target_shadow_direction,target_shadow_length,longest_shadow_colors
shadow_inference_0001_open_q1,shadow_inference_0001.png,"[""target_color=blue; target_type=cube; target_shadow_direction=left; target_shadow_length=87.1; longest_shadow_colors=['blue']""]","[""blue""]",blue,cube,left,87.1,"[""blue""]"
shadow_inference_0002_open_q1,shadow_inference_0002.png,"[""target_color=teal; target_type=cone; target_shadow_direction=right; target_shadow_length=123.0; longest_shadow_colors=['teal']""]","[""teal""]",teal,cone,right,123.0,"[""teal""]"
shadow_inference_0003_open_q1,shadow_inference_0003.png,"[""target_color=teal; target_type=cylinder; target_shadow_direction=right; target_shadow_length=159.1; longest_shadow_colors=['teal']""]","[""teal""]",teal,cylinder,right,159.1,"[""teal""]"
shadow_inference_0004_open_q1,shadow_inference_0004.png,"[""target_color=teal; target_type=cube; target_shadow_direction=upper-left; target_shadow_length=63.6; longest_shadow_colors=['teal']""]","[""teal""]",teal,cube,upper-left,63.6,"[""teal""]"
shadow_inference_0005_open_q1,shadow_inference_0005.png,"[""target_color=orange; target_type=sphere; target_shadow_direction=left; target_shadow_length=44.2; longest_shadow_colors=['blue']""]","[""orange""]",orange,sphere,left,44.2,"[""blue""]"
shadow_inference_0006_open_q1,shadow_inference_0006.png,"[""target_color=teal; target_type=cylinder; target_shadow_direction=upper-left; target_shadow_length=55.0; longest_shadow_colors=['teal']""]","[""teal""]",teal,cylinder,upper-left,55.0,"[""teal""]"
shadow_inference_0007_open_q1,shadow_inference_0007.png,"[""target_color=blue; target_type=cube; target_shadow_direction=right; target_shadow_length=53.2; longest_shadow_colors=['blue']""]","[""blue""]",blue,cube,right,53.2,"[""blue""]"
shadow_inference_0008_open_q1,shadow_inference_0008.png,"[""target_color=orange; target_type=cylinder; target_shadow_direction=upper-left; target_shadow_length=46.4; longest_shadow_colors=['purple']""]","[""orange""]",orange,cylinder,upper-left,46.4,"[""purple""]"
shadow_inference_0009_open_q1,shadow_inference_0009.png,"[""target_color=blue; target_type=cylinder; target_shadow_direction=upper-left; target_shadow_length=36.5; longest_shadow_colors=['orange']""]","[""blue""]",blue,cylinder,upper-left,36.5,"[""orange""]"
shadow_inference_0010_open_q1,shadow_inference_0010.png,"[""target_color=orange; target_type=cylinder; target_shadow_direction=right; target_shadow_length=46.6; longest_shadow_colors=['orange']""]","[""orange""]",orange,cylinder,right,46.6,"[""orange""]"
shadow_inference_0011_open_q1,shadow_inference_0011.png,"[""target_color=blue; target_type=cylinder; target_shadow_direction=left; target_shadow_length=75.1; longest_shadow_colors=['blue']""]","[""blue""]",blue,cylinder,left,75.1,"[""blue""]"
shadow_inference_0012_open_q1,shadow_inference_0012.png,"[""target_color=teal; target_type=cylinder; target_shadow_direction=right; target_shadow_length=65.5; longest_shadow_colors=['teal']""]","[""teal""]",teal,cylinder,right,65.5,"[""teal""]"
shadow_inference_0013_open_q1,shadow_inference_0013.png,"[""target_color=orange; target_type=sphere; target_shadow_direction=left; target_shadow_length=50.1; longest_shadow_colors=['orange']""]","[""orange""]",orange,sphere,left,50.1,"[""orange""]"
shadow_inference_0014_open_q1,shadow_inference_0014.png,"[""target_color=blue; target_type=cone; target_shadow_direction=right; target_shadow_length=99.6; longest_shadow_colors=['blue']""]","[""blue""]",blue,cone,right,99.6,"[""blue""]"
shadow_inference_0015_open_q1,shadow_inference_0015.png,"[""target_color=orange; target_type=cylinder; target_shadow_direction=upper-left; target_shadow_length=46.0; longest_shadow_colors=['teal']""]","[""orange""]",orange,cylinder,upper-left,46.0,"[""teal""]"
shadow_inference_0016_open_q1,shadow_inference_0016.png,"[""target_color=teal; target_type=cone; target_shadow_direction=left; target_shadow_length=76.6; longest_shadow_colors=['teal']""]","[""teal""]",teal,cone,left,76.6,"[""teal""]"
shadow_inference_0017_open_q1,shadow_inference_0017.png,"[""target_color=blue; target_type=cone; target_shadow_direction=left; target_shadow_length=62.7; longest_shadow_colors=['blue']""]","[""blue""]",blue,cone,left,62.7,"[""blue""]"
shadow_inference_0018_open_q1,shadow_inference_0018.png,"[""target_color=teal; target_type=cone; target_shadow_direction=right; target_shadow_length=108.3; longest_shadow_colors=['teal']""]","[""teal""]",teal,cone,right,108.3,"[""teal""]"
shadow_inference_0019_open_q1,shadow_inference_0019.png,"[""target_color=blue; target_type=cube; target_shadow_direction=left; target_shadow_length=47.8; longest_shadow_colors=['teal']""]","[""blue""]",blue,cube,left,47.8,"[""teal""]"
shadow_inference_0020_open_q1,shadow_inference_0020.png,"[""target_color=blue; target_type=sphere; target_shadow_direction=right; target_shadow_length=47.8; longest_shadow_colors=['blue']""]","[""blue""]",blue,sphere,right,47.8,"[""blue""]"
shadow_inference_0021_open_q1,shadow_inference_0021.png,"[""target_color=orange; target_type=cube; target_shadow_direction=left; target_shadow_length=52.5; longest_shadow_colors=['orange']""]","[""orange""]",orange,cube,left,52.5,"[""orange""]"
shadow_inference_0022_open_q1,shadow_inference_0022.png,"[""target_color=blue; target_type=cube; target_shadow_direction=left; target_shadow_length=49.5; longest_shadow_colors=['blue']""]","[""blue""]",blue,cube,left,49.5,"[""blue""]"
shadow_inference_0023_open_q1,shadow_inference_0023.png,"[""target_color=orange; target_type=cube; target_shadow_direction=left; target_shadow_length=60.4; longest_shadow_colors=['teal']""]","[""orange""]",orange,cube,left,60.4,"[""teal""]"
shadow_inference_0024_open_q1,shadow_inference_0024.png,"[""target_color=teal; target_type=sphere; target_shadow_direction=left; target_shadow_length=69.0; longest_shadow_colors=['teal']""]","[""teal""]",teal,sphere,left,69.0,"[""teal""]"
shadow_inference_0025_open_q1,shadow_inference_0025.png,"[""target_color=teal; target_type=cylinder; target_shadow_direction=right; target_shadow_length=127.6; longest_shadow_colors=['teal']""]","[""teal""]",teal,cylinder,right,127.6,"[""teal""]"
shadow_inference_0026_open_q1,shadow_inference_0026.png,"[""target_color=purple; target_type=cylinder; target_shadow_direction=upper-left; target_shadow_length=42.0; longest_shadow_colors=['blue']""]","[""purple""]",purple,cylinder,upper-left,42.0,"[""blue""]"
shadow_inference_0027_open_q1,shadow_inference_0027.png,"[""target_color=teal; target_type=cylinder; target_shadow_direction=upper-left; target_shadow_length=46.6; longest_shadow_colors=['teal']""]","[""teal""]",teal,cylinder,upper-left,46.6,"[""teal""]"
shadow_inference_0028_open_q1,shadow_inference_0028.png,"[""target_color=purple; target_type=sphere; target_shadow_direction=upper-left; target_shadow_length=71.8; longest_shadow_colors=['purple']""]","[""purple""]",purple,sphere,upper-left,71.8,"[""purple""]"
shadow_inference_0029_open_q1,shadow_inference_0029.png,"[""target_color=blue; target_type=cube; target_shadow_direction=left; target_shadow_length=110.4; longest_shadow_colors=['blue']""]","[""blue""]",blue,cube,left,110.4,"[""blue""]"
shadow_inference_0030_open_q1,shadow_inference_0030.png,"[""target_color=orange; target_type=cylinder; target_shadow_direction=right; target_shadow_length=53.6; longest_shadow_colors=['orange']""]","[""orange""]",orange,cylinder,right,53.6,"[""orange""]"
shadow_inference_0031_open_q1,shadow_inference_0031.png,"[""target_color=orange; target_type=sphere; target_shadow_direction=upper-left; target_shadow_length=103.0; longest_shadow_colors=['orange']""]","[""orange""]",orange,sphere,upper-left,103.0,"[""orange""]"
shadow_inference_0032_open_q1,shadow_inference_0032.png,"[""target_color=teal; target_type=cube; target_shadow_direction=right; target_shadow_length=107.5; longest_shadow_colors=['teal']""]","[""teal""]",teal,cube,right,107.5,"[""teal""]"
shadow_inference_0033_open_q1,shadow_inference_0033.png,"[""target_color=orange; target_type=cone; target_shadow_direction=right; target_shadow_length=59.7; longest_shadow_colors=['orange']""]","[""orange""]",orange,cone,right,59.7,"[""orange""]"
