question_id,image,acceptance_set,tolerances,targets,hole_directions
hex_pathfinding_0001_open_q1,hex_pathfinding_0001.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0002_open_q1,hex_pathfinding_0002.png,"[""hole_directions=[\""lower-right\""]""]",{},"[""HOME""]","[""lower-right""]"
hex_pathfinding_0003_open_q1,hex_pathfinding_0003.png,"[""hole_directions=[\""left\""]""]",{},"[""HOME""]","[""left""]"
hex_pathfinding_0004_open_q1,hex_pathfinding_0004.png,"[""hole_directions=[\""upper-right\"",\""right\"",\""lower-left\""]""]",{},"[""HOME""]","[""upper-right"",""right"",""lower-left""]"
hex_pathfinding_0005_open_q1,hex_pathfinding_0005.png,"[""hole_directions=[\""upper-right\"",\""lower-left\""]""]",{},"[""HOME""]","[""upper-right"",""lower-left""]"
hex_pathfinding_0006_open_q1,hex_pathfinding_0006.png,"[""hole_directions=[\""right\""]""]",{},"[""HOME""]","[""right""]"
hex_pathfinding_0007_open_q1,hex_pathfinding_0007.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0008_open_q1,hex_pathfinding_0008.png,"[""hole_directions=[\""right\""]""]",{},"[""HOME""]","[""right""]"
hex_pathfinding_0009_open_q1,hex_pathfinding_0009.png,"[""hole_directions=[\""left\""]""]",{},"[""HOME""]","[""left""]"
hex_pathfinding_0010_open_q1,hex_pathfinding_0010.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0011_open_q1,hex_pathfinding_0011.png,"[""hole_directions=[\""upper-left\""]""]",{},"[""HOME""]","[""upper-left""]"
hex_pathfinding_0012_open_q1,hex_pathfinding_0012.png,"[""hole_directions=[\""upper-left\""]""]",{},"[""HOME""]","[""upper-left""]"
hex_pathfinding_0013_open_q1,hex_pathfinding_0013.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0014_open_q1,hex_pathfinding_0014.png,"[""hole_directions=[\""upper-right\"",\""lower-right\""]""]",{},"[""HOME""]","[""upper-right"",""lower-right""]"
hex_pathfinding_0015_open_q1,hex_pathfinding_0015.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0016_open_q1,hex_pathfinding_0016.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0017_open_q1,hex_pathfinding_0017.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0018_open_q1,hex_pathfinding_0018.png,"[""hole_directions=[\""lower-left\""]""]",{},"[""HOME""]","[""lower-left""]"
hex_pathfinding_0019_open_q1,hex_pathfinding_0019.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0020_open_q1,hex_pathfinding_0020.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0021_open_q1,hex_pathfinding_0021.png,"[""hole_directions=[\""lower-right\""]""]",{},"[""HOME""]","[""lower-right""]"
hex_pathfinding_0022_open_q1,hex_pathfinding_0022.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0023_open_q1,hex_pathfinding_0023.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0024_open_q1,hex_pathfinding_0024.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0025_open_q1,hex_pathfinding_0025.png,"[""hole_directions=[\""right\"",\""lower-right\""]""]",{},"[""HOME""]","[""right"",""lower-right""]"
hex_pathfinding_0026_open_q1,hex_pathfinding_0026.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0027_open_q1,hex_pathfinding_0027.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0028_open_q1,hex_pathfinding_0028.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0029_open_q1,hex_pathfinding_0029.png,"[""hole_directions=[\""upper-left\""]""]",{},"[""HOME""]","[""upper-left""]"
hex_pathfinding_0030_open_q1,hex_pathfinding_0030.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0031_open_q1,hex_pathfinding_0031.png,"[""hole_directions=[\""upper-right\"",\""right\""]""]",{},"[""HOME""]","[""upper-right"",""right""]"
hex_pathfinding_0032_open_q1,hex_pathfinding_0032.png,"[""hole_directions=[\""upper-left\"",\""left\""]""]",{},"[""HOME""]","[""upper-left"",""left""]"
hex_pathfinding_0033_open_q1,hex_pathfinding_0033.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0034_open_q1,hex_pathfinding_0034.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0035_open_q1,hex_pathfinding_0035.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0036_open_q1,hex_pathfinding_0036.png,"[""hole_directions=[\""lower-right\""]""]",{},"[""HOME""]","[""lower-right""]"
hex_pathfinding_0037_open_q1,hex_pathfinding_0037.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0038_open_q1,hex_pathfinding_0038.png,"[""hole_directions=[\""lower-left\"",\""lower-right\""]""]",{},"[""HOME""]","[""lower-left"",""lower-right""]"
hex_pathfinding_0039_open_q1,hex_pathfinding_0039.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0040_open_q1,hex_pathfinding_0040.png,"[""hole_directions=[\""lower-left\""]""]",{},"[""HOME""]","[""lower-left""]"
hex_pathfinding_0041_open_q1,hex_pathfinding_0041.png,"[""hole_directions=[\""lower-left\""]""]",{},"[""HOME""]","[""lower-left""]"
hex_pathfinding_0042_open_q1,hex_pathfinding_0042.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0043_open_q1,hex_pathfinding_0043.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0044_open_q1,hex_pathfinding_0044.png,"[""hole_directions=[\""upper-left\"",\""upper-right\""]""]",{},"[""HOME""]","[""upper-left"",""upper-right""]"
hex_pathfinding_0045_open_q1,hex_pathfinding_0045.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0046_open_q1,hex_pathfinding_0046.png,"[""hole_directions=[\""lower-right\""]""]",{},"[""HOME""]","[""lower-right""]"
