question_id,image,prompt
fbd_0001_open_q1,fbd_0001.png,"Examine only the force arrows as they are drawn in this diagram, setting aside what the scenario physically requires: count the arrows, name which one represents the weight of the body, and rank their drawn magnitudes from largest to smallest, grouping any that appear equal. State your conclusion, justify it by describing the length and direction of each arrow as drawn, and end with a confidence score from 0 to 1."
fbd_0002_open_q1,fbd_0002.png,"Examine only the force arrows as they are drawn in this diagram, setting aside what the scenario physically requires: count the arrows, name which one represents the weight of the body, and rank their drawn magnitudes from largest to smallest, grouping any that appear equal. State your conclusion, justify it by describing the length and direction of each arrow as drawn, and end with a confidence score from 0 to 1."
fbd_0003_open_q1,fbd_0003.png,"Examine only the force arrows as they are drawn in this diagram, setting aside what the scenario physically requires: count the arrows, name which one represents the weight of the body, and rank their drawn magnitudes from largest to smallest, grouping any that appear equal. State your conclusion, justify it by describing the length and direction of each arrow as drawn, and end with a confidence score from 0 to 1."
fbd_0004_open_q1,fbd_0004.png,"Examine only the force arrows as they are drawn in this diagram, setting aside what the scenario physically requires: count the arrows, name which one represents the weight of the body, and rank their drawn magnitudes from largest to smallest, grouping any that appear equal. State your conclusion, justify it by describing the length and direction of each arrow as drawn, and end with a confidence score from 0 to 1."
fbd_0005_open_q1,fbd_0005.png,"Examine only the force arrows as they are drawn in this diagram, setting aside what the scenario physically requires: count the arrows, name which one represents the weight of the body, and rank their drawn magnitudes from largest to smallest, grouping any that appear equal. State your conclusion, justify it by describing the length and direction of each arrow as drawn, and end with a confidence score from 0 to 1."
fbd_0006_open_q1,fbd_0006.png,"Examine only the force arrows as they are drawn in this diagram, setting aside what the scenario physically requires: count the arrows, name which one represents the weight of the body, and rank their drawn magnitudes from largest to smallest, grouping any that appear equal. State your conclusion, justify it by describing the length and direction of each arrow as drawn, and end with a confidence score from 0 to 1."
fbd_0007_open_q1,fbd_0007.png,"Examine only the force arrows as they are drawn in this diagram, setting aside what the scenario physically requires: count the arrows, name which one represents the weight of the body, and rank their drawn magnitudes from largest to smallest, grouping any that appear equal. State your conclusion, justify it by describing the length and direction of each arrow as drawn, and end with a confidence score from 0 to 1."
fbd_0008_open_q1,fbd_0008.png,"Examine only the force arrows as they are drawn in this diagram, setting aside what the scenario physically requires: count the arrows, name which one represents the weight of the body, and rank their drawn magnitudes from largest to smallest, grouping any that appear equal. State your conclusion, justify it by describing the length and direction of each arrow as drawn, and end with a confidence score from 0 to 1."
fbd_0009_open_q1,fbd_0009.png,"Examine only the force arrows as they are drawn in this diagram, setting aside what the scenario physically requires: count the arrows, name which one represents the weight of the body, and rank their drawn magnitudes from largest to smallest, grouping any that appear equal. State your conclusion, justify it by describing the length and direction of each arrow as drawn, and end with a confidence score from 0 to 1."
fbd_0010_open_q1,fbd_0010.png,"Examine only the force arrows as they are drawn in this diagram, setting aside what the scenario physically requires: count the arrows, name which one represents the weight of the body, and rank their drawn magnitudes from largest to smallest, grouping any that appear equal. State your conclusion, justify it by describing the length and direction of each arrow as drawn, and end with a confidence score from 0 to 1."
fbd_0011_open_q1,fbd_0011.png,"Examine only the force arrows as they are drawn in this diagram, setting aside what the scenario physically requires: count the arrows, name which one represents the weight of the body, and rank their drawn magnitudes from largest to smallest, grouping any that appear equal. State your conclusion, justify it by describing the length and direction of each arrow as drawn, and end with a confidence score from 0 to 1."
fbd_0012_open_q1,fbd_0012.png,"Examine only the force arrows as they are drawn in this diagram, setting aside what the scenario physically requires: count the arrows, name which one represents the weight of the body, and rank their drawn magnitudes from largest to smallest, grouping any that appear equal. State your conclusion, justify it by describing the length and direction of each arrow as drawn, and end with a confidence score from 0 to 1."
fbd_0013_open_q1,fbd_0013.png,"Examine only the force arrows as they are drawn in this diagram, setting aside what the scenario physically requires: count the arrows, name which one represents the weight of the body, and rank their drawn magnitudes from largest to smallest, grouping any that appear equal. State your conclusion, justify it by describing the length and direction of each arrow as drawn, and end with a confidence score from 0 to 1."
fbd_0014_open_q1,fbd_0014.png,"Examine only the force arrows as they are drawn in this diagram, setting aside what the scenario physically requires: count the arrows, name which one represents the weight of the body, and rank their drawn magnitudes from largest to smallest, grouping any that appear equal. State your conclusion, justify it by describing the length and direction of each arrow as drawn, and end with a confidence score from 0 to 1."
