task,image,prompt,groundtruth,metadata
Image Description,clock_reading_0001.png,Which hour has the short hand most recently passed? Answer with a number from 1 to 12.,3,"{""angle_between_hands"":179.5,""angle_between_hands_fraction"":""359/2"",""difficulty_score"":0.68,""hour"":3,""hour_angle"":114.5,""hour_angle_fraction"":""229/2"",""minute"":49,""minute_angle"":294.0,""minute_angle_fraction"":""294/1"",""minute_relation_to_six"":""after"",""seed"":1,""time"":""03:49""}"
Basic Relational Reasoning,clock_reading_0001.png,Is the minute hand pointing before or after the 6 (half past)? Answer 'before' or 'after'.,after,"{""angle_between_hands"":179.5,""angle_between_hands_fraction"":""359/2"",""difficulty_score"":0.68,""hour"":3,""hour_angle"":114.5,""hour_angle_fraction"":""229/2"",""minute"":49,""minute_angle"":294.0,""minute_angle_fraction"":""294/1"",""minute_relation_to_six"":""after"",""seed"":1,""time"":""03:49""}"
Comparative Reasoning,clock_reading_0001.png,What is the exact time shown? Answer in HH:MM format.,03:49,"{""angle_between_hands"":179.5,""angle_between_hands_fraction"":""359/2"",""difficulty_score"":0.68,""hour"":3,""hour_angle"":114.5,""hour_angle_fraction"":""229/2"",""minute"":49,""minute_angle"":294.0,""minute_angle_fraction"":""294/1"",""minute_relation_to_six"":""after"",""seed"":1,""time"":""03:49""}"
Compound Reasoning,clock_reading_0001.png,"What is the smaller angle between the hour and minute hands, rounded to the nearest degree?",180,"{""angle_between_hands"":179.5,""angle_between_hands_fraction"":""359/2"",""difficulty_score"":0.68,""hour"":3,""hour_angle"":114.5,""hour_angle_fraction"":""229/2"",""minute"":49,""minute_angle"":294.0,""minute_angle_fraction"":""294/1"",""minute_relation_to_six"":""after"",""seed"":1,""time"":""03:49""}"
Extrapolative/Counterfactual Reasoning,clock_reading_0001.png,"If 20 minutes were added to the current time, what would the new smaller angle between the hands be, rounded to the nearest degree?",71,"{""angle_between_hands"":179.5,""angle_between_hands_fraction"":""359/2"",""difficulty_score"":0.68,""hour"":3,""hour_angle"":114.5,""hour_angle_fraction"":""229/2"",""minute"":49,""minute_angle"":294.0,""minute_angle_fraction"":""294/1"",""minute_relation_to_six"":""after"",""seed"":1,""time"":""03:49""}"
Image Description,clock_reading_0002.png,Which hour has the short hand most recently passed? Answer with a number from 1 to 12.,1,"{""angle_between_hands"":19.0,""angle_between_hands_fraction"":""19/1"",""difficulty_score"":0.4,""hour"":1,""hour_angle"":31.0,""hour_angle_fraction"":""31/1"",""minute"":2,""minute_angle"":12.0,""minute_angle_fraction"":""12/1"",""minute_relation_to_six"":""before"",""seed"":2,""time"":""01:02""}"
Basic Relational Reasoning,clock_reading_0002.png,Is the minute hand pointing before or after the 6 (half past)? Answer 'before' or 'after'.,before,"{""angle_between_hands"":19.0,""angle_between_hands_fraction"":""19/1"",""difficulty_score"":0.4,""hour"":1,""hour_angle"":31.0,""hour_angle_fraction"":""31/1"",""minute"":2,""minute_angle"":12.0,""minute_angle_fraction"":""12/1"",""minute_relation_to_six"":""before"",""seed"":2,""time"":""01:02""}"
Comparative Reasoning,clock_reading_0002.png,What is the exact time shown? Answer in HH:MM format.,01:02,"{""angle_between_hands"":19.0,""angle_between_hands_fraction"":""19/1"",""difficulty_score"":0.4,""hour"":1,""hour_angle"":31.0,""hour_angle_fraction"":""31/1"",""minute"":2,""minute_angle"":12.0,""minute_angle_fraction"":""12/1"",""minute_relation_to_six"":""before"",""seed"":2,""time"":""01:02""}"
Compound Reasoning,clock_reading_0002.png,"What is the smaller angle between the hour and minute hands, rounded to the nearest degree?",19,"{""angle_between_hands"":19.0,""angle_between_hands_fraction"":""19/1"",""difficulty_score"":0.4,""hour"":1,""hour_angle"":31.0,""hour_angle_fraction"":""31/1"",""minute"":2,""minute_angle"":12.0,""minute_angle_fraction"":""12/1"",""minute_relation_to_six"":""before"",""seed"":2,""time"":""01:02""}"
Extrapolative/Counterfactual Reasoning,clock_reading_0002.png,"If 20 minutes were added to the current time, what would the new smaller angle between the hands be, rounded to the nearest degree?",91,"{""angle_between_hands"":19.0,""angle_between_hands_fraction"":""19/1"",""difficulty_score"":0.4,""hour"":1,""hour_angle"":31.0,""hour_angle_fraction"":""31/1"",""minute"":2,""minute_angle"":12.0,""minute_angle_fraction"":""12/1"",""minute_relation_to_six"":""before"",""seed"":2,""time"":""01:02""}"
Image Description,clock_reading_0003.png,Which hour has the short hand most recently passed? Answer with a number from 1 to 12.,4,"{""angle_between_hands"":149.5,""angle_between_hands_fraction"":""299/2"",""difficulty_score"":0.68,""hour"":4,""hour_angle"":144.5,""hour_angle_fraction"":""289/2"",""minute"":49,""minute_angle"":294.0,""minute_angle_fraction"":""294/1"",""minute_relation_to_six"":""after"",""seed"":3,""time"":""04:49""}"
Basic Relational Reasoning,clock_reading_0003.png,Is the minute hand pointing before or after the 6 (half past)? Answer 'before' or 'after'.,after,"{""angle_between_hands"":149.5,""angle_between_hands_fraction"":""299/2"",""difficulty_score"":0.68,""hour"":4,""hour_angle"":144.5,""hour_angle_fraction"":""289/2"",""minute"":49,""minute_angle"":294.0,""minute_angle_fraction"":""294/1"",""minute_relation_to_six"":""after"",""seed"":3,""time"":""04:49""}"
Comparative Reasoning,clock_reading_0003.png,What is the exact time shown? Answer in HH:MM format.,04:49,"{""angle_between_hands"":149.5,""angle_between_hands_fraction"":""299/2"",""difficulty_score"":0.68,""hour"":4,""hour_angle"":144.5,""hour_angle_fraction"":""289/2"",""minute"":49,""minute_angle"":294.0,""minute_angle_fraction"":""294/1"",""minute_relation_to_six"":""after"",""seed"":3,""time"":""04:49""}"
Compound Reasoning,clock_reading_0003.png,"What is the smaller angle between the hour and minute hands, rounded to the nearest degree?",150,"{""angle_between_hands"":149.5,""angle_between_hands_fraction"":""299/2"",""difficulty_score"":0.68,""hour"":4,""hour_angle"":144.5,""hour_angle_fraction"":""289/2"",""minute"":49,""minute_angle"":294.0,""minute_angle_fraction"":""294/1"",""minute_relation_to_six"":""after"",""seed"":3,""time"":""04:49""}"
Extrapolative/Counterfactual Reasoning,clock_reading_0003.png,"If 20 minutes were added to the current time, what would the new smaller angle between the hands be, rounded to the nearest degree?",101,"{""angle_between_hands"":149.5,""angle_between_hands_fraction"":""299/2"",""difficulty_score"":0.68,""hour"":4,""hour_angle"":144.5,""hour_angle_fraction"":""289/2"",""minute"":49,""minute_angle"":294.0,""minute_angle_fraction"":""294/1"",""minute_relation_to_six"":""after"",""seed"":3,""time"":""04:49""}"
Image Description,clock_reading_0004.png,Which hour has the short hand most recently passed? Answer with a number from 1 to 12.,4,"{""angle_between_hands"":70.5,""angle_between_hands_fraction"":""141/2"",""difficulty_score"":0.52,""hour"":4,""hour_angle"":124.5,""hour_angle_fraction"":""249/2"",""minute"":9,""minute_angle"":54.0,""minute_angle_fraction"":""54/1"",""minute_relation_to_six"":""before"",""seed"":4,""time"":""04:09""}"
Basic Relational Reasoning,clock_reading_0004.png,Is the minute hand pointing before or after the 6 (half past)? Answer 'before' or 'after'.,before,"{""angle_between_hands"":70.5,""angle_between_hands_fraction"":""141/2"",""difficulty_score"":0.52,""hour"":4,""hour_angle"":124.5,""hour_angle_fraction"":""249/2"",""minute"":9,""minute_angle"":54.0,""minute_angle_fraction"":""54/1"",""minute_relation_to_six"":""before"",""seed"":4,""time"":""04:09""}"
Comparative Reasoning,clock_reading_0004.png,What is the exact time shown? Answer in HH:MM format.,04:09,"{""angle_between_hands"":70.5,""angle_between_hands_fraction"":""141/2"",""difficulty_score"":0.52,""hour"":4,""hour_angle"":124.5,""hour_angle_fraction"":""249/2"",""minute"":9,""minute_angle"":54.0,""minute_angle_fraction"":""54/1"",""minute_relation_to_six"":""before"",""seed"":4,""time"":""04:09""}"
Compound Reasoning,clock_reading_0004.png,"What is the smaller angle between the hour and minute hands, rounded to the nearest degree?",71,"{""angle_between_hands"":70.5,""angle_between_hands_fraction"":""141/2"",""difficulty_score"":0.52,""hour"":4,""hour_angle"":124.5,""hour_angle_fraction"":""249/2"",""minute"":9,""minute_angle"":54.0,""minute_angle_fraction"":""54/1"",""minute_relation_to_six"":""before"",""seed"":4,""time"":""04:09""}"
Extrapolative/Counterfactual Reasoning,clock_reading_0004.png,"If 20 minutes were added to the current time, what would the new smaller angle between the hands be, rounded to the nearest degree?",40,"{""angle_between_hands"":70.5,""angle_between_hands_fraction"":""141/2"",""difficulty_score"":0.52,""hour"":4,""hour_angle"":124.5,""hour_angle_fraction"":""249/2"",""minute"":9,""minute_angle"":54.0,""minute_angle_fraction"":""54/1"",""minute_relation_to_six"":""before"",""seed"":4,""time"":""04:09""}"
Image Description,clock_reading_0005.png,Which hour has the short hand most recently passed? Answer with a number from 1 to 12.,10,"{""angle_between_hands"":85.5,""angle_between_hands_fraction"":""171/2"",""difficulty_score"":0.52,""hour"":10,""hour_angle"":319.5,""hour_angle_fraction"":""639/2"",""minute"":39,""minute_angle"":234.0,""minute_angle_fraction"":""234/1"",""minute_relation_to_six"":""after"",""seed"":5,""time"":""10:39""}"
Basic Relational Reasoning,clock_reading_0005.png,Is the minute hand pointing before or after the 6 (half past)? Answer 'before' or 'after'.,after,"{""angle_between_hands"":85.5,""angle_between_hands_fraction"":""171/2"",""difficulty_score"":0.52,""hour"":10,""hour_angle"":319.5,""hour_angle_fraction"":""639/2"",""minute"":39,""minute_angle"":234.0,""minute_angle_fraction"":""234/1"",""minute_relation_to_six"":""after"",""seed"":5,""time"":""10:39""}"
Comparative Reasoning,clock_reading_0005.png,What is the exact time shown? Answer in HH:MM format.,10:39,"{""angle_between_hands"":85.5,""angle_between_hands_fraction"":""171/2"",""difficulty_score"":0.52,""hour"":10,""hour_angle"":319.5,""hour_angle_fraction"":""639/2"",""minute"":39,""minute_angle"":234.0,""minute_angle_fraction"":""234/1"",""minute_relation_to_six"":""after"",""seed"":5,""time"":""10:39""}"
Compound Reasoning,clock_reading_0005.png,"What is the smaller angle between the hour and minute hands, rounded to the nearest degree?",86,"{""angle_between_hands"":85.5,""angle_between_hands_fraction"":""171/2"",""difficulty_score"":0.52,""hour"":10,""hour_angle"":319.5,""hour_angle_fraction"":""639/2"",""minute"":39,""minute_angle"":234.0,""minute_angle_fraction"":""234/1"",""minute_relation_to_six"":""after"",""seed"":5,""time"":""10:39""}"
Extrapolative/Counterfactual Reasoning,clock_reading_0005.png,"If 20 minutes were added to the current time, what would the new smaller angle between the hands be, rounded to the nearest degree?",25,"{""angle_between_hands"":85.5,""angle_between_hands_fraction"":""171/2"",""difficulty_score"":0.52,""hour"":10,""hour_angle"":319.5,""hour_angle_fraction"":""639/2"",""minute"":39,""minute_angle"":234.0,""minute_angle_fraction"":""234/1"",""minute_relation_to_six"":""after"",""seed"":5,""time"":""10:39""}"
Image Description,clock_reading_0006.png,Which hour has the short hand most recently passed? Answer with a number from 1 to 12.,10,"{""angle_between_hands"":157.0,""angle_between_hands_fraction"":""157/1"",""difficulty_score"":0.4,""hour"":10,""hour_angle"":313.0,""hour_angle_fraction"":""313/1"",""minute"":26,""minute_angle"":156.0,""minute_angle_fraction"":""156/1"",""minute_relation_to_six"":""before"",""seed"":6,""time"":""10:26""}"
Basic Relational Reasoning,clock_reading_0006.png,Is the minute hand pointing before or after the 6 (half past)? Answer 'before' or 'after'.,before,"{""angle_between_hands"":157.0,""angle_between_hands_fraction"":""157/1"",""difficulty_score"":0.4,""hour"":10,""hour_angle"":313.0,""hour_angle_fraction"":""313/1"",""minute"":26,""minute_angle"":156.0,""minute_angle_fraction"":""156/1"",""minute_relation_to_six"":""before"",""seed"":6,""time"":""10:26""}"
Comparative Reasoning,clock_reading_0006.png,What is the exact time shown? Answer in HH:MM format.,10:26,"{""angle_between_hands"":157.0,""angle_between_hands_fraction"":""157/1"",""difficulty_score"":0.4,""hour"":10,""hour_angle"":313.0,""hour_angle_fraction"":""313/1"",""minute"":26,""minute_angle"":156.0,""minute_angle_fraction"":""156/1"",""minute_relation_to_six"":""before"",""seed"":6,""time"":""10:26""}"
Compound Reasoning,clock_reading_0006.png,"What is the smaller angle between the hour and minute hands, rounded to the nearest degree?",157,"{""angle_between_hands"":157.0,""angle_between_hands_fraction"":""157/1"",""difficulty_score"":0.4,""hour"":10,""hour_angle"":313.0,""hour_angle_fraction"":""313/1"",""minute"":26,""minute_angle"":156.0,""minute_angle_fraction"":""156/1"",""minute_relation_to_six"":""before"",""seed"":6,""time"":""10:26""}"
Extrapolative/Counterfactual Reasoning,clock_reading_0006.png,"If 20 minutes were added to the current time, what would the new smaller angle between the hands be, rounded to the nearest degree?",47,"{""angle_between_hands"":157.0,""angle_between_hands_fraction"":""157/1"",""difficulty_score"":0.4,""hour"":10,""hour_angle"":313.0,""hour_angle_fraction"":""313/1"",""minute"":26,""minute_angle"":156.0,""minute_angle_fraction"":""156/1"",""minute_relation_to_six"":""before"",""seed"":6,""time"":""10:26""}"
Image Description,clock_reading_0007.png,Which hour has the short hand most recently passed? Answer with a number from 1 to 12.,6,"{""angle_between_hands"":34.5,""angle_between_hands_fraction"":""69/2"",""difficulty_score"":0.52,""hour"":6,""hour_angle"":199.5,""hour_angle_fraction"":""399/2"",""minute"":39,""minute_angle"":234.0,""minute_angle_fraction"":""234/1"",""minute_relation_to_six"":""after"",""seed"":7,""time"":""06:39""}"
