question_id,image,acceptance_set,tolerances,targets,minimum_cube_count,uniqueness
orthographic_0001_open_q1,orthographic_0001.png,"[""minimum_cube_count=6; uniqueness=not unique""]","{""minimum_cube_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""top"",""front"",""side""]",6,not unique
orthographic_0002_open_q1,orthographic_0002.png,"[""minimum_cube_count=9; uniqueness=not unique""]","{""minimum_cube_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""top"",""front"",""side""]",9,not unique
orthographic_0003_open_q1,orthographic_0003.png,"[""minimum_cube_count=11; uniqueness=not unique""]","{""minimum_cube_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""top"",""front"",""side""]",11,not unique
orthographic_0004_open_q1,orthographic_0004.png,"[""minimum_cube_count=7; uniqueness=unique""]","{""minimum_cube_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""top"",""front"",""side""]",7,unique
orthographic_0005_open_q1,orthographic_0005.png,"[""minimum_cube_count=9; uniqueness=not unique""]","{""minimum_cube_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""top"",""front"",""side""]",9,not unique
orthographic_0006_open_q1,orthographic_0006.png,"[""minimum_cube_count=12; uniqueness=not unique""]","{""minimum_cube_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""top"",""front"",""side""]",12,not unique
orthographic_0007_open_q1,orthographic_0007.png,"[""minimum_cube_count=8; uniqueness=unique""]","{""minimum_cube_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""top"",""front"",""side""]",8,unique
orthographic_0008_open_q1,orthographic_0008.png,"[""minimum_cube_count=7; uniqueness=unique""]","{""minimum_cube_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""top"",""front"",""side""]",7,unique
orthographic_0009_open_q1,orthographic_0009.png,"[""minimum_cube_count=9; uniqueness=unique""]","{""minimum_cube_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""top"",""front"",""side""]",9,unique
orthographic_0010_open_q1,orthographic_0010.png,"[""minimum_cube_count=10; uniqueness=unique""]","{""minimum_cube_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""top"",""front"",""side""]",10,unique
orthographic_0011_open_q1,orthographic_0011.png,"[""minimum_cube_count=9; uniqueness=unique""]","{""minimum_cube_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""top"",""front"",""side""]",9,unique
orthographic_0012_open_q1,orthographic_0012.png,"[""minimum_cube_count=9; uniqueness=unique""]","{""minimum_cube_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""top"",""front"",""side""]",9,unique
orthographic_0013_open_q1,orthographic_0013.png,"[""minimum_cube_count=8; uniqueness=unique""]","{""minimum_cube_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""top"",""front"",""side""]",8,unique
orthographic_0014_open_q1,orthographic_0014.png,"[""minimum_cube_count=6; uniqueness=unique""]","{""minimum_cube_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""top"",""front"",""side""]",6,unique
orthographic_0015_open_q1,orthographic_0015.png,"[""minimum_cube_count=7; uniqueness=unique""]","{""minimum_cube_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""top"",""front"",""side""]",7,unique
orthographic_0016_open_q1,orthographic_0016.png,"[""minimum_cube_count=8; uniqueness=unique""]","{""minimum_cube_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""top"",""front"",""side""]",8,unique
orthographic_0017_open_q1,orthographic_0017.png,"[""minimum_cube_count=9; uniqueness=not unique""]","{""minimum_cube_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""top"",""front"",""side""]",9,not unique
orthographic_0018_open_q1,orthographic_0018.png,"[""minimum_cube_count=7; uniqueness=unique""]","{""minimum_cube_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""top"",""front"",""side""]",7,unique
orthographic_0019_open_q1,orthographic_0019.png,"[""minimum_cube_count=10; uniqueness=not unique""]","{""minimum_cube_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""top"",""front"",""side""]",10,not unique
orthographic_0020_open_q1,orthographic_0020.png,"[""minimum_cube_count=11; uniqueness=not unique""]","{""minimum_cube_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""top"",""front"",""side""]",11,not unique
orthographic_0021_open_q1,orthographic_0021.png,"[""minimum_cube_count=7; uniqueness=unique""]","{""minimum_cube_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""top"",""front"",""side""]",7,unique
orthographic_0022_open_q1,orthographic_0022.png,"[""minimum_cube_count=7; uniqueness=not unique""]","{""minimum_cube_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""top"",""front"",""side""]",7,not unique
orthographic_0023_open_q1,orthographic_0023.png,"[""minimum_cube_count=9; uniqueness=not unique""]","{""minimum_cube_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""top"",""front"",""side""]",9,not unique
orthographic_0024_open_q1,orthographic_0024.png,"[""minimum_cube_count=11; uniqueness=not unique""]","{""minimum_cube_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""top"",""front"",""side""]",11,not unique
orthographic_0025_open_q1,orthographic_0025.png,"[""minimum_cube_count=9; uniqueness=not unique""]","{""minimum_cube_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""top"",""front"",""side""]",9,not unique
orthographic_0026_open_q1,orthographic_0026.png,"[""minimum_cube_count=11; uniqueness=not unique""]","{""minimum_cube_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""top"",""front"",""side""]",11,not unique
orthographic_0027_open_q1,orthographic_0027.png,"[""minimum_cube_count=10; uniqueness=not unique""]","{""minimum_cube_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""top"",""front"",""side""]",10,not unique
orthographic_0028_open_q1,orthographic_0028.png,"[""minimum_cube_count=6; uniqueness=unique""]","{""minimum_cube_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""top"",""front"",""side""]",6,unique
orthographic_0029_open_q1,orthographic_0029.png,"[""minimum_cube_count=9; uniqueness=not unique""]","{""minimum_cube_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""top"",""front"",""side""]",9,not unique
orthographic_0030_open_q1,orthographic_0030.png,"[""minimum_cube_count=10; uniqueness=not unique""]","{""minimum_cube_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""top"",""front"",""side""]",10,not unique
orthographic_0031_open_q1,orthographic_0031.png,"[""minimum_cube_count=10; uniqueness=not unique""]","{""minimum_cube_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""top"",""front"",""side""]",10,not unique
orthographic_0032_open_q1,orthographic_0032.png,"[""minimum_cube_count=6; uniqueness=unique""]","{""minimum_cube_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""top"",""front"",""side""]",6,unique
orthographic_0033_open_q1,orthographic_0033.png,"[""minimum_cube_count=10; uniqueness=unique""]","{""minimum_cube_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""top"",""front"",""side""]",10,unique
orthographic_0034_open_q1,orthographic_0034.png,"[""minimum_cube_count=9; uniqueness=not unique""]","{""minimum_cube_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""top"",""front"",""side""]",9,not unique
orthographic_0035_open_q1,orthographic_0035.png,"[""minimum_cube_count=9; uniqueness=not unique""]","{""minimum_cube_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""top"",""front"",""side""]",9,not unique
orthographic_0036_open_q1,orthographic_0036.png,"[""minimum_cube_count=7; uniqueness=not unique""]","{""minimum_cube_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""top"",""front"",""side""]",7,not unique
orthographic_0037_open_q1,orthographic_0037.png,"[""minimum_cube_count=11; uniqueness=not unique""]","{""minimum_cube_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""top"",""front"",""side""]",11,not unique
orthographic_0038_open_q1,orthographic_0038.png,"[""minimum_cube_count=9; uniqueness=not unique""]","{""minimum_cube_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""top"",""front"",""side""]",9,not unique
orthographic_0039_open_q1,orthographic_0039.png,"[""minimum_cube_count=7; uniqueness=unique""]","{""minimum_cube_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""top"",""front"",""side""]",7,unique
orthographic_0040_open_q1,orthographic_0040.png,"[""minimum_cube_count=9; uniqueness=unique""]","{""minimum_cube_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""top"",""front"",""side""]",9,unique
orthographic_0041_open_q1,orthographic_0041.png,"[""minimum_cube_count=10; uniqueness=not unique""]","{""minimum_cube_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""top"",""front"",""side""]",10,not unique
orthographic_0042_open_q1,orthographic_0042.png,"[""minimum_cube_count=11; uniqueness=not unique""]","{""minimum_cube_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""top"",""front"",""side""]",11,not unique
orthographic_0043_open_q1,orthographic_0043.png,"[""minimum_cube_count=6; uniqueness=unique""]","{""minimum_cube_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""top"",""front"",""side""]",6,unique
orthographic_0044_open_q1,orthographic_0044.png,"[""minimum_cube_count=9; uniqueness=unique""]","{""minimum_cube_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""top"",""front"",""side""]",9,unique
orthographic_0045_open_q1,orthographic_0045.png,"[""minimum_cube_count=8; uniqueness=unique""]","{""minimum_cube_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""top"",""front"",""side""]",8,unique
orthographic_0046_open_q1,orthographic_0046.png,"[""minimum_cube_count=6; uniqueness=unique""]","{""minimum_cube_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""top"",""front"",""side""]",6,unique
