task,image,prompt,groundtruth,metadata
Image Description,projectile_motion_0001.png,"What is the initial launch angle shown, in degrees?",75,"{""canvas_height"":425,""canvas_width"":570,""dataset_version"":""projectile-motion-1.0.0"",""difficulty_score"":0.55,""gravity_m_s2"":9.8,""has_obstacle"":true,""horizontal_position_at_peak_m"":6.5306122448979576,""initial_speed_m_s"":16,""initial_velocity_x_m_s"":4.141104721640332,""initial_velocity_y_m_s"":15.454813220625093,""launch_angle_degrees"":75,""max_height_m"":12.186288351245313,""range_at_45_degrees_m"":26.122448979591834,""range_change_at_45_degrees"":""increase"",""range_m"":13.061224489795915,""seed"":1,""time_of_flight_s"":3.154043514413284}"
Basic Relational Reasoning,projectile_motion_0001.png,Will the projectile reach a higher maximum height than 20 meters? Answer yes or no.,no,"{""canvas_height"":425,""canvas_width"":570,""dataset_version"":""projectile-motion-1.0.0"",""difficulty_score"":0.55,""gravity_m_s2"":9.8,""has_obstacle"":true,""horizontal_position_at_peak_m"":6.5306122448979576,""initial_speed_m_s"":16,""initial_velocity_x_m_s"":4.141104721640332,""initial_velocity_y_m_s"":15.454813220625093,""launch_angle_degrees"":75,""max_height_m"":12.186288351245313,""range_at_45_degrees_m"":26.122448979591834,""range_change_at_45_degrees"":""increase"",""range_m"":13.061224489795915,""seed"":1,""time_of_flight_s"":3.154043514413284}"
Comparative Reasoning,projectile_motion_0001.png,"At what horizontal distance from launch does the projectile reach its maximum height? Answer in meters, rounded to 1 decimal.",6.5,"{""canvas_height"":425,""canvas_width"":570,""dataset_version"":""projectile-motion-1.0.0"",""difficulty_score"":0.55,""gravity_m_s2"":9.8,""has_obstacle"":true,""horizontal_position_at_peak_m"":6.5306122448979576,""initial_speed_m_s"":16,""initial_velocity_x_m_s"":4.141104721640332,""initial_velocity_y_m_s"":15.454813220625093,""launch_angle_degrees"":75,""max_height_m"":12.186288351245313,""range_at_45_degrees_m"":26.122448979591834,""range_change_at_45_degrees"":""increase"",""range_m"":13.061224489795915,""seed"":1,""time_of_flight_s"":3.154043514413284}"
Compound Reasoning,projectile_motion_0001.png,What are the total time of flight in seconds and total horizontal range in meters? Round both to 1 decimal.,"{'time_of_flight_s': 3.2, 'range_m': 13.1}","{""canvas_height"":425,""canvas_width"":570,""dataset_version"":""projectile-motion-1.0.0"",""difficulty_score"":0.55,""gravity_m_s2"":9.8,""has_obstacle"":true,""horizontal_position_at_peak_m"":6.5306122448979576,""initial_speed_m_s"":16,""initial_velocity_x_m_s"":4.141104721640332,""initial_velocity_y_m_s"":15.454813220625093,""launch_angle_degrees"":75,""max_height_m"":12.186288351245313,""range_at_45_degrees_m"":26.122448979591834,""range_change_at_45_degrees"":""increase"",""range_m"":13.061224489795915,""seed"":1,""time_of_flight_s"":3.154043514413284}"
Extrapolative/Counterfactual Reasoning,projectile_motion_0001.png,"Does the projectile clear the obstacle shown, or does it hit it? If it clears, by how much height in meters? If it hits, at what height does it strike?",hits; at 11.2 m,"{""canvas_height"":425,""canvas_width"":570,""dataset_version"":""projectile-motion-1.0.0"",""difficulty_score"":0.55,""gravity_m_s2"":9.8,""has_obstacle"":true,""horizontal_position_at_peak_m"":6.5306122448979576,""initial_speed_m_s"":16,""initial_velocity_x_m_s"":4.141104721640332,""initial_velocity_y_m_s"":15.454813220625093,""launch_angle_degrees"":75,""max_height_m"":12.186288351245313,""range_at_45_degrees_m"":26.122448979591834,""range_change_at_45_degrees"":""increase"",""range_m"":13.061224489795915,""seed"":1,""time_of_flight_s"":3.154043514413284}"
Image Description,projectile_motion_0002.png,"What is the initial launch angle shown, in degrees?",65,"{""canvas_height"":450,""canvas_width"":590,""dataset_version"":""projectile-motion-1.0.0"",""difficulty_score"":0.55,""gravity_m_s2"":9.8,""has_obstacle"":true,""horizontal_position_at_peak_m"":17.235999970177005,""initial_speed_m_s"":21,""initial_velocity_x_m_s"":8.874983496554687,""initial_velocity_y_m_s"":19.03246352776965,""launch_angle_degrees"":65,""max_height_m"":18.481360608973567,""range_at_45_degrees_m"":45.0,""range_change_at_45_degrees"":""increase"",""range_m"":34.47199994035401,""seed"":2,""time_of_flight_s"":3.8841762301570713}"
Basic Relational Reasoning,projectile_motion_0002.png,Will the projectile reach a higher maximum height than 20 meters? Answer yes or no.,no,"{""canvas_height"":450,""canvas_width"":590,""dataset_version"":""projectile-motion-1.0.0"",""difficulty_score"":0.55,""gravity_m_s2"":9.8,""has_obstacle"":true,""horizontal_position_at_peak_m"":17.235999970177005,""initial_speed_m_s"":21,""initial_velocity_x_m_s"":8.874983496554687,""initial_velocity_y_m_s"":19.03246352776965,""launch_angle_degrees"":65,""max_height_m"":18.481360608973567,""range_at_45_degrees_m"":45.0,""range_change_at_45_degrees"":""increase"",""range_m"":34.47199994035401,""seed"":2,""time_of_flight_s"":3.8841762301570713}"
Comparative Reasoning,projectile_motion_0002.png,"At what horizontal distance from launch does the projectile reach its maximum height? Answer in meters, rounded to 1 decimal.",17.2,"{""canvas_height"":450,""canvas_width"":590,""dataset_version"":""projectile-motion-1.0.0"",""difficulty_score"":0.55,""gravity_m_s2"":9.8,""has_obstacle"":true,""horizontal_position_at_peak_m"":17.235999970177005,""initial_speed_m_s"":21,""initial_velocity_x_m_s"":8.874983496554687,""initial_velocity_y_m_s"":19.03246352776965,""launch_angle_degrees"":65,""max_height_m"":18.481360608973567,""range_at_45_degrees_m"":45.0,""range_change_at_45_degrees"":""increase"",""range_m"":34.47199994035401,""seed"":2,""time_of_flight_s"":3.8841762301570713}"
Compound Reasoning,projectile_motion_0002.png,What are the total time of flight in seconds and total horizontal range in meters? Round both to 1 decimal.,"{'time_of_flight_s': 3.9, 'range_m': 34.5}","{""canvas_height"":450,""canvas_width"":590,""dataset_version"":""projectile-motion-1.0.0"",""difficulty_score"":0.55,""gravity_m_s2"":9.8,""has_obstacle"":true,""horizontal_position_at_peak_m"":17.235999970177005,""initial_speed_m_s"":21,""initial_velocity_x_m_s"":8.874983496554687,""initial_velocity_y_m_s"":19.03246352776965,""launch_angle_degrees"":65,""max_height_m"":18.481360608973567,""range_at_45_degrees_m"":45.0,""range_change_at_45_degrees"":""increase"",""range_m"":34.47199994035401,""seed"":2,""time_of_flight_s"":3.8841762301570713}"
Extrapolative/Counterfactual Reasoning,projectile_motion_0002.png,"Does the projectile clear the obstacle shown, or does it hit it? If it clears, by how much height in meters? If it hits, at what height does it strike?",clears; by 8.9 m,"{""canvas_height"":450,""canvas_width"":590,""dataset_version"":""projectile-motion-1.0.0"",""difficulty_score"":0.55,""gravity_m_s2"":9.8,""has_obstacle"":true,""horizontal_position_at_peak_m"":17.235999970177005,""initial_speed_m_s"":21,""initial_velocity_x_m_s"":8.874983496554687,""initial_velocity_y_m_s"":19.03246352776965,""launch_angle_degrees"":65,""max_height_m"":18.481360608973567,""range_at_45_degrees_m"":45.0,""range_change_at_45_degrees"":""increase"",""range_m"":34.47199994035401,""seed"":2,""time_of_flight_s"":3.8841762301570713}"
