question_id,image,acceptance_set,targets,target_gear,mesh_path,target_teeth,target_direction,target_rpm
gear_train_0001_open_q1,gear_train_0001.png,"[""target_gear=C; mesh_path=['A', 'B', 'C']; target_teeth=15; target_direction=CCW; target_rpm=96""]","[""A"",""C""]",C,"[""A"",""B"",""C""]",15,CCW,96
gear_train_0002_open_q1,gear_train_0002.png,"[""target_gear=C; mesh_path=['A', 'B', 'C']; target_teeth=18; target_direction=CCW; target_rpm=43.33""]","[""A"",""C""]",C,"[""A"",""B"",""C""]",18,CCW,43.33
gear_train_0003_open_q1,gear_train_0003.png,"[""target_gear=D; mesh_path=['A', 'B', 'D']; target_teeth=12; target_direction=CCW; target_rpm=40""]","[""A"",""D""]",D,"[""A"",""B"",""D""]",12,CCW,40
gear_train_0004_open_q1,gear_train_0004.png,"[""target_gear=C; mesh_path=['A', 'B', 'C']; target_teeth=33; target_direction=CW; target_rpm=98.18""]","[""A"",""C""]",C,"[""A"",""B"",""C""]",33,CW,98.18
gear_train_0005_open_q1,gear_train_0005.png,"[""target_gear=C; mesh_path=['A', 'B', 'C']; target_teeth=9; target_direction=CW; target_rpm=80""]","[""A"",""C""]",C,"[""A"",""B"",""C""]",9,CW,80
gear_train_0006_open_q1,gear_train_0006.png,"[""target_gear=D; mesh_path=['A', 'B', 'C', 'D']; target_teeth=10; target_direction=CW; target_rpm=58.5""]","[""A"",""D""]",D,"[""A"",""B"",""C"",""D""]",10,CW,58.5
gear_train_0007_open_q1,gear_train_0007.png,"[""target_gear=D; mesh_path=['A', 'B', 'C', 'D']; target_teeth=12; target_direction=CCW; target_rpm=102""]","[""A"",""D""]",D,"[""A"",""B"",""C"",""D""]",12,CCW,102
gear_train_0008_open_q1,gear_train_0008.png,"[""target_gear=C; mesh_path=['A', 'B', 'C']; target_teeth=16; target_direction=CW; target_rpm=96.88""]","[""A"",""C""]",C,"[""A"",""B"",""C""]",16,CW,96.88
gear_train_0009_open_q1,gear_train_0009.png,"[""target_gear=D; mesh_path=['A', 'B', 'C', 'D']; target_teeth=19; target_direction=CW; target_rpm=48.95""]","[""A"",""D""]",D,"[""A"",""B"",""C"",""D""]",19,CW,48.95
gear_train_0010_open_q1,gear_train_0010.png,"[""target_gear=C; mesh_path=['A', 'B', 'C']; target_teeth=8; target_direction=CCW; target_rpm=525""]","[""A"",""C""]",C,"[""A"",""B"",""C""]",8,CCW,525
gear_train_0011_open_q1,gear_train_0011.png,"[""target_gear=C; mesh_path=['A', 'B', 'C']; target_teeth=40; target_direction=CCW; target_rpm=41.62""]","[""A"",""C""]",C,"[""A"",""B"",""C""]",40,CCW,41.62
gear_train_0012_open_q1,gear_train_0012.png,"[""target_gear=C; mesh_path=['A', 'B', 'C']; target_teeth=17; target_direction=CCW; target_rpm=44.12""]","[""A"",""C""]",C,"[""A"",""B"",""C""]",17,CCW,44.12
gear_train_0013_open_q1,gear_train_0013.png,"[""target_gear=C; mesh_path=['A', 'B', 'C']; target_teeth=22; target_direction=CW; target_rpm=47.27""]","[""A"",""C""]",C,"[""A"",""B"",""C""]",22,CW,47.27
gear_train_0014_open_q1,gear_train_0014.png,"[""target_gear=C; mesh_path=['A', 'B', 'C']; target_teeth=24; target_direction=CW; target_rpm=57.5""]","[""A"",""C""]",C,"[""A"",""B"",""C""]",24,CW,57.5
gear_train_0015_open_q1,gear_train_0015.png,"[""target_gear=C; mesh_path=['A', 'B', 'C']; target_teeth=18; target_direction=CW; target_rpm=22.22""]","[""A"",""C""]",C,"[""A"",""B"",""C""]",18,CW,22.22
gear_train_0016_open_q1,gear_train_0016.png,"[""target_gear=C; mesh_path=['A', 'B', 'C']; target_teeth=34; target_direction=CW; target_rpm=134.12""]","[""A"",""C""]",C,"[""A"",""B"",""C""]",34,CW,134.12
gear_train_0017_open_q1,gear_train_0017.png,"[""target_gear=E; mesh_path=['A', 'B', 'C', 'E']; target_teeth=25; target_direction=CCW; target_rpm=43.2""]","[""A"",""E""]",E,"[""A"",""B"",""C"",""E""]",25,CCW,43.2
gear_train_0018_open_q1,gear_train_0018.png,"[""target_gear=C; mesh_path=['A', 'B', 'C']; target_teeth=29; target_direction=CW; target_rpm=25.86""]","[""A"",""C""]",C,"[""A"",""B"",""C""]",29,CW,25.86
gear_train_0019_open_q1,gear_train_0019.png,"[""target_gear=D; mesh_path=['A', 'B', 'C', 'D']; target_teeth=20; target_direction=CW; target_rpm=36""]","[""A"",""D""]",D,"[""A"",""B"",""C"",""D""]",20,CW,36
gear_train_0020_open_q1,gear_train_0020.png,"[""target_gear=C; mesh_path=['A', 'B', 'C']; target_teeth=28; target_direction=CCW; target_rpm=25.71""]","[""A"",""C""]",C,"[""A"",""B"",""C""]",28,CCW,25.71
gear_train_0021_open_q1,gear_train_0021.png,"[""target_gear=C; mesh_path=['A', 'B', 'C']; target_teeth=38; target_direction=CCW; target_rpm=44.74""]","[""A"",""C""]",C,"[""A"",""B"",""C""]",38,CCW,44.74
gear_train_0022_open_q1,gear_train_0022.png,"[""target_gear=C; mesh_path=['A', 'B', 'C']; target_teeth=36; target_direction=CW; target_rpm=28.75""]","[""A"",""C""]",C,"[""A"",""B"",""C""]",36,CW,28.75
