question_id,image,acceptance_set,tolerances,targets,shape_count,shrink_pattern,rotation_degrees_nearest_10
nested_triangles_0001_open_q1,nested_triangles_0001.png,"[""shape_count=10; shrink_pattern=changing; rotation_degrees_nearest_10=0""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",10,changing,0
nested_triangles_0002_open_q1,nested_triangles_0002.png,"[""shape_count=9; shrink_pattern=changing; rotation_degrees_nearest_10=100""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",9,changing,100
nested_triangles_0003_open_q1,nested_triangles_0003.png,"[""shape_count=4; shrink_pattern=changing; rotation_degrees_nearest_10=60""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",4,changing,60
nested_triangles_0004_open_q1,nested_triangles_0004.png,"[""shape_count=6; shrink_pattern=changing; rotation_degrees_nearest_10=50""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",6,changing,50
nested_triangles_0005_open_q1,nested_triangles_0005.png,"[""shape_count=10; shrink_pattern=constant; rotation_degrees_nearest_10=0""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",10,constant,0
nested_triangles_0006_open_q1,nested_triangles_0006.png,"[""shape_count=9; shrink_pattern=constant; rotation_degrees_nearest_10=100""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",9,constant,100
nested_triangles_0007_open_q1,nested_triangles_0007.png,"[""shape_count=12; shrink_pattern=changing; rotation_degrees_nearest_10=0""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",12,changing,0
nested_triangles_0008_open_q1,nested_triangles_0008.png,"[""shape_count=7; shrink_pattern=changing; rotation_degrees_nearest_10=70""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",7,changing,70
nested_triangles_0009_open_q1,nested_triangles_0009.png,"[""shape_count=4; shrink_pattern=constant; rotation_degrees_nearest_10=60""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",4,constant,60
nested_triangles_0010_open_q1,nested_triangles_0010.png,"[""shape_count=6; shrink_pattern=constant; rotation_degrees_nearest_10=50""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",6,constant,50
