task,image,prompt,groundtruth,metadata
Image Description,shadow_inference_0001.png,How many objects are casting a shadow in this image?,2,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.36,""ground_y"":306,""has_inconsistent_shadow"":false,""inconsistent_object_index"":null,""light_azimuth_degrees"":89.5435,""light_elevation_degrees"":42.4746,""num_objects"":2,""seed"":1}"
Basic Relational Reasoning,shadow_inference_0001.png,"From which general direction is the light coming — left, right, front, or back? Answer with one word.",right,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.36,""ground_y"":306,""has_inconsistent_shadow"":false,""inconsistent_object_index"":null,""light_azimuth_degrees"":89.5435,""light_elevation_degrees"":42.4746,""num_objects"":2,""seed"":1}"
Comparative Reasoning,shadow_inference_0001.png,Is the light source high in the sky (steep angle) or low near the horizon (shallow angle)? Answer 'high' or 'low'.,low,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.36,""ground_y"":306,""has_inconsistent_shadow"":false,""inconsistent_object_index"":null,""light_azimuth_degrees"":89.5435,""light_elevation_degrees"":42.4746,""num_objects"":2,""seed"":1}"
Compound Reasoning,shadow_inference_0001.png,"If the light source moved to the exact opposite direction (180 degrees azimuth rotation), would the shadows lengthen, shorten, or stay the same length?",same,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.36,""ground_y"":306,""has_inconsistent_shadow"":false,""inconsistent_object_index"":null,""light_azimuth_degrees"":89.5435,""light_elevation_degrees"":42.4746,""num_objects"":2,""seed"":1}"
Extrapolative/Counterfactual Reasoning,shadow_inference_0001.png,"If the light elevation increased by 20 degrees while remaining below 90 degrees and all object geometry stayed fixed, would each shadow become longer, shorter, or unchanged?",shorter,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.36,""ground_y"":306,""has_inconsistent_shadow"":false,""inconsistent_object_index"":null,""light_azimuth_degrees"":89.5435,""light_elevation_degrees"":42.4746,""num_objects"":2,""seed"":1}"
Image Description,shadow_inference_0002.png,How many objects are casting a shadow in this image?,3,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.82,""ground_y"":268,""has_inconsistent_shadow"":false,""inconsistent_object_index"":null,""light_azimuth_degrees"":245.1583,""light_elevation_degrees"":30.6109,""num_objects"":3,""seed"":2}"
Basic Relational Reasoning,shadow_inference_0002.png,"From which general direction is the light coming — left, right, front, or back? Answer with one word.",left,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.82,""ground_y"":268,""has_inconsistent_shadow"":false,""inconsistent_object_index"":null,""light_azimuth_degrees"":245.1583,""light_elevation_degrees"":30.6109,""num_objects"":3,""seed"":2}"
Comparative Reasoning,shadow_inference_0002.png,Which object casts the LONGEST shadow? Answer with that object's color.,teal,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.82,""ground_y"":268,""has_inconsistent_shadow"":false,""inconsistent_object_index"":null,""light_azimuth_degrees"":245.1583,""light_elevation_degrees"":30.6109,""num_objects"":3,""seed"":2}"
Compound Reasoning,shadow_inference_0002.png,"If the light source moved to the exact opposite direction (180 degrees azimuth rotation), would the shadows lengthen, shorten, or stay the same length?",same,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.82,""ground_y"":268,""has_inconsistent_shadow"":false,""inconsistent_object_index"":null,""light_azimuth_degrees"":245.1583,""light_elevation_degrees"":30.6109,""num_objects"":3,""seed"":2}"
Extrapolative/Counterfactual Reasoning,shadow_inference_0002.png,"If the light source moved to the exact opposite direction (180 degrees azimuth rotation), would the shadows lengthen, shorten, or stay the same length?",same,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.82,""ground_y"":268,""has_inconsistent_shadow"":false,""inconsistent_object_index"":null,""light_azimuth_degrees"":245.1583,""light_elevation_degrees"":30.6109,""num_objects"":3,""seed"":2}"
Image Description,shadow_inference_0003.png,How many objects are casting a shadow in this image?,3,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.82,""ground_y"":301,""has_inconsistent_shadow"":false,""inconsistent_object_index"":null,""light_azimuth_degrees"":282.572,""light_elevation_degrees"":23.2764,""num_objects"":3,""seed"":3}"
Basic Relational Reasoning,shadow_inference_0003.png,"From which general direction is the light coming — left, right, front, or back? Answer with one word.",left,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.82,""ground_y"":301,""has_inconsistent_shadow"":false,""inconsistent_object_index"":null,""light_azimuth_degrees"":282.572,""light_elevation_degrees"":23.2764,""num_objects"":3,""seed"":3}"
Comparative Reasoning,shadow_inference_0003.png,Which object casts the LONGEST shadow? Answer with that object's color.,teal,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.82,""ground_y"":301,""has_inconsistent_shadow"":false,""inconsistent_object_index"":null,""light_azimuth_degrees"":282.572,""light_elevation_degrees"":23.2764,""num_objects"":3,""seed"":3}"
Compound Reasoning,shadow_inference_0003.png,"If the light source moved to the exact opposite direction (180 degrees azimuth rotation), would the shadows lengthen, shorten, or stay the same length?",same,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.82,""ground_y"":301,""has_inconsistent_shadow"":false,""inconsistent_object_index"":null,""light_azimuth_degrees"":282.572,""light_elevation_degrees"":23.2764,""num_objects"":3,""seed"":3}"
Extrapolative/Counterfactual Reasoning,shadow_inference_0003.png,"If the light elevation increased by 20 degrees while remaining below 90 degrees and all object geometry stayed fixed, would each shadow become longer, shorter, or unchanged?",shorter,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.82,""ground_y"":301,""has_inconsistent_shadow"":false,""inconsistent_object_index"":null,""light_azimuth_degrees"":282.572,""light_elevation_degrees"":23.2764,""num_objects"":3,""seed"":3}"
Image Description,shadow_inference_0004.png,How many objects are casting a shadow in this image?,1,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.2,""ground_y"":279,""has_inconsistent_shadow"":false,""inconsistent_object_index"":null,""light_azimuth_degrees"":46.6515,""light_elevation_degrees"":40.0796,""num_objects"":1,""seed"":4}"
Basic Relational Reasoning,shadow_inference_0004.png,"From which general direction is the light coming — left, right, front, or back? Answer with one word.",right,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.2,""ground_y"":279,""has_inconsistent_shadow"":false,""inconsistent_object_index"":null,""light_azimuth_degrees"":46.6515,""light_elevation_degrees"":40.0796,""num_objects"":1,""seed"":4}"
