question_id,task,image,prompt,groundtruth
optical_illusion_0001_q1,Image Description,optical_illusion_0001.png,How many target line segments are being compared in this image?,2
optical_illusion_0001_q2,Basic Relational Reasoning,optical_illusion_0001.png,"Because of the surrounding fins, which element would a typical human viewer perceive as longer—element A or element B? Answer with the letter.",A
optical_illusion_0001_q3,Comparative Reasoning,optical_illusion_0001.png,"Ignoring the surrounding context, measure the actual length of element A and element B. Are they equal, or is one actually longer? Answer 'equal', 'A', or 'B'.",equal
optical_illusion_0001_q4,Compound Reasoning,optical_illusion_0001.png,"By approximately what percentage do the two elements' TRUE sizes differ (0% if equal)? Answer with a number in curly brackets, e.g. {12}.",0
optical_illusion_0001_q5,Extrapolative/Counterfactual Reasoning,optical_illusion_0001.png,"If the visual context (fins) were removed entirely and only the two bare elements remained, would your answer to 'which one is bigger' change from what the illusion suggests? Answer yes or no, and state which is actually bigger without the context.",yes; actually equal
optical_illusion_0002_q1,Image Description,optical_illusion_0002.png,How many target line segments are being compared in this image?,2
optical_illusion_0002_q2,Basic Relational Reasoning,optical_illusion_0002.png,"Because of the converging lines, which element would a typical human viewer perceive as longer—element A or element B? Answer with the letter.",A
optical_illusion_0002_q3,Comparative Reasoning,optical_illusion_0002.png,"Ignoring the surrounding context, measure the actual length of element A and element B. Are they equal, or is one actually longer? Answer 'equal', 'A', or 'B'.",equal
optical_illusion_0002_q4,Compound Reasoning,optical_illusion_0002.png,"By approximately what percentage do the two elements' TRUE sizes differ (0% if equal)? Answer with a number in curly brackets, e.g. {12}.",0
optical_illusion_0002_q5,Extrapolative/Counterfactual Reasoning,optical_illusion_0002.png,"If the visual context (converging lines) were removed entirely and only the two bare elements remained, would your answer to 'which one is bigger' change from what the illusion suggests? Answer yes or no, and state which is actually bigger without the context.",yes; actually equal
optical_illusion_0003_q1,Image Description,optical_illusion_0003.png,How many center circles are being compared in this image?,2
optical_illusion_0003_q2,Basic Relational Reasoning,optical_illusion_0003.png,"Because of the surrounding circles, which element would a typical human viewer perceive as bigger—element A or element B? Answer with the letter.",A
optical_illusion_0003_q3,Comparative Reasoning,optical_illusion_0003.png,"Ignoring the surrounding context, measure the actual diameter of element A and element B. Are they equal, or is one actually bigger? Answer 'equal', 'A', or 'B'.",equal
optical_illusion_0003_q4,Compound Reasoning,optical_illusion_0003.png,"By approximately what percentage do the two elements' TRUE sizes differ (0% if equal)? Answer with a number in curly brackets, e.g. {12}.",0
optical_illusion_0003_q5,Extrapolative/Counterfactual Reasoning,optical_illusion_0003.png,"If the visual context (surrounding circles) were removed entirely and only the two bare elements remained, would your answer to 'which one is bigger' change from what the illusion suggests? Answer yes or no, and state which is actually bigger without the context.",yes; actually equal
optical_illusion_0004_q1,Image Description,optical_illusion_0004.png,How many target line segments are being compared in this image?,2
