question_id,task,image,prompt,groundtruth
shadow_inference_0001_q1,Image Description,shadow_inference_0001.png,How many objects are casting a shadow in this image?,2
shadow_inference_0001_q2,Basic Relational Reasoning,shadow_inference_0001.png,"From which general direction is the light coming — left, right, front, or back? Answer with one word.",right
shadow_inference_0001_q3,Comparative Reasoning,shadow_inference_0001.png,Is the light source high in the sky (steep angle) or low near the horizon (shallow angle)? Answer 'high' or 'low'.,low
shadow_inference_0001_q4,Compound Reasoning,shadow_inference_0001.png,"If the light source moved to the exact opposite direction (180 degrees azimuth rotation), would the shadows lengthen, shorten, or stay the same length?",same
shadow_inference_0001_q5,Extrapolative/Counterfactual Reasoning,shadow_inference_0001.png,"If the light elevation increased by 20 degrees while remaining below 90 degrees and all object geometry stayed fixed, would each shadow become longer, shorter, or unchanged?",shorter
shadow_inference_0002_q1,Image Description,shadow_inference_0002.png,How many objects are casting a shadow in this image?,3
shadow_inference_0002_q2,Basic Relational Reasoning,shadow_inference_0002.png,"From which general direction is the light coming — left, right, front, or back? Answer with one word.",left
shadow_inference_0002_q3,Comparative Reasoning,shadow_inference_0002.png,Which object casts the LONGEST shadow? Answer with that object's color.,teal
shadow_inference_0002_q4,Compound Reasoning,shadow_inference_0002.png,"If the light source moved to the exact opposite direction (180 degrees azimuth rotation), would the shadows lengthen, shorten, or stay the same length?",same
shadow_inference_0002_q5,Extrapolative/Counterfactual Reasoning,shadow_inference_0002.png,"If the light source moved to the exact opposite direction (180 degrees azimuth rotation), would the shadows lengthen, shorten, or stay the same length?",same
shadow_inference_0003_q1,Image Description,shadow_inference_0003.png,How many objects are casting a shadow in this image?,3
shadow_inference_0003_q2,Basic Relational Reasoning,shadow_inference_0003.png,"From which general direction is the light coming — left, right, front, or back? Answer with one word.",left
shadow_inference_0003_q3,Comparative Reasoning,shadow_inference_0003.png,Which object casts the LONGEST shadow? Answer with that object's color.,teal
shadow_inference_0003_q4,Compound Reasoning,shadow_inference_0003.png,"If the light source moved to the exact opposite direction (180 degrees azimuth rotation), would the shadows lengthen, shorten, or stay the same length?",same
shadow_inference_0003_q5,Extrapolative/Counterfactual Reasoning,shadow_inference_0003.png,"If the light elevation increased by 20 degrees while remaining below 90 degrees and all object geometry stayed fixed, would each shadow become longer, shorter, or unchanged?",shorter
shadow_inference_0004_q1,Image Description,shadow_inference_0004.png,How many objects are casting a shadow in this image?,1
shadow_inference_0004_q2,Basic Relational Reasoning,shadow_inference_0004.png,"From which general direction is the light coming — left, right, front, or back? Answer with one word.",right
shadow_inference_0004_q3,Comparative Reasoning,shadow_inference_0004.png,Is the light source high in the sky (steep angle) or low near the horizon (shallow angle)? Answer 'high' or 'low'.,low
shadow_inference_0004_q4,Compound Reasoning,shadow_inference_0004.png,"Estimate the light source's approximate elevation angle above the horizon, rounded to the nearest 15 degrees.",45
shadow_inference_0004_q5,Extrapolative/Counterfactual Reasoning,shadow_inference_0004.png,"If the light source moved to the exact opposite direction (180 degrees azimuth rotation), would the shadows lengthen, shorten, or stay the same length?",same
shadow_inference_0005_q1,Image Description,shadow_inference_0005.png,How many objects are casting a shadow in this image?,3
shadow_inference_0005_q2,Basic Relational Reasoning,shadow_inference_0005.png,"From which general direction is the light coming — left, right, front, or back? Answer with one word.",right
shadow_inference_0005_q3,Comparative Reasoning,shadow_inference_0005.png,Which object casts the LONGEST shadow? Answer with that object's color.,blue
shadow_inference_0005_q4,Compound Reasoning,shadow_inference_0005.png,"If the light source moved to the exact opposite direction (180 degrees azimuth rotation), would the shadows lengthen, shorten, or stay the same length?",same
shadow_inference_0005_q5,Extrapolative/Counterfactual Reasoning,shadow_inference_0005.png,"If the light elevation increased by 20 degrees while remaining below 90 degrees and all object geometry stayed fixed, would each shadow become longer, shorter, or unchanged?",shorter
shadow_inference_0006_q1,Image Description,shadow_inference_0006.png,How many objects are casting a shadow in this image?,2
shadow_inference_0006_q2,Basic Relational Reasoning,shadow_inference_0006.png,"From which general direction is the light coming — left, right, front, or back? Answer with one word.",front
shadow_inference_0006_q3,Comparative Reasoning,shadow_inference_0006.png,Which object casts the LONGEST shadow? Answer with that object's color.,teal
shadow_inference_0006_q4,Compound Reasoning,shadow_inference_0006.png,"If the light source moved to the exact opposite direction (180 degrees azimuth rotation), would the shadows lengthen, shorten, or stay the same length?",same
shadow_inference_0006_q5,Extrapolative/Counterfactual Reasoning,shadow_inference_0006.png,"If the light source moved to the exact opposite direction (180 degrees azimuth rotation), would the shadows lengthen, shorten, or stay the same length?",same
shadow_inference_0007_q1,Image Description,shadow_inference_0007.png,How many objects are casting a shadow in this image?,2
shadow_inference_0007_q2,Basic Relational Reasoning,shadow_inference_0007.png,Do all objects in this image appear to be lit by the same light source? Answer yes or no.,no
shadow_inference_0007_q3,Comparative Reasoning,shadow_inference_0007.png,Is the light source high in the sky (steep angle) or low near the horizon (shallow angle)? Answer 'high' or 'low'.,high
shadow_inference_0007_q4,Compound Reasoning,shadow_inference_0007.png,Which object's shadow does NOT match the lighting direction of the others? Answer with that object's color.,orange
shadow_inference_0007_q5,Extrapolative/Counterfactual Reasoning,shadow_inference_0007.png,"If the light elevation increased by 20 degrees while remaining below 90 degrees and all object geometry stayed fixed, would each shadow become longer, shorter, or unchanged?",shorter
shadow_inference_0008_q1,Image Description,shadow_inference_0008.png,How many objects are casting a shadow in this image?,2
shadow_inference_0008_q2,Basic Relational Reasoning,shadow_inference_0008.png,Do all objects in this image appear to be lit by the same light source? Answer yes or no.,no
shadow_inference_0008_q3,Comparative Reasoning,shadow_inference_0008.png,Which object casts the LONGEST shadow? Answer with that object's color.,purple
shadow_inference_0008_q4,Compound Reasoning,shadow_inference_0008.png,Which object's shadow does NOT match the lighting direction of the others? Answer with that object's color.,purple
shadow_inference_0008_q5,Extrapolative/Counterfactual Reasoning,shadow_inference_0008.png,"If the light source moved to the exact opposite direction (180 degrees azimuth rotation), would the shadows lengthen, shorten, or stay the same length?",same
shadow_inference_0009_q1,Image Description,shadow_inference_0009.png,How many objects are casting a shadow in this image?,2
shadow_inference_0009_q2,Basic Relational Reasoning,shadow_inference_0009.png,Do all objects in this image appear to be lit by the same light source? Answer yes or no.,no
shadow_inference_0009_q3,Comparative Reasoning,shadow_inference_0009.png,Is the light source high in the sky (steep angle) or low near the horizon (shallow angle)? Answer 'high' or 'low'.,high
shadow_inference_0009_q4,Compound Reasoning,shadow_inference_0009.png,Which object's shadow does NOT match the lighting direction of the others? Answer with that object's color.,blue
shadow_inference_0009_q5,Extrapolative/Counterfactual Reasoning,shadow_inference_0009.png,"If the light elevation increased by 20 degrees while remaining below 90 degrees and all object geometry stayed fixed, would each shadow become longer, shorter, or unchanged?",shorter
shadow_inference_0010_q1,Image Description,shadow_inference_0010.png,How many objects are casting a shadow in this image?,1
shadow_inference_0010_q2,Basic Relational Reasoning,shadow_inference_0010.png,"From which general direction is the light coming — left, right, front, or back? Answer with one word.",left
