question_id,image,prompt
orthographic_0001_open_q1,orthographic_0001.png,"Start at the panel labelled TOP and compare it with FRONT and SIDE: count filled cells in each view, name every view tied for the largest silhouette, then reconcile the three silhouettes with the pictured solid to give the cube total. Justify the reconciliation and explain how you avoided counting the same vertical-z stack once in every projection. Use z as vertical. End with a confidence score from 0 to 1."
orthographic_0002_open_q1,orthographic_0002.png,"Start at the panel labelled TOP and compare it with FRONT and SIDE: count filled cells in each view, name every view tied for the largest silhouette, then reconcile the three silhouettes with the pictured solid to give the cube total. Justify the reconciliation and explain how you avoided counting the same vertical-z stack once in every projection. Use z as vertical. End with a confidence score from 0 to 1."
orthographic_0003_open_q1,orthographic_0003.png,"Start at the panel labelled TOP and compare it with FRONT and SIDE: count filled cells in each view, name every view tied for the largest silhouette, then reconcile the three silhouettes with the pictured solid to give the cube total. Justify the reconciliation and explain how you avoided counting the same vertical-z stack once in every projection. Use z as vertical. End with a confidence score from 0 to 1."
orthographic_0004_open_q1,orthographic_0004.png,"Start at the panel labelled TOP and compare it with FRONT and SIDE: count filled cells in each view, name every view tied for the largest silhouette, then reconcile the three silhouettes with the pictured solid to give the cube total. Justify the reconciliation and explain how you avoided counting the same vertical-z stack once in every projection. Use z as vertical. End with a confidence score from 0 to 1."
orthographic_0005_open_q1,orthographic_0005.png,"Start at the panel labelled TOP and compare it with FRONT and SIDE: count filled cells in each view, name every view tied for the largest silhouette, then reconcile the three silhouettes with the pictured solid to give the cube total. Justify the reconciliation and explain how you avoided counting the same vertical-z stack once in every projection. Use z as vertical. End with a confidence score from 0 to 1."
orthographic_0006_open_q1,orthographic_0006.png,"Start at the panel labelled TOP and compare it with FRONT and SIDE: count filled cells in each view, name every view tied for the largest silhouette, then reconcile the three silhouettes with the pictured solid to give the cube total. Justify the reconciliation and explain how you avoided counting the same vertical-z stack once in every projection. Use z as vertical. End with a confidence score from 0 to 1."
orthographic_0007_open_q1,orthographic_0007.png,"Start at the panel labelled TOP and compare it with FRONT and SIDE: count filled cells in each view, name every view tied for the largest silhouette, then reconcile the three silhouettes with the pictured solid to give the cube total. Justify the reconciliation and explain how you avoided counting the same vertical-z stack once in every projection. Use z as vertical. End with a confidence score from 0 to 1."
orthographic_0008_open_q1,orthographic_0008.png,"Start at the panel labelled TOP and compare it with FRONT and SIDE: count filled cells in each view, name every view tied for the largest silhouette, then reconcile the three silhouettes with the pictured solid to give the cube total. Justify the reconciliation and explain how you avoided counting the same vertical-z stack once in every projection. Use z as vertical. End with a confidence score from 0 to 1."
orthographic_0009_open_q1,orthographic_0009.png,"Start at the panel labelled TOP and compare it with FRONT and SIDE: count filled cells in each view, name every view tied for the largest silhouette, then reconcile the three silhouettes with the pictured solid to give the cube total. Justify the reconciliation and explain how you avoided counting the same vertical-z stack once in every projection. Use z as vertical. End with a confidence score from 0 to 1."
orthographic_0010_open_q1,orthographic_0010.png,"Start at the panel labelled TOP and compare it with FRONT and SIDE: count filled cells in each view, name every view tied for the largest silhouette, then reconcile the three silhouettes with the pictured solid to give the cube total. Justify the reconciliation and explain how you avoided counting the same vertical-z stack once in every projection. Use z as vertical. End with a confidence score from 0 to 1."
orthographic_0011_open_q1,orthographic_0011.png,"Start at the panel labelled TOP and compare it with FRONT and SIDE: count filled cells in each view, name every view tied for the largest silhouette, then reconcile the three silhouettes with the pictured solid to give the cube total. Justify the reconciliation and explain how you avoided counting the same vertical-z stack once in every projection. Use z as vertical. End with a confidence score from 0 to 1."
orthographic_0012_open_q1,orthographic_0012.png,"Start at the panel labelled TOP and compare it with FRONT and SIDE: count filled cells in each view, name every view tied for the largest silhouette, then reconcile the three silhouettes with the pictured solid to give the cube total. Justify the reconciliation and explain how you avoided counting the same vertical-z stack once in every projection. Use z as vertical. End with a confidence score from 0 to 1."
orthographic_0013_open_q1,orthographic_0013.png,"Start at the panel labelled TOP and compare it with FRONT and SIDE: count filled cells in each view, name every view tied for the largest silhouette, then reconcile the three silhouettes with the pictured solid to give the cube total. Justify the reconciliation and explain how you avoided counting the same vertical-z stack once in every projection. Use z as vertical. End with a confidence score from 0 to 1."
orthographic_0014_open_q1,orthographic_0014.png,"Start at the panel labelled TOP and compare it with FRONT and SIDE: count filled cells in each view, name every view tied for the largest silhouette, then reconcile the three silhouettes with the pictured solid to give the cube total. Justify the reconciliation and explain how you avoided counting the same vertical-z stack once in every projection. Use z as vertical. End with a confidence score from 0 to 1."
orthographic_0015_open_q1,orthographic_0015.png,"Start at the panel labelled TOP and compare it with FRONT and SIDE: count filled cells in each view, name every view tied for the largest silhouette, then reconcile the three silhouettes with the pictured solid to give the cube total. Justify the reconciliation and explain how you avoided counting the same vertical-z stack once in every projection. Use z as vertical. End with a confidence score from 0 to 1."
orthographic_0016_open_q1,orthographic_0016.png,"Start at the panel labelled TOP and compare it with FRONT and SIDE: count filled cells in each view, name every view tied for the largest silhouette, then reconcile the three silhouettes with the pictured solid to give the cube total. Justify the reconciliation and explain how you avoided counting the same vertical-z stack once in every projection. Use z as vertical. End with a confidence score from 0 to 1."
orthographic_0017_open_q1,orthographic_0017.png,"Start at the panel labelled TOP and compare it with FRONT and SIDE: count filled cells in each view, name every view tied for the largest silhouette, then reconcile the three silhouettes with the pictured solid to give the cube total. Justify the reconciliation and explain how you avoided counting the same vertical-z stack once in every projection. Use z as vertical. End with a confidence score from 0 to 1."
orthographic_0018_open_q1,orthographic_0018.png,"Start at the panel labelled TOP and compare it with FRONT and SIDE: count filled cells in each view, name every view tied for the largest silhouette, then reconcile the three silhouettes with the pictured solid to give the cube total. Justify the reconciliation and explain how you avoided counting the same vertical-z stack once in every projection. Use z as vertical. End with a confidence score from 0 to 1."
orthographic_0019_open_q1,orthographic_0019.png,"Start at the panel labelled TOP and compare it with FRONT and SIDE: count filled cells in each view, name every view tied for the largest silhouette, then reconcile the three silhouettes with the pictured solid to give the cube total. Justify the reconciliation and explain how you avoided counting the same vertical-z stack once in every projection. Use z as vertical. End with a confidence score from 0 to 1."
orthographic_0020_open_q1,orthographic_0020.png,"Start at the panel labelled TOP and compare it with FRONT and SIDE: count filled cells in each view, name every view tied for the largest silhouette, then reconcile the three silhouettes with the pictured solid to give the cube total. Justify the reconciliation and explain how you avoided counting the same vertical-z stack once in every projection. Use z as vertical. End with a confidence score from 0 to 1."
orthographic_0021_open_q1,orthographic_0021.png,"Start at the panel labelled TOP and compare it with FRONT and SIDE: count filled cells in each view, name every view tied for the largest silhouette, then reconcile the three silhouettes with the pictured solid to give the cube total. Justify the reconciliation and explain how you avoided counting the same vertical-z stack once in every projection. Use z as vertical. End with a confidence score from 0 to 1."
orthographic_0022_open_q1,orthographic_0022.png,"Start at the panel labelled TOP and compare it with FRONT and SIDE: count filled cells in each view, name every view tied for the largest silhouette, then reconcile the three silhouettes with the pictured solid to give the cube total. Justify the reconciliation and explain how you avoided counting the same vertical-z stack once in every projection. Use z as vertical. End with a confidence score from 0 to 1."
orthographic_0023_open_q1,orthographic_0023.png,"Start at the panel labelled TOP and compare it with FRONT and SIDE: count filled cells in each view, name every view tied for the largest silhouette, then reconcile the three silhouettes with the pictured solid to give the cube total. Justify the reconciliation and explain how you avoided counting the same vertical-z stack once in every projection. Use z as vertical. End with a confidence score from 0 to 1."
