question_id,task,image,prompt
nested_squares_0001_q1,Image Description,nested_squares_0001.png,"How many squares are in this image? Please answer with a number in curly brackets, e.g. {10}."
nested_squares_0001_q2,Basic Relational Reasoning,nested_squares_0001.png,"Do the shapes shrink by roughly the same factor at each step, or does the amount of shrinking change as you move inward? Answer 'constant' or 'changing'."
nested_squares_0001_q3,Comparative Reasoning,nested_squares_0001.png,"What is the approximate ratio of the outermost square's side length to the innermost square's side length? Answer as a number rounded to 1 decimal in curly brackets, e.g. {3.2}."
nested_squares_0001_q4,Compound Reasoning,nested_squares_0001.png,"Through approximately how many degrees has the innermost square been rotated relative to the outermost square? Because regular squares have 4-fold symmetry, answer with a value from 0 to 90 in curly brackets, e.g. {25}."
nested_squares_0001_q5,Extrapolative/Counterfactual Reasoning,nested_squares_0001.png,"If one more square were added inside the innermost one following the same size-reduction pattern, would its side length still be long enough to be visually distinguishable at this image resolution (i.e. greater than roughly 12% of the outermost square's side length)? Answer yes or no."
nested_squares_0002_q1,Image Description,nested_squares_0002.png,"How many squares are in this image? Please answer with a number in curly brackets, e.g. {10}."
nested_squares_0002_q2,Basic Relational Reasoning,nested_squares_0002.png,"Do the shapes shrink by roughly the same factor at each step, or does the amount of shrinking change as you move inward? Answer 'constant' or 'changing'."
nested_squares_0002_q3,Comparative Reasoning,nested_squares_0002.png,"What is the approximate ratio of the outermost square's side length to the innermost square's side length? Answer as a number rounded to 1 decimal in curly brackets, e.g. {3.2}."
nested_squares_0002_q4,Compound Reasoning,nested_squares_0002.png,"Through approximately how many degrees has the innermost square been rotated relative to the outermost square? Because regular squares have 4-fold symmetry, answer with a value from 0 to 90 in curly brackets, e.g. {25}."
nested_squares_0002_q5,Extrapolative/Counterfactual Reasoning,nested_squares_0002.png,"If one more square were added inside the innermost one following the same size-reduction pattern, would its side length still be long enough to be visually distinguishable at this image resolution (i.e. greater than roughly 12% of the outermost square's side length)? Answer yes or no."
nested_squares_0003_q1,Image Description,nested_squares_0003.png,"How many squares are in this image? Please answer with a number in curly brackets, e.g. {10}."
nested_squares_0003_q2,Basic Relational Reasoning,nested_squares_0003.png,"Do the shapes shrink by roughly the same factor at each step, or does the amount of shrinking change as you move inward? Answer 'constant' or 'changing'."
nested_squares_0003_q3,Comparative Reasoning,nested_squares_0003.png,"What is the approximate ratio of the outermost square's side length to the innermost square's side length? Answer as a number rounded to 1 decimal in curly brackets, e.g. {3.2}."
nested_squares_0003_q4,Compound Reasoning,nested_squares_0003.png,"Through approximately how many degrees has the innermost square been rotated relative to the outermost square? Because regular squares have 4-fold symmetry, answer with a value from 0 to 90 in curly brackets, e.g. {25}."
nested_squares_0003_q5,Extrapolative/Counterfactual Reasoning,nested_squares_0003.png,"If one more square were added inside the innermost one following the same size-reduction pattern, would its side length still be long enough to be visually distinguishable at this image resolution (i.e. greater than roughly 12% of the outermost square's side length)? Answer yes or no."
nested_squares_0004_q1,Image Description,nested_squares_0004.png,"How many squares are in this image? Please answer with a number in curly brackets, e.g. {10}."
nested_squares_0004_q2,Basic Relational Reasoning,nested_squares_0004.png,"Do the shapes shrink by roughly the same factor at each step, or does the amount of shrinking change as you move inward? Answer 'constant' or 'changing'."
nested_squares_0004_q3,Comparative Reasoning,nested_squares_0004.png,"What is the approximate ratio of the outermost square's side length to the innermost square's side length? Answer as a number rounded to 1 decimal in curly brackets, e.g. {3.2}."
nested_squares_0004_q4,Compound Reasoning,nested_squares_0004.png,"Through approximately how many degrees has the innermost square been rotated relative to the outermost square? Because regular squares have 4-fold symmetry, answer with a value from 0 to 90 in curly brackets, e.g. {25}."
nested_squares_0004_q5,Extrapolative/Counterfactual Reasoning,nested_squares_0004.png,"If one more square were added inside the innermost one following the same size-reduction pattern, would its side length still be long enough to be visually distinguishable at this image resolution (i.e. greater than roughly 12% of the outermost square's side length)? Answer yes or no."
nested_squares_0005_q1,Image Description,nested_squares_0005.png,"How many squares are in this image? Please answer with a number in curly brackets, e.g. {10}."
nested_squares_0005_q2,Basic Relational Reasoning,nested_squares_0005.png,"Do the shapes shrink by roughly the same factor at each step, or does the amount of shrinking change as you move inward? Answer 'constant' or 'changing'."
