dataset,dataset_version,question_id,image,image_path,prompt
hex_pathfinding,hex-pathfinding-3.0.0,hex_pathfinding_0001_open_q1,hex_pathfinding_0001.png,Dataset/hex_pathfinding_dataset_3000/images/hex_pathfinding_0001.png,"Look closely at the green HOME hex and everything that immediately surrounds it: state whether it sits on the outer boundary of the hexagonal field or fully inside it, count how many hexes lie directly against it, and say how many of those are grey holes and how many are walkable. Name the position of any hole touching it using these six direction names only: upper-left, upper-right, left, right, lower-left, lower-right. Justify your answer by describing exactly what you see around it, and end with a confidence score from 0 to 1."
hex_pathfinding,hex-pathfinding-3.0.0,hex_pathfinding_0002_open_q1,hex_pathfinding_0002.png,Dataset/hex_pathfinding_dataset_3000/images/hex_pathfinding_0002.png,"Look closely at the green HOME hex and everything that immediately surrounds it: state whether it sits on the outer boundary of the hexagonal field or fully inside it, count how many hexes lie directly against it, and say how many of those are grey holes and how many are walkable. Name the position of any hole touching it using these six direction names only: upper-left, upper-right, left, right, lower-left, lower-right. Justify your answer by describing exactly what you see around it, and end with a confidence score from 0 to 1."
hex_pathfinding,hex-pathfinding-3.0.0,hex_pathfinding_0003_open_q1,hex_pathfinding_0003.png,Dataset/hex_pathfinding_dataset_3000/images/hex_pathfinding_0003.png,"Look closely at the green HOME hex and everything that immediately surrounds it: state whether it sits on the outer boundary of the hexagonal field or fully inside it, count how many hexes lie directly against it, and say how many of those are grey holes and how many are walkable. Name the position of any hole touching it using these six direction names only: upper-left, upper-right, left, right, lower-left, lower-right. Justify your answer by describing exactly what you see around it, and end with a confidence score from 0 to 1."
hex_pathfinding,hex-pathfinding-3.0.0,hex_pathfinding_0004_open_q1,hex_pathfinding_0004.png,Dataset/hex_pathfinding_dataset_3000/images/hex_pathfinding_0004.png,"Look closely at the green HOME hex and everything that immediately surrounds it: state whether it sits on the outer boundary of the hexagonal field or fully inside it, count how many hexes lie directly against it, and say how many of those are grey holes and how many are walkable. Name the position of any hole touching it using these six direction names only: upper-left, upper-right, left, right, lower-left, lower-right. Justify your answer by describing exactly what you see around it, and end with a confidence score from 0 to 1."
hex_pathfinding,hex-pathfinding-3.0.0,hex_pathfinding_0005_open_q1,hex_pathfinding_0005.png,Dataset/hex_pathfinding_dataset_3000/images/hex_pathfinding_0005.png,"Look closely at the green HOME hex and everything that immediately surrounds it: state whether it sits on the outer boundary of the hexagonal field or fully inside it, count how many hexes lie directly against it, and say how many of those are grey holes and how many are walkable. Name the position of any hole touching it using these six direction names only: upper-left, upper-right, left, right, lower-left, lower-right. Justify your answer by describing exactly what you see around it, and end with a confidence score from 0 to 1."
hex_pathfinding,hex-pathfinding-3.0.0,hex_pathfinding_0006_open_q1,hex_pathfinding_0006.png,Dataset/hex_pathfinding_dataset_3000/images/hex_pathfinding_0006.png,"Look closely at the green HOME hex and everything that immediately surrounds it: state whether it sits on the outer boundary of the hexagonal field or fully inside it, count how many hexes lie directly against it, and say how many of those are grey holes and how many are walkable. Name the position of any hole touching it using these six direction names only: upper-left, upper-right, left, right, lower-left, lower-right. Justify your answer by describing exactly what you see around it, and end with a confidence score from 0 to 1."
hex_pathfinding,hex-pathfinding-3.0.0,hex_pathfinding_0007_open_q1,hex_pathfinding_0007.png,Dataset/hex_pathfinding_dataset_3000/images/hex_pathfinding_0007.png,"Look closely at the green HOME hex and everything that immediately surrounds it: state whether it sits on the outer boundary of the hexagonal field or fully inside it, count how many hexes lie directly against it, and say how many of those are grey holes and how many are walkable. Name the position of any hole touching it using these six direction names only: upper-left, upper-right, left, right, lower-left, lower-right. Justify your answer by describing exactly what you see around it, and end with a confidence score from 0 to 1."
hex_pathfinding,hex-pathfinding-3.0.0,hex_pathfinding_0008_open_q1,hex_pathfinding_0008.png,Dataset/hex_pathfinding_dataset_3000/images/hex_pathfinding_0008.png,"Look closely at the green HOME hex and everything that immediately surrounds it: state whether it sits on the outer boundary of the hexagonal field or fully inside it, count how many hexes lie directly against it, and say how many of those are grey holes and how many are walkable. Name the position of any hole touching it using these six direction names only: upper-left, upper-right, left, right, lower-left, lower-right. Justify your answer by describing exactly what you see around it, and end with a confidence score from 0 to 1."
hex_pathfinding,hex-pathfinding-3.0.0,hex_pathfinding_0009_open_q1,hex_pathfinding_0009.png,Dataset/hex_pathfinding_dataset_3000/images/hex_pathfinding_0009.png,"Look closely at the green HOME hex and everything that immediately surrounds it: state whether it sits on the outer boundary of the hexagonal field or fully inside it, count how many hexes lie directly against it, and say how many of those are grey holes and how many are walkable. Name the position of any hole touching it using these six direction names only: upper-left, upper-right, left, right, lower-left, lower-right. Justify your answer by describing exactly what you see around it, and end with a confidence score from 0 to 1."
hex_pathfinding,hex-pathfinding-3.0.0,hex_pathfinding_0010_open_q1,hex_pathfinding_0010.png,Dataset/hex_pathfinding_dataset_3000/images/hex_pathfinding_0010.png,"Look closely at the green HOME hex and everything that immediately surrounds it: state whether it sits on the outer boundary of the hexagonal field or fully inside it, count how many hexes lie directly against it, and say how many of those are grey holes and how many are walkable. Name the position of any hole touching it using these six direction names only: upper-left, upper-right, left, right, lower-left, lower-right. Justify your answer by describing exactly what you see around it, and end with a confidence score from 0 to 1."
hex_pathfinding,hex-pathfinding-3.0.0,hex_pathfinding_0011_open_q1,hex_pathfinding_0011.png,Dataset/hex_pathfinding_dataset_3000/images/hex_pathfinding_0011.png,"Look closely at the green HOME hex and everything that immediately surrounds it: state whether it sits on the outer boundary of the hexagonal field or fully inside it, count how many hexes lie directly against it, and say how many of those are grey holes and how many are walkable. Name the position of any hole touching it using these six direction names only: upper-left, upper-right, left, right, lower-left, lower-right. Justify your answer by describing exactly what you see around it, and end with a confidence score from 0 to 1."
hex_pathfinding,hex-pathfinding-3.0.0,hex_pathfinding_0012_open_q1,hex_pathfinding_0012.png,Dataset/hex_pathfinding_dataset_3000/images/hex_pathfinding_0012.png,"Look closely at the green HOME hex and everything that immediately surrounds it: state whether it sits on the outer boundary of the hexagonal field or fully inside it, count how many hexes lie directly against it, and say how many of those are grey holes and how many are walkable. Name the position of any hole touching it using these six direction names only: upper-left, upper-right, left, right, lower-left, lower-right. Justify your answer by describing exactly what you see around it, and end with a confidence score from 0 to 1."
hex_pathfinding,hex-pathfinding-3.0.0,hex_pathfinding_0013_open_q1,hex_pathfinding_0013.png,Dataset/hex_pathfinding_dataset_3000/images/hex_pathfinding_0013.png,"Look closely at the green HOME hex and everything that immediately surrounds it: state whether it sits on the outer boundary of the hexagonal field or fully inside it, count how many hexes lie directly against it, and say how many of those are grey holes and how many are walkable. Name the position of any hole touching it using these six direction names only: upper-left, upper-right, left, right, lower-left, lower-right. Justify your answer by describing exactly what you see around it, and end with a confidence score from 0 to 1."
hex_pathfinding,hex-pathfinding-3.0.0,hex_pathfinding_0014_open_q1,hex_pathfinding_0014.png,Dataset/hex_pathfinding_dataset_3000/images/hex_pathfinding_0014.png,"Look closely at the green HOME hex and everything that immediately surrounds it: state whether it sits on the outer boundary of the hexagonal field or fully inside it, count how many hexes lie directly against it, and say how many of those are grey holes and how many are walkable. Name the position of any hole touching it using these six direction names only: upper-left, upper-right, left, right, lower-left, lower-right. Justify your answer by describing exactly what you see around it, and end with a confidence score from 0 to 1."
hex_pathfinding,hex-pathfinding-3.0.0,hex_pathfinding_0015_open_q1,hex_pathfinding_0015.png,Dataset/hex_pathfinding_dataset_3000/images/hex_pathfinding_0015.png,"Look closely at the green HOME hex and everything that immediately surrounds it: state whether it sits on the outer boundary of the hexagonal field or fully inside it, count how many hexes lie directly against it, and say how many of those are grey holes and how many are walkable. Name the position of any hole touching it using these six direction names only: upper-left, upper-right, left, right, lower-left, lower-right. Justify your answer by describing exactly what you see around it, and end with a confidence score from 0 to 1."
hex_pathfinding,hex-pathfinding-3.0.0,hex_pathfinding_0016_open_q1,hex_pathfinding_0016.png,Dataset/hex_pathfinding_dataset_3000/images/hex_pathfinding_0016.png,"Look closely at the green HOME hex and everything that immediately surrounds it: state whether it sits on the outer boundary of the hexagonal field or fully inside it, count how many hexes lie directly against it, and say how many of those are grey holes and how many are walkable. Name the position of any hole touching it using these six direction names only: upper-left, upper-right, left, right, lower-left, lower-right. Justify your answer by describing exactly what you see around it, and end with a confidence score from 0 to 1."
hex_pathfinding,hex-pathfinding-3.0.0,hex_pathfinding_0017_open_q1,hex_pathfinding_0017.png,Dataset/hex_pathfinding_dataset_3000/images/hex_pathfinding_0017.png,"Look closely at the green HOME hex and everything that immediately surrounds it: state whether it sits on the outer boundary of the hexagonal field or fully inside it, count how many hexes lie directly against it, and say how many of those are grey holes and how many are walkable. Name the position of any hole touching it using these six direction names only: upper-left, upper-right, left, right, lower-left, lower-right. Justify your answer by describing exactly what you see around it, and end with a confidence score from 0 to 1."
hex_pathfinding,hex-pathfinding-3.0.0,hex_pathfinding_0018_open_q1,hex_pathfinding_0018.png,Dataset/hex_pathfinding_dataset_3000/images/hex_pathfinding_0018.png,"Look closely at the green HOME hex and everything that immediately surrounds it: state whether it sits on the outer boundary of the hexagonal field or fully inside it, count how many hexes lie directly against it, and say how many of those are grey holes and how many are walkable. Name the position of any hole touching it using these six direction names only: upper-left, upper-right, left, right, lower-left, lower-right. Justify your answer by describing exactly what you see around it, and end with a confidence score from 0 to 1."
hex_pathfinding,hex-pathfinding-3.0.0,hex_pathfinding_0019_open_q1,hex_pathfinding_0019.png,Dataset/hex_pathfinding_dataset_3000/images/hex_pathfinding_0019.png,"Look closely at the green HOME hex and everything that immediately surrounds it: state whether it sits on the outer boundary of the hexagonal field or fully inside it, count how many hexes lie directly against it, and say how many of those are grey holes and how many are walkable. Name the position of any hole touching it using these six direction names only: upper-left, upper-right, left, right, lower-left, lower-right. Justify your answer by describing exactly what you see around it, and end with a confidence score from 0 to 1."
hex_pathfinding,hex-pathfinding-3.0.0,hex_pathfinding_0020_open_q1,hex_pathfinding_0020.png,Dataset/hex_pathfinding_dataset_3000/images/hex_pathfinding_0020.png,"Look closely at the green HOME hex and everything that immediately surrounds it: state whether it sits on the outer boundary of the hexagonal field or fully inside it, count how many hexes lie directly against it, and say how many of those are grey holes and how many are walkable. Name the position of any hole touching it using these six direction names only: upper-left, upper-right, left, right, lower-left, lower-right. Justify your answer by describing exactly what you see around it, and end with a confidence score from 0 to 1."
hex_pathfinding,hex-pathfinding-3.0.0,hex_pathfinding_0021_open_q1,hex_pathfinding_0021.png,Dataset/hex_pathfinding_dataset_3000/images/hex_pathfinding_0021.png,"Look closely at the green HOME hex and everything that immediately surrounds it: state whether it sits on the outer boundary of the hexagonal field or fully inside it, count how many hexes lie directly against it, and say how many of those are grey holes and how many are walkable. Name the position of any hole touching it using these six direction names only: upper-left, upper-right, left, right, lower-left, lower-right. Justify your answer by describing exactly what you see around it, and end with a confidence score from 0 to 1."
