question_id,task,image,prompt
rpm_0001_q1,Image Description,rpm_0001.png,"How many shapes appear in the panel at row 1, column 1 (top-left)?"
rpm_0001_q2,Basic Relational Reasoning,rpm_0001.png,Which of the 8 numbered choices correctly completes the pattern in the missing panel? Answer with the number.
rpm_0001_q3,Comparative Reasoning,rpm_0001.png,"What attribute changes consistently from top to bottom within each column: shape, size, color, rotation, or count? Answer with one word."
rpm_0001_q4,Compound Reasoning,rpm_0001.png,"If the pattern in the final column continued for one more panel beyond the missing one, what would that panel's shape be?"
rpm_0001_q5,Extrapolative/Counterfactual Reasoning,rpm_0001.png,"If a ninth, incorrect choice with the same shape type as the correct answer but a wrong color were added, how many choices would then share the correct shape type?"
rpm_0002_q1,Image Description,rpm_0002.png,"How many shapes appear in the panel at row 1, column 1 (top-left)?"
rpm_0002_q2,Basic Relational Reasoning,rpm_0002.png,Which of the 8 numbered choices correctly completes the pattern in the missing panel? Answer with the number.
rpm_0002_q3,Comparative Reasoning,rpm_0002.png,"What attribute changes consistently from left to right within each row: shape, size, color, rotation, or count? Answer with one word."
rpm_0002_q4,Compound Reasoning,rpm_0002.png,"How many of the 8 answer choices share the same shape type as the correct answer, even though most of them are wrong for other reasons? Answer with a number."
rpm_0002_q5,Extrapolative/Counterfactual Reasoning,rpm_0002.png,"If a ninth, incorrect choice with the same shape type as the correct answer but a wrong color were added, how many choices would then share the correct shape type?"
rpm_0003_q1,Image Description,rpm_0003.png,"How many shapes appear in the panel at row 1, column 1 (top-left)?"
rpm_0003_q2,Basic Relational Reasoning,rpm_0003.png,Which of the 8 numbered choices correctly completes the pattern in the missing panel? Answer with the number.
rpm_0003_q3,Comparative Reasoning,rpm_0003.png,"Choice 1 is wrong. Does it have the correct shape but wrong color, the correct color but wrong shape, or is it wrong in some other way?"
rpm_0003_q4,Compound Reasoning,rpm_0003.png,"How many of the 8 answer choices share the same shape type as the correct answer, even though most of them are wrong for other reasons? Answer with a number."
rpm_0003_q5,Extrapolative/Counterfactual Reasoning,rpm_0003.png,"If a ninth, incorrect choice with the same shape type as the correct answer but a wrong color were added, how many choices would then share the correct shape type?"
rpm_0004_q1,Image Description,rpm_0004.png,"How many shapes appear in the panel at row 1, column 1 (top-left)?"
rpm_0004_q2,Basic Relational Reasoning,rpm_0004.png,Which of the 8 numbered choices correctly completes the pattern in the missing panel? Answer with the number.
rpm_0004_q3,Comparative Reasoning,rpm_0004.png,"What attribute changes consistently from left to right within each row: shape, size, color, rotation, or count? Answer with one word."
