question_id,task,image,prompt
combination_0001_q1,Image Description,combination_0001.png,How many unit cells make up the target shape?
combination_0001_q2,Basic Relational Reasoning,combination_0001.png,"Which set of pieces (A, B, C, or D) can be assembled using only translation and rotation, with no mirroring, to exactly form the target?"
combination_0001_q3,Comparative Reasoning,combination_0001.png,Does candidate D have the same total number of unit cells as the target? Answer yes or no.
combination_0001_q4,Compound Reasoning,combination_0001.png,Which candidate has the correct area but would require flipping (mirroring) its pieces to form the target?
combination_0001_q5,Extrapolative/Counterfactual Reasoning,combination_0001.png,"If the topmost, then leftmost, target cell were removed, would the remaining target be connected or disconnected?"
combination_0002_q1,Image Description,combination_0002.png,How many unit cells make up the target shape?
combination_0002_q2,Basic Relational Reasoning,combination_0002.png,"Which set of pieces (A, B, C, or D) can be assembled using only translation and rotation, with no mirroring, to exactly form the target?"
combination_0002_q3,Comparative Reasoning,combination_0002.png,How many separate pieces are shown in candidate A?
combination_0002_q4,Compound Reasoning,combination_0002.png,Which candidate cannot form the target because its combined area has the wrong number of unit cells?
combination_0002_q5,Extrapolative/Counterfactual Reasoning,combination_0002.png,"If one extra unit cell were attached along an edge of the correctly assembled connected target, would the result remain connected? Answer yes or no."
combination_0003_q1,Image Description,combination_0003.png,How many unit cells make up the target shape?
combination_0003_q2,Basic Relational Reasoning,combination_0003.png,"Which set of pieces (A, B, C, or D) can be assembled using only translation and rotation, with no mirroring, to exactly form the target?"
combination_0003_q3,Comparative Reasoning,combination_0003.png,How many separate pieces are shown in candidate D?
combination_0003_q4,Compound Reasoning,combination_0003.png,Which candidate cannot form the target because its combined area has the wrong number of unit cells?
combination_0003_q5,Extrapolative/Counterfactual Reasoning,combination_0003.png,"If one extra unit cell were attached along an edge of the correctly assembled connected target, would the result remain connected? Answer yes or no."
combination_0004_q1,Image Description,combination_0004.png,How many unit cells make up the target shape?
combination_0004_q2,Basic Relational Reasoning,combination_0004.png,"Which set of pieces (A, B, C, or D) can be assembled using only translation and rotation, with no mirroring, to exactly form the target?"
combination_0004_q3,Comparative Reasoning,combination_0004.png,How many separate pieces are shown in candidate D?
combination_0004_q4,Compound Reasoning,combination_0004.png,Which candidate has the correct area but would require flipping (mirroring) its pieces to form the target?
combination_0004_q5,Extrapolative/Counterfactual Reasoning,combination_0004.png,"If the topmost, then leftmost, target cell were removed, would the remaining target be connected or disconnected?"
combination_0005_q1,Image Description,combination_0005.png,How many unit cells make up the target shape?
combination_0005_q2,Basic Relational Reasoning,combination_0005.png,"Which set of pieces (A, B, C, or D) can be assembled using only translation and rotation, with no mirroring, to exactly form the target?"
combination_0005_q3,Comparative Reasoning,combination_0005.png,Does candidate D have the same total number of unit cells as the target? Answer yes or no.
combination_0005_q4,Compound Reasoning,combination_0005.png,Which candidate has the correct area but would require flipping (mirroring) its pieces to form the target?
combination_0005_q5,Extrapolative/Counterfactual Reasoning,combination_0005.png,"If the topmost, then leftmost, target cell were removed, would the remaining target be connected or disconnected?"
combination_0006_q1,Image Description,combination_0006.png,How many unit cells make up the target shape?
combination_0006_q2,Basic Relational Reasoning,combination_0006.png,"Which set of pieces (A, B, C, or D) can be assembled using only translation and rotation, with no mirroring, to exactly form the target?"
combination_0006_q3,Comparative Reasoning,combination_0006.png,Does candidate D have the same total number of unit cells as the target? Answer yes or no.
