question_id,task,image,prompt,groundtruth
projectile_motion_0001_q1,Image Description,projectile_motion_0001.png,"What is the initial launch angle shown, in degrees?",75
projectile_motion_0001_q2,Basic Relational Reasoning,projectile_motion_0001.png,Will the projectile reach a higher maximum height than 20 meters? Answer yes or no.,no
projectile_motion_0001_q3,Comparative Reasoning,projectile_motion_0001.png,"At what horizontal distance from launch does the projectile reach its maximum height? Answer in meters, rounded to 1 decimal.",6.5
projectile_motion_0001_q4,Compound Reasoning,projectile_motion_0001.png,What are the total time of flight in seconds and total horizontal range in meters? Round both to 1 decimal.,"{'time_of_flight_s': 3.2, 'range_m': 13.1}"
projectile_motion_0001_q5,Extrapolative/Counterfactual Reasoning,projectile_motion_0001.png,"Does the projectile clear the obstacle shown, or does it hit it? If it clears, by how much height in meters? If it hits, at what height does it strike?",hits; at 11.2 m
projectile_motion_0002_q1,Image Description,projectile_motion_0002.png,"What is the initial launch angle shown, in degrees?",65
projectile_motion_0002_q2,Basic Relational Reasoning,projectile_motion_0002.png,Will the projectile reach a higher maximum height than 20 meters? Answer yes or no.,no
projectile_motion_0002_q3,Comparative Reasoning,projectile_motion_0002.png,"At what horizontal distance from launch does the projectile reach its maximum height? Answer in meters, rounded to 1 decimal.",17.2
projectile_motion_0002_q4,Compound Reasoning,projectile_motion_0002.png,What are the total time of flight in seconds and total horizontal range in meters? Round both to 1 decimal.,"{'time_of_flight_s': 3.9, 'range_m': 34.5}"
projectile_motion_0002_q5,Extrapolative/Counterfactual Reasoning,projectile_motion_0002.png,"Does the projectile clear the obstacle shown, or does it hit it? If it clears, by how much height in meters? If it hits, at what height does it strike?",clears; by 8.9 m
projectile_motion_0003_q1,Image Description,projectile_motion_0003.png,"What is the initial launch angle shown, in degrees?",40
projectile_motion_0003_q2,Basic Relational Reasoning,projectile_motion_0003.png,Will the projectile reach a higher maximum height than 20 meters? Answer yes or no.,no
projectile_motion_0003_q3,Comparative Reasoning,projectile_motion_0003.png,"At what horizontal distance from launch does the projectile reach its maximum height? Answer in meters, rounded to 1 decimal.",39.4
projectile_motion_0003_q4,Compound Reasoning,projectile_motion_0003.png,What are the total time of flight in seconds and total horizontal range in meters? Round both to 1 decimal.,"{'time_of_flight_s': 3.7, 'range_m': 78.8}"
projectile_motion_0003_q5,Extrapolative/Counterfactual Reasoning,projectile_motion_0003.png,"If the launch angle were changed to 45 degrees while keeping the same initial speed, would the horizontal range increase, decrease, or stay the same?",increase
projectile_motion_0004_q1,Image Description,projectile_motion_0004.png,"What is the initial launch angle shown, in degrees?",27
projectile_motion_0004_q2,Basic Relational Reasoning,projectile_motion_0004.png,Will the projectile reach a higher maximum height than 20 meters? Answer yes or no.,no
projectile_motion_0004_q3,Comparative Reasoning,projectile_motion_0004.png,"At what horizontal distance from launch does the projectile reach its maximum height? Answer in meters, rounded to 1 decimal.",18.2
