domain,level,answer_type,schema_id,required_components,numeric_tolerance,option_phrasing
angle_estimation,1,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
angle_estimation,2,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
angle_estimation,3,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
angle_estimation,4,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
angle_estimation,5,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
clock_reading,1,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
clock_reading,2,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
clock_reading,3,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
clock_reading,4,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
clock_reading,5,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
combination,1,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
combination,2,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
combination,3,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
combination,4,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
combination,5,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
combination3d,1,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
combination3d,2,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
combination3d,3,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
combination3d,4,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
combination3d,5,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
compass_bearing,1,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
compass_bearing,2,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
compass_bearing,3,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
compass_bearing,4,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
compass_bearing,5,TEMPLATED_SENTENCE,compass_l5,landmark; endpoint distance; bearing difference,none,none
coordinate_geometry,1,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
coordinate_geometry,2,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
coordinate_geometry,3,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
coordinate_geometry,4,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
coordinate_geometry,5,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
cube_net,1,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
cube_net,2,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
cube_net,3,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
cube_net,4,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
cube_net,5,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
cube_structure,1,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
cube_structure,2,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
cube_structure,3,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
cube_structure,4,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
cube_structure,5,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
