question_id,task,image,prompt,groundtruth
occluded_pattern_0001_q1,Image Description,occluded_pattern_0001.png,How many objects are clearly visible (not hidden behind the occluder) in this image?,11
occluded_pattern_0001_q2,Basic Relational Reasoning,occluded_pattern_0001.png,"Assuming the pattern continues behind the occluded region, how many objects are there in total? Answer with a number in curly brackets, e.g. {12}.",15
occluded_pattern_0001_q3,Comparative Reasoning,occluded_pattern_0001.png,"What type of pattern do the objects form - a grid, a circle, or a triangular arrangement? Answer with one word.",grid
occluded_pattern_0001_q4,Compound Reasoning,occluded_pattern_0001.png,How many objects are hidden behind the occluded region specifically (not counting the visible ones)? Answer with a number in curly brackets.,4
occluded_pattern_0001_q5,Extrapolative/Counterfactual Reasoning,occluded_pattern_0001.png,"If the occluder were removed and the pattern extended by one additional object outside the former occluded region, how many objects would be visible in total?",16
occluded_pattern_0002_q1,Image Description,occluded_pattern_0002.png,How many objects are clearly visible (not hidden behind the occluder) in this image?,9
occluded_pattern_0002_q2,Basic Relational Reasoning,occluded_pattern_0002.png,"Assuming the pattern continues behind the occluded region, how many objects are there in total? Answer with a number in curly brackets, e.g. {12}.",11
occluded_pattern_0002_q3,Comparative Reasoning,occluded_pattern_0002.png,"What type of pattern do the objects form - a grid, a circle, or a triangular arrangement? Answer with one word.",circle
occluded_pattern_0002_q4,Compound Reasoning,occluded_pattern_0002.png,How many objects are hidden behind the occluded region specifically (not counting the visible ones)? Answer with a number in curly brackets.,2
occluded_pattern_0002_q5,Extrapolative/Counterfactual Reasoning,occluded_pattern_0002.png,"If the occluder were removed and the pattern extended by one additional object outside the former occluded region, how many objects would be visible in total?",12
occluded_pattern_0003_q1,Image Description,occluded_pattern_0003.png,How many objects are clearly visible (not hidden behind the occluder) in this image?,7
occluded_pattern_0003_q2,Basic Relational Reasoning,occluded_pattern_0003.png,"Assuming the pattern continues behind the occluded region, how many objects are there in total? Answer with a number in curly brackets, e.g. {12}.",10
occluded_pattern_0003_q3,Comparative Reasoning,occluded_pattern_0003.png,"What type of pattern do the objects form - a grid, a circle, or a triangular arrangement? Answer with one word.",triangle
occluded_pattern_0003_q4,Compound Reasoning,occluded_pattern_0003.png,How many objects are hidden behind the occluded region specifically (not counting the visible ones)? Answer with a number in curly brackets.,3
occluded_pattern_0003_q5,Extrapolative/Counterfactual Reasoning,occluded_pattern_0003.png,"If the occluder were removed and the pattern extended by one additional object outside the former occluded region, how many objects would be visible in total?",11
occluded_pattern_0004_q1,Image Description,occluded_pattern_0004.png,How many objects are clearly visible (not hidden behind the occluder) in this image?,16
occluded_pattern_0004_q2,Basic Relational Reasoning,occluded_pattern_0004.png,"Assuming the pattern continues behind the occluded region, how many objects are there in total? Answer with a number in curly brackets, e.g. {12}.",36
occluded_pattern_0004_q3,Comparative Reasoning,occluded_pattern_0004.png,"What type of pattern do the objects form - a grid, a circle, or a triangular arrangement? Answer with one word.",grid
occluded_pattern_0004_q4,Compound Reasoning,occluded_pattern_0004.png,How many objects are hidden behind the occluded region specifically (not counting the visible ones)? Answer with a number in curly brackets.,20
occluded_pattern_0004_q5,Extrapolative/Counterfactual Reasoning,occluded_pattern_0004.png,"If the occluder were removed and the pattern extended by one additional object outside the former occluded region, how many objects would be visible in total?",37
occluded_pattern_0005_q1,Image Description,occluded_pattern_0005.png,How many objects are clearly visible (not hidden behind the occluder) in this image?,10
occluded_pattern_0005_q2,Basic Relational Reasoning,occluded_pattern_0005.png,"Assuming the pattern continues behind the occluded region, how many objects are there in total? Answer with a number in curly brackets, e.g. {12}.",14
