question_id,image,acceptance_set,targets,tolerances,front_beam,total_crossings
impossible_object_0001_open_q1,impossible_object_0001.png,"[""front_beam=C; total_crossings=6""]","[""X1""]","{""total_crossings"":{""absolute_tolerance"":0,""unit"":""count""}}",C,6
impossible_object_0002_open_q1,impossible_object_0002.png,"[""front_beam=D; total_crossings=6""]","[""X4""]","{""total_crossings"":{""absolute_tolerance"":0,""unit"":""count""}}",D,6
impossible_object_0003_open_q1,impossible_object_0003.png,"[""front_beam=E; total_crossings=7""]","[""X4""]","{""total_crossings"":{""absolute_tolerance"":0,""unit"":""count""}}",E,7
impossible_object_0004_open_q1,impossible_object_0004.png,"[""front_beam=E; total_crossings=7""]","[""X5""]","{""total_crossings"":{""absolute_tolerance"":0,""unit"":""count""}}",E,7
impossible_object_0005_open_q1,impossible_object_0005.png,"[""front_beam=E; total_crossings=8""]","[""X1""]","{""total_crossings"":{""absolute_tolerance"":0,""unit"":""count""}}",E,8
impossible_object_0006_open_q1,impossible_object_0006.png,"[""front_beam=E; total_crossings=8""]","[""X8""]","{""total_crossings"":{""absolute_tolerance"":0,""unit"":""count""}}",E,8
impossible_object_0007_open_q1,impossible_object_0007.png,"[""front_beam=A; total_crossings=9""]","[""X5""]","{""total_crossings"":{""absolute_tolerance"":0,""unit"":""count""}}",A,9
impossible_object_0008_open_q1,impossible_object_0008.png,"[""front_beam=C; total_crossings=9""]","[""X6""]","{""total_crossings"":{""absolute_tolerance"":0,""unit"":""count""}}",C,9
impossible_object_0009_open_q1,impossible_object_0009.png,"[""front_beam=D; total_crossings=6""]","[""X2""]","{""total_crossings"":{""absolute_tolerance"":0,""unit"":""count""}}",D,6
impossible_object_0010_open_q1,impossible_object_0010.png,"[""front_beam=E; total_crossings=6""]","[""X6""]","{""total_crossings"":{""absolute_tolerance"":0,""unit"":""count""}}",E,6
impossible_object_0011_open_q1,impossible_object_0011.png,"[""front_beam=F; total_crossings=7""]","[""X4""]","{""total_crossings"":{""absolute_tolerance"":0,""unit"":""count""}}",F,7
impossible_object_0012_open_q1,impossible_object_0012.png,"[""front_beam=D; total_crossings=7""]","[""X2""]","{""total_crossings"":{""absolute_tolerance"":0,""unit"":""count""}}",D,7
impossible_object_0013_open_q1,impossible_object_0013.png,"[""front_beam=D; total_crossings=8""]","[""X4""]","{""total_crossings"":{""absolute_tolerance"":0,""unit"":""count""}}",D,8
impossible_object_0014_open_q1,impossible_object_0014.png,"[""front_beam=C; total_crossings=8""]","[""X6""]","{""total_crossings"":{""absolute_tolerance"":0,""unit"":""count""}}",C,8
