question_id,image,acceptance_set,tolerances,targets,reflection_count,exit_edge,exit_position
laser_mirror_0001_open_q1,laser_mirror_0001.png,"[""reflection_count=1; exit_edge=left; exit_position=5""]","{""exit_position"":{""absolute_tolerance"":0,""unit"":""grid position""},""reflection_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""laser path""]",1,left,5
laser_mirror_0002_open_q1,laser_mirror_0002.png,"[""reflection_count=1; exit_edge=left; exit_position=2""]","{""exit_position"":{""absolute_tolerance"":0,""unit"":""grid position""},""reflection_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""laser path""]",1,left,2
laser_mirror_0003_open_q1,laser_mirror_0003.png,"[""reflection_count=1; exit_edge=right; exit_position=4""]","{""exit_position"":{""absolute_tolerance"":0,""unit"":""grid position""},""reflection_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""laser path""]",1,right,4
laser_mirror_0005_open_q1,laser_mirror_0005.png,"[""reflection_count=2; exit_edge=top; exit_position=2""]","{""exit_position"":{""absolute_tolerance"":0,""unit"":""grid position""},""reflection_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""laser path""]",2,top,2
laser_mirror_0006_open_q1,laser_mirror_0006.png,"[""reflection_count=1; exit_edge=right; exit_position=2""]","{""exit_position"":{""absolute_tolerance"":0,""unit"":""grid position""},""reflection_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""laser path""]",1,right,2
laser_mirror_0007_open_q1,laser_mirror_0007.png,"[""reflection_count=1; exit_edge=bottom; exit_position=1""]","{""exit_position"":{""absolute_tolerance"":0,""unit"":""grid position""},""reflection_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""laser path""]",1,bottom,1
laser_mirror_0009_open_q1,laser_mirror_0009.png,"[""reflection_count=1; exit_edge=top; exit_position=1""]","{""exit_position"":{""absolute_tolerance"":0,""unit"":""grid position""},""reflection_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""laser path""]",1,top,1
laser_mirror_0010_open_q1,laser_mirror_0010.png,"[""reflection_count=1; exit_edge=bottom; exit_position=4""]","{""exit_position"":{""absolute_tolerance"":0,""unit"":""grid position""},""reflection_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""laser path""]",1,bottom,4
laser_mirror_0011_open_q1,laser_mirror_0011.png,"[""reflection_count=2; exit_edge=right; exit_position=6""]","{""exit_position"":{""absolute_tolerance"":0,""unit"":""grid position""},""reflection_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""laser path""]",2,right,6
laser_mirror_0013_open_q1,laser_mirror_0013.png,"[""reflection_count=1; exit_edge=bottom; exit_position=1""]","{""exit_position"":{""absolute_tolerance"":0,""unit"":""grid position""},""reflection_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""laser path""]",1,bottom,1
