question_id,task,image,prompt
physical_stability_0001_q1,Image Description,physical_stability_0001.png,How many blocks are in this stack?
physical_stability_0001_q2,Basic Relational Reasoning,physical_stability_0001.png,"Is block B's center of mass positioned to the left, right, or directly above the center of block A, which it rests on?"
physical_stability_0001_q3,Comparative Reasoning,physical_stability_0001.png,Which block has the largest absolute horizontal center offset from the block directly beneath it? Answer with the letter.
physical_stability_0001_q4,Compound Reasoning,physical_stability_0001.png,"Is this entire stack stable, or will it tip over? If it tips, state the lowest joint at which it first becomes unstable."
physical_stability_0001_q5,Extrapolative/Counterfactual Reasoning,physical_stability_0001.png,"If topmost block C were removed, would the remaining stack be stable or unstable? Answer accordingly and briefly state the center-of-mass reason."
physical_stability_0002_q1,Image Description,physical_stability_0002.png,How many blocks are in this stack?
physical_stability_0002_q2,Basic Relational Reasoning,physical_stability_0002.png,"Is block B's center of mass positioned to the left, right, or directly above the center of block A, which it rests on?"
physical_stability_0002_q3,Comparative Reasoning,physical_stability_0002.png,Which block has the largest absolute horizontal center offset from the block directly beneath it? Answer with the letter.
physical_stability_0002_q4,Compound Reasoning,physical_stability_0002.png,"Is this entire stack stable, or will it tip over? If it tips, state the lowest joint at which it first becomes unstable."
physical_stability_0002_q5,Extrapolative/Counterfactual Reasoning,physical_stability_0002.png,"If topmost block B were removed, would the remaining stack be stable or unstable? Answer accordingly and briefly state the center-of-mass reason."
physical_stability_0003_q1,Image Description,physical_stability_0003.png,How many blocks are in this stack?
physical_stability_0003_q2,Basic Relational Reasoning,physical_stability_0003.png,"Is block B's center of mass positioned to the left, right, or directly above the center of block A, which it rests on?"
physical_stability_0003_q3,Comparative Reasoning,physical_stability_0003.png,Which block has the largest absolute horizontal center offset from the block directly beneath it? Answer with the letter.
physical_stability_0003_q4,Compound Reasoning,physical_stability_0003.png,"Is this entire stack stable, or will it tip over? If it tips, state the lowest joint at which it first becomes unstable."
physical_stability_0003_q5,Extrapolative/Counterfactual Reasoning,physical_stability_0003.png,"If topmost block C were removed, would the remaining stack be stable or unstable? Answer accordingly and briefly state the center-of-mass reason."
physical_stability_0004_q1,Image Description,physical_stability_0004.png,How many blocks are in this stack?
physical_stability_0004_q2,Basic Relational Reasoning,physical_stability_0004.png,"Is block B's center of mass positioned to the left, right, or directly above the center of block A, which it rests on?"
physical_stability_0004_q3,Comparative Reasoning,physical_stability_0004.png,Which block has the largest absolute horizontal center offset from the block directly beneath it? Answer with the letter.
physical_stability_0004_q4,Compound Reasoning,physical_stability_0004.png,"Is this entire stack stable, or will it tip over? If it tips, state the lowest joint at which it first becomes unstable."
physical_stability_0004_q5,Extrapolative/Counterfactual Reasoning,physical_stability_0004.png,"If topmost block C were removed, would the remaining stack be stable or unstable? Answer accordingly and briefly state the center-of-mass reason."
physical_stability_0005_q1,Image Description,physical_stability_0005.png,How many blocks are in this stack?
physical_stability_0005_q2,Basic Relational Reasoning,physical_stability_0005.png,"Is block D's center of mass positioned to the left, right, or directly above the center of block C, which it rests on?"
physical_stability_0005_q3,Comparative Reasoning,physical_stability_0005.png,Which block has the largest absolute horizontal center offset from the block directly beneath it? Answer with the letter.
physical_stability_0005_q4,Compound Reasoning,physical_stability_0005.png,"Is this entire stack stable, or will it tip over? If it tips, state the lowest joint at which it first becomes unstable."
physical_stability_0005_q5,Extrapolative/Counterfactual Reasoning,physical_stability_0005.png,"If topmost block E were removed, would the remaining stack be stable or unstable? Answer accordingly and briefly state the center-of-mass reason."
physical_stability_0006_q1,Image Description,physical_stability_0006.png,How many blocks are in this stack?
physical_stability_0006_q2,Basic Relational Reasoning,physical_stability_0006.png,"Is block B's center of mass positioned to the left, right, or directly above the center of block A, which it rests on?"
physical_stability_0006_q3,Comparative Reasoning,physical_stability_0006.png,Which block has the largest absolute horizontal center offset from the block directly beneath it? Answer with the letter.
physical_stability_0006_q4,Compound Reasoning,physical_stability_0006.png,"Is this entire stack stable, or will it tip over? If it tips, state the lowest joint at which it first becomes unstable."
physical_stability_0006_q5,Extrapolative/Counterfactual Reasoning,physical_stability_0006.png,"If topmost block B were removed, would the remaining stack be stable or unstable? Answer accordingly and briefly state the center-of-mass reason."
physical_stability_0007_q1,Image Description,physical_stability_0007.png,How many blocks are in this stack?
physical_stability_0007_q2,Basic Relational Reasoning,physical_stability_0007.png,"Is block C's center of mass positioned to the left, right, or directly above the center of block B, which it rests on?"
physical_stability_0007_q3,Comparative Reasoning,physical_stability_0007.png,Which block has the largest absolute horizontal center offset from the block directly beneath it? Answer with the letter.
physical_stability_0007_q4,Compound Reasoning,physical_stability_0007.png,"Is this entire stack stable, or will it tip over? If it tips, state the lowest joint at which it first becomes unstable."
physical_stability_0007_q5,Extrapolative/Counterfactual Reasoning,physical_stability_0007.png,"If topmost block D were removed, would the remaining stack be stable or unstable? Answer accordingly and briefly state the center-of-mass reason."
physical_stability_0008_q1,Image Description,physical_stability_0008.png,How many blocks are in this stack?
physical_stability_0008_q2,Basic Relational Reasoning,physical_stability_0008.png,"Is block B's center of mass positioned to the left, right, or directly above the center of block A, which it rests on?"
physical_stability_0008_q3,Comparative Reasoning,physical_stability_0008.png,Which block has the largest absolute horizontal center offset from the block directly beneath it? Answer with the letter.
physical_stability_0008_q4,Compound Reasoning,physical_stability_0008.png,"Is this entire stack stable, or will it tip over? If it tips, state the lowest joint at which it first becomes unstable."
physical_stability_0008_q5,Extrapolative/Counterfactual Reasoning,physical_stability_0008.png,"If topmost block C were removed, would the remaining stack be stable or unstable? Answer accordingly and briefly state the center-of-mass reason."
physical_stability_0009_q1,Image Description,physical_stability_0009.png,How many blocks are in this stack?
physical_stability_0009_q2,Basic Relational Reasoning,physical_stability_0009.png,"Is block C's center of mass positioned to the left, right, or directly above the center of block B, which it rests on?"
physical_stability_0009_q3,Comparative Reasoning,physical_stability_0009.png,Which block has the largest absolute horizontal center offset from the block directly beneath it? Answer with the letter.
physical_stability_0009_q4,Compound Reasoning,physical_stability_0009.png,"Is this entire stack stable, or will it tip over? If it tips, state the lowest joint at which it first becomes unstable."
physical_stability_0009_q5,Extrapolative/Counterfactual Reasoning,physical_stability_0009.png,"If topmost block D were removed, would the remaining stack be stable or unstable? Answer accordingly and briefly state the center-of-mass reason."
physical_stability_0010_q1,Image Description,physical_stability_0010.png,How many blocks are in this stack?
physical_stability_0010_q2,Basic Relational Reasoning,physical_stability_0010.png,"Is block B's center of mass positioned to the left, right, or directly above the center of block A, which it rests on?"
physical_stability_0010_q3,Comparative Reasoning,physical_stability_0010.png,Which block has the largest absolute horizontal center offset from the block directly beneath it? Answer with the letter.
physical_stability_0010_q4,Compound Reasoning,physical_stability_0010.png,"Is this entire stack stable, or will it tip over? If it tips, state the lowest joint at which it first becomes unstable."
physical_stability_0010_q5,Extrapolative/Counterfactual Reasoning,physical_stability_0010.png,"If topmost block B were removed, would the remaining stack be stable or unstable? Answer accordingly and briefly state the center-of-mass reason."
physical_stability_0011_q1,Image Description,physical_stability_0011.png,How many blocks are in this stack?
physical_stability_0011_q2,Basic Relational Reasoning,physical_stability_0011.png,"Is block C's center of mass positioned to the left, right, or directly above the center of block B, which it rests on?"
physical_stability_0011_q3,Comparative Reasoning,physical_stability_0011.png,Which block has the largest absolute horizontal center offset from the block directly beneath it? Answer with the letter.
physical_stability_0011_q4,Compound Reasoning,physical_stability_0011.png,"Is this entire stack stable, or will it tip over? If it tips, state the lowest joint at which it first becomes unstable."
physical_stability_0011_q5,Extrapolative/Counterfactual Reasoning,physical_stability_0011.png,"If topmost block D were removed, would the remaining stack be stable or unstable? Answer accordingly and briefly state the center-of-mass reason."
physical_stability_0012_q1,Image Description,physical_stability_0012.png,How many blocks are in this stack?
physical_stability_0012_q2,Basic Relational Reasoning,physical_stability_0012.png,"Is block E's center of mass positioned to the left, right, or directly above the center of block D, which it rests on?"
physical_stability_0012_q3,Comparative Reasoning,physical_stability_0012.png,Which block has the largest absolute horizontal center offset from the block directly beneath it? Answer with the letter.
physical_stability_0012_q4,Compound Reasoning,physical_stability_0012.png,"Is this entire stack stable, or will it tip over? If it tips, state the lowest joint at which it first becomes unstable."
physical_stability_0012_q5,Extrapolative/Counterfactual Reasoning,physical_stability_0012.png,"If topmost block E were removed, would the remaining stack be stable or unstable? Answer accordingly and briefly state the center-of-mass reason."
physical_stability_0013_q1,Image Description,physical_stability_0013.png,How many blocks are in this stack?
physical_stability_0013_q2,Basic Relational Reasoning,physical_stability_0013.png,"Is block C's center of mass positioned to the left, right, or directly above the center of block B, which it rests on?"
physical_stability_0013_q3,Comparative Reasoning,physical_stability_0013.png,Which block has the largest absolute horizontal center offset from the block directly beneath it? Answer with the letter.
physical_stability_0013_q4,Compound Reasoning,physical_stability_0013.png,"Is this entire stack stable, or will it tip over? If it tips, state the lowest joint at which it first becomes unstable."
physical_stability_0013_q5,Extrapolative/Counterfactual Reasoning,physical_stability_0013.png,"If topmost block D were removed, would the remaining stack be stable or unstable? Answer accordingly and briefly state the center-of-mass reason."
physical_stability_0014_q1,Image Description,physical_stability_0014.png,How many blocks are in this stack?
physical_stability_0014_q2,Basic Relational Reasoning,physical_stability_0014.png,"Is block B's center of mass positioned to the left, right, or directly above the center of block A, which it rests on?"
physical_stability_0014_q3,Comparative Reasoning,physical_stability_0014.png,Which block has the largest absolute horizontal center offset from the block directly beneath it? Answer with the letter.
physical_stability_0014_q4,Compound Reasoning,physical_stability_0014.png,"Is this entire stack stable, or will it tip over? If it tips, state the lowest joint at which it first becomes unstable."
physical_stability_0014_q5,Extrapolative/Counterfactual Reasoning,physical_stability_0014.png,"If topmost block B were removed, would the remaining stack be stable or unstable? Answer accordingly and briefly state the center-of-mass reason."
physical_stability_0015_q1,Image Description,physical_stability_0015.png,How many blocks are in this stack?
