task,image,prompt,groundtruth,metadata
Image Description,combination_0001.png,How many unit cells make up the target shape?,6,"{""correct_answer_choice"":""A"",""difficulty_score"":0.3,""seed"":1,""target_cell_count"":6}"
Basic Relational Reasoning,combination_0001.png,"Which set of pieces (A, B, C, or D) can be assembled using only translation and rotation, with no mirroring, to exactly form the target?",A,"{""correct_answer_choice"":""A"",""difficulty_score"":0.3,""seed"":1,""target_cell_count"":6}"
Comparative Reasoning,combination_0001.png,Does candidate D have the same total number of unit cells as the target? Answer yes or no.,yes,"{""correct_answer_choice"":""A"",""difficulty_score"":0.3,""seed"":1,""target_cell_count"":6}"
Compound Reasoning,combination_0001.png,Which candidate has the correct area but would require flipping (mirroring) its pieces to form the target?,D,"{""correct_answer_choice"":""A"",""difficulty_score"":0.3,""seed"":1,""target_cell_count"":6}"
Extrapolative/Counterfactual Reasoning,combination_0001.png,"If the topmost, then leftmost, target cell were removed, would the remaining target be connected or disconnected?",connected,"{""correct_answer_choice"":""A"",""difficulty_score"":0.3,""seed"":1,""target_cell_count"":6}"
Image Description,combination_0002.png,How many unit cells make up the target shape?,6,"{""correct_answer_choice"":""B"",""difficulty_score"":0.3,""seed"":2,""target_cell_count"":6}"
Basic Relational Reasoning,combination_0002.png,"Which set of pieces (A, B, C, or D) can be assembled using only translation and rotation, with no mirroring, to exactly form the target?",B,"{""correct_answer_choice"":""B"",""difficulty_score"":0.3,""seed"":2,""target_cell_count"":6}"
Comparative Reasoning,combination_0002.png,How many separate pieces are shown in candidate A?,2,"{""correct_answer_choice"":""B"",""difficulty_score"":0.3,""seed"":2,""target_cell_count"":6}"
Compound Reasoning,combination_0002.png,Which candidate cannot form the target because its combined area has the wrong number of unit cells?,C,"{""correct_answer_choice"":""B"",""difficulty_score"":0.3,""seed"":2,""target_cell_count"":6}"
Extrapolative/Counterfactual Reasoning,combination_0002.png,"If one extra unit cell were attached along an edge of the correctly assembled connected target, would the result remain connected? Answer yes or no.",yes,"{""correct_answer_choice"":""B"",""difficulty_score"":0.3,""seed"":2,""target_cell_count"":6}"
Image Description,combination_0003.png,How many unit cells make up the target shape?,10,"{""correct_answer_choice"":""C"",""difficulty_score"":0.58,""seed"":3,""target_cell_count"":10}"
Basic Relational Reasoning,combination_0003.png,"Which set of pieces (A, B, C, or D) can be assembled using only translation and rotation, with no mirroring, to exactly form the target?",C,"{""correct_answer_choice"":""C"",""difficulty_score"":0.58,""seed"":3,""target_cell_count"":10}"
Comparative Reasoning,combination_0003.png,How many separate pieces are shown in candidate D?,3,"{""correct_answer_choice"":""C"",""difficulty_score"":0.58,""seed"":3,""target_cell_count"":10}"
Compound Reasoning,combination_0003.png,Which candidate cannot form the target because its combined area has the wrong number of unit cells?,B,"{""correct_answer_choice"":""C"",""difficulty_score"":0.58,""seed"":3,""target_cell_count"":10}"
