question_id,image,acceptance_set,tolerances,targets,connectivity
route_puzzle_0003_open_q1,route_puzzle_0003.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""B\"",\""A\"",\""A\""],\""unreached_labels\"":[\""C\"",\""D\"",\""E\""]}""]",{},"[""F""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""B"",""A"",""A""],""unreached_labels"":[""C"",""D"",""E""]}"
route_puzzle_0005_open_q1,route_puzzle_0005.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""B\"",\""D\""],\""unreached_labels\"":[\""A\"",\""C\"",\""F\""]}""]",{},"[""E""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""B"",""D""],""unreached_labels"":[""A"",""C"",""F""]}"
route_puzzle_0012_open_q1,route_puzzle_0012.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""B\"",\""B\"",\""E\""],\""unreached_labels\"":[\""A\"",\""D\"",\""F\""]}""]",{},"[""C""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""B"",""B"",""E""],""unreached_labels"":[""A"",""D"",""F""]}"
route_puzzle_0013_open_q1,route_puzzle_0013.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""F\"",\""D\"",\""D\""],\""unreached_labels\"":[\""A\"",\""B\"",\""C\""]}""]",{},"[""E""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""F"",""D"",""D""],""unreached_labels"":[""A"",""B"",""C""]}"
route_puzzle_0015_open_q1,route_puzzle_0015.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""F\"",\""C\"",\""D\""],\""unreached_labels\"":[\""A\"",\""E\""]}""]",{},"[""B""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""F"",""C"",""D""],""unreached_labels"":[""A"",""E""]}"
route_puzzle_0018_open_q1,route_puzzle_0018.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""B\"",\""F\""],\""unreached_labels\"":[\""A\"",\""C\"",\""D\""]}""]",{},"[""E""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""B"",""F""],""unreached_labels"":[""A"",""C"",""D""]}"
route_puzzle_0020_open_q1,route_puzzle_0020.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""C\"",\""F\""],\""unreached_labels\"":[\""A\"",\""B\"",\""E\""]}""]",{},"[""D""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""C"",""F""],""unreached_labels"":[""A"",""B"",""E""]}"
route_puzzle_0021_open_q1,route_puzzle_0021.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""A\"",\""F\""],\""unreached_labels\"":[\""B\"",\""D\"",\""E\""]}""]",{},"[""C""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""A"",""F""],""unreached_labels"":[""B"",""D"",""E""]}"
route_puzzle_0028_open_q1,route_puzzle_0028.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""B\"",\""D\"",\""B\""],\""unreached_labels\"":[\""A\"",\""C\"",\""E\""]}""]",{},"[""F""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""B"",""D"",""B""],""unreached_labels"":[""A"",""C"",""E""]}"
route_puzzle_0030_open_q1,route_puzzle_0030.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""A\"",\""A\""],\""unreached_labels\"":[\""C\"",\""D\"",\""E\"",\""F\""]}""]",{},"[""B""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""A"",""A""],""unreached_labels"":[""C"",""D"",""E"",""F""]}"
