question_id,task,image,prompt
hex_pathfinding_0001_q1,Image Description,hex_pathfinding_0001.png,How many grey (hole) tiles are shown in this grid?
hex_pathfinding_0001_q2,Basic Relational Reasoning,hex_pathfinding_0001.png,"Is the tile outlined in blue with a '?', immediately adjacent to START, a grey hole or walkable? Answer 'hole' or 'walkable'."
hex_pathfinding_0001_q3,Comparative Reasoning,hex_pathfinding_0001.png,What is the minimum number of moves needed to travel from START to HOME while avoiding all grey holes? Answer with a number in curly brackets.
hex_pathfinding_0001_q4,Compound Reasoning,hex_pathfinding_0001.png,"Is the shortest path from START to HOME unique, or are there multiple different shortest paths of the same length? If multiple, how many?"
hex_pathfinding_0001_q5,Extrapolative/Counterfactual Reasoning,hex_pathfinding_0001.png,"If the walkable tile marked with a purple X at axial position (1,0) were turned into a hole, would the shortest path length increase, stay the same, or would there be no valid path? If it increases, state the new shortest length."
hex_pathfinding_0002_q1,Image Description,hex_pathfinding_0002.png,How many grey (hole) tiles are shown in this grid?
hex_pathfinding_0002_q2,Basic Relational Reasoning,hex_pathfinding_0002.png,"Is the tile outlined in blue with a '?', immediately adjacent to START, a grey hole or walkable? Answer 'hole' or 'walkable'."
hex_pathfinding_0002_q3,Comparative Reasoning,hex_pathfinding_0002.png,What is the minimum number of moves needed to travel from START to HOME while avoiding all grey holes? Answer with a number in curly brackets.
hex_pathfinding_0002_q4,Compound Reasoning,hex_pathfinding_0002.png,"Is the shortest path from START to HOME unique, or are there multiple different shortest paths of the same length? If multiple, how many?"
hex_pathfinding_0002_q5,Extrapolative/Counterfactual Reasoning,hex_pathfinding_0002.png,"If the walkable tile marked with a purple X at axial position (2,1) were turned into a hole, would the shortest path length increase, stay the same, or would there be no valid path? If it increases, state the new shortest length."
hex_pathfinding_0003_q1,Image Description,hex_pathfinding_0003.png,How many grey (hole) tiles are shown in this grid?
hex_pathfinding_0003_q2,Basic Relational Reasoning,hex_pathfinding_0003.png,"Is the tile outlined in blue with a '?', immediately adjacent to START, a grey hole or walkable? Answer 'hole' or 'walkable'."
hex_pathfinding_0003_q3,Comparative Reasoning,hex_pathfinding_0003.png,What is the minimum number of moves needed to travel from START to HOME while avoiding all grey holes? Answer with a number in curly brackets.
hex_pathfinding_0003_q4,Compound Reasoning,hex_pathfinding_0003.png,"Is the shortest path from START to HOME unique, or are there multiple different shortest paths of the same length? If multiple, how many?"
hex_pathfinding_0003_q5,Extrapolative/Counterfactual Reasoning,hex_pathfinding_0003.png,"If the walkable tile marked with a purple X at axial position (-2,-3) were turned into a hole, would the shortest path length increase, stay the same, or would there be no valid path? If it increases, state the new shortest length."
hex_pathfinding_0004_q1,Image Description,hex_pathfinding_0004.png,How many grey (hole) tiles are shown in this grid?
hex_pathfinding_0004_q2,Basic Relational Reasoning,hex_pathfinding_0004.png,"Is the tile outlined in blue with a '?', immediately adjacent to START, a grey hole or walkable? Answer 'hole' or 'walkable'."
hex_pathfinding_0004_q3,Comparative Reasoning,hex_pathfinding_0004.png,What is the minimum number of moves needed to travel from START to HOME while avoiding all grey holes? Answer with a number in curly brackets.
hex_pathfinding_0004_q4,Compound Reasoning,hex_pathfinding_0004.png,"Is the shortest path from START to HOME unique, or are there multiple different shortest paths of the same length? If multiple, how many?"
hex_pathfinding_0004_q5,Extrapolative/Counterfactual Reasoning,hex_pathfinding_0004.png,"If the walkable tile marked with a purple X at axial position (0,2) were turned into a hole, would the shortest path length increase, stay the same, or would there be no valid path? If it increases, state the new shortest length."
hex_pathfinding_0005_q1,Image Description,hex_pathfinding_0005.png,How many grey (hole) tiles are shown in this grid?
hex_pathfinding_0005_q2,Basic Relational Reasoning,hex_pathfinding_0005.png,"Is the tile outlined in blue with a '?', immediately adjacent to START, a grey hole or walkable? Answer 'hole' or 'walkable'."
hex_pathfinding_0005_q3,Comparative Reasoning,hex_pathfinding_0005.png,What is the minimum number of moves needed to travel from START to HOME while avoiding all grey holes? Answer with a number in curly brackets.
hex_pathfinding_0005_q4,Compound Reasoning,hex_pathfinding_0005.png,"Is the shortest path from START to HOME unique, or are there multiple different shortest paths of the same length? If multiple, how many?"
hex_pathfinding_0005_q5,Extrapolative/Counterfactual Reasoning,hex_pathfinding_0005.png,"If the walkable tile marked with a purple X at axial position (1,-1) were turned into a hole, would the shortest path length increase, stay the same, or would there be no valid path? If it increases, state the new shortest length."
hex_pathfinding_0006_q1,Image Description,hex_pathfinding_0006.png,How many grey (hole) tiles are shown in this grid?
hex_pathfinding_0006_q2,Basic Relational Reasoning,hex_pathfinding_0006.png,"Is the tile outlined in blue with a '?', immediately adjacent to START, a grey hole or walkable? Answer 'hole' or 'walkable'."
hex_pathfinding_0006_q3,Comparative Reasoning,hex_pathfinding_0006.png,What is the minimum number of moves needed to travel from START to HOME while avoiding all grey holes? Answer with a number in curly brackets.
