question_id,task,image,prompt
fold_punch_0001_q1,Image Description,fold_punch_0001.png,How many fold steps are shown before the paper is punched?
fold_punch_0001_q2,Basic Relational Reasoning,fold_punch_0001.png,How many holes will appear when the paper is fully unfolded?
fold_punch_0001_q3,Comparative Reasoning,fold_punch_0001.png,"Which of the four unfolded patterns (A, B, C, D) correctly shows where the holes will appear? Answer with the letter."
fold_punch_0001_q4,Compound Reasoning,fold_punch_0001.png,Which candidate has the wrong total number of holes?
fold_punch_0001_q5,Extrapolative/Counterfactual Reasoning,fold_punch_0001.png,"If one additional fold were made and the punch stayed away from the new crease, how many holes would appear after fully unfolding?"
fold_punch_0002_q1,Image Description,fold_punch_0002.png,How many fold steps are shown before the paper is punched?
fold_punch_0002_q2,Basic Relational Reasoning,fold_punch_0002.png,How many holes will appear when the paper is fully unfolded?
fold_punch_0002_q3,Comparative Reasoning,fold_punch_0002.png,"Which of the four unfolded patterns (A, B, C, D) correctly shows where the holes will appear? Answer with the letter."
fold_punch_0002_q4,Compound Reasoning,fold_punch_0002.png,"If the last fold were removed, would the unfolded hole count be 'exactly half' or have a 'different relationship'?"
fold_punch_0002_q5,Extrapolative/Counterfactual Reasoning,fold_punch_0002.png,"If one additional fold were made and the punch stayed away from the new crease, how many holes would appear after fully unfolding?"
fold_punch_0003_q1,Image Description,fold_punch_0003.png,How many fold steps are shown before the paper is punched?
fold_punch_0003_q2,Basic Relational Reasoning,fold_punch_0003.png,How many holes will appear when the paper is fully unfolded?
fold_punch_0003_q3,Comparative Reasoning,fold_punch_0003.png,"Which of the four unfolded patterns (A, B, C, D) correctly shows where the holes will appear? Answer with the letter."
fold_punch_0003_q4,Compound Reasoning,fold_punch_0003.png,"If the last fold were removed, would the unfolded hole count be 'exactly half' or have a 'different relationship'?"
fold_punch_0003_q5,Extrapolative/Counterfactual Reasoning,fold_punch_0003.png,"If the last fold were removed, would the unfolded hole count be 'exactly half' or have a 'different relationship'?"
fold_punch_0004_q1,Image Description,fold_punch_0004.png,How many fold steps are shown before the paper is punched?
fold_punch_0004_q2,Basic Relational Reasoning,fold_punch_0004.png,How many holes will appear when the paper is fully unfolded?
fold_punch_0004_q3,Comparative Reasoning,fold_punch_0004.png,"Which of the four unfolded patterns (A, B, C, D) correctly shows where the holes will appear? Answer with the letter."
fold_punch_0004_q4,Compound Reasoning,fold_punch_0004.png,Which candidate has the wrong total number of holes?
fold_punch_0004_q5,Extrapolative/Counterfactual Reasoning,fold_punch_0004.png,"If one additional fold were made and the punch stayed away from the new crease, how many holes would appear after fully unfolding?"
fold_punch_0005_q1,Image Description,fold_punch_0005.png,How many fold steps are shown before the paper is punched?
fold_punch_0005_q2,Basic Relational Reasoning,fold_punch_0005.png,How many holes will appear when the paper is fully unfolded?
fold_punch_0005_q3,Comparative Reasoning,fold_punch_0005.png,"Which of the four unfolded patterns (A, B, C, D) correctly shows where the holes will appear? Answer with the letter."
fold_punch_0005_q4,Compound Reasoning,fold_punch_0005.png,"If the last fold were removed, would the unfolded hole count be 'exactly half' or have a 'different relationship'?"
fold_punch_0005_q5,Extrapolative/Counterfactual Reasoning,fold_punch_0005.png,"If one additional fold were made and the punch stayed away from the new crease, how many holes would appear after fully unfolding?"
fold_punch_0006_q1,Image Description,fold_punch_0006.png,How many fold steps are shown before the paper is punched?
fold_punch_0006_q2,Basic Relational Reasoning,fold_punch_0006.png,How many holes will appear when the paper is fully unfolded?
fold_punch_0006_q3,Comparative Reasoning,fold_punch_0006.png,"Which of the four unfolded patterns (A, B, C, D) correctly shows where the holes will appear? Answer with the letter."
fold_punch_0006_q4,Compound Reasoning,fold_punch_0006.png,"If the last fold were removed, would the unfolded hole count be 'exactly half' or have a 'different relationship'?"
fold_punch_0006_q5,Extrapolative/Counterfactual Reasoning,fold_punch_0006.png,"If the last fold were removed, would the unfolded hole count be 'exactly half' or have a 'different relationship'?"
fold_punch_0007_q1,Image Description,fold_punch_0007.png,How many fold steps are shown before the paper is punched?
fold_punch_0007_q2,Basic Relational Reasoning,fold_punch_0007.png,How many holes will appear when the paper is fully unfolded?
fold_punch_0007_q3,Comparative Reasoning,fold_punch_0007.png,"Which of the four unfolded patterns (A, B, C, D) correctly shows where the holes will appear? Answer with the letter."
fold_punch_0007_q4,Compound Reasoning,fold_punch_0007.png,Which candidate has the correct number of holes but in the wrong positions?
fold_punch_0007_q5,Extrapolative/Counterfactual Reasoning,fold_punch_0007.png,"If one additional fold were made and the punch stayed away from the new crease, how many holes would appear after fully unfolding?"
fold_punch_0008_q1,Image Description,fold_punch_0008.png,How many fold steps are shown before the paper is punched?
fold_punch_0008_q2,Basic Relational Reasoning,fold_punch_0008.png,How many holes will appear when the paper is fully unfolded?
fold_punch_0008_q3,Comparative Reasoning,fold_punch_0008.png,"Which of the four unfolded patterns (A, B, C, D) correctly shows where the holes will appear? Answer with the letter."
fold_punch_0008_q4,Compound Reasoning,fold_punch_0008.png,Which candidate has the wrong total number of holes?
fold_punch_0008_q5,Extrapolative/Counterfactual Reasoning,fold_punch_0008.png,"If one additional fold were made and the punch stayed away from the new crease, how many holes would appear after fully unfolding?"
fold_punch_0009_q1,Image Description,fold_punch_0009.png,How many fold steps are shown before the paper is punched?
fold_punch_0009_q2,Basic Relational Reasoning,fold_punch_0009.png,How many holes will appear when the paper is fully unfolded?
