task,image,prompt,groundtruth,metadata
Image Description,hex_pathfinding_0001.png,How many grey (hole) tiles are shown in this grid?,6,"{""coordinate_frame"":""axial hex coordinates (q,r)"",""dataset_version"":""hex-pathfinding-2.0.0"",""difficulty_score"":0.4992,""generation_attempt"":0,""grid_radius"":3,""hole_density"":0.162162,""level2_neighbor_direction_is_toward_home"":true,""level5_new_shortest_path_length"":5,""level5_outcome"":""same"",""num_alternate_shortest_paths"":10,""num_hole_tiles"":6,""seed"":1,""shortest_path_length"":5}"
Basic Relational Reasoning,hex_pathfinding_0001.png,"Is the tile outlined in blue with a '?', immediately adjacent to START, a grey hole or walkable? Answer 'hole' or 'walkable'.",walkable,"{""coordinate_frame"":""axial hex coordinates (q,r)"",""dataset_version"":""hex-pathfinding-2.0.0"",""difficulty_score"":0.4992,""generation_attempt"":0,""grid_radius"":3,""hole_density"":0.162162,""level2_neighbor_direction_is_toward_home"":true,""level5_new_shortest_path_length"":5,""level5_outcome"":""same"",""num_alternate_shortest_paths"":10,""num_hole_tiles"":6,""seed"":1,""shortest_path_length"":5}"
Comparative Reasoning,hex_pathfinding_0001.png,What is the minimum number of moves needed to travel from START to HOME while avoiding all grey holes? Answer with a number in curly brackets.,5,"{""coordinate_frame"":""axial hex coordinates (q,r)"",""dataset_version"":""hex-pathfinding-2.0.0"",""difficulty_score"":0.4992,""generation_attempt"":0,""grid_radius"":3,""hole_density"":0.162162,""level2_neighbor_direction_is_toward_home"":true,""level5_new_shortest_path_length"":5,""level5_outcome"":""same"",""num_alternate_shortest_paths"":10,""num_hole_tiles"":6,""seed"":1,""shortest_path_length"":5}"
Compound Reasoning,hex_pathfinding_0001.png,"Is the shortest path from START to HOME unique, or are there multiple different shortest paths of the same length? If multiple, how many?",multiple (10),"{""coordinate_frame"":""axial hex coordinates (q,r)"",""dataset_version"":""hex-pathfinding-2.0.0"",""difficulty_score"":0.4992,""generation_attempt"":0,""grid_radius"":3,""hole_density"":0.162162,""level2_neighbor_direction_is_toward_home"":true,""level5_new_shortest_path_length"":5,""level5_outcome"":""same"",""num_alternate_shortest_paths"":10,""num_hole_tiles"":6,""seed"":1,""shortest_path_length"":5}"
Extrapolative/Counterfactual Reasoning,hex_pathfinding_0001.png,"If the walkable tile marked with a purple X at axial position (1,0) were turned into a hole, would the shortest path length increase, stay the same, or would there be no valid path? If it increases, state the new shortest length.",stay the same (5 moves),"{""coordinate_frame"":""axial hex coordinates (q,r)"",""dataset_version"":""hex-pathfinding-2.0.0"",""difficulty_score"":0.4992,""generation_attempt"":0,""grid_radius"":3,""hole_density"":0.162162,""level2_neighbor_direction_is_toward_home"":true,""level5_new_shortest_path_length"":5,""level5_outcome"":""same"",""num_alternate_shortest_paths"":10,""num_hole_tiles"":6,""seed"":1,""shortest_path_length"":5}"
Image Description,hex_pathfinding_0002.png,How many grey (hole) tiles are shown in this grid?,8,"{""coordinate_frame"":""axial hex coordinates (q,r)"",""dataset_version"":""hex-pathfinding-2.0.0"",""difficulty_score"":0.6736,""generation_attempt"":1,""grid_radius"":4,""hole_density"":0.131148,""level2_neighbor_direction_is_toward_home"":true,""level5_new_shortest_path_length"":8,""level5_outcome"":""increase"",""num_alternate_shortest_paths"":9,""num_hole_tiles"":8,""seed"":2,""shortest_path_length"":7}"
Basic Relational Reasoning,hex_pathfinding_0002.png,"Is the tile outlined in blue with a '?', immediately adjacent to START, a grey hole or walkable? Answer 'hole' or 'walkable'.",hole,"{""coordinate_frame"":""axial hex coordinates (q,r)"",""dataset_version"":""hex-pathfinding-2.0.0"",""difficulty_score"":0.6736,""generation_attempt"":1,""grid_radius"":4,""hole_density"":0.131148,""level2_neighbor_direction_is_toward_home"":true,""level5_new_shortest_path_length"":8,""level5_outcome"":""increase"",""num_alternate_shortest_paths"":9,""num_hole_tiles"":8,""seed"":2,""shortest_path_length"":7}"
Comparative Reasoning,hex_pathfinding_0002.png,What is the minimum number of moves needed to travel from START to HOME while avoiding all grey holes? Answer with a number in curly brackets.,7,"{""coordinate_frame"":""axial hex coordinates (q,r)"",""dataset_version"":""hex-pathfinding-2.0.0"",""difficulty_score"":0.6736,""generation_attempt"":1,""grid_radius"":4,""hole_density"":0.131148,""level2_neighbor_direction_is_toward_home"":true,""level5_new_shortest_path_length"":8,""level5_outcome"":""increase"",""num_alternate_shortest_paths"":9,""num_hole_tiles"":8,""seed"":2,""shortest_path_length"":7}"
Compound Reasoning,hex_pathfinding_0002.png,"Is the shortest path from START to HOME unique, or are there multiple different shortest paths of the same length? If multiple, how many?",multiple (9),"{""coordinate_frame"":""axial hex coordinates (q,r)"",""dataset_version"":""hex-pathfinding-2.0.0"",""difficulty_score"":0.6736,""generation_attempt"":1,""grid_radius"":4,""hole_density"":0.131148,""level2_neighbor_direction_is_toward_home"":true,""level5_new_shortest_path_length"":8,""level5_outcome"":""increase"",""num_alternate_shortest_paths"":9,""num_hole_tiles"":8,""seed"":2,""shortest_path_length"":7}"
Extrapolative/Counterfactual Reasoning,hex_pathfinding_0002.png,"If the walkable tile marked with a purple X at axial position (2,1) were turned into a hole, would the shortest path length increase, stay the same, or would there be no valid path? If it increases, state the new shortest length.",increase to 8 moves,"{""coordinate_frame"":""axial hex coordinates (q,r)"",""dataset_version"":""hex-pathfinding-2.0.0"",""difficulty_score"":0.6736,""generation_attempt"":1,""grid_radius"":4,""hole_density"":0.131148,""level2_neighbor_direction_is_toward_home"":true,""level5_new_shortest_path_length"":8,""level5_outcome"":""increase"",""num_alternate_shortest_paths"":9,""num_hole_tiles"":8,""seed"":2,""shortest_path_length"":7}"
