question_id,task,image,prompt
surface_topology_0001_q1,Image Description,surface_topology_0001.png,"How many holes or handles does this surface have? Answer with a number in curly brackets, e.g. {1}."
surface_topology_0001_q2,Basic Relational Reasoning,surface_topology_0001.png,"Is this surface orientable (has a consistent 'inside' and 'outside') or non-orientable (a single-sided surface, like a Möbius strip)? Answer 'orientable' or 'non-orientable'."
surface_topology_0001_q3,Comparative Reasoning,surface_topology_0001.png,"What is the Euler characteristic of this surface? Answer with a number in curly brackets (can be negative), e.g. {-2}."
surface_topology_0001_q4,Compound Reasoning,surface_topology_0001.png,"Combine the depicted surface's genus/handle structure and orientability: report its Euler characteristic, followed by whether it is orientable or non-orientable. Answer as 'Euler characteristic; orientability'."
surface_topology_0001_q5,Extrapolative/Counterfactual Reasoning,surface_topology_0001.png,"If a small open disk were removed from this surface, creating exactly one additional boundary component without changing its genus or orientability, what would its new Euler characteristic be? Answer with a number in curly brackets, e.g. {-1}."
surface_topology_0002_q1,Image Description,surface_topology_0002.png,"How many holes or handles does this surface have? Answer with a number in curly brackets, e.g. {1}."
surface_topology_0002_q2,Basic Relational Reasoning,surface_topology_0002.png,"Is this surface orientable (has a consistent 'inside' and 'outside') or non-orientable (a single-sided surface, like a Möbius strip)? Answer 'orientable' or 'non-orientable'."
surface_topology_0002_q3,Comparative Reasoning,surface_topology_0002.png,"What is the Euler characteristic of this surface? Answer with a number in curly brackets (can be negative), e.g. {-2}."
surface_topology_0002_q4,Compound Reasoning,surface_topology_0002.png,"Combine the depicted surface's genus/handle structure and orientability: report its Euler characteristic, followed by whether it is orientable or non-orientable. Answer as 'Euler characteristic; orientability'."
surface_topology_0002_q5,Extrapolative/Counterfactual Reasoning,surface_topology_0002.png,"If a small open disk were removed from this surface, creating exactly one additional boundary component without changing its genus or orientability, what would its new Euler characteristic be? Answer with a number in curly brackets, e.g. {-1}."
surface_topology_0003_q1,Image Description,surface_topology_0003.png,"How many holes or handles does this surface have? Answer with a number in curly brackets, e.g. {1}."
surface_topology_0003_q2,Basic Relational Reasoning,surface_topology_0003.png,"Is this surface orientable (has a consistent 'inside' and 'outside') or non-orientable (a single-sided surface, like a Möbius strip)? Answer 'orientable' or 'non-orientable'."
surface_topology_0003_q3,Comparative Reasoning,surface_topology_0003.png,"What is the Euler characteristic of this surface? Answer with a number in curly brackets (can be negative), e.g. {-2}."
surface_topology_0003_q4,Compound Reasoning,surface_topology_0003.png,"Combine the depicted surface's genus/handle structure and orientability: report its Euler characteristic, followed by whether it is orientable or non-orientable. Answer as 'Euler characteristic; orientability'."
surface_topology_0003_q5,Extrapolative/Counterfactual Reasoning,surface_topology_0003.png,"If a small open disk were removed from this surface, creating exactly one additional boundary component without changing its genus or orientability, what would its new Euler characteristic be? Answer with a number in curly brackets, e.g. {-1}."
surface_topology_0004_q1,Image Description,surface_topology_0004.png,"How many holes or handles does this surface have? Answer with a number in curly brackets, e.g. {1}."
surface_topology_0004_q2,Basic Relational Reasoning,surface_topology_0004.png,"Is this surface orientable (has a consistent 'inside' and 'outside') or non-orientable (a single-sided surface, like a Möbius strip)? Answer 'orientable' or 'non-orientable'."
surface_topology_0004_q3,Comparative Reasoning,surface_topology_0004.png,"What is the Euler characteristic of this surface? Answer with a number in curly brackets (can be negative), e.g. {-2}."
