task,image,prompt,groundtruth,metadata
Image Description,impossible_object_0001.png,How many distinct beams or segments make up this structure?,5,"{""dataset_version"":""impossible-object-4.0.0"",""depth_constraint_representation"":""directed beam-label front/back relation per projected crossing"",""difficulty_score"":0.4,""mode"":""possible"",""num_beams"":5,""num_crossings"":6,""reference_crossing_id"":""X3"",""reference_front_beam"":""C"",""reference_rule"":""crossing with minimum Euclidean distance to image centre"",""removable_beam_label"":null,""seed"":82000001}"
Basic Relational Reasoning,impossible_object_0001.png,Is this 3D structure physically constructible in real space? Answer yes or no.,yes,"{""dataset_version"":""impossible-object-4.0.0"",""depth_constraint_representation"":""directed beam-label front/back relation per projected crossing"",""difficulty_score"":0.4,""mode"":""possible"",""num_beams"":5,""num_crossings"":6,""reference_crossing_id"":""X3"",""reference_front_beam"":""C"",""reference_rule"":""crossing with minimum Euclidean distance to image centre"",""removable_beam_label"":null,""seed"":82000001}"
Comparative Reasoning,impossible_object_0001.png,"At the crossing closest to the image centre, which beam passes in front? Answer with the beam label.",C,"{""dataset_version"":""impossible-object-4.0.0"",""depth_constraint_representation"":""directed beam-label front/back relation per projected crossing"",""difficulty_score"":0.4,""mode"":""possible"",""num_beams"":5,""num_crossings"":6,""reference_crossing_id"":""X3"",""reference_front_beam"":""C"",""reference_rule"":""crossing with minimum Euclidean distance to image centre"",""removable_beam_label"":null,""seed"":82000001}"
Compound Reasoning,impossible_object_0001.png,How many crossing points are visible where one beam passes over another? Answer with a number.,6,"{""dataset_version"":""impossible-object-4.0.0"",""depth_constraint_representation"":""directed beam-label front/back relation per projected crossing"",""difficulty_score"":0.4,""mode"":""possible"",""num_beams"":5,""num_crossings"":6,""reference_crossing_id"":""X3"",""reference_front_beam"":""C"",""reference_rule"":""crossing with minimum Euclidean distance to image centre"",""removable_beam_label"":null,""seed"":82000001}"
Extrapolative/Counterfactual Reasoning,impossible_object_0001.png,"Which single beam, if removed, would make this structure physically constructible? Answer with the beam label, or 'already constructible' if the structure requires no change.",already constructible,"{""dataset_version"":""impossible-object-4.0.0"",""depth_constraint_representation"":""directed beam-label front/back relation per projected crossing"",""difficulty_score"":0.4,""mode"":""possible"",""num_beams"":5,""num_crossings"":6,""reference_crossing_id"":""X3"",""reference_front_beam"":""C"",""reference_rule"":""crossing with minimum Euclidean distance to image centre"",""removable_beam_label"":null,""seed"":82000001}"
Image Description,impossible_object_0002.png,How many distinct beams or segments make up this structure?,5,"{""dataset_version"":""impossible-object-4.0.0"",""depth_constraint_representation"":""directed beam-label front/back relation per projected crossing"",""difficulty_score"":0.58,""mode"":""impossible"",""num_beams"":5,""num_crossings"":6,""reference_crossing_id"":""X2"",""reference_front_beam"":""A"",""reference_rule"":""crossing with minimum Euclidean distance to image centre"",""removable_beam_label"":""A"",""seed"":82000002}"
Basic Relational Reasoning,impossible_object_0002.png,Is this 3D structure physically constructible in real space? Answer yes or no.,no,"{""dataset_version"":""impossible-object-4.0.0"",""depth_constraint_representation"":""directed beam-label front/back relation per projected crossing"",""difficulty_score"":0.58,""mode"":""impossible"",""num_beams"":5,""num_crossings"":6,""reference_crossing_id"":""X2"",""reference_front_beam"":""A"",""reference_rule"":""crossing with minimum Euclidean distance to image centre"",""removable_beam_label"":""A"",""seed"":82000002}"
Comparative Reasoning,impossible_object_0002.png,"At the crossing closest to the image centre, which beam passes in front? Answer with the beam label.",A,"{""dataset_version"":""impossible-object-4.0.0"",""depth_constraint_representation"":""directed beam-label front/back relation per projected crossing"",""difficulty_score"":0.58,""mode"":""impossible"",""num_beams"":5,""num_crossings"":6,""reference_crossing_id"":""X2"",""reference_front_beam"":""A"",""reference_rule"":""crossing with minimum Euclidean distance to image centre"",""removable_beam_label"":""A"",""seed"":82000002}"
Compound Reasoning,impossible_object_0002.png,How many crossing points are visible where one beam passes over another? Answer with a number.,6,"{""dataset_version"":""impossible-object-4.0.0"",""depth_constraint_representation"":""directed beam-label front/back relation per projected crossing"",""difficulty_score"":0.58,""mode"":""impossible"",""num_beams"":5,""num_crossings"":6,""reference_crossing_id"":""X2"",""reference_front_beam"":""A"",""reference_rule"":""crossing with minimum Euclidean distance to image centre"",""removable_beam_label"":""A"",""seed"":82000002}"
Extrapolative/Counterfactual Reasoning,impossible_object_0002.png,"Which single beam, if removed, would make this structure physically constructible? Answer with the beam label, or 'already constructible' if the structure requires no change.",A,"{""dataset_version"":""impossible-object-4.0.0"",""depth_constraint_representation"":""directed beam-label front/back relation per projected crossing"",""difficulty_score"":0.58,""mode"":""impossible"",""num_beams"":5,""num_crossings"":6,""reference_crossing_id"":""X2"",""reference_front_beam"":""A"",""reference_rule"":""crossing with minimum Euclidean distance to image centre"",""removable_beam_label"":""A"",""seed"":82000002}"
Image Description,impossible_object_0003.png,How many distinct beams or segments make up this structure?,5,"{""dataset_version"":""impossible-object-4.0.0"",""depth_constraint_representation"":""directed beam-label front/back relation per projected crossing"",""difficulty_score"":0.435,""mode"":""possible"",""num_beams"":5,""num_crossings"":7,""reference_crossing_id"":""X4"",""reference_front_beam"":""E"",""reference_rule"":""crossing with minimum Euclidean distance to image centre"",""removable_beam_label"":null,""seed"":82000003}"
Basic Relational Reasoning,impossible_object_0003.png,Is this 3D structure physically constructible in real space? Answer yes or no.,yes,"{""dataset_version"":""impossible-object-4.0.0"",""depth_constraint_representation"":""directed beam-label front/back relation per projected crossing"",""difficulty_score"":0.435,""mode"":""possible"",""num_beams"":5,""num_crossings"":7,""reference_crossing_id"":""X4"",""reference_front_beam"":""E"",""reference_rule"":""crossing with minimum Euclidean distance to image centre"",""removable_beam_label"":null,""seed"":82000003}"
Comparative Reasoning,impossible_object_0003.png,"At the crossing closest to the image centre, which beam passes in front? Answer with the beam label.",E,"{""dataset_version"":""impossible-object-4.0.0"",""depth_constraint_representation"":""directed beam-label front/back relation per projected crossing"",""difficulty_score"":0.435,""mode"":""possible"",""num_beams"":5,""num_crossings"":7,""reference_crossing_id"":""X4"",""reference_front_beam"":""E"",""reference_rule"":""crossing with minimum Euclidean distance to image centre"",""removable_beam_label"":null,""seed"":82000003}"
Compound Reasoning,impossible_object_0003.png,How many crossing points are visible where one beam passes over another? Answer with a number.,7,"{""dataset_version"":""impossible-object-4.0.0"",""depth_constraint_representation"":""directed beam-label front/back relation per projected crossing"",""difficulty_score"":0.435,""mode"":""possible"",""num_beams"":5,""num_crossings"":7,""reference_crossing_id"":""X4"",""reference_front_beam"":""E"",""reference_rule"":""crossing with minimum Euclidean distance to image centre"",""removable_beam_label"":null,""seed"":82000003}"
Extrapolative/Counterfactual Reasoning,impossible_object_0003.png,"Which single beam, if removed, would make this structure physically constructible? Answer with the beam label, or 'already constructible' if the structure requires no change.",already constructible,"{""dataset_version"":""impossible-object-4.0.0"",""depth_constraint_representation"":""directed beam-label front/back relation per projected crossing"",""difficulty_score"":0.435,""mode"":""possible"",""num_beams"":5,""num_crossings"":7,""reference_crossing_id"":""X4"",""reference_front_beam"":""E"",""reference_rule"":""crossing with minimum Euclidean distance to image centre"",""removable_beam_label"":null,""seed"":82000003}"
Image Description,impossible_object_0004.png,How many distinct beams or segments make up this structure?,5,"{""dataset_version"":""impossible-object-4.0.0"",""depth_constraint_representation"":""directed beam-label front/back relation per projected crossing"",""difficulty_score"":0.615,""mode"":""impossible"",""num_beams"":5,""num_crossings"":7,""reference_crossing_id"":""X1"",""reference_front_beam"":""B"",""reference_rule"":""crossing with minimum Euclidean distance to image centre"",""removable_beam_label"":""B"",""seed"":82000004}"
Basic Relational Reasoning,impossible_object_0004.png,Is this 3D structure physically constructible in real space? Answer yes or no.,no,"{""dataset_version"":""impossible-object-4.0.0"",""depth_constraint_representation"":""directed beam-label front/back relation per projected crossing"",""difficulty_score"":0.615,""mode"":""impossible"",""num_beams"":5,""num_crossings"":7,""reference_crossing_id"":""X1"",""reference_front_beam"":""B"",""reference_rule"":""crossing with minimum Euclidean distance to image centre"",""removable_beam_label"":""B"",""seed"":82000004}"
Comparative Reasoning,impossible_object_0004.png,"At the crossing closest to the image centre, which beam passes in front? Answer with the beam label.",B,"{""dataset_version"":""impossible-object-4.0.0"",""depth_constraint_representation"":""directed beam-label front/back relation per projected crossing"",""difficulty_score"":0.615,""mode"":""impossible"",""num_beams"":5,""num_crossings"":7,""reference_crossing_id"":""X1"",""reference_front_beam"":""B"",""reference_rule"":""crossing with minimum Euclidean distance to image centre"",""removable_beam_label"":""B"",""seed"":82000004}"
