question_id,image,acceptance_set,tolerances,targets,correct_choice,attributes_changed_together
rpm_0001_open_q1,rpm_0001.png,"[""correct_choice=8; attributes_changed_together=[\""shape\"",\""size\""]""]",{},"[""matrix"",""numbered choices""]",8,"[""shape"",""size""]"
rpm_0002_open_q1,rpm_0002.png,"[""correct_choice=2; attributes_changed_together=[\""shape\"",\""size\""]""]",{},"[""matrix"",""numbered choices""]",2,"[""shape"",""size""]"
rpm_0003_open_q1,rpm_0003.png,"[""correct_choice=6; attributes_changed_together=[\""shape\"",\""color\""]""]",{},"[""matrix"",""numbered choices""]",6,"[""shape"",""color""]"
rpm_0004_open_q1,rpm_0004.png,"[""correct_choice=2; attributes_changed_together=[\""size\"",\""rotation\""]""]",{},"[""matrix"",""numbered choices""]",2,"[""size"",""rotation""]"
rpm_0005_open_q1,rpm_0005.png,"[""correct_choice=6; attributes_changed_together=[\""shape\"",\""count\""]""]",{},"[""matrix"",""numbered choices""]",6,"[""shape"",""count""]"
rpm_0006_open_q1,rpm_0006.png,"[""correct_choice=2; attributes_changed_together=[\""size\"",\""count\""]""]",{},"[""matrix"",""numbered choices""]",2,"[""size"",""count""]"
rpm_0007_open_q1,rpm_0007.png,"[""correct_choice=7; attributes_changed_together=[\""shape\"",\""color\""]""]",{},"[""matrix"",""numbered choices""]",7,"[""shape"",""color""]"
rpm_0008_open_q1,rpm_0008.png,"[""correct_choice=8; attributes_changed_together=[\""size\"",\""color\""]""]",{},"[""matrix"",""numbered choices""]",8,"[""size"",""color""]"
rpm_0009_open_q1,rpm_0009.png,"[""correct_choice=7; attributes_changed_together=[\""size\"",\""color\""]""]",{},"[""matrix"",""numbered choices""]",7,"[""size"",""color""]"
rpm_0010_open_q1,rpm_0010.png,"[""correct_choice=2; attributes_changed_together=[\""color\"",\""rotation\""]""]",{},"[""matrix"",""numbered choices""]",2,"[""color"",""rotation""]"
rpm_0011_open_q1,rpm_0011.png,"[""correct_choice=7; attributes_changed_together=[\""color\"",\""count\""]""]",{},"[""matrix"",""numbered choices""]",7,"[""color"",""count""]"
rpm_0012_open_q1,rpm_0012.png,"[""correct_choice=3; attributes_changed_together=[\""color\"",\""count\""]""]",{},"[""matrix"",""numbered choices""]",3,"[""color"",""count""]"
rpm_0013_open_q1,rpm_0013.png,"[""correct_choice=3; attributes_changed_together=[\""shape\"",\""count\""]""]",{},"[""matrix"",""numbered choices""]",3,"[""shape"",""count""]"
rpm_0014_open_q1,rpm_0014.png,"[""correct_choice=5; attributes_changed_together=[\""size\"",\""rotation\""]""]",{},"[""matrix"",""numbered choices""]",5,"[""size"",""rotation""]"
rpm_0015_open_q1,rpm_0015.png,"[""correct_choice=6; attributes_changed_together=[\""color\"",\""rotation\""]""]",{},"[""matrix"",""numbered choices""]",6,"[""color"",""rotation""]"
rpm_0016_open_q1,rpm_0016.png,"[""correct_choice=2; attributes_changed_together=[\""rotation\"",\""count\""]""]",{},"[""matrix"",""numbered choices""]",2,"[""rotation"",""count""]"
rpm_0017_open_q1,rpm_0017.png,"[""correct_choice=1; attributes_changed_together=[\""rotation\"",\""count\""]""]",{},"[""matrix"",""numbered choices""]",1,"[""rotation"",""count""]"
rpm_0018_open_q1,rpm_0018.png,"[""correct_choice=4; attributes_changed_together=[\""rotation\"",\""count\""]""]",{},"[""matrix"",""numbered choices""]",4,"[""rotation"",""count""]"
rpm_0019_open_q1,rpm_0019.png,"[""correct_choice=3; attributes_changed_together=[\""size\"",\""count\""]""]",{},"[""matrix"",""numbered choices""]",3,"[""size"",""count""]"
rpm_0020_open_q1,rpm_0020.png,"[""correct_choice=7; attributes_changed_together=[\""color\"",\""count\""]""]",{},"[""matrix"",""numbered choices""]",7,"[""color"",""count""]"
rpm_0021_open_q1,rpm_0021.png,"[""correct_choice=2; attributes_changed_together=[\""size\"",\""rotation\""]""]",{},"[""matrix"",""numbered choices""]",2,"[""size"",""rotation""]"
rpm_0022_open_q1,rpm_0022.png,"[""correct_choice=6; attributes_changed_together=[\""shape\"",\""count\""]""]",{},"[""matrix"",""numbered choices""]",6,"[""shape"",""count""]"
rpm_0023_open_q1,rpm_0023.png,"[""correct_choice=2; attributes_changed_together=[\""shape\"",\""count\""]""]",{},"[""matrix"",""numbered choices""]",2,"[""shape"",""count""]"
rpm_0024_open_q1,rpm_0024.png,"[""correct_choice=5; attributes_changed_together=[\""shape\"",\""size\""]""]",{},"[""matrix"",""numbered choices""]",5,"[""shape"",""size""]"
rpm_0025_open_q1,rpm_0025.png,"[""correct_choice=5; attributes_changed_together=[\""shape\"",\""size\""]""]",{},"[""matrix"",""numbered choices""]",5,"[""shape"",""size""]"
rpm_0026_open_q1,rpm_0026.png,"[""correct_choice=8; attributes_changed_together=[\""shape\"",\""color\""]""]",{},"[""matrix"",""numbered choices""]",8,"[""shape"",""color""]"
rpm_0027_open_q1,rpm_0027.png,"[""correct_choice=2; attributes_changed_together=[\""color\"",\""rotation\""]""]",{},"[""matrix"",""numbered choices""]",2,"[""color"",""rotation""]"
