question_id,image,acceptance_set,tolerances,targets,flat_edge_neighbours,opposite_face
cube_net_0001_open_q1,cube_net_0001.png,"[""flat_edge_neighbours=[\""A\"",\""B\""]; opposite_face=D""]",{},"[""E""]","[""A"",""B""]",D
cube_net_0002_open_q1,cube_net_0002.png,"[""flat_edge_neighbours=[\""D\""]; opposite_face=B""]",{},"[""C""]","[""D""]",B
cube_net_0003_open_q1,cube_net_0003.png,"[""flat_edge_neighbours=[\""C\""]; opposite_face=F""]",{},"[""A""]","[""C""]",F
cube_net_0004_open_q1,cube_net_0004.png,"[""flat_edge_neighbours=[\""B\"",\""C\"",\""E\""]; opposite_face=D""]",{},"[""A""]","[""B"",""C"",""E""]",D
cube_net_0005_open_q1,cube_net_0005.png,"[""flat_edge_neighbours=[\""A\"",\""F\""]; opposite_face=C""]",{},"[""D""]","[""A"",""F""]",C
cube_net_0006_open_q1,cube_net_0006.png,"[""flat_edge_neighbours=[\""B\"",\""C\""]; opposite_face=A""]",{},"[""F""]","[""B"",""C""]",A
cube_net_0007_open_q1,cube_net_0007.png,"[""flat_edge_neighbours=[\""E\"",\""F\""]; opposite_face=B""]",{},"[""A""]","[""E"",""F""]",B
cube_net_0008_open_q1,cube_net_0008.png,"[""flat_edge_neighbours=[\""E\""]; opposite_face=C""]",{},"[""F""]","[""E""]",C
cube_net_0009_open_q1,cube_net_0009.png,"[""flat_edge_neighbours=[\""E\""]; opposite_face=F""]",{},"[""D""]","[""E""]",F
cube_net_0010_open_q1,cube_net_0010.png,"[""flat_edge_neighbours=[\""B\""]; opposite_face=D""]",{},"[""F""]","[""B""]",D
cube_net_0011_open_q1,cube_net_0011.png,"[""flat_edge_neighbours=[\""F\""]; opposite_face=B""]",{},"[""E""]","[""F""]",B
cube_net_0012_open_q1,cube_net_0012.png,"[""flat_edge_neighbours=[\""D\"",\""E\""]; opposite_face=B""]",{},"[""C""]","[""D"",""E""]",B
cube_net_0013_open_q1,cube_net_0013.png,"[""flat_edge_neighbours=[\""D\"",\""E\""]; opposite_face=F""]",{},"[""A""]","[""D"",""E""]",F
cube_net_0014_open_q1,cube_net_0014.png,"[""flat_edge_neighbours=[\""D\"",\""F\""]; opposite_face=A""]",{},"[""C""]","[""D"",""F""]",A
cube_net_0015_open_q1,cube_net_0015.png,"[""flat_edge_neighbours=[\""E\""]; opposite_face=D""]",{},"[""A""]","[""E""]",D
