question_id,task,image,prompt,groundtruth
nested_triangles_0001_q1,Image Description,nested_triangles_0001.png,"How many triangles are in this image? Please answer with a number in curly brackets, e.g. {10}.",10
nested_triangles_0001_q2,Basic Relational Reasoning,nested_triangles_0001.png,"Do the shapes shrink by roughly the same factor at each step, or does the amount of shrinking change as you move inward? Answer 'constant' or 'changing'.",changing
nested_triangles_0001_q3,Comparative Reasoning,nested_triangles_0001.png,"What is the approximate ratio of the outermost triangle's side length to the innermost triangle's side length? Answer as a number rounded to 1 decimal in curly brackets, e.g. {3.2}.",5.5
nested_triangles_0001_q4,Compound Reasoning,nested_triangles_0001.png,"Through approximately how many degrees has the innermost triangle been rotated relative to the outermost triangle? Because regular triangles have 3-fold symmetry, answer with a value from 0 to 120 in curly brackets, e.g. {25}.",0
nested_triangles_0001_q5,Extrapolative/Counterfactual Reasoning,nested_triangles_0001.png,"If one more triangle were added inside the innermost one following the same size-reduction pattern, would its side length still be long enough to be visually distinguishable at this image resolution (i.e. greater than roughly 12% of the outermost triangle's side length)? Answer yes or no.",yes
nested_triangles_0002_q1,Image Description,nested_triangles_0002.png,"How many triangles are in this image? Please answer with a number in curly brackets, e.g. {10}.",9
nested_triangles_0002_q2,Basic Relational Reasoning,nested_triangles_0002.png,"Do the shapes shrink by roughly the same factor at each step, or does the amount of shrinking change as you move inward? Answer 'constant' or 'changing'.",changing
nested_triangles_0002_q3,Comparative Reasoning,nested_triangles_0002.png,"What is the approximate ratio of the outermost triangle's side length to the innermost triangle's side length? Answer as a number rounded to 1 decimal in curly brackets, e.g. {3.2}.",5.2
nested_triangles_0002_q4,Compound Reasoning,nested_triangles_0002.png,"Through approximately how many degrees has the innermost triangle been rotated relative to the outermost triangle? Because regular triangles have 3-fold symmetry, answer with a value from 0 to 120 in curly brackets, e.g. {25}.",102
nested_triangles_0002_q5,Extrapolative/Counterfactual Reasoning,nested_triangles_0002.png,"If one more triangle were added inside the innermost one following the same size-reduction pattern, would its side length still be long enough to be visually distinguishable at this image resolution (i.e. greater than roughly 12% of the outermost triangle's side length)? Answer yes or no.",yes
