question_id,image,prompt
gear_train_0001_open_q1,gear_train_0001.png,"Follow the mesh from the driver gear through every gear it turns: name the gear that rotates fastest, and say whether the last gear in the chain turns in the same direction as the driver or the opposite. State your conclusion, justify it by describing the tooth counts you compared and how direction alternates along the chain, and end with a confidence score from 0 to 1."
gear_train_0002_open_q1,gear_train_0002.png,"Follow the mesh from the driver gear through every gear it turns: name the gear that rotates fastest, and say whether the last gear in the chain turns in the same direction as the driver or the opposite. State your conclusion, justify it by describing the tooth counts you compared and how direction alternates along the chain, and end with a confidence score from 0 to 1."
gear_train_0003_open_q1,gear_train_0003.png,"Follow the mesh from the driver gear through every gear it turns: name the gear that rotates fastest, and say whether the last gear in the chain turns in the same direction as the driver or the opposite. State your conclusion, justify it by describing the tooth counts you compared and how direction alternates along the chain, and end with a confidence score from 0 to 1."
gear_train_0004_open_q1,gear_train_0004.png,"Follow the mesh from the driver gear through every gear it turns: name the gear that rotates fastest, and say whether the last gear in the chain turns in the same direction as the driver or the opposite. State your conclusion, justify it by describing the tooth counts you compared and how direction alternates along the chain, and end with a confidence score from 0 to 1."
gear_train_0005_open_q1,gear_train_0005.png,"Follow the mesh from the driver gear through every gear it turns: name the gear that rotates fastest, and say whether the last gear in the chain turns in the same direction as the driver or the opposite. State your conclusion, justify it by describing the tooth counts you compared and how direction alternates along the chain, and end with a confidence score from 0 to 1."
gear_train_0006_open_q1,gear_train_0006.png,"Follow the mesh from the driver gear through every gear it turns: name the gear that rotates fastest, and say whether the last gear in the chain turns in the same direction as the driver or the opposite. State your conclusion, justify it by describing the tooth counts you compared and how direction alternates along the chain, and end with a confidence score from 0 to 1."
gear_train_0007_open_q1,gear_train_0007.png,"Follow the mesh from the driver gear through every gear it turns: name the gear that rotates fastest, and say whether the last gear in the chain turns in the same direction as the driver or the opposite. State your conclusion, justify it by describing the tooth counts you compared and how direction alternates along the chain, and end with a confidence score from 0 to 1."
gear_train_0008_open_q1,gear_train_0008.png,"Follow the mesh from the driver gear through every gear it turns: name the gear that rotates fastest, and say whether the last gear in the chain turns in the same direction as the driver or the opposite. State your conclusion, justify it by describing the tooth counts you compared and how direction alternates along the chain, and end with a confidence score from 0 to 1."
gear_train_0009_open_q1,gear_train_0009.png,"Follow the mesh from the driver gear through every gear it turns: name the gear that rotates fastest, and say whether the last gear in the chain turns in the same direction as the driver or the opposite. State your conclusion, justify it by describing the tooth counts you compared and how direction alternates along the chain, and end with a confidence score from 0 to 1."
gear_train_0010_open_q1,gear_train_0010.png,"Follow the mesh from the driver gear through every gear it turns: name the gear that rotates fastest, and say whether the last gear in the chain turns in the same direction as the driver or the opposite. State your conclusion, justify it by describing the tooth counts you compared and how direction alternates along the chain, and end with a confidence score from 0 to 1."
gear_train_0011_open_q1,gear_train_0011.png,"Follow the mesh from the driver gear through every gear it turns: name the gear that rotates fastest, and say whether the last gear in the chain turns in the same direction as the driver or the opposite. State your conclusion, justify it by describing the tooth counts you compared and how direction alternates along the chain, and end with a confidence score from 0 to 1."
gear_train_0012_open_q1,gear_train_0012.png,"Follow the mesh from the driver gear through every gear it turns: name the gear that rotates fastest, and say whether the last gear in the chain turns in the same direction as the driver or the opposite. State your conclusion, justify it by describing the tooth counts you compared and how direction alternates along the chain, and end with a confidence score from 0 to 1."
gear_train_0013_open_q1,gear_train_0013.png,"Follow the mesh from the driver gear through every gear it turns: name the gear that rotates fastest, and say whether the last gear in the chain turns in the same direction as the driver or the opposite. State your conclusion, justify it by describing the tooth counts you compared and how direction alternates along the chain, and end with a confidence score from 0 to 1."
gear_train_0014_open_q1,gear_train_0014.png,"Follow the mesh from the driver gear through every gear it turns: name the gear that rotates fastest, and say whether the last gear in the chain turns in the same direction as the driver or the opposite. State your conclusion, justify it by describing the tooth counts you compared and how direction alternates along the chain, and end with a confidence score from 0 to 1."
gear_train_0015_open_q1,gear_train_0015.png,"Follow the mesh from the driver gear through every gear it turns: name the gear that rotates fastest, and say whether the last gear in the chain turns in the same direction as the driver or the opposite. State your conclusion, justify it by describing the tooth counts you compared and how direction alternates along the chain, and end with a confidence score from 0 to 1."
gear_train_0016_open_q1,gear_train_0016.png,"Follow the mesh from the driver gear through every gear it turns: name the gear that rotates fastest, and say whether the last gear in the chain turns in the same direction as the driver or the opposite. State your conclusion, justify it by describing the tooth counts you compared and how direction alternates along the chain, and end with a confidence score from 0 to 1."
gear_train_0017_open_q1,gear_train_0017.png,"Follow the mesh from the driver gear through every gear it turns: name the gear that rotates fastest, and say whether the last gear in the chain turns in the same direction as the driver or the opposite. State your conclusion, justify it by describing the tooth counts you compared and how direction alternates along the chain, and end with a confidence score from 0 to 1."
gear_train_0018_open_q1,gear_train_0018.png,"Follow the mesh from the driver gear through every gear it turns: name the gear that rotates fastest, and say whether the last gear in the chain turns in the same direction as the driver or the opposite. State your conclusion, justify it by describing the tooth counts you compared and how direction alternates along the chain, and end with a confidence score from 0 to 1."
gear_train_0019_open_q1,gear_train_0019.png,"Follow the mesh from the driver gear through every gear it turns: name the gear that rotates fastest, and say whether the last gear in the chain turns in the same direction as the driver or the opposite. State your conclusion, justify it by describing the tooth counts you compared and how direction alternates along the chain, and end with a confidence score from 0 to 1."
gear_train_0020_open_q1,gear_train_0020.png,"Follow the mesh from the driver gear through every gear it turns: name the gear that rotates fastest, and say whether the last gear in the chain turns in the same direction as the driver or the opposite. State your conclusion, justify it by describing the tooth counts you compared and how direction alternates along the chain, and end with a confidence score from 0 to 1."
gear_train_0021_open_q1,gear_train_0021.png,"Follow the mesh from the driver gear through every gear it turns: name the gear that rotates fastest, and say whether the last gear in the chain turns in the same direction as the driver or the opposite. State your conclusion, justify it by describing the tooth counts you compared and how direction alternates along the chain, and end with a confidence score from 0 to 1."
gear_train_0022_open_q1,gear_train_0022.png,"Follow the mesh from the driver gear through every gear it turns: name the gear that rotates fastest, and say whether the last gear in the chain turns in the same direction as the driver or the opposite. State your conclusion, justify it by describing the tooth counts you compared and how direction alternates along the chain, and end with a confidence score from 0 to 1."
gear_train_0023_open_q1,gear_train_0023.png,"Follow the mesh from the driver gear through every gear it turns: name the gear that rotates fastest, and say whether the last gear in the chain turns in the same direction as the driver or the opposite. State your conclusion, justify it by describing the tooth counts you compared and how direction alternates along the chain, and end with a confidence score from 0 to 1."
gear_train_0024_open_q1,gear_train_0024.png,"Follow the mesh from the driver gear through every gear it turns: name the gear that rotates fastest, and say whether the last gear in the chain turns in the same direction as the driver or the opposite. State your conclusion, justify it by describing the tooth counts you compared and how direction alternates along the chain, and end with a confidence score from 0 to 1."
gear_train_0025_open_q1,gear_train_0025.png,"Follow the mesh from the driver gear through every gear it turns: name the gear that rotates fastest, and say whether the last gear in the chain turns in the same direction as the driver or the opposite. State your conclusion, justify it by describing the tooth counts you compared and how direction alternates along the chain, and end with a confidence score from 0 to 1."
gear_train_0026_open_q1,gear_train_0026.png,"Follow the mesh from the driver gear through every gear it turns: name the gear that rotates fastest, and say whether the last gear in the chain turns in the same direction as the driver or the opposite. State your conclusion, justify it by describing the tooth counts you compared and how direction alternates along the chain, and end with a confidence score from 0 to 1."
gear_train_0027_open_q1,gear_train_0027.png,"Follow the mesh from the driver gear through every gear it turns: name the gear that rotates fastest, and say whether the last gear in the chain turns in the same direction as the driver or the opposite. State your conclusion, justify it by describing the tooth counts you compared and how direction alternates along the chain, and end with a confidence score from 0 to 1."
gear_train_0028_open_q1,gear_train_0028.png,"Follow the mesh from the driver gear through every gear it turns: name the gear that rotates fastest, and say whether the last gear in the chain turns in the same direction as the driver or the opposite. State your conclusion, justify it by describing the tooth counts you compared and how direction alternates along the chain, and end with a confidence score from 0 to 1."
gear_train_0029_open_q1,gear_train_0029.png,"Follow the mesh from the driver gear through every gear it turns: name the gear that rotates fastest, and say whether the last gear in the chain turns in the same direction as the driver or the opposite. State your conclusion, justify it by describing the tooth counts you compared and how direction alternates along the chain, and end with a confidence score from 0 to 1."
gear_train_0030_open_q1,gear_train_0030.png,"Follow the mesh from the driver gear through every gear it turns: name the gear that rotates fastest, and say whether the last gear in the chain turns in the same direction as the driver or the opposite. State your conclusion, justify it by describing the tooth counts you compared and how direction alternates along the chain, and end with a confidence score from 0 to 1."
gear_train_0031_open_q1,gear_train_0031.png,"Follow the mesh from the driver gear through every gear it turns: name the gear that rotates fastest, and say whether the last gear in the chain turns in the same direction as the driver or the opposite. State your conclusion, justify it by describing the tooth counts you compared and how direction alternates along the chain, and end with a confidence score from 0 to 1."
gear_train_0032_open_q1,gear_train_0032.png,"Follow the mesh from the driver gear through every gear it turns: name the gear that rotates fastest, and say whether the last gear in the chain turns in the same direction as the driver or the opposite. State your conclusion, justify it by describing the tooth counts you compared and how direction alternates along the chain, and end with a confidence score from 0 to 1."
gear_train_0033_open_q1,gear_train_0033.png,"Follow the mesh from the driver gear through every gear it turns: name the gear that rotates fastest, and say whether the last gear in the chain turns in the same direction as the driver or the opposite. State your conclusion, justify it by describing the tooth counts you compared and how direction alternates along the chain, and end with a confidence score from 0 to 1."
gear_train_0034_open_q1,gear_train_0034.png,"Follow the mesh from the driver gear through every gear it turns: name the gear that rotates fastest, and say whether the last gear in the chain turns in the same direction as the driver or the opposite. State your conclusion, justify it by describing the tooth counts you compared and how direction alternates along the chain, and end with a confidence score from 0 to 1."
gear_train_0035_open_q1,gear_train_0035.png,"Follow the mesh from the driver gear through every gear it turns: name the gear that rotates fastest, and say whether the last gear in the chain turns in the same direction as the driver or the opposite. State your conclusion, justify it by describing the tooth counts you compared and how direction alternates along the chain, and end with a confidence score from 0 to 1."
gear_train_0036_open_q1,gear_train_0036.png,"Follow the mesh from the driver gear through every gear it turns: name the gear that rotates fastest, and say whether the last gear in the chain turns in the same direction as the driver or the opposite. State your conclusion, justify it by describing the tooth counts you compared and how direction alternates along the chain, and end with a confidence score from 0 to 1."
gear_train_0037_open_q1,gear_train_0037.png,"Follow the mesh from the driver gear through every gear it turns: name the gear that rotates fastest, and say whether the last gear in the chain turns in the same direction as the driver or the opposite. State your conclusion, justify it by describing the tooth counts you compared and how direction alternates along the chain, and end with a confidence score from 0 to 1."
gear_train_0038_open_q1,gear_train_0038.png,"Follow the mesh from the driver gear through every gear it turns: name the gear that rotates fastest, and say whether the last gear in the chain turns in the same direction as the driver or the opposite. State your conclusion, justify it by describing the tooth counts you compared and how direction alternates along the chain, and end with a confidence score from 0 to 1."
gear_train_0039_open_q1,gear_train_0039.png,"Follow the mesh from the driver gear through every gear it turns: name the gear that rotates fastest, and say whether the last gear in the chain turns in the same direction as the driver or the opposite. State your conclusion, justify it by describing the tooth counts you compared and how direction alternates along the chain, and end with a confidence score from 0 to 1."
gear_train_0040_open_q1,gear_train_0040.png,"Follow the mesh from the driver gear through every gear it turns: name the gear that rotates fastest, and say whether the last gear in the chain turns in the same direction as the driver or the opposite. State your conclusion, justify it by describing the tooth counts you compared and how direction alternates along the chain, and end with a confidence score from 0 to 1."
gear_train_0041_open_q1,gear_train_0041.png,"Follow the mesh from the driver gear through every gear it turns: name the gear that rotates fastest, and say whether the last gear in the chain turns in the same direction as the driver or the opposite. State your conclusion, justify it by describing the tooth counts you compared and how direction alternates along the chain, and end with a confidence score from 0 to 1."
gear_train_0042_open_q1,gear_train_0042.png,"Follow the mesh from the driver gear through every gear it turns: name the gear that rotates fastest, and say whether the last gear in the chain turns in the same direction as the driver or the opposite. State your conclusion, justify it by describing the tooth counts you compared and how direction alternates along the chain, and end with a confidence score from 0 to 1."
gear_train_0043_open_q1,gear_train_0043.png,"Follow the mesh from the driver gear through every gear it turns: name the gear that rotates fastest, and say whether the last gear in the chain turns in the same direction as the driver or the opposite. State your conclusion, justify it by describing the tooth counts you compared and how direction alternates along the chain, and end with a confidence score from 0 to 1."
