task,image,prompt,groundtruth,metadata
Image Description,combination3d_0001.png,How many individual cubes make up the target structure?,14,"{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""A"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.66,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":1,""target_cube_count"":14,""vertical_axis"":""z""}"
Basic Relational Reasoning,combination3d_0001.png,"Which set of pieces (A, B, C, or D) can be assembled using only translation and rotation around the vertical axis to exactly form the target structure? Answer with the letter.",A,"{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""A"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.66,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":1,""target_cube_count"":14,""vertical_axis"":""z""}"
Comparative Reasoning,combination3d_0001.png,Does candidate B have the same total number of cubes as the target? Answer yes or no.,yes,"{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""A"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.66,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":1,""target_cube_count"":14,""vertical_axis"":""z""}"
Compound Reasoning,combination3d_0001.png,"Give the target's total cube count and maximum height along the vertical z-axis in layers as count,height.","14,3","{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""A"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.66,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":1,""target_cube_count"":14,""vertical_axis"":""z""}"
Extrapolative/Counterfactual Reasoning,combination3d_0001.png,"If the correctly assembled structure were rotated 90 degrees around the vertical z-axis as a whole, would it be the 'same shape, different angle' or a 'different structure'?","same shape, different angle","{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""A"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.66,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":1,""target_cube_count"":14,""vertical_axis"":""z""}"
Image Description,combination3d_0002.png,How many individual cubes make up the target structure?,8,"{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""B"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.42,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":2,""target_cube_count"":8,""vertical_axis"":""z""}"
Basic Relational Reasoning,combination3d_0002.png,"Which set of pieces (A, B, C, or D) can be assembled using only translation and rotation around the vertical axis to exactly form the target structure? Answer with the letter.",B,"{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""B"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.42,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":2,""target_cube_count"":8,""vertical_axis"":""z""}"
Comparative Reasoning,combination3d_0002.png,How many separate pieces are shown in candidate D?,3,"{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""B"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.42,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":2,""target_cube_count"":8,""vertical_axis"":""z""}"
Compound Reasoning,combination3d_0002.png,"Give the target's total cube count and maximum height along the vertical z-axis in layers as count,height.","8,2","{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""B"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.42,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":2,""target_cube_count"":8,""vertical_axis"":""z""}"
Extrapolative/Counterfactual Reasoning,combination3d_0002.png,"If the correctly assembled structure were rotated 90 degrees around the vertical z-axis as a whole, would it be the 'same shape, different angle' or a 'different structure'?","same shape, different angle","{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""B"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.42,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":2,""target_cube_count"":8,""vertical_axis"":""z""}"
Image Description,combination3d_0003.png,How many individual cubes make up the target structure?,12,"{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""C"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.51,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":3,""target_cube_count"":12,""vertical_axis"":""z""}"
