task,image,prompt,groundtruth,metadata
Image Description,polyhedron_0001.png,"How many faces does this solid have in total, including hidden faces?",4,"{""dataset_version"":""polyhedron-4.0.0"",""edge_count"":6,""face_count"":4,""face_shape_types"":""triangles"",""is_convex"":true,""seed"":1,""solid_class"":""Platonic"",""solid_name"":""tetrahedron"",""vertex_count"":4,""visible_face_count"":3}"
Basic Relational Reasoning,polyhedron_0001.png,Is this solid convex or non-convex? Answer 'convex' or 'non-convex'.,convex,"{""dataset_version"":""polyhedron-4.0.0"",""edge_count"":6,""face_count"":4,""face_shape_types"":""triangles"",""is_convex"":true,""seed"":1,""solid_class"":""Platonic"",""solid_name"":""tetrahedron"",""vertex_count"":4,""visible_face_count"":3}"
Comparative Reasoning,polyhedron_0001.png,How many faces of this solid face toward the camera from this viewing angle?,3,"{""dataset_version"":""polyhedron-4.0.0"",""edge_count"":6,""face_count"":4,""face_shape_types"":""triangles"",""is_convex"":true,""seed"":1,""solid_class"":""Platonic"",""solid_name"":""tetrahedron"",""vertex_count"":4,""visible_face_count"":3}"
Compound Reasoning,polyhedron_0001.png,"Which family does this solid belong to: Platonic, Archimedean, Catalan, Compound, or Non-convex?",Platonic,"{""dataset_version"":""polyhedron-4.0.0"",""edge_count"":6,""face_count"":4,""face_shape_types"":""triangles"",""is_convex"":true,""seed"":1,""solid_class"":""Platonic"",""solid_name"":""tetrahedron"",""vertex_count"":4,""visible_face_count"":3}"
Extrapolative/Counterfactual Reasoning,polyhedron_0001.png,"If one face were removed from this solid while all remaining faces stayed fixed, would the result still be a closed surface to which the closed-surface Euler formula directly applies? Answer yes or no.",no,"{""dataset_version"":""polyhedron-4.0.0"",""edge_count"":6,""face_count"":4,""face_shape_types"":""triangles"",""is_convex"":true,""seed"":1,""solid_class"":""Platonic"",""solid_name"":""tetrahedron"",""vertex_count"":4,""visible_face_count"":3}"
Image Description,polyhedron_0002.png,"How many faces does this solid have in total, including hidden faces?",6,"{""dataset_version"":""polyhedron-4.0.0"",""edge_count"":12,""face_count"":6,""face_shape_types"":""squares"",""is_convex"":true,""seed"":2,""solid_class"":""Platonic"",""solid_name"":""cube"",""vertex_count"":8,""visible_face_count"":3}"
Basic Relational Reasoning,polyhedron_0002.png,Is this solid convex or non-convex? Answer 'convex' or 'non-convex'.,convex,"{""dataset_version"":""polyhedron-4.0.0"",""edge_count"":12,""face_count"":6,""face_shape_types"":""squares"",""is_convex"":true,""seed"":2,""solid_class"":""Platonic"",""solid_name"":""cube"",""vertex_count"":8,""visible_face_count"":3}"
Comparative Reasoning,polyhedron_0002.png,How many vertices (corner points) does this solid have?,8,"{""dataset_version"":""polyhedron-4.0.0"",""edge_count"":12,""face_count"":6,""face_shape_types"":""squares"",""is_convex"":true,""seed"":2,""solid_class"":""Platonic"",""solid_name"":""cube"",""vertex_count"":8,""visible_face_count"":3}"
Compound Reasoning,polyhedron_0002.png,"Which family does this solid belong to: Platonic, Archimedean, Catalan, Compound, or Non-convex?",Platonic,"{""dataset_version"":""polyhedron-4.0.0"",""edge_count"":12,""face_count"":6,""face_shape_types"":""squares"",""is_convex"":true,""seed"":2,""solid_class"":""Platonic"",""solid_name"":""cube"",""vertex_count"":8,""visible_face_count"":3}"
Extrapolative/Counterfactual Reasoning,polyhedron_0002.png,"If one face were removed from this solid while all remaining faces stayed fixed, would the result still be a closed surface to which the closed-surface Euler formula directly applies? Answer yes or no.",no,"{""dataset_version"":""polyhedron-4.0.0"",""edge_count"":12,""face_count"":6,""face_shape_types"":""squares"",""is_convex"":true,""seed"":2,""solid_class"":""Platonic"",""solid_name"":""cube"",""vertex_count"":8,""visible_face_count"":3}"
