task,image,prompt,groundtruth,metadata
Image Description,physical_stability_0001.png,How many blocks are in this stack?,3,"{""counterfactual_scenario"":""stable_becomes_unstable"",""difficulty_score"":0.66,""is_stable"":true,""largest_offset_block"":""C"",""level2_upper_block"":""B"",""num_blocks"":3,""seed"":1,""tipping_joint"":null}"
Basic Relational Reasoning,physical_stability_0001.png,"Is block B's center of mass positioned to the left, right, or directly above the center of block A, which it rests on?",right,"{""counterfactual_scenario"":""stable_becomes_unstable"",""difficulty_score"":0.66,""is_stable"":true,""largest_offset_block"":""C"",""level2_upper_block"":""B"",""num_blocks"":3,""seed"":1,""tipping_joint"":null}"
Comparative Reasoning,physical_stability_0001.png,Which block has the largest absolute horizontal center offset from the block directly beneath it? Answer with the letter.,C,"{""counterfactual_scenario"":""stable_becomes_unstable"",""difficulty_score"":0.66,""is_stable"":true,""largest_offset_block"":""C"",""level2_upper_block"":""B"",""num_blocks"":3,""seed"":1,""tipping_joint"":null}"
Compound Reasoning,physical_stability_0001.png,"Is this entire stack stable, or will it tip over? If it tips, state the lowest joint at which it first becomes unstable.",stable,"{""counterfactual_scenario"":""stable_becomes_unstable"",""difficulty_score"":0.66,""is_stable"":true,""largest_offset_block"":""C"",""level2_upper_block"":""B"",""num_blocks"":3,""seed"":1,""tipping_joint"":null}"
Extrapolative/Counterfactual Reasoning,physical_stability_0001.png,"If topmost block C were removed, would the remaining stack be stable or unstable? Answer accordingly and briefly state the center-of-mass reason.","unstable; after removing block C, the cumulative center of mass at the joint between block B and block A lies outside its supporting base","{""counterfactual_scenario"":""stable_becomes_unstable"",""difficulty_score"":0.66,""is_stable"":true,""largest_offset_block"":""C"",""level2_upper_block"":""B"",""num_blocks"":3,""seed"":1,""tipping_joint"":null}"
Image Description,physical_stability_0002.png,How many blocks are in this stack?,2,"{""counterfactual_scenario"":""unstable_becomes_stable"",""difficulty_score"":0.55,""is_stable"":false,""largest_offset_block"":""B"",""level2_upper_block"":""B"",""num_blocks"":2,""seed"":2,""tipping_joint"":""B""}"
Basic Relational Reasoning,physical_stability_0002.png,"Is block B's center of mass positioned to the left, right, or directly above the center of block A, which it rests on?",right,"{""counterfactual_scenario"":""unstable_becomes_stable"",""difficulty_score"":0.55,""is_stable"":false,""largest_offset_block"":""B"",""level2_upper_block"":""B"",""num_blocks"":2,""seed"":2,""tipping_joint"":""B""}"
Comparative Reasoning,physical_stability_0002.png,Which block has the largest absolute horizontal center offset from the block directly beneath it? Answer with the letter.,B,"{""counterfactual_scenario"":""unstable_becomes_stable"",""difficulty_score"":0.55,""is_stable"":false,""largest_offset_block"":""B"",""level2_upper_block"":""B"",""num_blocks"":2,""seed"":2,""tipping_joint"":""B""}"
Compound Reasoning,physical_stability_0002.png,"Is this entire stack stable, or will it tip over? If it tips, state the lowest joint at which it first becomes unstable.",tips between block B and block A,"{""counterfactual_scenario"":""unstable_becomes_stable"",""difficulty_score"":0.55,""is_stable"":false,""largest_offset_block"":""B"",""level2_upper_block"":""B"",""num_blocks"":2,""seed"":2,""tipping_joint"":""B""}"
Extrapolative/Counterfactual Reasoning,physical_stability_0002.png,"If topmost block B were removed, would the remaining stack be stable or unstable? Answer accordingly and briefly state the center-of-mass reason.","stable; after removing block B, every cumulative center of mass remains within its supporting base","{""counterfactual_scenario"":""unstable_becomes_stable"",""difficulty_score"":0.55,""is_stable"":false,""largest_offset_block"":""B"",""level2_upper_block"":""B"",""num_blocks"":2,""seed"":2,""tipping_joint"":""B""}"
Image Description,physical_stability_0003.png,How many blocks are in this stack?,3,"{""counterfactual_scenario"":""unstable_remains_unstable"",""difficulty_score"":0.74,""is_stable"":false,""largest_offset_block"":""B"",""level2_upper_block"":""B"",""num_blocks"":3,""seed"":3,""tipping_joint"":""B""}"
Basic Relational Reasoning,physical_stability_0003.png,"Is block B's center of mass positioned to the left, right, or directly above the center of block A, which it rests on?",right,"{""counterfactual_scenario"":""unstable_remains_unstable"",""difficulty_score"":0.74,""is_stable"":false,""largest_offset_block"":""B"",""level2_upper_block"":""B"",""num_blocks"":3,""seed"":3,""tipping_joint"":""B""}"
Comparative Reasoning,physical_stability_0003.png,Which block has the largest absolute horizontal center offset from the block directly beneath it? Answer with the letter.,B,"{""counterfactual_scenario"":""unstable_remains_unstable"",""difficulty_score"":0.74,""is_stable"":false,""largest_offset_block"":""B"",""level2_upper_block"":""B"",""num_blocks"":3,""seed"":3,""tipping_joint"":""B""}"
Compound Reasoning,physical_stability_0003.png,"Is this entire stack stable, or will it tip over? If it tips, state the lowest joint at which it first becomes unstable.",tips between block B and block A,"{""counterfactual_scenario"":""unstable_remains_unstable"",""difficulty_score"":0.74,""is_stable"":false,""largest_offset_block"":""B"",""level2_upper_block"":""B"",""num_blocks"":3,""seed"":3,""tipping_joint"":""B""}"
Extrapolative/Counterfactual Reasoning,physical_stability_0003.png,"If topmost block C were removed, would the remaining stack be stable or unstable? Answer accordingly and briefly state the center-of-mass reason.","unstable; after removing block C, the cumulative center of mass at the joint between block B and block A lies outside its supporting base","{""counterfactual_scenario"":""unstable_remains_unstable"",""difficulty_score"":0.74,""is_stable"":false,""largest_offset_block"":""B"",""level2_upper_block"":""B"",""num_blocks"":3,""seed"":3,""tipping_joint"":""B""}"
Image Description,physical_stability_0004.png,How many blocks are in this stack?,3,"{""counterfactual_scenario"":""stable_remains_stable"",""difficulty_score"":0.56,""is_stable"":true,""largest_offset_block"":""C"",""level2_upper_block"":""B"",""num_blocks"":3,""seed"":4,""tipping_joint"":null}"
