question_id,image,prompt
physical_stability_0001_open_q1,physical_stability_0001.png,"Start at the contact supporting block C and consider that block together with every labelled block above it: list those labels, locate their combined centre of mass relative to the supporting base using only left, inside, or right, decide whether this joint is stable, and then conclude whether the whole stack is stable. Justify from visible block widths and offsets, explaining how a dramatic single-block overhang can mislead compared with the combined mass. End with a confidence score from 0 to 1."
physical_stability_0002_open_q1,physical_stability_0002.png,"Start at the contact supporting block B and consider that block together with every labelled block above it: list those labels, locate their combined centre of mass relative to the supporting base using only left, inside, or right, decide whether this joint is stable, and then conclude whether the whole stack is stable. Justify from visible block widths and offsets, explaining how a dramatic single-block overhang can mislead compared with the combined mass. End with a confidence score from 0 to 1."
physical_stability_0003_open_q1,physical_stability_0003.png,"Start at the contact supporting block B and consider that block together with every labelled block above it: list those labels, locate their combined centre of mass relative to the supporting base using only left, inside, or right, decide whether this joint is stable, and then conclude whether the whole stack is stable. Justify from visible block widths and offsets, explaining how a dramatic single-block overhang can mislead compared with the combined mass. End with a confidence score from 0 to 1."
physical_stability_0004_open_q1,physical_stability_0004.png,"Start at the contact supporting block C and consider that block together with every labelled block above it: list those labels, locate their combined centre of mass relative to the supporting base using only left, inside, or right, decide whether this joint is stable, and then conclude whether the whole stack is stable. Justify from visible block widths and offsets, explaining how a dramatic single-block overhang can mislead compared with the combined mass. End with a confidence score from 0 to 1."
physical_stability_0005_open_q1,physical_stability_0005.png,"Start at the contact supporting block E and consider that block together with every labelled block above it: list those labels, locate their combined centre of mass relative to the supporting base using only left, inside, or right, decide whether this joint is stable, and then conclude whether the whole stack is stable. Justify from visible block widths and offsets, explaining how a dramatic single-block overhang can mislead compared with the combined mass. End with a confidence score from 0 to 1."
physical_stability_0006_open_q1,physical_stability_0006.png,"Start at the contact supporting block B and consider that block together with every labelled block above it: list those labels, locate their combined centre of mass relative to the supporting base using only left, inside, or right, decide whether this joint is stable, and then conclude whether the whole stack is stable. Justify from visible block widths and offsets, explaining how a dramatic single-block overhang can mislead compared with the combined mass. End with a confidence score from 0 to 1."
physical_stability_0007_open_q1,physical_stability_0007.png,"Start at the contact supporting block C and consider that block together with every labelled block above it: list those labels, locate their combined centre of mass relative to the supporting base using only left, inside, or right, decide whether this joint is stable, and then conclude whether the whole stack is stable. Justify from visible block widths and offsets, explaining how a dramatic single-block overhang can mislead compared with the combined mass. End with a confidence score from 0 to 1."
physical_stability_0008_open_q1,physical_stability_0008.png,"Start at the contact supporting block B and consider that block together with every labelled block above it: list those labels, locate their combined centre of mass relative to the supporting base using only left, inside, or right, decide whether this joint is stable, and then conclude whether the whole stack is stable. Justify from visible block widths and offsets, explaining how a dramatic single-block overhang can mislead compared with the combined mass. End with a confidence score from 0 to 1."
physical_stability_0009_open_q1,physical_stability_0009.png,"Start at the contact supporting block D and consider that block together with every labelled block above it: list those labels, locate their combined centre of mass relative to the supporting base using only left, inside, or right, decide whether this joint is stable, and then conclude whether the whole stack is stable. Justify from visible block widths and offsets, explaining how a dramatic single-block overhang can mislead compared with the combined mass. End with a confidence score from 0 to 1."
physical_stability_0010_open_q1,physical_stability_0010.png,"Start at the contact supporting block B and consider that block together with every labelled block above it: list those labels, locate their combined centre of mass relative to the supporting base using only left, inside, or right, decide whether this joint is stable, and then conclude whether the whole stack is stable. Justify from visible block widths and offsets, explaining how a dramatic single-block overhang can mislead compared with the combined mass. End with a confidence score from 0 to 1."
