question_id,image,acceptance_set,targets,tolerances,shape_count,cumulative_rotation_degrees_nearest_5,shrink_pattern
nested_squares_0001_open_q1,nested_squares_0001.png,"[""shape_count=5; cumulative_rotation_degrees_nearest_5=10; shrink_pattern=changing""]","[""nested squares""]","{""cumulative_rotation_degrees_nearest_5"":{""absolute_tolerance"":2.5,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}",5,10,changing
nested_squares_0002_open_q1,nested_squares_0002.png,"[""shape_count=5; cumulative_rotation_degrees_nearest_5=10; shrink_pattern=constant""]","[""nested squares""]","{""cumulative_rotation_degrees_nearest_5"":{""absolute_tolerance"":2.5,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}",5,10,constant
nested_squares_0003_open_q1,nested_squares_0003.png,"[""shape_count=10; cumulative_rotation_degrees_nearest_5=45; shrink_pattern=constant""]","[""nested squares""]","{""cumulative_rotation_degrees_nearest_5"":{""absolute_tolerance"":2.5,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}",10,45,constant
nested_squares_0004_open_q1,nested_squares_0004.png,"[""shape_count=10; cumulative_rotation_degrees_nearest_5=45; shrink_pattern=changing""]","[""nested squares""]","{""cumulative_rotation_degrees_nearest_5"":{""absolute_tolerance"":2.5,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}",10,45,changing
nested_squares_0005_open_q1,nested_squares_0005.png,"[""shape_count=12; cumulative_rotation_degrees_nearest_5=0; shrink_pattern=constant""]","[""nested squares""]","{""cumulative_rotation_degrees_nearest_5"":{""absolute_tolerance"":2.5,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}",12,0,constant
nested_squares_0006_open_q1,nested_squares_0006.png,"[""shape_count=10; cumulative_rotation_degrees_nearest_5=80; shrink_pattern=constant""]","[""nested squares""]","{""cumulative_rotation_degrees_nearest_5"":{""absolute_tolerance"":2.5,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}",10,80,constant
nested_squares_0007_open_q1,nested_squares_0007.png,"[""shape_count=12; cumulative_rotation_degrees_nearest_5=0; shrink_pattern=changing""]","[""nested squares""]","{""cumulative_rotation_degrees_nearest_5"":{""absolute_tolerance"":2.5,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}",12,0,changing
nested_squares_0008_open_q1,nested_squares_0008.png,"[""shape_count=12; cumulative_rotation_degrees_nearest_5=0; shrink_pattern=constant""]","[""nested squares""]","{""cumulative_rotation_degrees_nearest_5"":{""absolute_tolerance"":2.5,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}",12,0,constant
nested_squares_0009_open_q1,nested_squares_0009.png,"[""shape_count=8; cumulative_rotation_degrees_nearest_5=45; shrink_pattern=constant""]","[""nested squares""]","{""cumulative_rotation_degrees_nearest_5"":{""absolute_tolerance"":2.5,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}",8,45,constant
nested_squares_0010_open_q1,nested_squares_0010.png,"[""shape_count=10; cumulative_rotation_degrees_nearest_5=80; shrink_pattern=changing""]","[""nested squares""]","{""cumulative_rotation_degrees_nearest_5"":{""absolute_tolerance"":2.5,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}",10,80,changing
nested_squares_0011_open_q1,nested_squares_0011.png,"[""shape_count=9; cumulative_rotation_degrees_nearest_5=0; shrink_pattern=constant""]","[""nested squares""]","{""cumulative_rotation_degrees_nearest_5"":{""absolute_tolerance"":2.5,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}",9,0,constant
nested_squares_0012_open_q1,nested_squares_0012.png,"[""shape_count=5; cumulative_rotation_degrees_nearest_5=75; shrink_pattern=constant""]","[""nested squares""]","{""cumulative_rotation_degrees_nearest_5"":{""absolute_tolerance"":2.5,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}",5,75,constant
nested_squares_0013_open_q1,nested_squares_0013.png,"[""shape_count=6; cumulative_rotation_degrees_nearest_5=45; shrink_pattern=constant""]","[""nested squares""]","{""cumulative_rotation_degrees_nearest_5"":{""absolute_tolerance"":2.5,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}",6,45,constant
