question_id,image,acceptance_set,targets,read_time,minute_hand_ticks_from_12,hour_hand_ticks_past_hour,nearer_to_12,smaller_separation_degrees
clock_reading_0001_open_q1,clock_reading_0001.png,"[""read_time=03:49; minute_hand_ticks_from_12=49; hour_hand_ticks_past_hour=4.08; nearer_to_12=minute hand; smaller_separation_degrees=179.5""]","[""12""]",03:49,49,4.08,minute hand,179.5
clock_reading_0002_open_q1,clock_reading_0002.png,"[""read_time=01:02; minute_hand_ticks_from_12=2; hour_hand_ticks_past_hour=0.17; nearer_to_12=minute hand; smaller_separation_degrees=19""]","[""12""]",01:02,2,0.17,minute hand,19
clock_reading_0003_open_q1,clock_reading_0003.png,"[""read_time=04:49; minute_hand_ticks_from_12=49; hour_hand_ticks_past_hour=4.08; nearer_to_12=minute hand; smaller_separation_degrees=149.5""]","[""12""]",04:49,49,4.08,minute hand,149.5
clock_reading_0004_open_q1,clock_reading_0004.png,"[""read_time=04:09; minute_hand_ticks_from_12=9; hour_hand_ticks_past_hour=0.75; nearer_to_12=minute hand; smaller_separation_degrees=70.5""]","[""12""]",04:09,9,0.75,minute hand,70.5
clock_reading_0005_open_q1,clock_reading_0005.png,"[""read_time=10:39; minute_hand_ticks_from_12=39; hour_hand_ticks_past_hour=3.25; nearer_to_12=hour hand; smaller_separation_degrees=85.5""]","[""12""]",10:39,39,3.25,hour hand,85.5
clock_reading_0006_open_q1,clock_reading_0006.png,"[""read_time=10:26; minute_hand_ticks_from_12=26; hour_hand_ticks_past_hour=2.17; nearer_to_12=hour hand; smaller_separation_degrees=157""]","[""12""]",10:26,26,2.17,hour hand,157
clock_reading_0007_open_q1,clock_reading_0007.png,"[""read_time=06:39; minute_hand_ticks_from_12=39; hour_hand_ticks_past_hour=3.25; nearer_to_12=minute hand; smaller_separation_degrees=34.5""]","[""12""]",06:39,39,3.25,minute hand,34.5
clock_reading_0008_open_q1,clock_reading_0008.png,"[""read_time=04:11; minute_hand_ticks_from_12=11; hour_hand_ticks_past_hour=0.92; nearer_to_12=minute hand; smaller_separation_degrees=59.5""]","[""12""]",04:11,11,0.92,minute hand,59.5
clock_reading_0009_open_q1,clock_reading_0009.png,"[""read_time=08:54; minute_hand_ticks_from_12=54; hour_hand_ticks_past_hour=4.5; nearer_to_12=minute hand; smaller_separation_degrees=57""]","[""12""]",08:54,54,4.5,minute hand,57
clock_reading_0010_open_q1,clock_reading_0010.png,"[""read_time=10:01; minute_hand_ticks_from_12=1; hour_hand_ticks_past_hour=0.08; nearer_to_12=minute hand; smaller_separation_degrees=65.5""]","[""12""]",10:01,1,0.08,minute hand,65.5
clock_reading_0011_open_q1,clock_reading_0011.png,"[""read_time=08:52; minute_hand_ticks_from_12=52; hour_hand_ticks_past_hour=4.33; nearer_to_12=minute hand; smaller_separation_degrees=46""]","[""12""]",08:52,52,4.33,minute hand,46
clock_reading_0012_open_q1,clock_reading_0012.png,"[""read_time=08:08; minute_hand_ticks_from_12=8; hour_hand_ticks_past_hour=0.67; nearer_to_12=minute hand; smaller_separation_degrees=164""]","[""12""]",08:08,8,0.67,minute hand,164
clock_reading_0013_open_q1,clock_reading_0013.png,"[""read_time=05:40; minute_hand_ticks_from_12=40; hour_hand_ticks_past_hour=3.33; nearer_to_12=minute hand; smaller_separation_degrees=70""]","[""12""]",05:40,40,3.33,minute hand,70
clock_reading_0014_open_q1,clock_reading_0014.png,"[""read_time=02:24; minute_hand_ticks_from_12=24; hour_hand_ticks_past_hour=2; nearer_to_12=hour hand; smaller_separation_degrees=72""]","[""12""]",02:24,24,2,hour hand,72
clock_reading_0015_open_q1,clock_reading_0015.png,"[""read_time=04:31; minute_hand_ticks_from_12=31; hour_hand_ticks_past_hour=2.58; nearer_to_12=hour hand; smaller_separation_degrees=50.5""]","[""12""]",04:31,31,2.58,hour hand,50.5
clock_reading_0016_open_q1,clock_reading_0016.png,"[""read_time=06:15; minute_hand_ticks_from_12=15; hour_hand_ticks_past_hour=1.25; nearer_to_12=minute hand; smaller_separation_degrees=97.5""]","[""12""]",06:15,15,1.25,minute hand,97.5
clock_reading_0017_open_q1,clock_reading_0017.png,"[""read_time=09:44; minute_hand_ticks_from_12=44; hour_hand_ticks_past_hour=3.67; nearer_to_12=hour hand; smaller_separation_degrees=28""]","[""12""]",09:44,44,3.67,hour hand,28
clock_reading_0018_open_q1,clock_reading_0018.png,"[""read_time=03:03; minute_hand_ticks_from_12=3; hour_hand_ticks_past_hour=0.25; nearer_to_12=minute hand; smaller_separation_degrees=73.5""]","[""12""]",03:03,3,0.25,minute hand,73.5
