question_id,task,image,prompt
combination3d_0001_q1,Image Description,combination3d_0001.png,How many individual cubes make up the target structure?
combination3d_0001_q2,Basic Relational Reasoning,combination3d_0001.png,"Which set of pieces (A, B, C, or D) can be assembled using only translation and rotation around the vertical axis to exactly form the target structure? Answer with the letter."
combination3d_0001_q3,Comparative Reasoning,combination3d_0001.png,Does candidate B have the same total number of cubes as the target? Answer yes or no.
combination3d_0001_q4,Compound Reasoning,combination3d_0001.png,"Give the target's total cube count and maximum height along the vertical z-axis in layers as count,height."
combination3d_0001_q5,Extrapolative/Counterfactual Reasoning,combination3d_0001.png,"If the correctly assembled structure were rotated 90 degrees around the vertical z-axis as a whole, would it be the 'same shape, different angle' or a 'different structure'?"
combination3d_0002_q1,Image Description,combination3d_0002.png,How many individual cubes make up the target structure?
combination3d_0002_q2,Basic Relational Reasoning,combination3d_0002.png,"Which set of pieces (A, B, C, or D) can be assembled using only translation and rotation around the vertical axis to exactly form the target structure? Answer with the letter."
combination3d_0002_q3,Comparative Reasoning,combination3d_0002.png,How many separate pieces are shown in candidate D?
combination3d_0002_q4,Compound Reasoning,combination3d_0002.png,"Give the target's total cube count and maximum height along the vertical z-axis in layers as count,height."
combination3d_0002_q5,Extrapolative/Counterfactual Reasoning,combination3d_0002.png,"If the correctly assembled structure were rotated 90 degrees around the vertical z-axis as a whole, would it be the 'same shape, different angle' or a 'different structure'?"
combination3d_0003_q1,Image Description,combination3d_0003.png,How many individual cubes make up the target structure?
combination3d_0003_q2,Basic Relational Reasoning,combination3d_0003.png,"Which set of pieces (A, B, C, or D) can be assembled using only translation and rotation around the vertical axis to exactly form the target structure? Answer with the letter."
combination3d_0003_q3,Comparative Reasoning,combination3d_0003.png,Does candidate A have the same total number of cubes as the target? Answer yes or no.
combination3d_0003_q4,Compound Reasoning,combination3d_0003.png,"Give the target's total cube count and maximum height along the vertical z-axis in layers as count,height."
combination3d_0003_q5,Extrapolative/Counterfactual Reasoning,combination3d_0003.png,"If the correctly assembled structure were rotated 90 degrees around the vertical z-axis as a whole, would it be the 'same shape, different angle' or a 'different structure'?"
combination3d_0004_q1,Image Description,combination3d_0004.png,How many individual cubes make up the target structure?
combination3d_0004_q2,Basic Relational Reasoning,combination3d_0004.png,"Which set of pieces (A, B, C, or D) can be assembled using only translation and rotation around the vertical axis to exactly form the target structure? Answer with the letter."
combination3d_0004_q3,Comparative Reasoning,combination3d_0004.png,How many separate pieces are shown in candidate B?
combination3d_0004_q4,Compound Reasoning,combination3d_0004.png,"Which candidate has the correct cube count and piece shapes but would require tipping a piece onto a different face, rather than only spinning it around the vertical axis?"
combination3d_0004_q5,Extrapolative/Counterfactual Reasoning,combination3d_0004.png,"If one cube were added directly above a highest cube, what would the new total cube count and maximum height along the vertical z-axis be? Answer as count,height."
combination3d_0005_q1,Image Description,combination3d_0005.png,How many individual cubes make up the target structure?
combination3d_0005_q2,Basic Relational Reasoning,combination3d_0005.png,"Which set of pieces (A, B, C, or D) can be assembled using only translation and rotation around the vertical axis to exactly form the target structure? Answer with the letter."
combination3d_0005_q3,Comparative Reasoning,combination3d_0005.png,How many separate pieces are shown in candidate A?
combination3d_0005_q4,Compound Reasoning,combination3d_0005.png,"Give the target's total cube count and maximum height along the vertical z-axis in layers as count,height."
combination3d_0005_q5,Extrapolative/Counterfactual Reasoning,combination3d_0005.png,"If the correctly assembled structure were rotated 90 degrees around the vertical z-axis as a whole, would it be the 'same shape, different angle' or a 'different structure'?"
combination3d_0006_q1,Image Description,combination3d_0006.png,How many individual cubes make up the target structure?
combination3d_0006_q2,Basic Relational Reasoning,combination3d_0006.png,"Which set of pieces (A, B, C, or D) can be assembled using only translation and rotation around the vertical axis to exactly form the target structure? Answer with the letter."
combination3d_0006_q3,Comparative Reasoning,combination3d_0006.png,Does candidate A have the same total number of cubes as the target? Answer yes or no.
combination3d_0006_q4,Compound Reasoning,combination3d_0006.png,"Give the target's total cube count and maximum height along the vertical z-axis in layers as count,height."
combination3d_0006_q5,Extrapolative/Counterfactual Reasoning,combination3d_0006.png,"If the correctly assembled structure were rotated 90 degrees around the vertical z-axis as a whole, would it be the 'same shape, different angle' or a 'different structure'?"
combination3d_0007_q1,Image Description,combination3d_0007.png,How many individual cubes make up the target structure?
