task,image,prompt,groundtruth,metadata
Image Description,occluded_pattern_0001.png,How many objects are clearly visible (not hidden behind the occluder) in this image?,11,"{""dataset_version"":""occluded-pattern-2.0.0"",""difficulty_score"":0.4867,""object_radius_px"":8,""occluded_object_count"":4,""occluder_style"":""seamless"",""pattern_type"":""grid"",""seed"":1,""shape_type"":""dot"",""total_object_count"":15,""visible_object_count"":11}"
Basic Relational Reasoning,occluded_pattern_0001.png,"Assuming the pattern continues behind the occluded region, how many objects are there in total? Answer with a number in curly brackets, e.g. {12}.",15,"{""dataset_version"":""occluded-pattern-2.0.0"",""difficulty_score"":0.4867,""object_radius_px"":8,""occluded_object_count"":4,""occluder_style"":""seamless"",""pattern_type"":""grid"",""seed"":1,""shape_type"":""dot"",""total_object_count"":15,""visible_object_count"":11}"
Comparative Reasoning,occluded_pattern_0001.png,"What type of pattern do the objects form - a grid, a circle, or a triangular arrangement? Answer with one word.",grid,"{""dataset_version"":""occluded-pattern-2.0.0"",""difficulty_score"":0.4867,""object_radius_px"":8,""occluded_object_count"":4,""occluder_style"":""seamless"",""pattern_type"":""grid"",""seed"":1,""shape_type"":""dot"",""total_object_count"":15,""visible_object_count"":11}"
Compound Reasoning,occluded_pattern_0001.png,How many objects are hidden behind the occluded region specifically (not counting the visible ones)? Answer with a number in curly brackets.,4,"{""dataset_version"":""occluded-pattern-2.0.0"",""difficulty_score"":0.4867,""object_radius_px"":8,""occluded_object_count"":4,""occluder_style"":""seamless"",""pattern_type"":""grid"",""seed"":1,""shape_type"":""dot"",""total_object_count"":15,""visible_object_count"":11}"
Extrapolative/Counterfactual Reasoning,occluded_pattern_0001.png,"If the occluder were removed and the pattern extended by one additional object outside the former occluded region, how many objects would be visible in total?",16,"{""dataset_version"":""occluded-pattern-2.0.0"",""difficulty_score"":0.4867,""object_radius_px"":8,""occluded_object_count"":4,""occluder_style"":""seamless"",""pattern_type"":""grid"",""seed"":1,""shape_type"":""dot"",""total_object_count"":15,""visible_object_count"":11}"
Image Description,occluded_pattern_0002.png,How many objects are clearly visible (not hidden behind the occluder) in this image?,9,"{""dataset_version"":""occluded-pattern-2.0.0"",""difficulty_score"":0.4727,""object_radius_px"":8,""occluded_object_count"":2,""occluder_style"":""visible_box"",""pattern_type"":""circle"",""seed"":2,""shape_type"":""square"",""total_object_count"":11,""visible_object_count"":9}"
Basic Relational Reasoning,occluded_pattern_0002.png,"Assuming the pattern continues behind the occluded region, how many objects are there in total? Answer with a number in curly brackets, e.g. {12}.",11,"{""dataset_version"":""occluded-pattern-2.0.0"",""difficulty_score"":0.4727,""object_radius_px"":8,""occluded_object_count"":2,""occluder_style"":""visible_box"",""pattern_type"":""circle"",""seed"":2,""shape_type"":""square"",""total_object_count"":11,""visible_object_count"":9}"
Comparative Reasoning,occluded_pattern_0002.png,"What type of pattern do the objects form - a grid, a circle, or a triangular arrangement? Answer with one word.",circle,"{""dataset_version"":""occluded-pattern-2.0.0"",""difficulty_score"":0.4727,""object_radius_px"":8,""occluded_object_count"":2,""occluder_style"":""visible_box"",""pattern_type"":""circle"",""seed"":2,""shape_type"":""square"",""total_object_count"":11,""visible_object_count"":9}"
Compound Reasoning,occluded_pattern_0002.png,How many objects are hidden behind the occluded region specifically (not counting the visible ones)? Answer with a number in curly brackets.,2,"{""dataset_version"":""occluded-pattern-2.0.0"",""difficulty_score"":0.4727,""object_radius_px"":8,""occluded_object_count"":2,""occluder_style"":""visible_box"",""pattern_type"":""circle"",""seed"":2,""shape_type"":""square"",""total_object_count"":11,""visible_object_count"":9}"
Extrapolative/Counterfactual Reasoning,occluded_pattern_0002.png,"If the occluder were removed and the pattern extended by one additional object outside the former occluded region, how many objects would be visible in total?",12,"{""dataset_version"":""occluded-pattern-2.0.0"",""difficulty_score"":0.4727,""object_radius_px"":8,""occluded_object_count"":2,""occluder_style"":""visible_box"",""pattern_type"":""circle"",""seed"":2,""shape_type"":""square"",""total_object_count"":11,""visible_object_count"":9}"
