question_id,image,acceptance_set,targets,scene_form,primary_label,primary_measure_degrees,secondary_label,secondary_measure_degrees,comparison_summary
angle_estimation_0001_open_q1,angle_estimation_0001.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=298; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,298,none,none,reflex
angle_estimation_0002_open_q1,angle_estimation_0002.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=39; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,39,none,none,minor
angle_estimation_0003_open_q1,angle_estimation_0003.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=195; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,195,none,none,reflex
angle_estimation_0004_open_q1,angle_estimation_0004.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=45; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,45,none,none,minor
angle_estimation_0005_open_q1,angle_estimation_0005.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=180; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,180,none,none,minor
angle_estimation_0006_open_q1,angle_estimation_0006.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=289; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,289,none,none,reflex
angle_estimation_0007_open_q1,angle_estimation_0007.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=144; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,144,none,none,minor
angle_estimation_0008_open_q1,angle_estimation_0008.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=337; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,337,none,none,reflex
angle_estimation_0009_open_q1,angle_estimation_0009.png,"[""scene_form=two labelled angles; primary_label=Angle 1; primary_measure_degrees=70; secondary_label=Angle 2; secondary_measure_degrees=32; comparison_summary=wider-to-narrower ratio 2.17""]","[""the printed label Angle 1""]",two labelled angles,Angle 1,70,Angle 2,32,wider-to-narrower ratio 2.17
angle_estimation_0010_open_q1,angle_estimation_0010.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=102; secondary_label=Angle 1; secondary_measure_degrees=79; comparison_summary=wider-to-narrower ratio 1.3""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,102,Angle 1,79,wider-to-narrower ratio 1.3
angle_estimation_0011_open_q1,angle_estimation_0011.png,"[""scene_form=two labelled angles; primary_label=Angle 1; primary_measure_degrees=147; secondary_label=Angle 2; secondary_measure_degrees=135; comparison_summary=wider-to-narrower ratio 1.09""]","[""the printed label Angle 1""]",two labelled angles,Angle 1,147,Angle 2,135,wider-to-narrower ratio 1.09
