question_id,task,image,prompt
rotation_match_0001_q1,Image Description,rotation_match_0001.png,How many vertices (corners) does the reference figure have?
rotation_match_0001_q2,Basic Relational Reasoning,rotation_match_0001.png,Which candidate shows the reference figure rigidly rotated 45 degrees clockwise? Answer with the letter.
rotation_match_0001_q3,Comparative Reasoning,rotation_match_0001.png,"By how many degrees clockwise is candidate A rotated relative to the reference? Choose 45, 90, 135, 180, 225, 270, or 315 degrees."
rotation_match_0001_q4,Compound Reasoning,rotation_match_0001.png,Exactly one candidate is a reflection (mirror image) rather than a rotation. Which one? Answer with the letter.
rotation_match_0001_q5,Extrapolative/Counterfactual Reasoning,rotation_match_0001.png,"If the reference were first rotated by the target angle of 45 degrees clockwise and then rotated an additional 90 degrees clockwise, what would the total normalized rotation be? Answer from 45, 90, 135, 180, 225, 270, 315, or 360 degrees."
rotation_match_0002_q1,Image Description,rotation_match_0002.png,How many vertices (corners) does the reference figure have?
rotation_match_0002_q2,Basic Relational Reasoning,rotation_match_0002.png,Which candidate shows the reference figure rigidly rotated 90 degrees clockwise? Answer with the letter.
rotation_match_0002_q3,Comparative Reasoning,rotation_match_0002.png,"By how many degrees clockwise is candidate B rotated relative to the reference? Choose 45, 90, 135, 180, 225, 270, or 315 degrees."
rotation_match_0002_q4,Compound Reasoning,rotation_match_0002.png,Exactly one candidate is a reflection (mirror image) rather than a rotation. Which one? Answer with the letter.
rotation_match_0002_q5,Extrapolative/Counterfactual Reasoning,rotation_match_0002.png,"If the reference were first rotated by the target angle of 90 degrees clockwise and then rotated an additional 90 degrees clockwise, what would the total normalized rotation be? Answer from 45, 90, 135, 180, 225, 270, 315, or 360 degrees."
rotation_match_0003_q1,Image Description,rotation_match_0003.png,How many vertices (corners) does the reference figure have?
rotation_match_0003_q2,Basic Relational Reasoning,rotation_match_0003.png,Which candidate shows the reference figure rigidly rotated 135 degrees clockwise? Answer with the letter.
rotation_match_0003_q3,Comparative Reasoning,rotation_match_0003.png,"By how many degrees clockwise is candidate C rotated relative to the reference? Choose 45, 90, 135, 180, 225, 270, or 315 degrees."
rotation_match_0003_q4,Compound Reasoning,rotation_match_0003.png,Exactly one candidate is a reflection (mirror image) rather than a rotation. Which one? Answer with the letter.
rotation_match_0003_q5,Extrapolative/Counterfactual Reasoning,rotation_match_0003.png,"If the reference were first rotated by the target angle of 135 degrees clockwise and then rotated an additional 90 degrees clockwise, what would the total normalized rotation be? Answer from 45, 90, 135, 180, 225, 270, 315, or 360 degrees."
rotation_match_0004_q1,Image Description,rotation_match_0004.png,How many vertices (corners) does the reference figure have?
rotation_match_0004_q2,Basic Relational Reasoning,rotation_match_0004.png,Which candidate shows the reference figure rigidly rotated 180 degrees clockwise? Answer with the letter.
rotation_match_0004_q3,Comparative Reasoning,rotation_match_0004.png,"By how many degrees clockwise is candidate C rotated relative to the reference? Choose 45, 90, 135, 180, 225, 270, or 315 degrees."
rotation_match_0004_q4,Compound Reasoning,rotation_match_0004.png,Exactly one candidate is a reflection (mirror image) rather than a rotation. Which one? Answer with the letter.
rotation_match_0004_q5,Extrapolative/Counterfactual Reasoning,rotation_match_0004.png,"If the reference were first rotated by the target angle of 180 degrees clockwise and then rotated an additional 90 degrees clockwise, what would the total normalized rotation be? Answer from 45, 90, 135, 180, 225, 270, 315, or 360 degrees."
rotation_match_0005_q1,Image Description,rotation_match_0005.png,How many vertices (corners) does the reference figure have?
rotation_match_0005_q2,Basic Relational Reasoning,rotation_match_0005.png,Which candidate shows the reference figure rigidly rotated 225 degrees clockwise? Answer with the letter.
