question_id,task,image,prompt,groundtruth
cube_net_0001_q1,Image Description,cube_net_0001.png,How many squares (faces) make up this cube net?,6
cube_net_0001_q2,Basic Relational Reasoning,cube_net_0001.png,Name one face that shares a fold edge with face A.,E
cube_net_0001_q3,Comparative Reasoning,cube_net_0001.png,How many faces share a fold edge with face A?,2
cube_net_0001_q4,Compound Reasoning,cube_net_0001.png,"If this net is folded into a cube, are face B and face E adjacent or opposite? Answer 'adjacent' or 'opposite'.",adjacent
cube_net_0001_q5,Extrapolative/Counterfactual Reasoning,cube_net_0001.png,"If the positions of faces D and E were swapped in this net, would face D still end up opposite the same face it currently is opposite to? Answer yes or no.",yes
cube_net_0002_q1,Image Description,cube_net_0002.png,How many squares (faces) make up this cube net?,6
cube_net_0002_q2,Basic Relational Reasoning,cube_net_0002.png,Name one face that shares a fold edge with face E.,B
cube_net_0002_q3,Comparative Reasoning,cube_net_0002.png,How many faces share a fold edge with face D?,2
cube_net_0002_q4,Compound Reasoning,cube_net_0002.png,"If this net is folded into a cube, are face D and face F adjacent or opposite? Answer 'adjacent' or 'opposite'.",opposite
cube_net_0002_q5,Extrapolative/Counterfactual Reasoning,cube_net_0002.png,"If the positions of faces E and C were swapped in this net, would face E still end up opposite the same face it currently is opposite to? Answer yes or no.",no
cube_net_0003_q1,Image Description,cube_net_0003.png,How many squares (faces) make up this cube net?,6
cube_net_0003_q2,Basic Relational Reasoning,cube_net_0003.png,Name one face that shares a fold edge with face B.,D
cube_net_0003_q3,Comparative Reasoning,cube_net_0003.png,"If this net is folded into a cube, which face will be OPPOSITE face F?",A
cube_net_0003_q4,Compound Reasoning,cube_net_0003.png,"If this net is folded into a cube, are face C and face E adjacent or opposite? Answer 'adjacent' or 'opposite'.",adjacent
cube_net_0003_q5,Extrapolative/Counterfactual Reasoning,cube_net_0003.png,"If the positions of faces D and F were swapped in this net, would face D still end up opposite the same face it currently is opposite to? Answer yes or no.",no
cube_net_0004_q1,Image Description,cube_net_0004.png,How many squares (faces) make up this cube net?,6
cube_net_0004_q2,Basic Relational Reasoning,cube_net_0004.png,Name one face that shares a fold edge with face C.,A
cube_net_0004_q3,Comparative Reasoning,cube_net_0004.png,"If this net is folded into a cube, which face will be OPPOSITE face B?",F
cube_net_0004_q4,Compound Reasoning,cube_net_0004.png,"If this net is folded into a cube, are face B and face F adjacent or opposite? Answer 'adjacent' or 'opposite'.",opposite
cube_net_0004_q5,Extrapolative/Counterfactual Reasoning,cube_net_0004.png,"If the positions of faces C and B were swapped in this net, would face C still end up opposite the same face it currently is opposite to? Answer yes or no.",no
cube_net_0005_q1,Image Description,cube_net_0005.png,How many squares (faces) make up this cube net?,6
cube_net_0005_q2,Basic Relational Reasoning,cube_net_0005.png,Name one face that shares a fold edge with face A.,D
cube_net_0005_q3,Comparative Reasoning,cube_net_0005.png,How many faces share a fold edge with face D?,2
cube_net_0005_q4,Compound Reasoning,cube_net_0005.png,"If this net is folded into a cube, are face B and face E adjacent or opposite? Answer 'adjacent' or 'opposite'.",adjacent
cube_net_0005_q5,Extrapolative/Counterfactual Reasoning,cube_net_0005.png,"If the positions of faces E and A were swapped in this net, would face E still end up opposite the same face it currently is opposite to? Answer yes or no.",yes
cube_net_0006_q1,Image Description,cube_net_0006.png,How many squares (faces) make up this cube net?,6
cube_net_0006_q2,Basic Relational Reasoning,cube_net_0006.png,Name one face that shares a fold edge with face A.,E
cube_net_0006_q3,Comparative Reasoning,cube_net_0006.png,How many faces share a fold edge with face D?,1
cube_net_0006_q4,Compound Reasoning,cube_net_0006.png,"If this net is folded into a cube, are face C and face D adjacent or opposite? Answer 'adjacent' or 'opposite'.",opposite
cube_net_0006_q5,Extrapolative/Counterfactual Reasoning,cube_net_0006.png,"If the positions of faces D and E were swapped in this net, would face D still end up opposite the same face it currently is opposite to? Answer yes or no.",no
cube_net_0007_q1,Image Description,cube_net_0007.png,How many squares (faces) make up this cube net?,6
cube_net_0007_q2,Basic Relational Reasoning,cube_net_0007.png,Name one face that shares a fold edge with face B.,C
cube_net_0007_q3,Comparative Reasoning,cube_net_0007.png,"If this net is folded into a cube, which face will be OPPOSITE face A?",B
cube_net_0007_q4,Compound Reasoning,cube_net_0007.png,"If this net is folded into a cube, are face A and face D adjacent or opposite? Answer 'adjacent' or 'opposite'.",adjacent
cube_net_0007_q5,Extrapolative/Counterfactual Reasoning,cube_net_0007.png,"If the positions of faces B and A were swapped in this net, would face B still end up opposite the same face it currently is opposite to? Answer yes or no.",yes
cube_net_0008_q1,Image Description,cube_net_0008.png,How many squares (faces) make up this cube net?,6
cube_net_0008_q2,Basic Relational Reasoning,cube_net_0008.png,Name one face that shares a fold edge with face E.,A
cube_net_0008_q3,Comparative Reasoning,cube_net_0008.png,How many faces share a fold edge with face D?,3
cube_net_0008_q4,Compound Reasoning,cube_net_0008.png,"If this net is folded into a cube, are face C and face F adjacent or opposite? Answer 'adjacent' or 'opposite'.",opposite
cube_net_0008_q5,Extrapolative/Counterfactual Reasoning,cube_net_0008.png,"If the positions of faces D and F were swapped in this net, would face D still end up opposite the same face it currently is opposite to? Answer yes or no.",no
cube_net_0009_q1,Image Description,cube_net_0009.png,How many squares (faces) make up this cube net?,6
cube_net_0009_q2,Basic Relational Reasoning,cube_net_0009.png,Name one face that shares a fold edge with face A.,F
cube_net_0009_q3,Comparative Reasoning,cube_net_0009.png,How many faces share a fold edge with face E?,2
cube_net_0009_q4,Compound Reasoning,cube_net_0009.png,"If this net is folded into a cube, are face E and face F adjacent or opposite? Answer 'adjacent' or 'opposite'.",adjacent
cube_net_0009_q5,Extrapolative/Counterfactual Reasoning,cube_net_0009.png,"If the positions of faces A and D were swapped in this net, would face A still end up opposite the same face it currently is opposite to? Answer yes or no.",no
cube_net_0010_q1,Image Description,cube_net_0010.png,How many squares (faces) make up this cube net?,6
cube_net_0010_q2,Basic Relational Reasoning,cube_net_0010.png,Name one face that shares a fold edge with face D.,B
cube_net_0010_q3,Comparative Reasoning,cube_net_0010.png,"If this net is folded into a cube, which face will be OPPOSITE face A?",B
cube_net_0010_q4,Compound Reasoning,cube_net_0010.png,"If this net is folded into a cube, are face D and face F adjacent or opposite? Answer 'adjacent' or 'opposite'.",opposite
cube_net_0010_q5,Extrapolative/Counterfactual Reasoning,cube_net_0010.png,"If the positions of faces C and A were swapped in this net, would face C still end up opposite the same face it currently is opposite to? Answer yes or no.",no
cube_net_0011_q1,Image Description,cube_net_0011.png,How many squares (faces) make up this cube net?,6
cube_net_0011_q2,Basic Relational Reasoning,cube_net_0011.png,Name one face that shares a fold edge with face C.,B
cube_net_0011_q3,Comparative Reasoning,cube_net_0011.png,"If this net is folded into a cube, which face will be OPPOSITE face A?",F
cube_net_0011_q4,Compound Reasoning,cube_net_0011.png,"If this net is folded into a cube, are face E and face F adjacent or opposite? Answer 'adjacent' or 'opposite'.",adjacent
cube_net_0011_q5,Extrapolative/Counterfactual Reasoning,cube_net_0011.png,"If the positions of faces F and A were swapped in this net, would face F still end up opposite the same face it currently is opposite to? Answer yes or no.",yes
cube_net_0012_q1,Image Description,cube_net_0012.png,How many squares (faces) make up this cube net?,6
cube_net_0012_q2,Basic Relational Reasoning,cube_net_0012.png,Name one face that shares a fold edge with face E.,B
cube_net_0012_q3,Comparative Reasoning,cube_net_0012.png,"If this net is folded into a cube, which face will be OPPOSITE face E?",D
cube_net_0012_q4,Compound Reasoning,cube_net_0012.png,"If this net is folded into a cube, are face D and face E adjacent or opposite? Answer 'adjacent' or 'opposite'.",opposite
cube_net_0012_q5,Extrapolative/Counterfactual Reasoning,cube_net_0012.png,"If the positions of faces B and D were swapped in this net, would face B still end up opposite the same face it currently is opposite to? Answer yes or no.",no
cube_net_0013_q1,Image Description,cube_net_0013.png,How many squares (faces) make up this cube net?,6
cube_net_0013_q2,Basic Relational Reasoning,cube_net_0013.png,Name one face that shares a fold edge with face E.,A
cube_net_0013_q3,Comparative Reasoning,cube_net_0013.png,"If this net is folded into a cube, which face will be OPPOSITE face F?",A
cube_net_0013_q4,Compound Reasoning,cube_net_0013.png,"If this net is folded into a cube, are face B and face F adjacent or opposite? Answer 'adjacent' or 'opposite'.",adjacent
cube_net_0013_q5,Extrapolative/Counterfactual Reasoning,cube_net_0013.png,"If the positions of faces B and E were swapped in this net, would face B still end up opposite the same face it currently is opposite to? Answer yes or no.",no
cube_net_0014_q1,Image Description,cube_net_0014.png,How many squares (faces) make up this cube net?,6
cube_net_0014_q2,Basic Relational Reasoning,cube_net_0014.png,Name one face that shares a fold edge with face D.,B
cube_net_0014_q3,Comparative Reasoning,cube_net_0014.png,"If this net is folded into a cube, which face will be OPPOSITE face A?",C
cube_net_0014_q4,Compound Reasoning,cube_net_0014.png,"If this net is folded into a cube, are face B and face F adjacent or opposite? Answer 'adjacent' or 'opposite'.",opposite
cube_net_0014_q5,Extrapolative/Counterfactual Reasoning,cube_net_0014.png,"If the positions of faces C and F were swapped in this net, would face C still end up opposite the same face it currently is opposite to? Answer yes or no.",no
cube_net_0015_q1,Image Description,cube_net_0015.png,How many squares (faces) make up this cube net?,6
cube_net_0015_q2,Basic Relational Reasoning,cube_net_0015.png,Name one face that shares a fold edge with face D.,E
cube_net_0015_q3,Comparative Reasoning,cube_net_0015.png,"If this net is folded into a cube, which face will be OPPOSITE face C?",B
cube_net_0015_q4,Compound Reasoning,cube_net_0015.png,"If this net is folded into a cube, are face B and face E adjacent or opposite? Answer 'adjacent' or 'opposite'.",adjacent
cube_net_0015_q5,Extrapolative/Counterfactual Reasoning,cube_net_0015.png,"If the positions of faces B and F were swapped in this net, would face B still end up opposite the same face it currently is opposite to? Answer yes or no.",no
cube_net_0016_q1,Image Description,cube_net_0016.png,How many squares (faces) make up this cube net?,6
cube_net_0016_q2,Basic Relational Reasoning,cube_net_0016.png,Name one face that shares a fold edge with face B.,E
cube_net_0016_q3,Comparative Reasoning,cube_net_0016.png,"If this net is folded into a cube, which face will be OPPOSITE face C?",F
cube_net_0016_q4,Compound Reasoning,cube_net_0016.png,"If this net is folded into a cube, are face B and face D adjacent or opposite? Answer 'adjacent' or 'opposite'.",opposite
cube_net_0016_q5,Extrapolative/Counterfactual Reasoning,cube_net_0016.png,"If the positions of faces F and B were swapped in this net, would face F still end up opposite the same face it currently is opposite to? Answer yes or no.",no
cube_net_0017_q1,Image Description,cube_net_0017.png,How many squares (faces) make up this cube net?,6
cube_net_0017_q2,Basic Relational Reasoning,cube_net_0017.png,Name one face that shares a fold edge with face F.,B
cube_net_0017_q3,Comparative Reasoning,cube_net_0017.png,How many faces share a fold edge with face C?,1
cube_net_0017_q4,Compound Reasoning,cube_net_0017.png,"If this net is folded into a cube, are face B and face D adjacent or opposite? Answer 'adjacent' or 'opposite'.",adjacent
cube_net_0017_q5,Extrapolative/Counterfactual Reasoning,cube_net_0017.png,"If the positions of faces F and D were swapped in this net, would face F still end up opposite the same face it currently is opposite to? Answer yes or no.",yes
cube_net_0018_q1,Image Description,cube_net_0018.png,How many squares (faces) make up this cube net?,6
cube_net_0018_q2,Basic Relational Reasoning,cube_net_0018.png,Name one face that shares a fold edge with face D.,F
cube_net_0018_q3,Comparative Reasoning,cube_net_0018.png,"If this net is folded into a cube, which face will be OPPOSITE face B?",F
cube_net_0018_q4,Compound Reasoning,cube_net_0018.png,"If this net is folded into a cube, are face C and face D adjacent or opposite? Answer 'adjacent' or 'opposite'.",opposite
cube_net_0018_q5,Extrapolative/Counterfactual Reasoning,cube_net_0018.png,"If the positions of faces A and C were swapped in this net, would face A still end up opposite the same face it currently is opposite to? Answer yes or no.",no
cube_net_0019_q1,Image Description,cube_net_0019.png,How many squares (faces) make up this cube net?,6
cube_net_0019_q2,Basic Relational Reasoning,cube_net_0019.png,Name one face that shares a fold edge with face A.,E
cube_net_0019_q3,Comparative Reasoning,cube_net_0019.png,"If this net is folded into a cube, which face will be OPPOSITE face D?",E
cube_net_0019_q4,Compound Reasoning,cube_net_0019.png,"If this net is folded into a cube, are face B and face C adjacent or opposite? Answer 'adjacent' or 'opposite'.",adjacent
cube_net_0019_q5,Extrapolative/Counterfactual Reasoning,cube_net_0019.png,"If the positions of faces A and C were swapped in this net, would face A still end up opposite the same face it currently is opposite to? Answer yes or no.",no
cube_net_0020_q1,Image Description,cube_net_0020.png,How many squares (faces) make up this cube net?,6
cube_net_0020_q2,Basic Relational Reasoning,cube_net_0020.png,Name one face that shares a fold edge with face A.,D
cube_net_0020_q3,Comparative Reasoning,cube_net_0020.png,"If this net is folded into a cube, which face will be OPPOSITE face B?",D
cube_net_0020_q4,Compound Reasoning,cube_net_0020.png,"If this net is folded into a cube, are face E and face F adjacent or opposite? Answer 'adjacent' or 'opposite'.",opposite
cube_net_0020_q5,Extrapolative/Counterfactual Reasoning,cube_net_0020.png,"If the positions of faces D and F were swapped in this net, would face D still end up opposite the same face it currently is opposite to? Answer yes or no.",no
cube_net_0021_q1,Image Description,cube_net_0021.png,How many squares (faces) make up this cube net?,6
cube_net_0021_q2,Basic Relational Reasoning,cube_net_0021.png,Name one face that shares a fold edge with face B.,C
cube_net_0021_q3,Comparative Reasoning,cube_net_0021.png,"If this net is folded into a cube, which face will be OPPOSITE face A?",B
cube_net_0021_q4,Compound Reasoning,cube_net_0021.png,"If this net is folded into a cube, are face C and face F adjacent or opposite? Answer 'adjacent' or 'opposite'.",adjacent
cube_net_0021_q5,Extrapolative/Counterfactual Reasoning,cube_net_0021.png,"If the positions of faces D and A were swapped in this net, would face D still end up opposite the same face it currently is opposite to? Answer yes or no.",no
cube_net_0022_q1,Image Description,cube_net_0022.png,How many squares (faces) make up this cube net?,6
cube_net_0022_q2,Basic Relational Reasoning,cube_net_0022.png,Name one face that shares a fold edge with face A.,C
cube_net_0022_q3,Comparative Reasoning,cube_net_0022.png,"If this net is folded into a cube, which face will be OPPOSITE face E?",A
cube_net_0022_q4,Compound Reasoning,cube_net_0022.png,"If this net is folded into a cube, are face C and face F adjacent or opposite? Answer 'adjacent' or 'opposite'.",opposite
cube_net_0022_q5,Extrapolative/Counterfactual Reasoning,cube_net_0022.png,"If the positions of faces F and D were swapped in this net, would face F still end up opposite the same face it currently is opposite to? Answer yes or no.",no
cube_net_0023_q1,Image Description,cube_net_0023.png,How many squares (faces) make up this cube net?,6
cube_net_0023_q2,Basic Relational Reasoning,cube_net_0023.png,Name one face that shares a fold edge with face C.,A
cube_net_0023_q3,Comparative Reasoning,cube_net_0023.png,"If this net is folded into a cube, which face will be OPPOSITE face A?",B
cube_net_0023_q4,Compound Reasoning,cube_net_0023.png,"If this net is folded into a cube, are face B and face F adjacent or opposite? Answer 'adjacent' or 'opposite'.",adjacent
cube_net_0023_q5,Extrapolative/Counterfactual Reasoning,cube_net_0023.png,"If the positions of faces A and F were swapped in this net, would face A still end up opposite the same face it currently is opposite to? Answer yes or no.",no
cube_net_0024_q1,Image Description,cube_net_0024.png,How many squares (faces) make up this cube net?,6
cube_net_0024_q2,Basic Relational Reasoning,cube_net_0024.png,Name one face that shares a fold edge with face A.,C
cube_net_0024_q3,Comparative Reasoning,cube_net_0024.png,How many faces share a fold edge with face D?,2
cube_net_0024_q4,Compound Reasoning,cube_net_0024.png,"If this net is folded into a cube, are face C and face D adjacent or opposite? Answer 'adjacent' or 'opposite'.",opposite
cube_net_0024_q5,Extrapolative/Counterfactual Reasoning,cube_net_0024.png,"If the positions of faces A and F were swapped in this net, would face A still end up opposite the same face it currently is opposite to? Answer yes or no.",no
cube_net_0025_q1,Image Description,cube_net_0025.png,How many squares (faces) make up this cube net?,6
cube_net_0025_q2,Basic Relational Reasoning,cube_net_0025.png,Name one face that shares a fold edge with face A.,B
cube_net_0025_q3,Comparative Reasoning,cube_net_0025.png,How many faces share a fold edge with face E?,1
cube_net_0025_q4,Compound Reasoning,cube_net_0025.png,"If this net is folded into a cube, are face D and face E adjacent or opposite? Answer 'adjacent' or 'opposite'.",adjacent
cube_net_0025_q5,Extrapolative/Counterfactual Reasoning,cube_net_0025.png,"If the positions of faces C and B were swapped in this net, would face C still end up opposite the same face it currently is opposite to? Answer yes or no.",no
cube_net_0026_q1,Image Description,cube_net_0026.png,How many squares (faces) make up this cube net?,6
cube_net_0026_q2,Basic Relational Reasoning,cube_net_0026.png,Name one face that shares a fold edge with face D.,A
cube_net_0026_q3,Comparative Reasoning,cube_net_0026.png,"If this net is folded into a cube, which face will be OPPOSITE face F?",A
cube_net_0026_q4,Compound Reasoning,cube_net_0026.png,"If this net is folded into a cube, are face A and face F adjacent or opposite? Answer 'adjacent' or 'opposite'.",opposite
cube_net_0026_q5,Extrapolative/Counterfactual Reasoning,cube_net_0026.png,"If the positions of faces F and A were swapped in this net, would face F still end up opposite the same face it currently is opposite to? Answer yes or no.",yes
cube_net_0027_q1,Image Description,cube_net_0027.png,How many squares (faces) make up this cube net?,6
cube_net_0027_q2,Basic Relational Reasoning,cube_net_0027.png,Name one face that shares a fold edge with face D.,C
cube_net_0027_q3,Comparative Reasoning,cube_net_0027.png,How many faces share a fold edge with face B?,2
