question_id,task,image,prompt,groundtruth
coordinate_geometry_0001_q1,Image Description,coordinate_geometry_0001.png,What are the coordinates of point B?,"(-5, 7)"
coordinate_geometry_0001_q2,Basic Relational Reasoning,coordinate_geometry_0001.png,"What is the distance between point A and point B, rounded to 2 decimal places?",7.07
coordinate_geometry_0001_q3,Comparative Reasoning,coordinate_geometry_0001.png,Which two points are closest together? Answer with both labels.,A and B
coordinate_geometry_0001_q4,Compound Reasoning,coordinate_geometry_0001.png,What is the sum of the x-coordinates of all points in this image?,-11
coordinate_geometry_0001_q5,Extrapolative/Counterfactual Reasoning,coordinate_geometry_0001.png,"If point A moved 2 units right and 1 unit down, what would its new distance from point B be, rounded to two decimals?",8.06
coordinate_geometry_0002_q1,Image Description,coordinate_geometry_0002.png,What are the coordinates of point A?,"(0, -2)"
coordinate_geometry_0002_q2,Basic Relational Reasoning,coordinate_geometry_0002.png,"What is the distance between point A and point C, rounded to 2 decimal places?",8.94
coordinate_geometry_0002_q3,Comparative Reasoning,coordinate_geometry_0002.png,Which two points are farthest together? Answer with both labels.,A and C
coordinate_geometry_0002_q4,Compound Reasoning,coordinate_geometry_0002.png,What is the sum of the x-coordinates of all points in this image?,7
coordinate_geometry_0002_q5,Extrapolative/Counterfactual Reasoning,coordinate_geometry_0002.png,"If point A moved 2 units right and 1 unit down, what would its new distance from point B be, rounded to two decimals?",7.07
coordinate_geometry_0003_q1,Image Description,coordinate_geometry_0003.png,What are the coordinates of point D?,"(7, 4)"
coordinate_geometry_0003_q2,Basic Relational Reasoning,coordinate_geometry_0003.png,"What is the distance between point B and point C, rounded to 2 decimal places?",2.83
coordinate_geometry_0003_q3,Comparative Reasoning,coordinate_geometry_0003.png,Which two points are closest together? Answer with both labels.,B and C
coordinate_geometry_0003_q4,Compound Reasoning,coordinate_geometry_0003.png,"Are points A, B, and C collinear (do they lie on one straight line)? Answer yes or no.",yes
coordinate_geometry_0003_q5,Extrapolative/Counterfactual Reasoning,coordinate_geometry_0003.png,"If point A moved 2 units right and 1 unit down, what would its new distance from point B be, rounded to two decimals?",5.39
coordinate_geometry_0004_q1,Image Description,coordinate_geometry_0004.png,What are the coordinates of point A?,"(-5, 4)"
coordinate_geometry_0004_q2,Basic Relational Reasoning,coordinate_geometry_0004.png,"What is the distance between point A and point B, rounded to 2 decimal places?",14.42
coordinate_geometry_0004_q3,Comparative Reasoning,coordinate_geometry_0004.png,What are the coordinates of the midpoint between point A and point B?,"(1, 0)"
coordinate_geometry_0004_q4,Compound Reasoning,coordinate_geometry_0004.png,What is the sum of the x-coordinates of all points in this image?,2
coordinate_geometry_0004_q5,Extrapolative/Counterfactual Reasoning,coordinate_geometry_0004.png,"If point A moved 2 units right and 1 unit down, what would its new distance from point B be, rounded to two decimals?",12.21
coordinate_geometry_0005_q1,Image Description,coordinate_geometry_0005.png,What are the coordinates of point C?,"(7, -6)"
coordinate_geometry_0005_q2,Basic Relational Reasoning,coordinate_geometry_0005.png,"What is the distance between point A and point B, rounded to 2 decimal places?",6.71
coordinate_geometry_0005_q3,Comparative Reasoning,coordinate_geometry_0005.png,Which two points are farthest together? Answer with both labels.,A and C
coordinate_geometry_0005_q4,Compound Reasoning,coordinate_geometry_0005.png,What is the sum of the x-coordinates of all points in this image?,-1
