question_id,task,image,prompt,groundtruth
angle_estimation_0001_q1,Image Description,angle_estimation_0001.png,"Is the marked angle acute (less than 90°), right (exactly 90°), or obtuse (greater than 90°)? Answer with one word.",obtuse
angle_estimation_0001_q2,Basic Relational Reasoning,angle_estimation_0001.png,"Estimate the measure of the marked angle, rounded to the nearest 15 degrees. Answer with a number in curly brackets, e.g. {45}.",300
angle_estimation_0001_q3,Comparative Reasoning,angle_estimation_0001.png,"Is the marked angle greater than, less than, or approximately equal to a right angle (90 degrees)?",greater than
angle_estimation_0001_q4,Compound Reasoning,angle_estimation_0001.png,"How many degrees is the shown angle away from a straight angle, rounded to the nearest degree?",118
angle_estimation_0001_q5,Extrapolative/Counterfactual Reasoning,angle_estimation_0001.png,"If this angle were doubled, would the result still be less than a straight angle (180 degrees), or would it exceed a straight angle?",exceeds 180
angle_estimation_0002_q1,Image Description,angle_estimation_0002.png,"Is the marked angle acute (less than 90°), right (exactly 90°), or obtuse (greater than 90°)? Answer with one word.",acute
angle_estimation_0002_q2,Basic Relational Reasoning,angle_estimation_0002.png,"Estimate the measure of the marked angle, rounded to the nearest 15 degrees. Answer with a number in curly brackets, e.g. {45}.",45
angle_estimation_0002_q3,Comparative Reasoning,angle_estimation_0002.png,"Is the marked angle greater than, less than, or approximately equal to a right angle (90 degrees)?",less than
angle_estimation_0002_q4,Compound Reasoning,angle_estimation_0002.png,"How many degrees is the shown angle away from a straight angle, rounded to the nearest degree?",141
angle_estimation_0002_q5,Extrapolative/Counterfactual Reasoning,angle_estimation_0002.png,"If this angle were doubled, would the result still be less than a straight angle (180 degrees), or would it exceed a straight angle?",less than 180
angle_estimation_0003_q1,Image Description,angle_estimation_0003.png,"Is the marked angle acute (less than 90°), right (exactly 90°), or obtuse (greater than 90°)? Answer with one word.",obtuse
angle_estimation_0003_q2,Basic Relational Reasoning,angle_estimation_0003.png,"Estimate the measure of the marked angle, rounded to the nearest 15 degrees. Answer with a number in curly brackets, e.g. {45}.",195
angle_estimation_0003_q3,Comparative Reasoning,angle_estimation_0003.png,"Is the marked angle greater than, less than, or approximately equal to a right angle (90 degrees)?",greater than
angle_estimation_0003_q4,Compound Reasoning,angle_estimation_0003.png,"How many degrees is the shown angle away from a straight angle, rounded to the nearest degree?",15
angle_estimation_0003_q5,Extrapolative/Counterfactual Reasoning,angle_estimation_0003.png,"If this angle were doubled, would the result still be less than a straight angle (180 degrees), or would it exceed a straight angle?",exceeds 180
angle_estimation_0004_q1,Image Description,angle_estimation_0004.png,"Is the marked angle acute (less than 90°), right (exactly 90°), or obtuse (greater than 90°)? Answer with one word.",acute
angle_estimation_0004_q2,Basic Relational Reasoning,angle_estimation_0004.png,"Estimate the measure of the marked angle, rounded to the nearest 15 degrees. Answer with a number in curly brackets, e.g. {45}.",45
angle_estimation_0004_q3,Comparative Reasoning,angle_estimation_0004.png,"Is the marked angle greater than, less than, or approximately equal to a right angle (90 degrees)?",less than
angle_estimation_0004_q4,Compound Reasoning,angle_estimation_0004.png,"How many degrees is the shown angle away from a straight angle, rounded to the nearest degree?",135
angle_estimation_0004_q5,Extrapolative/Counterfactual Reasoning,angle_estimation_0004.png,"If this angle were doubled, would the result still be less than a straight angle (180 degrees), or would it exceed a straight angle?",less than 180
angle_estimation_0005_q1,Image Description,angle_estimation_0005.png,"Is the marked angle acute (less than 90°), right (exactly 90°), or obtuse (greater than 90°)? Answer with one word.",obtuse
angle_estimation_0005_q2,Basic Relational Reasoning,angle_estimation_0005.png,"Estimate the measure of the marked angle, rounded to the nearest 15 degrees. Answer with a number in curly brackets, e.g. {45}.",180
angle_estimation_0005_q3,Comparative Reasoning,angle_estimation_0005.png,"Is the marked angle greater than, less than, or approximately equal to a right angle (90 degrees)?",greater than
angle_estimation_0005_q4,Compound Reasoning,angle_estimation_0005.png,"How many degrees is the shown angle away from a straight angle, rounded to the nearest degree?",0
angle_estimation_0005_q5,Extrapolative/Counterfactual Reasoning,angle_estimation_0005.png,"If this angle were doubled, would the result still be less than a straight angle (180 degrees), or would it exceed a straight angle?",exceeds 180
angle_estimation_0006_q1,Image Description,angle_estimation_0006.png,"Is the marked angle acute (less than 90°), right (exactly 90°), or obtuse (greater than 90°)? Answer with one word.",obtuse
angle_estimation_0006_q2,Basic Relational Reasoning,angle_estimation_0006.png,"Estimate the measure of the marked angle, rounded to the nearest 15 degrees. Answer with a number in curly brackets, e.g. {45}.",285
angle_estimation_0006_q3,Comparative Reasoning,angle_estimation_0006.png,"Is the marked angle greater than, less than, or approximately equal to a right angle (90 degrees)?",greater than
angle_estimation_0006_q4,Compound Reasoning,angle_estimation_0006.png,"How many degrees is the shown angle away from a straight angle, rounded to the nearest degree?",109
angle_estimation_0006_q5,Extrapolative/Counterfactual Reasoning,angle_estimation_0006.png,"If this angle were doubled, would the result still be less than a straight angle (180 degrees), or would it exceed a straight angle?",exceeds 180
angle_estimation_0007_q1,Image Description,angle_estimation_0007.png,"Is the marked angle acute (less than 90°), right (exactly 90°), or obtuse (greater than 90°)? Answer with one word.",obtuse
angle_estimation_0007_q2,Basic Relational Reasoning,angle_estimation_0007.png,"Estimate the measure of the marked angle, rounded to the nearest 15 degrees. Answer with a number in curly brackets, e.g. {45}.",150
angle_estimation_0007_q3,Comparative Reasoning,angle_estimation_0007.png,"Is the marked angle greater than, less than, or approximately equal to a right angle (90 degrees)?",greater than
angle_estimation_0007_q4,Compound Reasoning,angle_estimation_0007.png,"How many degrees is the shown angle away from a straight angle, rounded to the nearest degree?",36
angle_estimation_0007_q5,Extrapolative/Counterfactual Reasoning,angle_estimation_0007.png,"If this angle were doubled, would the result still be less than a straight angle (180 degrees), or would it exceed a straight angle?",exceeds 180
angle_estimation_0008_q1,Image Description,angle_estimation_0008.png,"Is the marked angle acute (less than 90°), right (exactly 90°), or obtuse (greater than 90°)? Answer with one word.",obtuse
angle_estimation_0008_q2,Basic Relational Reasoning,angle_estimation_0008.png,"Estimate the measure of the marked angle, rounded to the nearest 15 degrees. Answer with a number in curly brackets, e.g. {45}.",330
