question_id,task,image,prompt
depth_height_0001_q1,Image Description,depth_height_0001.png,How many objects are shown in this scene?
depth_height_0001_q2,Basic Relational Reasoning,depth_height_0001.png,Which object is closer to the camera: the teal circle or the orange square?
depth_height_0001_q3,Comparative Reasoning,depth_height_0001.png,"Rank all objects in this scene from closest to farthest, by color."
depth_height_0001_q4,Compound Reasoning,depth_height_0001.png,"What is the difference between the farthest and closest stored depth values, rounded to two decimals?"
depth_height_0001_q5,Extrapolative/Counterfactual Reasoning,depth_height_0001.png,"If the orange object moved twice as far from the camera as its current distance, would it appear larger, smaller, or about the same size as the teal object?"
depth_height_0002_q1,Image Description,depth_height_0002.png,How many separate stacks of blocks are shown in this image?
depth_height_0002_q2,Basic Relational Reasoning,depth_height_0002.png,Which stack is taller: the magenta stack or the orange stack?
depth_height_0002_q3,Comparative Reasoning,depth_height_0002.png,"Rank all stacks from tallest to shortest, by color."
depth_height_0002_q4,Compound Reasoning,depth_height_0002.png,How many total blocks are there across all stacks combined?
depth_height_0002_q5,Extrapolative/Counterfactual Reasoning,depth_height_0002.png,"If one block moved from a tallest stack to a shortest stack, what would the new difference between tallest and shortest stack heights be?"
depth_height_0003_q1,Image Description,depth_height_0003.png,How many objects are shown in this scene?
depth_height_0003_q2,Basic Relational Reasoning,depth_height_0003.png,Which object is closer to the camera: the purple square or the orange square?
depth_height_0003_q3,Comparative Reasoning,depth_height_0003.png,"Rank all objects in this scene from closest to farthest, by color."
depth_height_0003_q4,Compound Reasoning,depth_height_0003.png,"What is the difference between the farthest and closest stored depth values, rounded to two decimals?"
depth_height_0003_q5,Extrapolative/Counterfactual Reasoning,depth_height_0003.png,"If the purple object moved twice as far from the camera as its current distance, would it appear larger, smaller, or about the same size as the magenta object?"
depth_height_0004_q1,Image Description,depth_height_0004.png,How many separate stacks of blocks are shown in this image?
depth_height_0004_q2,Basic Relational Reasoning,depth_height_0004.png,Which stack is taller: the blue stack or the purple stack?
depth_height_0004_q3,Comparative Reasoning,depth_height_0004.png,"Rank all stacks from tallest to shortest, by color."
depth_height_0004_q4,Compound Reasoning,depth_height_0004.png,How many blocks are present across all stacks combined?
depth_height_0004_q5,Extrapolative/Counterfactual Reasoning,depth_height_0004.png,"If you moved 2 blocks from the tallest stack to the shortest stack, would the shortest stack become the unique new tallest? Answer yes or no."
depth_height_0005_q1,Image Description,depth_height_0005.png,How many objects are shown in this scene?
depth_height_0005_q2,Basic Relational Reasoning,depth_height_0005.png,Which object is closer to the camera: the teal square or the orange square?
depth_height_0005_q3,Comparative Reasoning,depth_height_0005.png,"Rank all objects in this scene from closest to farthest, by color."
depth_height_0005_q4,Compound Reasoning,depth_height_0005.png,"What is the difference between the farthest and closest stored depth values, rounded to two decimals?"
depth_height_0005_q5,Extrapolative/Counterfactual Reasoning,depth_height_0005.png,"If the orange object moved twice as far from the camera as its current distance, would it appear larger, smaller, or about the same size as the blue object?"
depth_height_0006_q1,Image Description,depth_height_0006.png,How many separate stacks of blocks are shown in this image?
depth_height_0006_q2,Basic Relational Reasoning,depth_height_0006.png,Which stack is taller: the blue stack or the teal stack?
depth_height_0006_q3,Comparative Reasoning,depth_height_0006.png,"Rank all stacks from tallest to shortest, by color."
depth_height_0006_q4,Compound Reasoning,depth_height_0006.png,How many total blocks are there across all stacks combined?
depth_height_0006_q5,Extrapolative/Counterfactual Reasoning,depth_height_0006.png,"If one block moved from a tallest stack to a shortest stack, what would the new difference between tallest and shortest stack heights be?"
depth_height_0007_q1,Image Description,depth_height_0007.png,How many objects are shown in this scene?
depth_height_0007_q2,Basic Relational Reasoning,depth_height_0007.png,Which object is closer to the camera: the teal circle or the orange triangle?
depth_height_0007_q3,Comparative Reasoning,depth_height_0007.png,"Rank all objects in this scene from closest to farthest, by color."
depth_height_0007_q4,Compound Reasoning,depth_height_0007.png,"What is the difference between the farthest and closest stored depth values, rounded to two decimals?"
depth_height_0007_q5,Extrapolative/Counterfactual Reasoning,depth_height_0007.png,"If the orange object moved twice as far from the camera as its current distance, would it appear larger, smaller, or about the same size as the purple object?"
depth_height_0008_q1,Image Description,depth_height_0008.png,How many separate stacks of blocks are shown in this image?
depth_height_0008_q2,Basic Relational Reasoning,depth_height_0008.png,Which stack is taller: the magenta stack or the orange stack?
depth_height_0008_q3,Comparative Reasoning,depth_height_0008.png,"Rank all stacks from tallest to shortest, by color."
depth_height_0008_q4,Compound Reasoning,depth_height_0008.png,How many blocks are present across all stacks combined?
depth_height_0008_q5,Extrapolative/Counterfactual Reasoning,depth_height_0008.png,"If you moved 2 blocks from the tallest stack to the shortest stack, would the shortest stack become the unique new tallest? Answer yes or no."
depth_height_0009_q1,Image Description,depth_height_0009.png,How many objects are shown in this scene?
depth_height_0009_q2,Basic Relational Reasoning,depth_height_0009.png,Which object is closer to the camera: the orange triangle or the teal triangle?
depth_height_0009_q3,Comparative Reasoning,depth_height_0009.png,"Rank all objects in this scene from closest to farthest, by color."
depth_height_0009_q4,Compound Reasoning,depth_height_0009.png,"What is the difference between the farthest and closest stored depth values, rounded to two decimals?"
depth_height_0009_q5,Extrapolative/Counterfactual Reasoning,depth_height_0009.png,"If the orange object moved twice as far from the camera as its current distance, would it appear larger, smaller, or about the same size as the teal object?"
depth_height_0010_q1,Image Description,depth_height_0010.png,How many separate stacks of blocks are shown in this image?
depth_height_0010_q2,Basic Relational Reasoning,depth_height_0010.png,Which stack is taller: the purple stack or the blue stack?
depth_height_0010_q3,Comparative Reasoning,depth_height_0010.png,"Rank all stacks from tallest to shortest, by color."
depth_height_0010_q4,Compound Reasoning,depth_height_0010.png,How many blocks are present across all stacks combined?
depth_height_0010_q5,Extrapolative/Counterfactual Reasoning,depth_height_0010.png,"If you moved 2 blocks from the tallest stack to the shortest stack, would the shortest stack become the unique new tallest? Answer yes or no."
depth_height_0011_q1,Image Description,depth_height_0011.png,How many objects are shown in this scene?
depth_height_0011_q2,Basic Relational Reasoning,depth_height_0011.png,Which object is closer to the camera: the magenta triangle or the blue triangle?
depth_height_0011_q3,Comparative Reasoning,depth_height_0011.png,"Rank all objects in this scene from closest to farthest, by color."
depth_height_0011_q4,Compound Reasoning,depth_height_0011.png,"What is the difference between the farthest and closest stored depth values, rounded to two decimals?"
depth_height_0011_q5,Extrapolative/Counterfactual Reasoning,depth_height_0011.png,"If the teal object moved twice as far from the camera as its current distance, would it appear larger, smaller, or about the same size as the blue object?"
depth_height_0012_q1,Image Description,depth_height_0012.png,How many separate stacks of blocks are shown in this image?
depth_height_0012_q2,Basic Relational Reasoning,depth_height_0012.png,Which stack is taller: the magenta stack or the teal stack?
depth_height_0012_q3,Comparative Reasoning,depth_height_0012.png,"Rank all stacks from tallest to shortest, by color."
depth_height_0012_q4,Compound Reasoning,depth_height_0012.png,How many total blocks are there across all stacks combined?
depth_height_0012_q5,Extrapolative/Counterfactual Reasoning,depth_height_0012.png,"If one block moved from a tallest stack to a shortest stack, what would the new difference between tallest and shortest stack heights be?"
depth_height_0013_q1,Image Description,depth_height_0013.png,How many objects are shown in this scene?
depth_height_0013_q2,Basic Relational Reasoning,depth_height_0013.png,Which object is closer to the camera: the purple square or the orange triangle?
depth_height_0013_q3,Comparative Reasoning,depth_height_0013.png,"Rank all objects in this scene from closest to farthest, by color."
depth_height_0013_q4,Compound Reasoning,depth_height_0013.png,"What is the difference between the farthest and closest stored depth values, rounded to two decimals?"
depth_height_0013_q5,Extrapolative/Counterfactual Reasoning,depth_height_0013.png,"If the purple object moved twice as far from the camera as its current distance, would it appear larger, smaller, or about the same size as the magenta object?"
depth_height_0014_q1,Image Description,depth_height_0014.png,How many separate stacks of blocks are shown in this image?
depth_height_0014_q2,Basic Relational Reasoning,depth_height_0014.png,Which stack is taller: the orange stack or the blue stack?
depth_height_0014_q3,Comparative Reasoning,depth_height_0014.png,"Rank all stacks from tallest to shortest, by color."
depth_height_0014_q4,Compound Reasoning,depth_height_0014.png,How many total blocks are there across all stacks combined?
depth_height_0014_q5,Extrapolative/Counterfactual Reasoning,depth_height_0014.png,"If one block moved from a tallest stack to a shortest stack, what would the new difference between tallest and shortest stack heights be?"
depth_height_0015_q1,Image Description,depth_height_0015.png,How many objects are shown in this scene?
depth_height_0015_q2,Basic Relational Reasoning,depth_height_0015.png,Which object is closer to the camera: the purple circle or the magenta triangle?
depth_height_0015_q3,Comparative Reasoning,depth_height_0015.png,"Rank all objects in this scene from closest to farthest, by color."
depth_height_0015_q4,Compound Reasoning,depth_height_0015.png,"What is the difference between the farthest and closest stored depth values, rounded to two decimals?"
depth_height_0015_q5,Extrapolative/Counterfactual Reasoning,depth_height_0015.png,"If the orange object moved twice as far from the camera as its current distance, would it appear larger, smaller, or about the same size as the magenta object?"
depth_height_0016_q1,Image Description,depth_height_0016.png,How many separate stacks of blocks are shown in this image?
depth_height_0016_q2,Basic Relational Reasoning,depth_height_0016.png,Which stack is taller: the teal stack or the blue stack?
depth_height_0016_q3,Comparative Reasoning,depth_height_0016.png,"Rank all stacks from tallest to shortest, by color."
depth_height_0016_q4,Compound Reasoning,depth_height_0016.png,How many total blocks are there across all stacks combined?
