question_id,task,image,prompt,groundtruth
gauge_reading_0001_q1,Image Description,gauge_reading_0001.png,What is the minimum value shown on this gauge's scale?,0
gauge_reading_0001_q2,Basic Relational Reasoning,gauge_reading_0001.png,Is the needle pointing to a value in the lower half or upper half of the gauge's range? Answer 'lower half' or 'upper half'.,upper half
gauge_reading_0001_q3,Comparative Reasoning,gauge_reading_0001.png,"What value is the needle pointing to, rounded to the nearest tick mark interval?",140
gauge_reading_0001_q4,Compound Reasoning,gauge_reading_0001.png,"Is the needle currently in the danger zone, if one is marked? If so, by how much does it exceed the threshold?",no
gauge_reading_0001_q5,Extrapolative/Counterfactual Reasoning,gauge_reading_0001.png,"If the needle value increased by 25% of the gauge's full range, would it exceed the maximum value on the scale? Answer yes or no, and give the new value.",no; new value 180
gauge_reading_0002_q1,Image Description,gauge_reading_0002.png,What is the minimum value shown on this gauge's scale?,0
gauge_reading_0002_q2,Basic Relational Reasoning,gauge_reading_0002.png,Is the needle pointing to a value in the lower half or upper half of the gauge's range? Answer 'lower half' or 'upper half'.,lower half
gauge_reading_0002_q3,Comparative Reasoning,gauge_reading_0002.png,"What value is the needle pointing to, rounded to the nearest tick mark interval?",10
gauge_reading_0002_q4,Compound Reasoning,gauge_reading_0002.png,"Is the needle currently in the danger zone, if one is marked? If so, by how much does it exceed the threshold?",no danger zone marked
gauge_reading_0002_q5,Extrapolative/Counterfactual Reasoning,gauge_reading_0002.png,"If the needle value increased by 25% of the gauge's full range, would it exceed the maximum value on the scale? Answer yes or no, and give the new value.",no; new value 30
gauge_reading_0003_q1,Image Description,gauge_reading_0003.png,What is the minimum value shown on this gauge's scale?,0
gauge_reading_0003_q2,Basic Relational Reasoning,gauge_reading_0003.png,Is the needle pointing to a value in the lower half or upper half of the gauge's range? Answer 'lower half' or 'upper half'.,upper half
gauge_reading_0003_q3,Comparative Reasoning,gauge_reading_0003.png,"What value is the needle pointing to, rounded to the nearest tick mark interval?",40
gauge_reading_0003_q4,Compound Reasoning,gauge_reading_0003.png,"Is the needle currently in the danger zone, if one is marked? If so, by how much does it exceed the threshold?",no danger zone marked
gauge_reading_0003_q5,Extrapolative/Counterfactual Reasoning,gauge_reading_0003.png,"If the needle value increased by 25% of the gauge's full range, would it exceed the maximum value on the scale? Answer yes or no, and give the new value.",no; new value 55
gauge_reading_0004_q1,Image Description,gauge_reading_0004.png,What is the minimum value shown on this gauge's scale?,-20
gauge_reading_0004_q2,Basic Relational Reasoning,gauge_reading_0004.png,Is the needle pointing to a value in the lower half or upper half of the gauge's range? Answer 'lower half' or 'upper half'.,lower half
gauge_reading_0004_q3,Comparative Reasoning,gauge_reading_0004.png,"What value is the needle pointing to, rounded to the nearest tick mark interval?",0
gauge_reading_0004_q4,Compound Reasoning,gauge_reading_0004.png,"Is the needle currently in the danger zone, if one is marked? If so, by how much does it exceed the threshold?",no danger zone marked
gauge_reading_0004_q5,Extrapolative/Counterfactual Reasoning,gauge_reading_0004.png,"If the needle value increased by 25% of the gauge's full range, would it exceed the maximum value on the scale? Answer yes or no, and give the new value.",no; new value 35
gauge_reading_0005_q1,Image Description,gauge_reading_0005.png,What is the minimum value shown on this gauge's scale?,0
gauge_reading_0005_q2,Basic Relational Reasoning,gauge_reading_0005.png,Is the needle pointing to a value in the lower half or upper half of the gauge's range? Answer 'lower half' or 'upper half'.,upper half
gauge_reading_0005_q3,Comparative Reasoning,gauge_reading_0005.png,"What value is the needle pointing to, rounded to the nearest tick mark interval?",8
gauge_reading_0005_q4,Compound Reasoning,gauge_reading_0005.png,"Is the needle currently in the danger zone, if one is marked? If so, by how much does it exceed the threshold?",yes; exceeds threshold by 1
gauge_reading_0005_q5,Extrapolative/Counterfactual Reasoning,gauge_reading_0005.png,"If the needle value increased by 25% of the gauge's full range, would it exceed the maximum value on the scale? Answer yes or no, and give the new value.",yes; new value 10.5
gauge_reading_0006_q1,Image Description,gauge_reading_0006.png,What is the minimum value shown on this gauge's scale?,0
gauge_reading_0006_q2,Basic Relational Reasoning,gauge_reading_0006.png,Is the needle pointing to a value in the lower half or upper half of the gauge's range? Answer 'lower half' or 'upper half'.,lower half
gauge_reading_0006_q3,Comparative Reasoning,gauge_reading_0006.png,"What value is the needle pointing to, rounded to the nearest tick mark interval?",20
gauge_reading_0006_q4,Compound Reasoning,gauge_reading_0006.png,"Is the needle currently in the danger zone, if one is marked? If so, by how much does it exceed the threshold?",no
gauge_reading_0006_q5,Extrapolative/Counterfactual Reasoning,gauge_reading_0006.png,"If the needle value increased by 25% of the gauge's full range, would it exceed the maximum value on the scale? Answer yes or no, and give the new value.",no; new value 70
gauge_reading_0007_q1,Image Description,gauge_reading_0007.png,What is the minimum value shown on this gauge's scale?,0
